Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Box H/Aca Snornp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Oxidative Stress
GO Term: Box C/D Sno(S)Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Box H/Aca Sno(S)Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Proteasome Complex -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Glycosylphosphatidylinositol-N-Acetylglucosaminyltransferase (Gpi-Gnt) Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: H2A-H2B Histone Complex Chaperone Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Apoptosis
GO Term: Lncrna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: 3-Sulfino-L-Alanine: Proton, Glutamate Antiporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Aspartate:Glutamate, Proton Antiporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Embryonic Axis Specification -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Synapse, Proteostasis, Oxidative Stress
GO Term: Purine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Autophagy, Proteostasis
GO Term: Oxidized Pyrimidine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Synapse, Epigenetic
GO Term: Meiotic Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Synapse, Autophagy
GO Term: Meiotic Dna Recombinase Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, DNA Repair
GO Term: Meiotic Joint Molecule Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Meiotic Mismatch Repair -> Biodomain: DNA Repair, Epigenetic, Synapse, Proteostasis, Oxidative Stress
GO Term: Meiotic Dna Repair Synthesis -> Biodomain: DNA Repair, Epigenetic, Synapse, Proteostasis, Apoptosis
GO Term: Resolution Of Meiotic Recombination Intermediates -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Nucleotide-Excision Repair, Dna Damage Recognition -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Oxidative Stress, Synapse
GO Term: Photoreactive Repair -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Autophagy, Proteostasis
GO Term: Pyrimidine Dimer Repair By Nucleotide-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Synapse, Proteostasis, Oxidative Stress
GO Term: (R,R)-Butanediol Dehydrogenase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Telomere Maintenance Via Recombination -> Biodomain: Telomere Maintenance Via Recombination, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Telomere Maintenance -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, DNA Repair
GO Term: Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Epigenetic, Synapse, Proteostasis, Oxidative Stress
GO Term: Recombinational Repair -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Oxidative Stress
GO Term: Double-Strand Break Repair Via Break-Induced Replication -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, Synapse
GO Term: Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Epigenetic, Synapse, Proteostasis, Apoptosis
GO Term: Dna Recombinase Assembly -> Biodomain: DNA Repair, Epigenetic, Synapse, Proteostasis, Oxidative Stress
GO Term: Dna Synthesis Involved In Dna Repair -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Oxidative Stress, Synapse
GO Term: Dna Strand Displacement -> Biodomain: DNA Repair, Epigenetic, Synapse, Proteostasis, Oxidative Stress
GO Term: Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Phosphatidyl-N-Methylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Adenyl-Nucleotide Exchange Factor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Chromosome, Centromeric Region -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Kinetochore -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, RNA Spliceosome
GO Term: Condensed Chromosome, Centromeric Region -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Epigenetic
GO Term: Chromosome, Telomeric Region -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Telomere Cap Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, DNA Repair
GO Term: Nuclear Telomere Cap Complex -> Biodomain: Structural Stabilization, Synapse, Epigenetic, DNA Repair, Autophagy
GO Term: Chromatin -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, DNA Repair
GO Term: Nucleosome -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Euchromatin -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Heterochromatin -> Biodomain: Synapse, Proteostasis, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Condensed Chromosome -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Condensed Nuclear Chromosome -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Synaptonemal Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Condensin Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Lateral Element -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Central Element -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Transverse Filament -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, RNA Spliceosome
GO Term: Sex Chromosome -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: X Chromosome -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Y Chromosome -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Origin Recognition Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Diacylglycerol Diphosphate Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Gins Complex -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Swr1 Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Autophagy
GO Term: Escrt I Complex -> Biodomain: Endolysosome, Autophagy, Synapse, Proteostasis, Oxidative Stress
GO Term: Escrt Ii Complex -> Biodomain: Endolysosome, Synapse, Autophagy, Proteostasis, Oxidative Stress
GO Term: Escrt Iii Complex -> Biodomain: Endolysosome, Synapse, Autophagy, Proteostasis, Oxidative Stress
GO Term: Sister Chromatid Segregation -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Synapse
GO Term: Regulation Of Glutamine Family Amino Acid Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Regulation Of Arginine Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Inositol Hexakisphosphate Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Epigenetic
GO Term: Inositol-1,4,5-Trisphosphate 6-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 3-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 6-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Apoptosis
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Epigenetic
GO Term: Inositol Hexakisphosphate Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Epigenetic
GO Term: Diphosphoinositol Pentakisphosphate Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Epigenetic
GO Term: Inositol Hexakisphosphate 6-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Inositol Hexakisphosphate 5-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Er Ubiquitin Ligase Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Hrd1P Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Synapse, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Hrd1P Ubiquitin Ligase Erad-L Complex -> Biodomain: Proteostasis, Synapse, Apoptosis, Autophagy, RNA Spliceosome
GO Term: Mrna Regulatory Element Binding Translation Repressor Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Cell Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Actomyosin Contractile Ring Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Actomyosin Contractile Ring Contraction -> Biodomain: Cell Cycle, Synapse, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Septin Ring Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Spindle Pole -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, RNA Spliceosome
GO Term: Gamma-Tubulin Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Gamma-Tubulin Ring Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Tau Homeostasis
GO Term: P-Body -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Garp Complex -> Biodomain: Synapse, Autophagy, Endolysosome, Proteostasis, RNA Spliceosome
GO Term: Inner Kinetochore -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, RNA Spliceosome
GO Term: Outer Kinetochore -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, RNA Spliceosome
GO Term: Nuclear-Transcribed Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Mitochondrial Rna Catabolic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Mitochondrial Mrna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Mitochondrial Rna Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Negative Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Positive Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Mitochondrial Rna Processing -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Mitochondrial Rna 5'-End Processing -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Mitochondrial Rna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Transcription-Dependent Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Post-Transcriptional Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Prp19 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Transcription Cis-Regulatory Region Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Rna Polymerase Ii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Rna Polymerase Ii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Rna Polymerase Ii Core Promoter Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Oxidative Stress
GO Term: Dna-Binding Transcription Factor Activity, Rna Polymerase Ii-Specific -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, RNA Spliceosome, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Rna Polymerase Iii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Rna Polymerase Ii Complex Binding -> Biodomain: RNA Spliceosome, Epigenetic, Synapse, Proteostasis, Oxidative Stress
GO Term: Rna Polymerase Iii Core Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Rna Polymerase Iii Type 1 Promoter Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Rna Polymerase Iii Type 2 Promoter Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Synapse, Proteostasis, Autophagy
GO Term: Rna Polymerase Iii Type 3 Promoter Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Autophagy
GO Term: Rna Polymerase Ii Sequence-Specific Dna-Binding Transcription Factor Recruiting Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Rna Polymerase Iii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Mitochondrial Promoter Sequence-Specific Dna Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Rna Polymerase I Core Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Oxidative Stress
GO Term: Core Promoter Sequence-Specific Dna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Transcription Regulatory Region Nucleic Acid Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Synapse
GO Term: Regulatory Region Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, DNA Repair
GO Term: Rna Polymerase Ii General Transcription Initiation Factor Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Tfiib-Class Transcription Factor Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Tfiid-Class Transcription Factor Complex Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Epigenetic
GO Term: Tfiif-Class Transcription Factor Complex Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Tfiih-Class Transcription Factor Complex Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Basal Rna Polymerase Ii Transcription Machinery Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, RNA Spliceosome
GO Term: Rna Polymerase Ii Promoter Clearance -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Dna-Templated Transcription Open Complex Formation -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair
GO Term: Protein-Dna-Rna Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Transcription Termination Site Sequence-Specific Dna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Tfiiic-Class Transcription Factor Complex Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Rna Polymerase Ii Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Synapse, Proteostasis, Oxidative Stress
GO Term: Rna Polymerase I Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Rna Polymerase I Core Promoter Sequence-Specific Dna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Epigenetic
GO Term: Rna Polymerase I Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Rna-Templated Transcription -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Regulation Of Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Rna Polymerase I General Transcription Initiation Factor Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Rna Polymerase I General Transcription Initiation Factor Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Rna Polymerase I Preinitiation Complex Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Maintenance Of Transcriptional Fidelity During Transcription Elongation By Rna Polymerase Ii -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Dna-Binding Transcription Activator Activity -> Biodomain: Synapse, RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair
GO Term: Dna-Binding Transcription Repressor Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Transcription Coregulator Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Transcription Corepressor Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Transcription Coactivator Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress
