Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Maturation Of Lsu-Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Endonucleolytic Cleavage To Generate Mature 5'-End Of Ssu-Rrna From (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Endonucleolytic Cleavage Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Endonucleolytic Cleavage In 5'-Ets Of Tricistronic Rrna Transcript (Ssu-Rrna, 5.8S Rrna, Lsu-Rrna) -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Immune Response, DNA Repair
GO Term: Maturation Of 5S Rrna -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Box C/D Snornp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Box H/Aca Snornp Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Box C/D Sno(S)Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Box H/Aca Sno(S)Rna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Glycosylphosphatidylinositol-N-Acetylglucosaminyltransferase (Gpi-Gnt) Complex -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Autophagy
GO Term: H2A-H2B Histone Complex Chaperone Activity -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Epigenetic, DNA Repair
GO Term: Lncrna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Proteostasis, RNA Spliceosome, Immune Response, APP Metabolism, Oxidative Stress
GO Term: 3-Sulfino-L-Alanine: Proton, Glutamate Antiporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Aspartate:Glutamate, Proton Antiporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Embryonic Axis Specification -> Biodomain: Immune Response, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Purine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Immune Response, Proteostasis
GO Term: Oxidized Pyrimidine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, APP Metabolism, Autophagy
GO Term: Meiotic Dna Double-Strand Break Processing -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Immune Response
GO Term: Meiotic Dna Recombinase Assembly -> Biodomain: Cell Cycle, DNA Repair, Tau Homeostasis, Proteostasis, Apoptosis
GO Term: Meiotic Joint Molecule Formation -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Meiotic Mismatch Repair -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Meiotic Dna Repair Synthesis -> Biodomain: DNA Repair, Apoptosis, Immune Response, Proteostasis, Oxidative Stress
GO Term: Resolution Of Meiotic Recombination Intermediates -> Biodomain: Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Nucleotide-Excision Repair, Dna Damage Recognition -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Photoreactive Repair -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Immune Response, Apoptosis
GO Term: Pyrimidine Dimer Repair By Nucleotide-Excision Repair -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Immune Response, Proteostasis
GO Term: (R,R)-Butanediol Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Telomere Maintenance Via Recombination -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, DNA Repair, Immune Response
GO Term: Telomere Maintenance -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, DNA Repair, Immune Response
GO Term: Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Recombinational Repair -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Double-Strand Break Repair Via Break-Induced Replication -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Dna Recombinase Assembly -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Dna Synthesis Involved In Dna Repair -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Dna Strand Displacement -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Endolysosome
GO Term: Phosphatidyl-N-Methylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Adenyl-Nucleotide Exchange Factor Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis, APP Metabolism
GO Term: Chromosome, Centromeric Region -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Tau Homeostasis, Immune Response
GO Term: Kinetochore -> Biodomain: Cell Cycle, Apoptosis, Tau Homeostasis, Proteostasis, Synapse
GO Term: Condensed Chromosome, Centromeric Region -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Immune Response
GO Term: Chromosome, Telomeric Region -> Biodomain: Cell Cycle, DNA Repair, Immune Response, Apoptosis, Oxidative Stress
GO Term: Telomere Cap Complex -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Oxidative Stress, Immune Response
GO Term: Nuclear Telomere Cap Complex -> Biodomain: Structural Stabilization, DNA Repair, Proteostasis, Apoptosis, Immune Response
GO Term: Chromatin -> Biodomain: Epigenetic, Tau Homeostasis, APP Metabolism, Immune Response, Oxidative Stress
GO Term: Nucleosome -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Immune Response
GO Term: Euchromatin -> Biodomain: Epigenetic, APP Metabolism, Tau Homeostasis, Proteostasis, Oxidative Stress
GO Term: Heterochromatin -> Biodomain: Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism, Immune Response
GO Term: Condensed Chromosome -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Condensed Nuclear Chromosome -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Immune Response, Proteostasis
GO Term: Synaptonemal Complex -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Condensin Complex -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Cell Cycle, Immune Response
GO Term: Lateral Element -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Central Element -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Transverse Filament -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Immune Response
GO Term: Sex Chromosome -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: X Chromosome -> Biodomain: Proteostasis, Immune Response, Apoptosis, Tau Homeostasis, Endolysosome
GO Term: Y Chromosome -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Origin Recognition Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Diacylglycerol Diphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Gins Complex -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Swr1 Complex -> Biodomain: Proteostasis, Epigenetic, Tau Homeostasis, Autophagy, DNA Repair
GO Term: Escrt I Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, APP Metabolism
GO Term: Escrt Ii Complex -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Escrt Iii Complex -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Sister Chromatid Segregation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Regulation Of Glutamine Family Amino Acid Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Regulation Of Arginine Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, APP Metabolism, Immune Response
GO Term: Inositol Hexakisphosphate Binding -> Biodomain: Immune Response, Oxidative Stress, APP Metabolism, Proteostasis, Endolysosome
GO Term: Inositol-1,4,5-Trisphosphate 6-Kinase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 3-Kinase Activity -> Biodomain: Synapse, APP Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 6-Kinase Activity -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate Kinase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Inositol Hexakisphosphate Kinase Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Diphosphoinositol Pentakisphosphate Kinase Activity -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Autophagy
GO Term: Inositol Hexakisphosphate 6-Kinase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Inositol Hexakisphosphate 5-Kinase Activity -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Er Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Endolysosome, Immune Response
GO Term: Hrd1P Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Hrd1P Ubiquitin Ligase Erad-L Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Mrna Regulatory Element Binding Translation Repressor Activity -> Biodomain: Proteostasis, RNA Spliceosome, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Cell Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Actomyosin Contractile Ring Assembly -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, Immune Response
GO Term: Actomyosin Contractile Ring Contraction -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Septin Ring Assembly -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, Autophagy, Oxidative Stress
GO Term: Spindle Pole -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Tau Homeostasis
GO Term: Gamma-Tubulin Complex -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, Apoptosis
GO Term: Gamma-Tubulin Ring Complex -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Autophagy, Immune Response
GO Term: P-Body -> Biodomain: Proteostasis, RNA Spliceosome, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Garp Complex -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Inner Kinetochore -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Outer Kinetochore -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Cell Cycle
GO Term: Nuclear-Transcribed Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Autophagy
GO Term: Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Mitochondrial Mrna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Mitochondrial Rna Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Negative Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, APP Metabolism
GO Term: Positive Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Mitochondrial Rna Processing -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Mitochondrial Rna 5'-End Processing -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Mitochondrial Rna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, APP Metabolism
GO Term: Transcription-Dependent Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Post-Transcriptional Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Prp19 Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Tau Homeostasis, APP Metabolism
GO Term: Transcription Cis-Regulatory Region Binding -> Biodomain: Transcription Cis-Regulatory Region Binding, Proteostasis, Tau Homeostasis, APP Metabolism, Immune Response
GO Term: Rna Polymerase Ii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Transcription Regulation, APP Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Rna Polymerase Ii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Rna Polymerase Ii Core Promoter Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Immune Response
GO Term: Dna-Binding Transcription Factor Activity, Rna Polymerase Ii-Specific -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis, Immune Response
GO Term: Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Proteostasis, APP Metabolism, Tau Homeostasis, Immune Response, Oxidative Stress
GO Term: Rna Polymerase Iii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Proteostasis, Synapse, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Rna Polymerase Ii Complex Binding -> Biodomain: RNA Spliceosome, Tau Homeostasis, Proteostasis, Apoptosis, Immune Response
GO Term: Rna Polymerase Iii Core Binding -> Biodomain: Proteostasis, RNA Spliceosome, Apoptosis, Immune Response, Endolysosome
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, APP Metabolism, Oxidative Stress
GO Term: Rna Polymerase Iii Type 1 Promoter Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna Polymerase Iii Type 2 Promoter Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, APP Metabolism, Proteostasis, Immune Response, Oxidative Stress
GO Term: Rna Polymerase Iii Type 3 Promoter Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Rna Polymerase Ii Sequence-Specific Dna-Binding Transcription Factor Recruiting Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Rna Polymerase Iii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Proteostasis, RNA Spliceosome, Apoptosis, Immune Response, Epigenetic
GO Term: Mitochondrial Promoter Sequence-Specific Dna Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, APP Metabolism
GO Term: Rna Polymerase I Core Binding -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Core Promoter Sequence-Specific Dna Binding -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis, Immune Response
GO Term: Transcription Regulatory Region Nucleic Acid Binding -> Biodomain: Transcription Regulatory Region Nucleic Acid Binding, DNA Repair, Epigenetic, Immune Response, APP Metabolism
GO Term: Regulatory Region Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii General Transcription Initiation Factor Binding -> Biodomain: Proteostasis, Synapse, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Tfiib-Class Transcription Factor Binding -> Biodomain: Proteostasis, Synapse, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Tfiid-Class Transcription Factor Complex Binding -> Biodomain: Proteostasis, Synapse, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Tfiif-Class Transcription Factor Complex Binding -> Biodomain: Proteostasis, Synapse, Apoptosis, APP Metabolism, Oxidative Stress
GO Term: Tfiih-Class Transcription Factor Complex Binding -> Biodomain: Proteostasis, Synapse, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Basal Rna Polymerase Ii Transcription Machinery Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Negative Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
GO Term: Rna Polymerase Ii Promoter Clearance -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Dna-Templated Transcription Open Complex Formation -> Biodomain: Transcription, APP Metabolism, Epigenetic, Tau Homeostasis, Immune Response
GO Term: Protein-Dna-Rna Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
