Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown, Proteostasis
GO Term: Box H/Aca Snornp Assembly -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Box C/D Sno(S)Rna 3'-End Processing -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Box H/Aca Sno(S)Rna 3'-End Processing -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Proteasome Complex -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis, Unknown
GO Term: Glycosylphosphatidylinositol-N-Acetylglucosaminyltransferase (Gpi-Gnt) Complex -> Biodomain: Proteostasis, Synapse, APP Metabolism, Unknown, Oxidative Stress
GO Term: H2A-H2B Histone Complex Chaperone Activity -> Biodomain: Unknown, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Lncrna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, Immune Response, Autophagy
GO Term: 3-Sulfino-L-Alanine: Proton, Glutamate Antiporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Aspartate:Glutamate, Proton Antiporter Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Embryonic Axis Specification -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Purine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Unknown, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Oxidized Pyrimidine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: Oxidative Stress, DNA Repair, Unknown, Autophagy, Proteostasis
GO Term: Meiotic Dna Double-Strand Break Processing -> Biodomain: Unknown, Cell Cycle, DNA Repair, Apoptosis, Proteostasis
GO Term: Meiotic Dna Recombinase Assembly -> Biodomain: Unknown, Proteostasis, Apoptosis, Cell Cycle, DNA Repair
GO Term: Meiotic Joint Molecule Formation -> Biodomain: Unknown, DNA Repair, Autophagy, Epigenetic, Proteostasis
GO Term: Meiotic Mismatch Repair -> Biodomain: Unknown, Apoptosis, DNA Repair, Oxidative Stress, Immune Response
GO Term: Meiotic Dna Repair Synthesis -> Biodomain: Unknown, DNA Repair, Apoptosis, Oxidative Stress, Immune Response
GO Term: Resolution Of Meiotic Recombination Intermediates -> Biodomain: Unknown, Proteostasis, Apoptosis, Cell Cycle, DNA Repair
GO Term: Nucleotide-Excision Repair, Dna Damage Recognition -> Biodomain: DNA Repair, Unknown, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Photoreactive Repair -> Biodomain: Unknown, Apoptosis, DNA Repair, Oxidative Stress, Immune Response
GO Term: Pyrimidine Dimer Repair By Nucleotide-Excision Repair -> Biodomain: DNA Repair, Unknown, Autophagy, Oxidative Stress, Immune Response
GO Term: (R,R)-Butanediol Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Unknown
GO Term: Telomere Maintenance Via Recombination -> Biodomain: Unknown, DNA Repair, Apoptosis, Immune Response, Oxidative Stress
GO Term: Telomere Maintenance -> Biodomain: Unknown, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Immune Response
GO Term: Recombinational Repair -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Immune Response
GO Term: Double-Strand Break Repair Via Break-Induced Replication -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Immune Response
GO Term: Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Immune Response
GO Term: Dna Recombinase Assembly -> Biodomain: DNA Repair, Unknown, Autophagy, Oxidative Stress, Immune Response
GO Term: Dna Synthesis Involved In Dna Repair -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Immune Response
GO Term: Dna Strand Displacement -> Biodomain: DNA Repair, Unknown, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Unknown
GO Term: Phosphatidyl-N-Methylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Unknown, Oxidative Stress, Proteostasis
GO Term: Adenyl-Nucleotide Exchange Factor Activity -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Chromosome, Centromeric Region -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, DNA Repair, Apoptosis
GO Term: Kinetochore -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Condensed Chromosome, Centromeric Region -> Biodomain: Unknown, Cell Cycle, DNA Repair, Apoptosis, Proteostasis
GO Term: Chromosome, Telomeric Region -> Biodomain: Unknown, DNA Repair, Epigenetic, Autophagy, Immune Response
GO Term: Telomere Cap Complex -> Biodomain: Unknown, Structural Stabilization, DNA Repair, Apoptosis, Immune Response
GO Term: Nuclear Telomere Cap Complex -> Biodomain: Unknown, Structural Stabilization, DNA Repair, Apoptosis, Immune Response
GO Term: Chromatin -> Biodomain: Epigenetic, Unknown, Tau Homeostasis, DNA Repair, Autophagy
GO Term: Nucleosome -> Biodomain: Unknown, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Euchromatin -> Biodomain: Unknown, Epigenetic, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Heterochromatin -> Biodomain: Unknown, Epigenetic, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Condensed Chromosome -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Condensed Nuclear Chromosome -> Biodomain: Cell Cycle, Unknown, Apoptosis, DNA Repair, Immune Response
GO Term: Synaptonemal Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Tau Homeostasis
GO Term: Condensin Complex -> Biodomain: Unknown, Cell Cycle, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Lateral Element -> Biodomain: Unknown, Synapse, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Central Element -> Biodomain: Synapse, Proteostasis, Unknown, Tau Homeostasis, Apoptosis
GO Term: Transverse Filament -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Unknown, Tau Homeostasis
GO Term: Sex Chromosome -> Biodomain: Unknown, Immune Response, Apoptosis, Endolysosome, Structural Stabilization
GO Term: X Chromosome -> Biodomain: Unknown, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Y Chromosome -> Biodomain: Unknown, Immune Response, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Origin Recognition Complex -> Biodomain: Unknown, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Diacylglycerol Diphosphate Phosphatase Activity -> Biodomain: Unknown, Lipid Metabolism, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Gins Complex -> Biodomain: Unknown, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Swr1 Complex -> Biodomain: Unknown, Epigenetic, Autophagy, Proteostasis, Tau Homeostasis
GO Term: Escrt I Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Unknown, Immune Response
GO Term: Escrt Ii Complex -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Unknown
GO Term: Escrt Iii Complex -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Oxidative Stress, Unknown
GO Term: Sister Chromatid Segregation -> Biodomain: Cell Cycle, Unknown, Apoptosis, Immune Response, Structural Stabilization
GO Term: Regulation Of Glutamine Family Amino Acid Metabolic Process -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Unknown
GO Term: Regulation Of Arginine Metabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Immune Response, APP Metabolism
GO Term: Inositol Hexakisphosphate Binding -> Biodomain: Unknown, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Inositol-1,4,5-Trisphosphate 6-Kinase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, APP Metabolism, Unknown
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 3-Kinase Activity -> Biodomain: Unknown, Synapse, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 6-Kinase Activity -> Biodomain: Unknown, Synapse, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate Kinase Activity -> Biodomain: Synapse, Oxidative Stress, APP Metabolism, Proteostasis, Unknown
GO Term: Inositol Hexakisphosphate Kinase Activity -> Biodomain: Unknown, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Diphosphoinositol Pentakisphosphate Kinase Activity -> Biodomain: Unknown, APP Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Inositol Hexakisphosphate 6-Kinase Activity -> Biodomain: Unknown, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Inositol Hexakisphosphate 5-Kinase Activity -> Biodomain: Unknown, Autophagy, Oxidative Stress, APP Metabolism, Proteostasis
GO Term: Er Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Unknown, Tau Homeostasis, APP Metabolism
GO Term: Hrd1P Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Unknown, APP Metabolism
GO Term: Hrd1P Ubiquitin Ligase Erad-L Complex -> Biodomain: Proteostasis, Autophagy, Unknown, Tau Homeostasis, APP Metabolism
GO Term: Mrna Regulatory Element Binding Translation Repressor Activity -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Cell Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Cell Cycle
GO Term: Actomyosin Contractile Ring Assembly -> Biodomain: Unknown, Cytokinesis, Proteostasis, Apoptosis, Immune Response
GO Term: Actomyosin Contractile Ring Contraction -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Septin Ring Assembly -> Biodomain: Unknown, Proteostasis, Apoptosis, Cell Cycle, Synapse
GO Term: Spindle Pole -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Gamma-Tubulin Complex -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Unknown
GO Term: Gamma-Tubulin Ring Complex -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Unknown
GO Term: P-Body -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Autophagy, Immune Response
GO Term: Garp Complex -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Unknown, Oxidative Stress
GO Term: Inner Kinetochore -> Biodomain: Unknown, Cell Cycle, Apoptosis, Tau Homeostasis, Proteostasis
GO Term: Outer Kinetochore -> Biodomain: Unknown, Cell Cycle, Tau Homeostasis, Apoptosis, Structural Stabilization
GO Term: Nuclear-Transcribed Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Unknown, Autophagy, APP Metabolism
GO Term: Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism, Unknown
GO Term: Mitochondrial Mrna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Mitochondrial Rna Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism, Unknown
GO Term: Negative Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Positive Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Mitochondrial Rna Processing -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism, Unknown
GO Term: Mitochondrial Rna 5'-End Processing -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism, Unknown
GO Term: Mitochondrial Rna 3'-End Processing -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, APP Metabolism, Unknown
GO Term: Transcription-Dependent Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Unknown, Proteostasis, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Post-Transcriptional Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Unknown, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Prp19 Complex -> Biodomain: Unknown, RNA Spliceosome, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Transcription Cis-Regulatory Region Binding -> Biodomain: Unknown, Epigenetic, APP Metabolism, Proteostasis, Oxidative Stress
GO Term: Rna Polymerase Ii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Unknown, Proteostasis, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Rna Polymerase Ii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Unknown, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Rna Polymerase Ii Core Promoter Sequence-Specific Dna Binding -> Biodomain: Unknown, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Dna-Binding Transcription Factor Activity, Rna Polymerase Ii-Specific -> Biodomain: Transcription Factor Activity, APP Metabolism, Oxidative Stress, Immune Response, Unknown
GO Term: Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Unknown, Proteostasis, APP Metabolism, Epigenetic, Tau Homeostasis
GO Term: Rna Polymerase Iii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Rna Polymerase Ii Complex Binding -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Tau Homeostasis
GO Term: Rna Polymerase Iii Core Binding -> Biodomain: Unknown, Proteostasis, Apoptosis, RNA Spliceosome, Tau Homeostasis
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Activity -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Autophagy, Epigenetic
GO Term: Rna Polymerase Iii Type 1 Promoter Sequence-Specific Dna Binding -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Proteostasis, Autophagy
GO Term: Rna Polymerase Iii Type 2 Promoter Sequence-Specific Dna Binding -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Autophagy, Proteostasis
GO Term: Rna Polymerase Iii Type 3 Promoter Sequence-Specific Dna Binding -> Biodomain: Unknown, RNA Spliceosome, Epigenetic, Autophagy, Proteostasis
GO Term: Rna Polymerase Ii Sequence-Specific Dna-Binding Transcription Factor Recruiting Activity -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Rna Polymerase Iii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Mitochondrial Promoter Sequence-Specific Dna Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Binding -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Rna Polymerase I Core Binding -> Biodomain: Unknown, Proteostasis, Apoptosis, RNA Spliceosome, Endolysosome
GO Term: Core Promoter Sequence-Specific Dna Binding -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Transcription Regulatory Region Nucleic Acid Binding -> Biodomain: Unknown, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Regulatory Region Rna Binding -> Biodomain: Unknown, DNA Repair, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Rna Polymerase Ii General Transcription Initiation Factor Binding -> Biodomain: Unknown, Proteostasis, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Tfiib-Class Transcription Factor Binding -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Tfiid-Class Transcription Factor Complex Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Immune Response
GO Term: Tfiif-Class Transcription Factor Complex Binding -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Tfiih-Class Transcription Factor Complex Binding -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Basal Rna Polymerase Ii Transcription Machinery Binding -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Apoptosis, Unknown, Proteostasis, Tau Homeostasis
GO Term: Rna Polymerase Ii Promoter Clearance -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Dna-Templated Transcription Open Complex Formation -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, DNA Repair
GO Term: Protein-Dna-Rna Complex Disassembly -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, DNA Repair
GO Term: Transcription Termination Site Sequence-Specific Dna Binding -> Biodomain: Unknown, Proteostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Tfiiic-Class Transcription Factor Complex Binding -> Biodomain: Unknown, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Unknown, Proteostasis, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Rna Polymerase Ii Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, Epigenetic, RNA Spliceosome
GO Term: Rna Polymerase I Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Endolysosome
GO Term: Rna Polymerase I Core Promoter Sequence-Specific Dna Binding -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Rna Polymerase I Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Rna-Templated Transcription -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Transcriptional Start Site Selection At Rna Polymerase Ii Promoter, Unknown, Immune Response, Epigenetic, RNA Spliceosome
GO Term: Regulation Of Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Transcriptional Regulation, Unknown, Immune Response, Epigenetic, Proteostasis
GO Term: Rna Polymerase I General Transcription Initiation Factor Binding -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Rna Polymerase I General Transcription Initiation Factor Activity -> Biodomain: Unknown, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Rna Polymerase I Preinitiation Complex Assembly -> Biodomain: Unknown, Proteostasis, RNA Spliceosome, Apoptosis, Immune Response
GO Term: Maintenance Of Transcriptional Fidelity During Transcription Elongation By Rna Polymerase Ii -> Biodomain: Unknown, Proteostasis, Apoptosis, Tau Homeostasis, RNA Spliceosome
GO Term: Dna-Binding Transcription Activator Activity -> Biodomain: Transcriptional Activator Activity, Unknown, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Dna-Binding Transcription Repressor Activity -> Biodomain: Unknown, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
