Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: H2A-H2B Histone Complex Chaperone Activity -> Biodomain: Epigenetic, Unknown, Proteostasis, Synapse, DNA Repair
GO Term: Lncrna-Mediated Post-Transcriptional Gene Silencing -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Epigenetic
GO Term: 3-Sulfino-L-Alanine: Proton, Glutamate Antiporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Aspartate:Glutamate, Proton Antiporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Embryonic Axis Specification -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Unknown, Epigenetic, Synapse, Proteostasis
GO Term: Purine-Specific Mismatch Base Pair Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Unknown, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Oxidized Pyrimidine Nucleobase Lesion Dna N-Glycosylase Activity -> Biodomain: DNA Repair, Unknown, Synapse, Oxidative Stress, Proteostasis
GO Term: Meiotic Dna Double-Strand Break Processing -> Biodomain: Unknown, DNA Repair, Cell Cycle, Epigenetic, Autophagy
GO Term: Meiotic Dna Recombinase Assembly -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Meiotic Joint Molecule Formation -> Biodomain: Unknown, DNA Repair, Epigenetic, Synapse, Proteostasis
GO Term: Meiotic Mismatch Repair -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, DNA Repair
GO Term: Meiotic Dna Repair Synthesis -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis
GO Term: Resolution Of Meiotic Recombination Intermediates -> Biodomain: Unknown, Synapse, Proteostasis, DNA Repair, Oxidative Stress
GO Term: Nucleotide-Excision Repair, Dna Damage Recognition -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis
GO Term: Photoreactive Repair -> Biodomain: Unknown, DNA Repair, Oxidative Stress, Proteostasis, Synapse
GO Term: Pyrimidine Dimer Repair By Nucleotide-Excision Repair -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis
GO Term: (R,R)-Butanediol Dehydrogenase Activity -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Telomere Maintenance Via Recombination -> Biodomain: Unknown, Proteostasis, Apoptosis, Synapse, DNA Repair
GO Term: Telomere Maintenance -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Synapse
GO Term: Recombinational Repair -> Biodomain: DNA Repair, Unknown, Epigenetic, Proteostasis, Synapse
GO Term: Double-Strand Break Repair Via Break-Induced Replication -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Synapse
GO Term: Dna Double-Strand Break Processing -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis
GO Term: Dna Recombinase Assembly -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis
GO Term: Dna Synthesis Involved In Dna Repair -> Biodomain: DNA Repair, Unknown, Epigenetic, Autophagy, Proteostasis
GO Term: Dna Strand Displacement -> Biodomain: DNA Repair, Unknown, Epigenetic, RNA Spliceosome, Proteostasis
GO Term: Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Phosphatidyl-N-Methylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Adenyl-Nucleotide Exchange Factor Activity -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Chromosome, Centromeric Region -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, DNA Repair
GO Term: Kinetochore -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Condensed Chromosome, Centromeric Region -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Chromosome, Telomeric Region -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, DNA Repair
GO Term: Telomere Cap Complex -> Biodomain: Structural Stabilization, Unknown, DNA Repair, Synapse, Proteostasis
GO Term: Nuclear Telomere Cap Complex -> Biodomain: Unknown, Structural Stabilization, DNA Repair, Synapse, Proteostasis
GO Term: Chromatin -> Biodomain: Epigenetic, Unknown, RNA Spliceosome, Proteostasis, Synapse
GO Term: Nucleosome -> Biodomain: Unknown, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Euchromatin -> Biodomain: Epigenetic, Synapse, RNA Spliceosome, Proteostasis, Unknown
GO Term: Heterochromatin -> Biodomain: Synapse, Proteostasis, Unknown, Epigenetic, DNA Repair
GO Term: Condensed Chromosome -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Condensed Nuclear Chromosome -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, DNA Repair
GO Term: Synaptonemal Complex -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Condensin Complex -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, DNA Repair
GO Term: Lateral Element -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Central Element -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Transverse Filament -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Unknown, Oxidative Stress
GO Term: Sex Chromosome -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: X Chromosome -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Y Chromosome -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Origin Recognition Complex -> Biodomain: Unknown, Synapse, Proteostasis, DNA Repair, Autophagy
GO Term: Diacylglycerol Diphosphate Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Gins Complex -> Biodomain: Unknown, DNA Repair, Epigenetic, Autophagy, Synapse
GO Term: Swr1 Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Escrt I Complex -> Biodomain: Endolysosome, Autophagy, Synapse, Unknown, Proteostasis
GO Term: Escrt Ii Complex -> Biodomain: Endolysosome, Synapse, Proteostasis, Apoptosis, Unknown
GO Term: Escrt Iii Complex -> Biodomain: Endolysosome, Synapse, Proteostasis, Apoptosis, Unknown
GO Term: Sister Chromatid Segregation -> Biodomain: Cell Cycle, Unknown, Apoptosis, Proteostasis, Synapse
GO Term: Regulation Of Glutamine Family Amino Acid Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Regulation Of Arginine Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Inositol Hexakisphosphate Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Inositol-1,4,5-Trisphosphate 6-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Inositol-1,4,5,6-Tetrakisphosphate 3-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 6-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Inositol-1,3,4,5,6-Pentakisphosphate Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Inositol Hexakisphosphate Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Diphosphoinositol Pentakisphosphate Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Inositol Hexakisphosphate 6-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Inositol Hexakisphosphate 5-Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Er Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Synapse, Unknown, Apoptosis, RNA Spliceosome
GO Term: Hrd1P Ubiquitin Ligase Complex -> Biodomain: Proteostasis, Synapse, Apoptosis, Unknown, Oxidative Stress
GO Term: Hrd1P Ubiquitin Ligase Erad-L Complex -> Biodomain: Proteostasis, Synapse, Apoptosis, Unknown, Oxidative Stress
GO Term: Mrna Regulatory Element Binding Translation Repressor Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Cell Morphogenesis -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, RNA Spliceosome
GO Term: Actomyosin Contractile Ring Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Actomyosin Contractile Ring Contraction -> Biodomain: Cell Cycle, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: Septin Ring Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Spindle Pole -> Biodomain: Unknown, Cell Cycle, Proteostasis, Apoptosis, Synapse
GO Term: Gamma-Tubulin Complex -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Structural Stabilization
GO Term: Gamma-Tubulin Ring Complex -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Tau Homeostasis
GO Term: P-Body -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Garp Complex -> Biodomain: Endolysosome, Synapse, Proteostasis, Apoptosis, Unknown
GO Term: Inner Kinetochore -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Outer Kinetochore -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Nuclear-Transcribed Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Mitochondrial Rna Catabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Mitochondrial Mrna Catabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Mitochondrial Rna Metabolic Process -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Negative Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Positive Regulation Of Mitochondrial Rna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Mitochondrial Rna Processing -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Mitochondrial Rna 5'-End Processing -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Mitochondrial Rna 3'-End Processing -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Transcription-Dependent Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Post-Transcriptional Tethering Of Rna Polymerase Ii Gene Dna At Nuclear Periphery -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Epigenetic
GO Term: Prp19 Complex -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Transcription Cis-Regulatory Region Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Rna Polymerase Ii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Rna Polymerase Ii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Unknown
GO Term: Rna Polymerase Ii Core Promoter Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, Unknown, Epigenetic, Proteostasis, Synapse
GO Term: Dna-Binding Transcription Factor Activity, Rna Polymerase Ii-Specific -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, RNA Spliceosome, Epigenetic, Proteostasis, Unknown
GO Term: Rna Polymerase Iii Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Epigenetic
GO Term: Rna Polymerase Ii Complex Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Rna Polymerase Iii Core Binding -> Biodomain: RNA Spliceosome, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Rna Polymerase Iii Type 1 Promoter Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Rna Polymerase Iii Type 2 Promoter Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Rna Polymerase Iii Type 3 Promoter Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, Unknown, Synapse, Proteostasis, Epigenetic
GO Term: Rna Polymerase Ii Sequence-Specific Dna-Binding Transcription Factor Recruiting Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Rna Polymerase Iii Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Epigenetic
GO Term: Mitochondrial Promoter Sequence-Specific Dna Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Rna Polymerase Iii General Transcription Initiation Factor Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Rna Polymerase I Core Binding -> Biodomain: RNA Spliceosome, Unknown, Synapse, Proteostasis, Epigenetic
GO Term: Core Promoter Sequence-Specific Dna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Transcription Regulatory Region Nucleic Acid Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Unknown, Synapse
GO Term: Regulatory Region Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Unknown, Proteostasis, Synapse
GO Term: Rna Polymerase Ii General Transcription Initiation Factor Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Epigenetic
GO Term: Tfiib-Class Transcription Factor Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Epigenetic
GO Term: Tfiid-Class Transcription Factor Complex Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Tfiif-Class Transcription Factor Complex Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Tfiih-Class Transcription Factor Complex Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Unknown
GO Term: Basal Rna Polymerase Ii Transcription Machinery Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Negative Regulation Of Exit From Mitosis -> Biodomain: Cell Cycle, Apoptosis, Unknown, Proteostasis, Synapse
GO Term: Rna Polymerase Ii Promoter Clearance -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Epigenetic
GO Term: Dna-Templated Transcription Open Complex Formation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Synapse, Unknown
GO Term: Protein-Dna-Rna Complex Disassembly -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Unknown, Epigenetic
GO Term: Transcription Termination Site Sequence-Specific Dna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Epigenetic
GO Term: Tfiiic-Class Transcription Factor Complex Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Rna Polymerase Ii Intronic Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Unknown
GO Term: Rna Polymerase I Transcription Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Epigenetic
GO Term: Rna Polymerase I Core Promoter Sequence-Specific Dna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Epigenetic
GO Term: Rna Polymerase I Cis-Regulatory Region Sequence-Specific Dna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Epigenetic
GO Term: Rna-Templated Transcription -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Unknown, Epigenetic
GO Term: Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Regulation Of Transcriptional Start Site Selection At Rna Polymerase Ii Promoter -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Rna Polymerase I General Transcription Initiation Factor Binding -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Synapse, Epigenetic
GO Term: Rna Polymerase I General Transcription Initiation Factor Activity -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Synapse, Oxidative Stress
GO Term: Rna Polymerase I Preinitiation Complex Assembly -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Epigenetic
GO Term: Maintenance Of Transcriptional Fidelity During Transcription Elongation By Rna Polymerase Ii -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Epigenetic
GO Term: Dna-Binding Transcription Activator Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Dna-Binding Transcription Repressor Activity -> Biodomain: Synapse, RNA Spliceosome, Epigenetic, Proteostasis, Unknown
GO Term: Transcription Coregulator Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Transcription Corepressor Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Transcription Coactivator Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Dna-Binding Transcription Repressor Activity, Rna Polymerase Ii-Specific -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Dna-Binding Transcription Activator Activity, Rna Polymerase Ii-Specific -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Unknown
GO Term: Sam Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Pam Complex, Tim23 Associated Import Motor -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Guanine Nucleotide Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Skeletal System Development -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cartilage Condensation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Ossification -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Neurotransmitter Uptake -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
