Running with TEMP=0.5, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Molecular Carrier Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Interleukin-10-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Histone H3K4Me1 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Extracellular Vesicle Biogenesis -> Biodomain: Endolysosome, Apoptosis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Export Across Plasma Membrane -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Proteostasis, Vasculature
GO Term: Histone H4K20Me1 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Histone H3K23Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3K27Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Lewy Body Formation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Synapse, Apoptosis
GO Term: Histone H1 Reader Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Positive Regulation Of Lymphocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Iron-Sulfur Cluster Chaperone Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Structural Stabilization
GO Term: Mechanosensitive Monoatomic Cation Channel Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Synapse, Proteostasis
GO Term: Mitochondrial Potassium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Ammonium Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Monocarboxylate:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: 3-Alpha-Hydroxysteroid 3-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dipeptide Import Across Plasma Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Tripeptide Import Across Plasma Membrane -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Apoptotic Process In Response To Mitochondrial Fragmentation -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Folic Acid:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Epigenetic, Cell Cycle
GO Term: Regulation Of Long-Chain Fatty Acid Import Into Cell -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Positive Regulation Of Long-Chain Fatty Acid Import Into Cell -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Dna Topoisomerase Iii-Beta-Tdrd3 Complex -> Biodomain: DNA Repair, RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle
GO Term: Rna Topoisomerase Activity -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: Serotonin-Gated Cation-Selective Signaling Pathway -> Biodomain: Synapse, Epigenetic, Tau Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: Anterograde Axonal Transport Of Neurotransmitter Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Intracellular Camp-Activated Cation Channel Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Translation At Presynapse -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Presynaptic Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Perforant Pathway To Dendrate Granule Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Translation At Postsynapse -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Translation At Postsynapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Protein Catabolic Process At Postsynapse -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Protein Catabolic Process At Presynapse -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Tau Homeostasis
GO Term: Regulation Protein Catabolic Process At Postsynapse -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Cell-Cell Fusion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Mitochondrial Proton-Transporting Atp Synthase Complex Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Bcor Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Mrna Cap Binding Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Endoplasmic Reticulum-Plasma Membrane Contact Site -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Exogenous Protein Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Repair Of Mitotic Kinetochore Microtubule Attachment Defect -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Mib Complex -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Endoplasmic Reticulum-Endosome Membrane Contact Site -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Endosome Fission -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Gbaf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Peptidyl-Serine Adp-Deribosylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Oxidative Stress
GO Term: Peptidyl-Glutamate Adp-Deribosylation -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Adp-Ribosylserine Hydrolase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Adp-Ribosylglutamate Hydrolase Activity -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Apoptosis, Cell Cycle
GO Term: Nad Dna Adp-Ribosyltransferase Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Dna-Binding Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Endocytic Iron Import Into Cell -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Molecular Sensor Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Serine Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein Sequestering Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Synapse, Structural Stabilization
GO Term: Cargo Adaptor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Molecular Sequestering Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Calcium Ion Sequestering Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Iron Ion Sequestering Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Protein Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Receptor Decoy Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Atpase-Coupled Intramembrane Lipid Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Flippase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Apoptosis, Myelination, Endolysosome
GO Term: Floppase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Lysophospholipid Translocation -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Aminophospholipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Apoptosis
GO Term: Glycerophospholipid Flippase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Diacylglyceride Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Sphingomyelin Transfer Activity -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Synapse, Structural Stabilization
GO Term: Phosphatidylglycerol Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Cerebroside Transfer Activity -> Biodomain: Lipid Metabolism, Myelination, Synapse, Endolysosome, Structural Stabilization
GO Term: Phosphatidylserine Transfer Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Triglyceride Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Phosphatidylcholine Flippase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Phosphatidylserine Flippase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Apoptosis, Endolysosome, Autophagy
GO Term: N-Retinylidene-Phosphatidylethanolamine Flippase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Lysophosphatidylcholine Flippase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Glycosylceramide Flippase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Myelination, Structural Stabilization, Mitochondrial Metabolism
GO Term: Lipid Export From Cell -> Biodomain: Lipid Metabolism, Vasculature, Myelination, Structural Stabilization, Synapse
GO Term: Lipid Import Into Cell -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Cargo Receptor Ligand Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Heme Export From Vacuole To Cytoplasm -> Biodomain: Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: P-Type Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Abc-Type Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: Cyclic-Gmp-Amp Transmembrane Transporter Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Cyclic-Gmp-Amp Transmembrane Import Across Plasma Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antibacterial Innate Immune Response -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Antiviral Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Immune Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Monoatomic Cation:Bicarbonate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Lipid Metabolism
GO Term: Zinc:Bicarbonate Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Transcription Regulator Inhibitor Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, Apoptosis
GO Term: Dna-(Abasic Site) Binding -> Biodomain: DNA Repair, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle
GO Term: Protein-Cysteine S-Stearoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Cytoskeleton-Nuclear Membrane Anchor Activity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Chromosome, Telomeric Repeat Region -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Cytokine Precursor Processing -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Signaling Receptor Ligand Precursor Processing -> Biodomain: Proteostasis, APP Metabolism, Synapse, Autophagy, Immune Response
GO Term: Protein Targeting To Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Protein Aggregate Center Assembly -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Cytoplasm Protein Quality Control -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Protein Demethylase Activity -> Biodomain: Epigenetic, Proteostasis, Apoptosis, Cell Cycle, DNA Repair
GO Term: Response To Gram-Positive Bacterium -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Apoptosis
GO Term: Pericentric Heterochromatin Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Chromatin-Protein Adaptor Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Iron-Sulfur Cluster Export From The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Integrated Stress Response Signaling -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Epigenetic, Apoptosis
GO Term: Hri-Mediated Signaling -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Gcn2-Mediated Signaling -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Abc-Type Iron-Sulfur Cluster Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Kinetochore Adaptor Activity -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Apoptosis
GO Term: 5-Aminolevulinic Acid Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: 5-Aminolevulinic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Zinc Ion Sequestering Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Metal Ion Sequestering Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Microtubule Nucleator Activity -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Metal-Dependent Deubiquitinase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Very Long-Chain Fatty Acid Beta-Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Migrasome -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Negative Regulation Of Mitotic Spindle Assembly Checkpoint Signaling -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Regulation Of Reticulophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Reticulophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum-Autophagosome Adaptor Activity -> Biodomain: Autophagy, Proteostasis, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Granzyme-Mediated Programmed Cell Death Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Cell Cycle
GO Term: Protein-Rna Adaptor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Synapse
GO Term: Gtpase-Dependent Fusogenic Activity -> Biodomain: Proteostasis, Synapse, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Intracellular Protein-Containing Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, DNA Repair, RNA Spliceosome
GO Term: Transcription Regulator Activator Activity -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Pirna Transcription -> Biodomain: Epigenetic, Immune Response, DNA Repair, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Pirna Transcription -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Atp-Dependent Protein Disaggregase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Defense Response To Symbiont -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Tead-Yap Complex -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism
GO Term: Xylosyl Alpha-1,3-Xylosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, APP Metabolism, Immune Response, Vasculature
GO Term: Egf-Domain Serine Glucosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, APP Metabolism, Synapse
GO Term: Egf-Domain Serine Xylosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Udp-D-Xylose:Beta-D-Glucoside Alpha-1,3-D-Xylosyltransferase Activity -> Biodomain: Glycosylation, Cell Adhesion, Structural Stabilization, Signal Transduction, Carbohydrate Metabolism
GO Term: Histone Reader Activity -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Autophagy, Proteostasis
GO Term: Membrane Protein Dislocase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Extraction Of Mislocalized Protein From Er Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Extraction Of Mislocalized Protein From Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Transmembrane Ascorbate Ferrireductase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Transmembrane Monodehydroascorbate Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Ascorbate Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Mitochondrion Autophagosome Adaptor Activity -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: P-Type Monovalent Copper Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Adenylate Cyclase-Activating G Protein-Coupled Camp Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Promoter-Enhancer Loop Anchoring Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Chromatin Loop Anchoring Activity -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Chromatin Looping -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Nuclear Envelope Budding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Vesicle Trafficking, Structural Stabilization
GO Term: Histone H3R8 Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Proteostasis, Metal Binding and Homeostasis
GO Term: Tom Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Protein Carrier Chaperone -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome, Structural Stabilization
GO Term: Cysteine-Type Endopeptidase Activator Activity -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Rna Sequestering Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Dna Damage Sensor Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: P-Type Manganese Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Iodotyrosine Deiodinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Opioid Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Epigenetic
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The C-End Degron Rule Pathway -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: Canonical Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Card8 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Card8 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Pyroptotic Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Catalytic Activity, Acting On A Nucleic Acid -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis, Apoptosis
GO Term: Negative Regulation Of Pre-B Cell Receptor Expression -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: P450-Containing Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Radial Glia-Guided Pyramidal Neuron Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Futile Creatine Cycle -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Atp-Dependent Chromatin Remodeler Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Cytoskeletal Motor Activator Activity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Atp-Dependent Protein Folding Chaperone -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Atp-Dependent Fes Chaperone Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Atp-Dependent Dna Damage Sensor Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Oxytocin Production -> Biodomain: Synapse, Vasculature, Epigenetic, Proteostasis, Immune Response
GO Term: Cohesin Unloader Activity -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Atac Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Autophagy
GO Term: Transcription Elongation-Coupled Chromatin Remodeling -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Atp-Dependent Histone Chaperone Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Molecular Function Activator Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Epigenetic, Immune Response
GO Term: Molecular Function Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Immune Response
GO Term: Histone H3K36Me/H3K36Me2 Demethylase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, DNA Repair, Cell Cycle
GO Term: Histone H3K36Me2/H3K36Me3 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair, Cell Cycle
GO Term: Fad-Dependent H3K4Me/H3K4Me3 Demethylase Activity -> Biodomain: Epigenetic, Oxidative Stress, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Histone H3K9Me/H3K9Me2 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, Proteostasis, Oxidative Stress
GO Term: Histone H3K9Me2/H3K9Me3 Demethylase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Rna Folding Chaperone -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
