Running with TEMP=0.1, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Ip-10 Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Granzyme B Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Catenin-Tcf7L2 Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Gamma-Catenin-Tcf7L2 Complex -> Biodomain: Signaling, Transcription, Cell Adhesion, Developmental Biology, Cell Cycle
GO Term: Dna/Rna Hybrid Binding -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Smooth Muscle Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Smooth Muscle Cell Chemotaxis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Autophagy
GO Term: Positive Regulation Of Smooth Muscle Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Regulation Of Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Olfactory Bulb Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Lipid Metabolism
GO Term: Commissural Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Response To Indole-3-Methanol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Indole-3-Methanol -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Endocytic Vesicle Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Cardiac Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein Localization To Extracellular Region -> Biodomain: Proteostasis, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Protein Transport Within Extracellular Region -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Endolysosome
GO Term: Immunoglobulin Heavy Chain V-D-J Recombination -> Biodomain: Immune Response, DNA Repair, Cell Cycle, Epigenetic, Apoptosis
GO Term: Membrane Assembly -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Basement Membrane Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Immune Response
GO Term: Para-Aminobenzoyl-Glutamate Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Icosanoid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Leukotriene Transport -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Endolysosome, Oxidative Stress
GO Term: Detoxification Of Arsenic-Containing Substance -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Lipopeptide Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Cellular Response To Diacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Inflammation, Toll-like Receptor Pathway, Cytokine Signaling, Infection Response
GO Term: Cellular Response To Triacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Nitric Oxide -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Cellular Response To Nitric Oxide -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Igg Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Apoptosis
GO Term: Igd Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Vasculature, Endolysosome
GO Term: Ige Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Ige B Cell Receptor Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Iga Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Vasculature, Endolysosome
GO Term: Monomeric Iga Immunoglobulin Complex -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Vasculature, Endolysosome
GO Term: Dimeric Iga Immunoglobulin Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Apoptosis
GO Term: Secretory Iga Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Structural Stabilization, Vasculature
GO Term: Secretory Dimeric Iga Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Structural Stabilization
GO Term: Igm Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Apoptosis
GO Term: Igm B Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Synapse, Endolysosome
GO Term: Pentameric Igm Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Structural Stabilization
GO Term: Hexameric Igm Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Nuclear Membrane Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, DNA Repair, Lipid Metabolism
GO Term: Nuclear Inner Membrane Organization -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Lipid Metabolism, Proteostasis
GO Term: Cellular Response To Bmp Stimulus -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Response To Fibroblast Growth Factor -> Biodomain: Vasculature, Cell Cycle, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Endoplasmic Reticulum Tubular Network -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Endoplasmic Reticulum Tubular Network Organization -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Endoplasmic Reticulum Tubular Network Formation -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Endoplasmic Reticulum Tubular Network Maintenance -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Chemokine (C-C Motif) Ligand 5 Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: K11-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: K6-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Lubac Complex -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Immune Response, Apoptosis, Autophagy
GO Term: Cellular Response To Prostaglandin D Stimulus -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Podosome Assembly -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Endolysosome
GO Term: Regulation Of Podosome Assembly -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Podosome Assembly -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Cell Cycle
GO Term: Potassium Ion Transmembrane Transport -> Biodomain: Synapse, Metal Binding and Homeostasis, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Protein Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Fever Generation By Positive Regulation Of Prostaglandin Secretion -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Structural Stabilization, Myelination
GO Term: Tail-Anchored Membrane Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Mmxd Complex -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Bat3 Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Dubm Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: N-Box Binding -> Biodomain: Synapse, Epigenetic, DNA Repair, Structural Stabilization, Tau Homeostasis
GO Term: Fancm-Mhf Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Triglyceride-Rich Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Intermediate-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Hmg Box Domain Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Structural Stabilization, Lipid Metabolism
GO Term: Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Actin Filament Debranching -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Neuropeptide Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Vasculature
GO Term: Response To Catecholamine -> Biodomain: Oxidative Stress, Vasculature, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Cellular Response To Catecholamine Stimulus -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Response To Epinephrine -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Synapse, Epigenetic
GO Term: Cellular Response To Epinephrine Stimulus -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Response To Norepinephrine -> Biodomain: Vasculature, Synapse, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cellular Response To Norepinephrine Stimulus -> Biodomain: Synapse, Oxidative Stress, Vasculature, Immune Response, Proteostasis
GO Term: Adrenergic Receptor Signaling Pathway -> Biodomain: Signal Transduction, GPCR Signaling, Vasculature, Cardiovascular System, Synapse
GO Term: Regulation Of Adenylate Cyclase-Inhibiting Adrenergic Receptor Signaling Pathway -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Immune Response, Mitochondrial Metabolism
GO Term: Negative Regulation Of Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Adenylate Cyclase-Inhibiting Adrenergic Receptor Signaling Pathway -> Biodomain: Signaling, GPCR Pathways, Neurotransmitter Signaling and Metabolism, cAMP Signaling, Receptor Signaling
GO Term: Phospholipase C-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Synapse, Vasculature, Oxidative Stress, Epigenetic
GO Term: N-Terminal Protein N-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: 1-(4-Iodo-2,5-Dimethoxyphenyl)Propan-2-Amine Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Leukocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Macrophage Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: 14-3-3 Protein Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Synapse
GO Term: Bicarbonate Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Odontoblast Differentiation -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Protein Localization To Adherens Junction -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Endolysosome
GO Term: Dna Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Autophagy
GO Term: Negative Regulation Of Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Determination Of Digestive Tract Left/Right Asymmetry -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Determination Of Intestine Left/Right Asymmetry -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Determination Of Stomach Left/Right Asymmetry -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Endolysosome, Proteostasis
GO Term: Determination Of Liver Left/Right Asymmetry -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Lipid Metabolism
GO Term: Synchronous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Structural Stabilization
GO Term: Citrate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Prominosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Dipeptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Urea Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Vasculature, Endolysosome, Autophagy
GO Term: G-Quadruplex Dna Formation -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Cleavage Body -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Endocannabinoid Signaling Pathway -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Oxidative Stress, Vasculature
GO Term: Alpha-Tubulin Acetylation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Replication Fork Reversal -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Arp2/3 Complex Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Thiamine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Vitamin A Import Into Cell -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Epigenetic, Immune Response
GO Term: Nitrogen Cycle Metabolic Process -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Vasculature
GO Term: Xpc Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Myc-Max Complex -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis
GO Term: Cell Periphery -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse, Oxidative Stress
GO Term: Protein Deubiquitination Involved In Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Fad Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Conversion Of Methionyl-Trna To N-Formyl-Methionyl-Trna -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Elastic Fiber -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Autophagy
GO Term: Recycling Endosome To Golgi Transport -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Lipid Metabolism, Autophagy
GO Term: Mitotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Establishment Or Maintenance Of Cell Polarity Regulating Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Multicellular Organismal Locomotion -> Biodomain: Structural Stabilization, Myelination, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Extracellular Exosome Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Cell Gliding -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Ragulator Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Wd40-Repeat Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Epigenetic
GO Term: Renal System Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Kidney Rudiment Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Nephron Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Glomerular Epithelium Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Proteostasis, Cell Cycle
GO Term: Glomerular Endothelium Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Glomerulus Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Proximal Tubule Development -> Biodomain: Vasculature, Endolysosome, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Podocyte Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Glomerular Parietal Epithelial Cell Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Distal Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Nephron Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Renal Vesicle Formation -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Renal Vesicle Induction -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Mesenchymal Stem Cell Maintenance Involved In Nephron Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Cell Cycle, Endolysosome
GO Term: Collecting Duct Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Establishment Of Planar Polarity Involved In Nephron Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Proximal/Distal Pattern Formation Involved In Nephron Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, DNA Repair
GO Term: Comma-Shaped Body Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: S-Shaped Body Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Proteostasis
GO Term: Juxtaglomerular Apparatus Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Renal Inner Medulla Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Renal Outer Medulla Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism
GO Term: Outer Medullary Collecting Duct Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Inner Medullary Collecting Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Loop Of Henle Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Kidney Epithelium Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Metanephric Mesenchyme Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Nephrogenic Mesenchyme Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Renal Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Nephron Tubule Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Vasculature, Mitochondrial Metabolism
GO Term: Nephron Tubule Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Proteostasis, Cell Cycle
GO Term: Nephron Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: Specification Of Loop Of Henle Identity -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Stem Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, RNA Spliceosome
GO Term: Regulation Of Stem Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Ureteric Bud Invasion -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Autophagy
GO Term: Regulation Of Branch Elongation Involved In Ureteric Bud Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Epigenetic
GO Term: Glomerulus Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Glomerular Capillary Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Autophagy
GO Term: Ureteric Peristalsis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Ureteric Bud Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Immune Response
GO Term: Glomerular Mesangial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cell Proliferation Involved In Kidney Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Immune Response, Endolysosome
GO Term: Podocyte Differentiation -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Regulation Of Glomerular Mesangial Cell Proliferation -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Cell Cycle
GO Term: Negative Regulation Of Glomerular Mesangial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Positive Regulation Of Glomerular Mesangial Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Vasculature, Epigenetic, Structural Stabilization
GO Term: Metanephric Mesenchyme Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Nephrogenic Mesenchyme Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Metanephric Mesenchymal Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Immune Response, Endolysosome
GO Term: Condensed Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Mesenchymal Cell Proliferation Involved In Ureteric Bud Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Autophagy
GO Term: Glomerular Parietal Epithelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Renal Interstitial Fibroblast Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Mesangial Cell Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Epigenetic
GO Term: Glomerular Mesangial Cell Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Epithelial Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Distal Tubule Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Endolysosome, Proteostasis
