Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Proton-Translocating Nad(P)+ Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nadph Dehydrogenase (Quinone) Activity -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: S-Adenosylmethionine-Dependent Methyltransferase Activity -> Biodomain: Epigenetic, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Udp-N-Acetylglucosamine 2-Epimerase Activity -> Biodomain: Lipid Metabolism, Immune Response, APP Metabolism, Synapse, Endolysosome
GO Term: Udp-Sugar Diphosphatase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Acetate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Unknown
GO Term: N-Acylneuraminate Cytidylyltransferase Activity -> Biodomain: Glycoconjugate Metabolism, Glycoprotein Metabolism, Sialic Acid Metabolism, Glycolipid Metabolism, Cellular Metabolism
GO Term: Agmatinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Arginine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Arsenate Reductase (Glutaredoxin) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Beta-Aspartyl-Peptidase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Beta-Lactamase Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Betaine-Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Symmetrical) Activity -> Biodomain: Oxidative Stress, Cell Cycle, Immune Response, Mitochondrial Metabolism, Apoptosis
GO Term: Chloramphenicol O-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Choline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Corrinoid Adenosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: Crossover Junction Dna Endonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization, Apoptosis
GO Term: Cupric Reductase (Nadh) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Datp Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Oxidative Stress, Lipid Metabolism
GO Term: Dctp Deaminase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Dgtpase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Endochitinase Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Exoribonuclease Ii Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Unknown
GO Term: Fructokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Unknown, Oxidative Stress, Proteostasis
GO Term: Glucose-1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Glutamate Racemase Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Immune Response, Proteostasis, Oxidative Stress
GO Term: Glycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Unknown, Oxidative Stress
GO Term: Glycerophosphodiester Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycine C-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Guanine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Guanosine-3',5'-Bis(Diphosphate) 3'-Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle, Unknown
GO Term: Guanosine-5'-Triphosphate,3'-Diphosphate Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, RNA Spliceosome, Lipid Metabolism
GO Term: Holo-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: P-Type Potassium:Proton Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Hydroxypyruvate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Methylglyoxal Synthase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Inositol Monophosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Nitrate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Nitric Oxide Dioxygenase Nad(P)H Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Vasculature, Metal Binding and Homeostasis
GO Term: Oxaloacetate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Peptidoglycan Glycosyltransferase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Proteostasis, Unknown
GO Term: Phenylacetaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, APP Metabolism, Lipid Metabolism, Proteostasis
GO Term: Phosphatidylglycerophosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Phosphoglycolate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Phospholipase A1 Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Phosphopentomutase Activity -> Biodomain: Oxidative Stress, Cell Cycle, DNA Repair, Lipid Metabolism, Unknown
GO Term: Protein-Glutamate O-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Unknown, Structural Stabilization
GO Term: Rrna (Adenine-N6-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Unknown, Mitochondrial Metabolism
GO Term: Ribonuclease E Activity -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Unknown
GO Term: Protein-N-Terminal-Alanine Acetyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Selenocysteine Lyase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Site-Specific Dna-Methyltransferase (Adenine-Specific) Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Unknown
GO Term: Dna-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Succinate-Semialdehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Thymidine Phosphorylase Activity -> Biodomain: DNA Repair, Cell Cycle, Vasculature, Oxidative Stress, Apoptosis
GO Term: Type Ii Site-Specific Deoxyribonuclease Activity -> Biodomain: Immune Response, DNA Repair, Apoptosis, Proteostasis, Endolysosome
GO Term: Dosage Compensation By Inactivation Of X Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Unknown, Structural Stabilization
GO Term: Pentose-Phosphate Shunt, Oxidative Branch -> Biodomain: Oxidative Stress, Lipid Metabolism, DNA Repair, Cell Cycle, Proteostasis
GO Term: Pentose-Phosphate Shunt, Non-Oxidative Branch -> Biodomain: Lipid Metabolism, Cell Cycle, DNA Repair, Mitochondrial Metabolism, Oxidative Stress
GO Term: Electron Transfer Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Macromolecule Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair, Lipid Metabolism
GO Term: Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Amino Acid Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Glutamine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Aspartate Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Serine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Serine Family Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Aromatic Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress
GO Term: Aromatic Amino Acid Family Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Branched-Chain Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolism, Lipid Metabolism, Proteostasis
GO Term: Branched-Chain Amino Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Unknown
GO Term: Branched-Chain Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methionine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: L-Methionine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glycoprotein Metabolic Process -> Biodomain: Glycosylation, Proteostasis, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Glycoprotein Biosynthetic Process -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Vasculature, Endolysosome
GO Term: Lipopolysaccharide Catabolic Process -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Lipoate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Purine Nucleobase Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Epigenetic, Unknown
GO Term: Hypoxanthine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Xanthine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Nucleoside Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Nucleotide Metabolic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Immune Response, Mitochondrial Metabolism
GO Term: Nucleoside Monophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Nucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, DNA Repair
GO Term: Purine Nucleoside Monophosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Nucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Nucleoside Triphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Nucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Purine Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Purine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Metal Binding and Homeostasis, DNA Repair
GO Term: Purine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Mitochondrial Metabolism
GO Term: Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: Deoxyribonucleoside Monophosphate Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Apoptosis, DNA Repair, Endolysosome
GO Term: Purine Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Pyrimidine Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Purine Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Ribonucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, RNA Spliceosome
GO Term: Ribonucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, RNA Spliceosome, DNA Repair
GO Term: Cyclic Nucleotide Biosynthetic Process -> Biodomain: Synapse, Immune Response, Oxidative Stress, Cell Cycle, Mitochondrial Metabolism
GO Term: Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Unknown, Autophagy, Endolysosome
GO Term: Deoxyribonucleoside Triphosphate Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Cyclic Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Purine Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Unknown, DNA Repair, Metal Binding and Homeostasis, Autophagy
GO Term: Pyrimidine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Pyrimidine Deoxyribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Epigenetic
GO Term: Pyrimidine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Pyrimidine Deoxyribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Apoptosis, DNA Repair, Unknown
GO Term: Cmp Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Nucleotide-Sugar Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Nucleotide-Sugar Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Myelination, Immune Response
GO Term: Thiamine Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Riboflavin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Menaquinone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Menaquinone Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Isopentenyl Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Protein Lipoylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Peptidoglycan Catabolic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Apoptosis
GO Term: 10-Formyltetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: 10-Formyltetrahydrofolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Ribonucleotide Metabolic Process -> Biodomain: RNA Spliceosome, Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic
GO Term: Deoxyribonucleotide Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: 2'-Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Response To Temperature Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Starvation -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Response To Ph -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Gdp-Mannose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Mrna Transcription -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Snrna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Unknown
GO Term: Rrna Transcription -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair
GO Term: Trna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Protein Secretion -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Synapse
GO Term: Amine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Synapse, Immune Response
GO Term: Amine Biosynthetic Process -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Oligosaccharide Metabolic Process -> Biodomain: Glycosylation, Metabolism, Post-translational Modification, Endolysosome, Proteostasis
GO Term: Oligosaccharide Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Oligosaccharide Catabolic Process -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Unknown
GO Term: Response To Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Phenylalanine-Trna Ligase Complex -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Unknown
GO Term: Dna Polymerase Iii Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Succinate-Coa Ligase Complex (Adp-Forming) -> Biodomain: Mitochondrial Metabolism, Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Endopeptidase Clp Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Biotin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Unknown
GO Term: Four-Way Junction Helicase Activity -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle
GO Term: Rrna (Cytosine-C5-)-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Structural Stabilization, Unknown
GO Term: N-Acylmannosamine Kinase Activity -> Biodomain: Glycobiology, Carbohydrate Metabolism, Metabolic Processes, Cell Metabolism, General Metabolism
GO Term: Translational Attenuation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Folic Acid-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Fmn Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Toxin Biosynthetic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Toxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Toxin Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Oxidative Stress
GO Term: Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Cold -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Xenobiotic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Epigenetic
GO Term: Response To Uv -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Response To Water Deprivation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Response To Water -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Response To Light Stimulus -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Nad+ Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glyoxylate Catabolic Process -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Carnitine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Methylglyoxal Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Cyanate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Glycolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Pyridoxal 5'-Phosphate Salvage -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Putrescine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Autophagy
