Running with TEMP=0.1, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Sialic Acid:Proton Symporter Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Propionate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Efflux Transmembrane Transporter Activity -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Abc-Type Putrescine Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Organophosphate Ester Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Spermidine Transmembrane Transporter Activity -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Abc-Type Fatty-Acyl-Coa Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Dna Translocase Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Actin Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Microtubule Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Autophagy
GO Term: Tubulin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Short-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Toxic Substance Binding -> Biodomain: Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Fatty Acid Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Peptidoglycan Transmembrane Transporter Activity -> Biodomain: Immune Response, Endolysosome, Structural Stabilization, Autophagy, Proteostasis
GO Term: Lactate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Quaternary Ammonium Group Transmembrane Transporter Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Alanine:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Branched-Chain Amino Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Branched-Chain Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: P-Type Ion Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Carbon Dioxide Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Oxygen Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Nickel Cation Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Vanadium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Copper Ion Import -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Plasma Membrane Copper Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Molybdate Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Lead Ion Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis, Cellular Response
GO Term: Magnesium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Mercury Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Organic Cation Transport -> Biodomain: Synapse, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Quaternary Ammonium Group Transport -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Endolysosome, Autophagy
GO Term: Inorganic Anion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Bicarbonate Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Endolysosome, Immune Response
GO Term: Iodide Transport -> Biodomain: Metal Binding and Homeostasis, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Nitrate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Vasculature
GO Term: Nitrite Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Thiosulfate Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Endolysosome
GO Term: Organic Anion Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Monocarboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Bile Acid And Bile Salt Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Canalicular Bile Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Bilirubin Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Formate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lactate Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Immune Response, Lipid Metabolism
GO Term: Mevalonate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Oxaloacetate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Propanoate Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Prostaglandin Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Immune Response, Oxidative Stress
GO Term: Taurine Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Sialic Acid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Immune Response, Autophagy
GO Term: C4-Dicarboxylate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Fumarate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Alpha-Ketoglutarate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Succinate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Citrate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Urate Transport -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Organophosphate Ester Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Pentose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Fructose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Fucose Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Galactose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Glucose-6-Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Mannose Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Sucrose Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Polysaccharide Transport -> Biodomain: Carbohydrate Metabolism, Membrane Trafficking and Transport, Macromolecule Metabolism, Cellular Processes, Energy Metabolism
GO Term: Glucuronoside Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Nucleotide-Sugar Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transport -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Udp-Glucose Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Udp-Glucuronate Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Udp-Xylose Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Polyol Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Glycerol Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Mannitol Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Myo-Inositol Transport -> Biodomain: Lipid Metabolism, Cell Cycle, Myelination, Vasculature, Synapse
GO Term: Acidic Amino Acid Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Aromatic Amino Acid Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Basic Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Branched-Chain Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Neutral Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: S-Adenosyl-L-Methionine Transport -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: L-Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: L-Alanine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Aspartate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: L-Cystine Transport -> Biodomain: Proteostasis, Amino Acid Metabolism, Oxidative Stress, Redox Homeostasis, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: L-Glutamate Transmembrane Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Glycine Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Histidine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Isoleucine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Lysine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: L-Leucine Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Cell Cycle
GO Term: Methionine Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Ornithine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phenylalanine Transport -> Biodomain: Proteostasis, Endolysosome, Synapse, Vasculature, Autophagy
GO Term: Proline Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: L-Serine Transport -> Biodomain: Synapse, Myelination, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Threonine Transport -> Biodomain: Amino Acid Metabolism, Membrane Transport, Metabolism, Proteostasis, Endolysosome
GO Term: Tryptophan Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Endolysosome, Proteostasis
GO Term: Tyrosine Transport -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Valine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Peptide Transport -> Biodomain: Proteostasis, Endolysosome, Immune Response, Autophagy, Synapse
GO Term: Peptidoglycan Transport -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Amine Transport -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Amino-Acid Betaine Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Urea Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Aminergic Neurotransmitter Loading Into Synaptic Vesicle -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Methylammonium Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Monoamine Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Putrescine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Spermidine Transport -> Biodomain: Autophagy, Proteostasis, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Organic Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Synapse
GO Term: Organic Hydroxy Compound Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Nucleobase Transport -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Adenine Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Guanine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Pyrimidine Nucleobase Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, DNA Repair, Cell Cycle, Endolysosome
GO Term: Nucleoside Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Synapse, Vasculature, DNA Repair
GO Term: Purine Nucleoside Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Cell Cycle, Vasculature, Immune Response
GO Term: Cytidine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Uridine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Myelination, DNA Repair, Synapse
GO Term: Pyrimidine Nucleoside Transport -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Purine Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Immune Response, Synapse, Vasculature
GO Term: Adp Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Atp Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Proteostasis, Autophagy
GO Term: Acetylcholine Transport -> Biodomain: Synapse, Endolysosome, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Choline Transport -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Dopamine Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Norepinephrine Transport -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Acetyl-Coa Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Biotin Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Carnitine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Creatine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: L-Ascorbic Acid Transmembrane Transport -> Biodomain: Oxidative Stress, Endolysosome, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Folic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Cell Cycle, Oxidative Stress
GO Term: Heme Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Pantothenate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Thiamine Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: Cobalamin Transport -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Endolysosome
GO Term: Siderophore Transport -> Biodomain: Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Tetracycline Transmembrane Transport -> Biodomain: Transmembrane Transporters, Antibiotic Activity, Drug Transport, Membrane Trafficking, Ion Homeostasis
GO Term: Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Endolysosome, Myelination
GO Term: Long-Chain Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Myelination, Autophagy
GO Term: Long-Chain Fatty Acid Import Into Peroxisome -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Short-Chain Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Short-Chain Fatty Acid Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Phospholipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Fatty-Acyl-Coa Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Aminophospholipid Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Sterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Autophagy, Myelination
GO Term: Peroxisomal Membrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lipopolysaccharide Transport -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Mannosidase Activity -> Biodomain: Endolysosome, Carbohydrate Metabolism, Proteostasis, Autophagy, APP Metabolism
GO Term: Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Hexosaminidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Nucleobase-Containing Compound Transport -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Nucleobase-Containing Compound Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Endolysosome
GO Term: Large Ribosomal Subunit -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Small Ribosomal Subunit -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy, Mitochondrial Metabolism
GO Term: Coenzyme A Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Epigenetic, Proteostasis
GO Term: Coenzyme A Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Coenzyme A Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pantothenate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Formate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Formate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism, Oxidative Stress
GO Term: Nucleobase-Containing Small Molecule Interconversion -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Diadenosine Polyphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Diadenosine Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Diadenosine Tetraphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Cell Cycle
GO Term: Energy Derivation By Oxidation Of Organic Compounds -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Proton Motive Force-Driven Atp Synthesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Electron Transport Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Phospholipase Activator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Phospholipase A2 Activator Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Synapse
GO Term: Dystrophin-Associated Glycoprotein Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Dystroglycan Complex -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Lipid Metabolism
GO Term: Sarcoglycan Complex -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Syntrophin Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Myelination, Vasculature
GO Term: Morphogen Activity -> Biodomain: Developmental Biology, Signaling, Cell Differentiation, Cell Growth and Proliferation, Tissue Morphogenesis
GO Term: Cyclosporin A Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Peptidoglycan Immune Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Cdp-Diacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Proteostasis
GO Term: Trna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Viral Process -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Maleylacetoacetate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Zeta Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Cellular Response To Phosphate Starvation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Absorption Of Visible Light -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Detection Of Bacterium -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Detection Of Fungus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Detection Of Temperature Stimulus -> Biodomain: Myelination, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Vesicle Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Carbohydrate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
