Running with TEMP=0.5, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Myelination, Structural Stabilization, Epigenetic
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Protein Kinase Regulator Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, DNA Repair
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Proteostasis, Synapse, Apoptosis, Cell Cycle, Autophagy
GO Term: Kinesin Binding -> Biodomain: Synapse, Endolysosome, Autophagy, Cell Cycle, Proteostasis
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Myelination, Lipid Metabolism, Proteostasis
GO Term: Extrinsic Component Of Membrane -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Immune Response, Vasculature
GO Term: Enzyme Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Kinase Binding -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Synapse, Proteostasis
GO Term: Protein Kinase Binding -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Synapse, Proteostasis
GO Term: Phosphatase Binding -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Cell Cycle, Apoptosis
GO Term: Protein Phosphatase Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Synapse, Structural Stabilization
GO Term: Protein Domain Specific Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Syntaxin Binding -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Apoptosis, DNA Repair
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Camp-Mediated Signaling -> Biodomain: Signal Transduction, Cell Signaling, Epigenetic, Neuronal Signaling, Immune Response
GO Term: Cgmp-Mediated Signaling -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Synapse, Structural Stabilization
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Autophagy, Apoptosis, Epigenetic
GO Term: Sexual Reproduction -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism, Apoptosis
GO Term: Cytokine Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Chemokine Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Cytokine Signaling, Inflammation, Cellular Response, Immune Signaling
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Diacylglycerol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Symbiont-Containing Vacuole -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Ciliary Pocket Membrane -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Cell Cycle, Vasculature
GO Term: Hemoglobin Metabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Prechordal Plate Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Neural Fold Elevation Formation -> Biodomain: Structural Stabilization, Nervous System Development, Morphogenesis, Cell Cycle, Epigenetic
GO Term: Neural Fold Bending -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Floor Plate Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Autophagy
GO Term: Roof Plate Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Spinal Cord Development -> Biodomain: Myelination, Synapse, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Spinal Cord Patterning -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Myelination, Apoptosis
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Proteostasis
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Apoptosis
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Neurogenesis, Cell Differentiation, Neuronal Development, Developmental Biology, Cell Morphogenesis
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Myelination, Apoptosis
GO Term: Dorsal Spinal Cord Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Cell Cycle
GO Term: Ventral Spinal Cord Development -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Epigenetic, Synapse
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Epigenetic, Cell Cycle, Synapse, Myelination, Structural Stabilization
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Neuron, Neurogenesis, Cell Differentiation, Central Nervous System, Motor System
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Epigenetic, Structural Stabilization, RNA Spliceosome, Synapse, Autophagy
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Neural Tube Patterning -> Biodomain: Structural Stabilization, Epigenetic, Apoptosis, Cell Cycle, Autophagy
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Myelination, Proteostasis
GO Term: Cell Migration In Hindbrain -> Biodomain: Structural Stabilization, Synapse, Myelination, Lipid Metabolism, Autophagy
GO Term: Diencephalon Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Telencephalon Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Subthalamus Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Epigenetic
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Apoptosis, Cell Cycle
GO Term: Dentate Gyrus Development -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Epigenetic
GO Term: Pallium Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Subpallium Development -> Biodomain: Synapse, Cell Cycle, Epigenetic, Apoptosis, Mitochondrial Metabolism
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Immune Response
GO Term: Rhombomere Development -> Biodomain: Structural Stabilization, Cell Cycle, RNA Spliceosome, Epigenetic, Apoptosis
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Epigenetic
GO Term: Pons Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Autophagy
GO Term: Cerebellum Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Lipid Metabolism
GO Term: Central Nervous System Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Optic Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Mitochondrial Metabolism
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Autophagy
GO Term: Central Nervous System Formation -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Trochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Proteostasis
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Cell Cycle
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Myelination, Immune Response, Structural Stabilization, Vasculature
GO Term: Rhombomere 2 Development -> Biodomain: Developmental Biology, Nervous System Development, Segmentation, Pattern Specification, Anatomical Structure Morphogenesis
GO Term: Rhombomere 3 Development -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis, Synapse
GO Term: Rhombomere 4 Development -> Biodomain: Structural Stabilization, Synapse, Autophagy, Cell Cycle, Vasculature
GO Term: Rhombomere 5 Development -> Biodomain: Structural Stabilization, Epigenetic, RNA Spliceosome, Cell Cycle, Apoptosis
GO Term: Rhombomere 6 Development -> Biodomain: Structural Stabilization, Synapse, Apoptosis, Vasculature, Myelination
GO Term: Hindbrain Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Synapse
GO Term: Cerebellum Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Endolysosome
GO Term: Cerebellum Formation -> Biodomain: Structural Stabilization, Myelination, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Cerebellum Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Ventricular System Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Synapse
GO Term: Fourth Ventricle Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Autophagy, Apoptosis
GO Term: Abducens Nerve Formation -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Autophagy
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Facial Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Proteostasis
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Proteostasis
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Autophagy, Proteostasis
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Optic Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Lipid Metabolism, Tau Homeostasis
GO Term: Optic Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Lipid Metabolism, Vasculature
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Lipid Metabolism
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Vasculature
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Proteostasis
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Vasculature
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Myelination, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Proteostasis, Cell Cycle
GO Term: Rhombomere 3 Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Neurogenesis, Neuronal Development, Brain Development, Morphogenesis
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Autophagy
GO Term: Lateral Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Lipid Metabolism
GO Term: Third Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Synapse, Myelination
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, RNA Spliceosome, Epigenetic
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Proteostasis
GO Term: Cerebellar Cortex Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Developmental Maturation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Myelination, Autophagy
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Oxidative Stress, Autophagy
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Myelination
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Medullary Reticular Formation Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Apoptosis
GO Term: Abducens Nucleus Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Hypoglossal Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Apoptosis, Cell Cycle
GO Term: Cochlear Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Immune Response
GO Term: Vestibular Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Lipid Metabolism
GO Term: Facial Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Striatum Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Cell Cycle
GO Term: Putamen Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Globus Pallidus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Limbic System Development -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Cell Cycle, Myelination
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Amygdala Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Hippocampus Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Apoptosis
GO Term: Mammillary Body Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Apoptosis
GO Term: Nucleus Accumbens Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Immune Response
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Epigenetic, Cell Cycle, Myelination, Proteostasis
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Developmental Biology, Neuronal Signaling, Cell Differentiation, Neurogenesis, Signal Transduction
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Epigenetic
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Cell Cycle, Lipid Metabolism, Epigenetic, Structural Stabilization
GO Term: Glial Cell Fate Specification -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Glial Cell Fate Commitment -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Glial Cell Development -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Immune Response
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Autophagy, Proteostasis
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, APP Metabolism
GO Term: Thalamus Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Myelination, Synapse
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Cerebral Cortex Regionalization -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Cell Cycle, Autophagy
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, RNA Spliceosome, Proteostasis
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Myelination
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Vasculature, Proteostasis
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Myelination, Autophagy
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Myelination
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Immune Response
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Proteostasis
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Endolysosome
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Mitochondrial Metabolism, Autophagy
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Autophagy
GO Term: Hypothalamus Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Autophagy
GO Term: Hypothalamus Cell Migration -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
