Running with TEMP=0.9, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Hypotaurine Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: D-Lysine 5,6-Aminomutase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: D-Sorbitol Dehydrogenase (Acceptor) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: D-Threo-Aldose 1-Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D-Xylose 1-Dehydrogenase (Nadp+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Dctp Diphosphatase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Apoptosis
GO Term: Deoxyuridine Phosphorylase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Diiodophenylpyruvate Reductase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Dimethylglycine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Dolichyldiphosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Estradiol 17-Alpha-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Fad Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Farnesol Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Farnesyl Diphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Fatty Acid Peroxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Flavonol 3-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Ganglioside Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Myelination, Proteostasis
GO Term: Gdp-Mannose 3,5-Epimerase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Glucosamine Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Glucose-1,6-Bisphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Glucose 1-Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glucose 1-Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glucose 1-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: L-Glucuronate Reductase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Glucuronolactone Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glutamine N-Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Glycerol-3-Phosphate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glycerol-2-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Glycerol Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glycine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Glycine N-Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Glycine N-Benzoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Glycine N-Choloyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Immune Response, Autophagy
GO Term: Glyoxylate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Guanidinobutyrase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Guanidinopropionase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Guanosine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Metal Binding and Homeostasis
GO Term: Hepoxilin-Epoxide Hydrolase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Endolysosome
GO Term: Homocysteine Desulfhydrase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Hydroxyacid-Oxoacid Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Hydroxylysine Kinase Activity -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Hydroxymethylglutaryl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: (2R)-Hydroxyphenylpyruvate Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Antigen Processing And Presentation Of Peptide Antigen -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation, Endogenous Lipid Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Antigen Processing And Presentation, Exogenous Lipid Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Apoptosis
GO Term: Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Myelination, Epigenetic
GO Term: Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Immune Response
GO Term: Tie Signaling Pathway -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Phosphatidylinositol-Mediated Signaling -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Synapse
GO Term: Receptor Ligand Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Apoptosis
GO Term: Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Vasculature
GO Term: Ccr Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Melanin Biosynthetic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Melanin Biosynthetic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Melanin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Mrna 5'-Utr Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Immune Response
GO Term: Monosaccharide Binding -> Biodomain: Carbohydrate Binding, Glycosylation, Metabolism, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Disaccharide Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Heme O Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Quinone Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Ubiquinone Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Udp-Glucuronate Decarboxylase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Embryonic Eye Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, RNA Spliceosome
GO Term: Post-Embryonic Eye Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Developmental Pigmentation -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Autophagy
GO Term: Eye Pigmentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Developmental Pigmentation -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Eye Pigmentation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Epigenetic, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Eye Pigmentation -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Eye Pigmentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Developmental Pigmentation -> Biodomain: Developmental Biology, Cell Differentiation, Regulation, Cell Growth And Proliferation, Signal Transduction
GO Term: Positive Regulation Of Developmental Pigmentation -> Biodomain: Endolysosome, Autophagy, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Calmodulin-Activated 3',5'-Cyclic-Gmp Phosphodiesterase Activity -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Autophagic Cell Death -> Biodomain: Autophagy, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
GO Term: Somatic Stem Cell Division -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Establishment Of Body Hair Planar Orientation -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Autophagy
GO Term: Male Germ-Line Stem Cell Asymmetric Division -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Spermatocyte Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Autophagy
GO Term: Astrocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, Endolysosome
GO Term: Fibroblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, DNA Repair, Epigenetic
GO Term: Regulation Of Fibroblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Fibroblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Negative Regulation Of Fibroblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Immune Response, Autophagy
GO Term: Behavioral Response To Cocaine -> Biodomain: Synapse, Epigenetic, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Behavioral Response To Ethanol -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Tau Protein Binding -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Autophagy, Apoptosis
GO Term: Primary Follicle Stage -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Regulation Of Long-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Long-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Short-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Short-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Activin Receptor Complex -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Activin Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Set1C/Compass Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Golgi Vesicle Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Golgi Vesicle Budding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Vesicle Targeting, To, From Or Within Golgi -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Vesicle Targeting, Trans-Golgi To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Copi Coating Of Golgi Vesicle -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Copii Vesicle Coating -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Golgi Vesicle Fusion To Target Membrane -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Synapse
GO Term: Golgi Vesicle Docking -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Inter-Golgi Cisterna Vesicle-Mediated Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Plasma Membrane To Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Male Gamete Generation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Rough Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Dna Recombination At Telomere -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Sperm Capacitation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Epinephrine Transport -> Biodomain: Vasculature, Synapse, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Epinephrine Secretion -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Norepinephrine Secretion -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Phytanoyl-Coa Dioxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Eosinophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Lymphocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Synapse
GO Term: Cxcr3 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Iron Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Elastic Fiber Assembly -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Lauric Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Snorna Localization -> Biodomain: RNA Spliceosome, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Mrna Stabilization -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Flap Endonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: 3'-Flap Endonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Immune Response, Vasculature
GO Term: Positive Regulation Of Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, APP Metabolism, Vasculature
GO Term: Determination Of Dorsal Identity -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Lipid Metabolism, Vasculature
GO Term: Determination Of Ventral Identity -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Response To Pain -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Vasculature
GO Term: Behavioral Response To Pain -> Biodomain: Synapse, Myelination, Oxidative Stress, Immune Response, Vasculature
GO Term: Clathrin Coat Assembly -> Biodomain: Endolysosome, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Methionine Adenosyltransferase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Methionine Adenosyltransferase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Mitogen-Activated Protein Kinase P38 Binding -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Vesicle Docking -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, APP Metabolism
GO Term: Vesicle Fusion With Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Organelle Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Lung Alveolus Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Isotype Switching To Iga Isotypes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Isotype Switching To Igg Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Isotype Switching To Iga Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Regulation Of Isotype Switching To Igg Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Isotype Switching To Igg Isotypes -> Biodomain: Immune Response, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Calcium-Dependent Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Oxidative Stress, Cell Cycle
GO Term: Mitochondrion Distribution -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Intracellular Distribution Of Mitochondria -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Golgi Inheritance -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Axial Mesoderm Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Endolysosome
GO Term: Axial Mesoderm Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Axial Mesoderm Formation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Axial Mesodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Lipid Metabolism
GO Term: Mesoderm Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Mesodermal Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Positive Regulation Of Mesodermal Cell Fate Specification -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Paraxial Mesoderm Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Paraxial Mesoderm Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Paraxial Mesoderm Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Mitochondrial Metabolism
GO Term: Paraxial Mesodermal Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Paraxial Mesoderm Structural Organization -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Mitochondrial Metabolism
GO Term: Lateral Mesoderm Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Endolysosome
GO Term: Lateral Mesoderm Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Lateral Mesodermal Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Regulation Of Lateral Mesodermal Cell Fate Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Mesendoderm Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, RNA Spliceosome
GO Term: Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Cell Cycle, Vasculature
GO Term: Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Autophagy, Immune Response
GO Term: Positive Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Lipid Metabolism, DNA Repair
GO Term: Negative Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Endosomal Lumen Acidification -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Intermediate Mesoderm Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Intermediate Mesodermal Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Brain-Derived Neurotrophic Factor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Nerve Growth Factor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Platelet-Derived Growth Factor Binding -> Biodomain: Vasculature, Cell Cycle, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Epidermal Growth Factor Binding -> Biodomain: Growth Factor, Signaling, Cell Adhesion, Development, Cell Communication
GO Term: Cell Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, RNA Spliceosome
GO Term: Cell Maturation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Perinuclear Region Of Cytoplasm -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Holliday Junction Resolvase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Oogenesis -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Autonomic Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Enteric Nervous System Development -> Biodomain: Synapse, Vasculature, Proteostasis, Structural Stabilization, Cell Cycle
