Running with TEMP=0.5, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: 8-Hydroxy-Dadp Phosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein Import Into Peroxisome Matrix, Substrate Release -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Epigenetic Programming In The Zygotic Pronuclei -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Epigenetic Programing Of Female Pronucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Epigenetic Programing Of Male Pronucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Hemi-Methylated Dna-Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Cellular Response To Human Chorionic Gonadotropin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Cell Cycle, Immune Response
GO Term: Response To Human Chorionic Gonadotropin -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Amphisome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Autolysosome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Meiotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Mitotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Proteostasis
GO Term: Mitotic Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Mitotic Dna Integrity Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Meiotic Dna Integrity Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Meiotic Spindle Checkpoint Signaling -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Cilium Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Metaphase/Anaphase Transition Of Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Structural Stabilization, Autophagy
GO Term: Modulation By Host Of Viral Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Suppression Of Viral Release By Host -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation By Host Of Viral Process -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation By Host Of Viral Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Trans-Golgi Network To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Nucleophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Mitotic G2/M Transition Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Mitotic G1/S Transition Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Modulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, DNA Repair
GO Term: Negative Regulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation By Host Of Viral Genome Replication -> Biodomain: Autophagy, Proteostasis, Apoptosis, Lipid Metabolism, Epigenetic
GO Term: Modulation By Host Of Viral Rna Genome Replication -> Biodomain: Immune Response, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Estrous Cycle -> Biodomain: Apoptosis, Lipid Metabolism, Epigenetic, Immune Response, Cell Cycle
GO Term: Plasma Membrane Raft -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Synapse, Endolysosome
GO Term: Plasma Membrane Raft Assembly -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Plasma Membrane Raft Distribution -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Synapse
GO Term: Plasma Membrane Raft Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Protein Localization To Plasma Membrane Raft -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Synapse
GO Term: Protein Transport Into Plasma Membrane Raft -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation By Host Of Viral Glycoprotein Metabolic Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Lipoprotein Localization To Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Vasculature, Endolysosome
GO Term: Protein-Containing Complex Binding -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Autophagy, Synapse
GO Term: Mitotic Cytokinesis Checkpoint Signaling -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, DNA Repair, Proteostasis
GO Term: Double-Strand Break Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Structural Stabilization, Apoptosis, Epigenetic, Cell Cycle
GO Term: Double-Strand Break Repair Via Synthesis-Dependent Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Dna Replication Proofreading -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Dna Deamination -> Biodomain: DNA Repair, Immune Response, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Depurination -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Epigenetic, Metal Binding and Homeostasis
GO Term: Depyrimidination -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Mitochondrial Magnesium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: G0 To G1 Transition -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Mitochondrial Degradosome -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Plasma Membrane Fusion -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Synapse, Structural Stabilization
GO Term: Dna End Binding -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Epigenetic
GO Term: G Protein-Coupled Purinergic Nucleotide Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: G Protein-Coupled Udp Receptor Activity -> Biodomain: Receptor Signaling, Signal Transduction, Nucleotide Metabolism, Cell Communication, Neurotransmission
GO Term: G Protein-Coupled Utp Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Lipid Metabolism, Vasculature
GO Term: G Protein-Coupled Atp Receptor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Protein Insertion Into Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Protein Insertion Into Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Protein Import Into Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Protein Import Into Peroxisome Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism
GO Term: Protein Targeting To Er -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Protein Insertion Into Er Membrane By Stop-Transfer Membrane-Anchor Sequence -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Protein Retention In Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Constitutive Secretory Pathway -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Synapse, Vasculature
GO Term: Regulated Exocytosis -> Biodomain: Synapse, Proteostasis, Immune Response, Lipid Metabolism, Vasculature
GO Term: Transcytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Structural Stabilization
GO Term: Negative Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Proteostasis
GO Term: Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Extrathymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Endolysosome, Synapse, Autophagy
GO Term: T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: T-Helper 2 Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Cytotoxic T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulatory T Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Endolysosome
GO Term: Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Innate Immune Response -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Autophagy
GO Term: Regulation Of Innate Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Innate Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune Response, DNA Repair, Proteostasis, Epigenetic, Autophagy
GO Term: Interleukin-18 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Keratin Filament -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Type Iii Intermediate Filament -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Intermediate Filament-Based Process -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Intermediate Filament Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Intermediate Filament Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Intermediate Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Synapse
GO Term: Intermediate Filament Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Intermediate Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Intermediate Filament Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Integrin Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Vasculature, Lipid Metabolism
GO Term: Protein Neddylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Azole Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pronucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Synapse
GO Term: Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Endolysosome, Structural Stabilization, Apoptosis
GO Term: Regulation Of Bone Resorption -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Bioactive Lipid Receptor Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Cell Signaling, Immune Response, Vasculature
GO Term: N-Acetylglucosamine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Keratan Sulfotransferase Activity -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Lipid Metabolism
GO Term: Pre-Mrna Branch Point Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Meiotic Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Udp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Development Of Secondary Sexual Characteristics -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Autophagy, Proteostasis
GO Term: Development Of Primary Sexual Characteristics -> Biodomain: Epigenetic, Lipid Metabolism, Apoptosis, Cell Cycle, Proteostasis
GO Term: Meiotic Telomere Clustering -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Autophagy
GO Term: Triplex Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Homologous Chromosome Segregation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Single-Stranded Dna 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Tripeptide Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Myosin Ii Binding -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Neuronal Ion Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Clustering Of Voltage-Gated Sodium Channels -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Clustering Of Voltage-Gated Potassium Channels -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Structural Stabilization
GO Term: Asymmetric Protein Localization Involved In Cell Fate Determination -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Intercellular Bridge -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Proteostasis
GO Term: Glutathione Dehydrogenase (Ascorbate) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Basal Protein Localization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Apical Protein Localization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Apical Part Of Cell -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Basal Part Of Cell -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Cell Cycle
GO Term: Apical Cortex -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Cell Cycle, Endolysosome
GO Term: Basal Cortex -> Biodomain: Structural Stabilization, Synapse, Endolysosome, Proteostasis, Cell Cycle
GO Term: Translation Regulator Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, RNA Spliceosome, Cell Cycle
GO Term: Establishment Of Protein Localization -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Maintenance Of Protein Location -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Zonula Adherens Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Autophagy
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Circadian, Nervous System, Behavior, Physiology, Biological Process
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Isotype Switching -> Biodomain: Immune Response, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Regulation Of Isotype Switching -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Establishment Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Epigenetic, Lipid Metabolism
GO Term: Maintenance Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Establishment Of Neuroblast Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Epigenetic
GO Term: Synapse -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Myelination, Endolysosome
GO Term: Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Cell-Cell Junction Organization -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Immune Response
GO Term: Cell-Cell Junction Maintenance -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Zonula Adherens Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Immune Response
GO Term: Protein Palmitoleylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, APP Metabolism
GO Term: Cxcr Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Cxcr1 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Isocitrate Dehydrogenase Complex (Nad+) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Succinate-Coa Ligase Complex (Gdp-Forming) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Electron Transfer Flavoprotein Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Oxoglutarate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Pyruvate Dehydrogenase (Lipoamide) Phosphatase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Pyruvate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Proton-Transporting Atp Synthase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Respiratory Chain Complex I -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Respiratory Chain Complex Ii (Succinate Dehydrogenase) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Respiratory Chain Complex Iii -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Respiratory Chain Complex Iv -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mrna Cis Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Mrna Editing Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Alpha-Catenin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Apoptosis
GO Term: Gamma-Catenin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Cadherin Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Immune Response
GO Term: Tubulin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Tau Homeostasis
GO Term: Otolith Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Synapse
GO Term: Protein Phosphorylated Amino Acid Binding -> Biodomain: Proteostasis, Cell Cycle, Signal Transduction, Epigenetic, Apoptosis
GO Term: Leukocyte Activation -> Biodomain: Immune Response, Endolysosome, Autophagy, Cell Cycle, Epigenetic
GO Term: Unmethylated Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Late Endosome To Vacuole Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Carnitine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phospholipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Clathrin-Coated Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Farnesyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Farnesyl Diphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Farnesyl Diphosphate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Mercury Ion Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Interleukin-1 Type I Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Interleukin-1 Type Ii Receptor Antagonist Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Myoblast Differentiation -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Epigenetic
GO Term: Bone Resorption -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Cell Redox Homeostasis -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Ethanol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Ether -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Locomotor Rhythm -> Biodomain: Epigenetic, Synapse, Autophagy, Lipid Metabolism, Oxidative Stress
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/go_biodomain_results_part_10.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.5/runtime_log.csv
