Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Response To Nutrient Levels -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Cellular Response To Nutrient -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: A Band -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: H Zone -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: I Band -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: G-Protein Beta/Gamma-Subunit Complex -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Lipid Metabolism
GO Term: G-Protein Beta-Subunit Binding -> Biodomain: Synapse, Immune Response, Vasculature, Cell Cycle, Endolysosome
GO Term: G-Protein Gamma-Subunit Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Immune Response
GO Term: G-Protein Beta/Gamma-Subunit Complex Binding -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Adenosine Receptor Binding -> Biodomain: Synapse, Immune Response, Mitochondrial Metabolism, Vasculature, Oxidative Stress
GO Term: A1 Adenosine Receptor Binding -> Biodomain: Synapse, Vasculature, Autophagy, Oxidative Stress, Proteostasis
GO Term: A2A Adenosine Receptor Binding -> Biodomain: Immune Response, Vasculature, Synapse, Apoptosis, Proteostasis
GO Term: Adrenergic Receptor Binding -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Alpha-1B Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Alpha-2A Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Alpha-2B Adrenergic Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: Alpha-2C Adrenergic Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Beta-1 Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Beta-2 Adrenergic Receptor Binding -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, Structural Stabilization
GO Term: Beta-3 Adrenergic Receptor Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Adrenomedullin Receptor Binding -> Biodomain: Vasculature, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Angiotensin Receptor Binding -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Immune Response, Cell Cycle
GO Term: Type 1 Angiotensin Receptor Binding -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Endolysosome
GO Term: Type 2 Angiotensin Receptor Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Apelin Receptor Binding -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis
GO Term: Endothelin A Receptor Binding -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Lipid Metabolism, Immune Response
GO Term: Endothelin B Receptor Binding -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Neuromedin B Receptor Binding -> Biodomain: Synapse, Vasculature, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Bradykinin Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: C5L2 Anaphylatoxin Chemotactic Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Calcitonin Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Apoptosis, Structural Stabilization
GO Term: Type 1 Cannabinoid Receptor Binding -> Biodomain: Synapse, Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Haptoglobin Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Hemoglobin Alpha Binding -> Biodomain: Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Cxcr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cxcr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Synapse, Proteostasis
GO Term: Ccr1 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Ccr2 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Ccr3 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Ccr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Ccr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Ccr6 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Apoptosis
GO Term: Ccr7 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Ccr10 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Cx3C Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Type B Gastrin/Cholecystokinin Receptor Binding -> Biodomain: Receptor Signaling, Gastrointestinal Function, Endocrine Signaling, Metabolism, Cellular Signaling
GO Term: D1 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: D2 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: D3 Dopamine Receptor Binding -> Biodomain: Synapse, Signaling, Neurotransmission, Receptor Binding, Neurological
GO Term: D4 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: D5 Dopamine Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Edg-2 Lysophosphatidic Acid Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Synapse, Immune Response, Myelination
GO Term: Follicle-Stimulating Hormone Receptor Binding -> Biodomain: Endocrine, Receptor Signaling, Reproductive System, Developmental Processes, Cell Surface Receptor
GO Term: Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Vasculature, Immune Response
GO Term: Type 1 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Vasculature, Oxidative Stress
GO Term: Type 2 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Type 3 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Gastric Inhibitory Polypeptide Receptor Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Proteostasis, Autophagy
GO Term: Ghrelin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Glucagon Receptor Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Growth Hormone-Releasing Hormone Receptor Binding -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Type 1 Orexin Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Type 2 Orexin Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Kisspeptin Receptor Binding -> Biodomain: Synapse, Vasculature, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Type 1 Melanin-Concentrating Hormone Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Melanocortin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Corticotropin Hormone Receptor Binding -> Biodomain: Oxidative Stress, Immune Response, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Type 3 Melanocortin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Type 4 Melanocortin Receptor Binding -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Type 5 Melanocortin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Motilin Receptor Binding -> Biodomain: Proteostasis, Vasculature, Lipid Metabolism, Synapse, Endolysosome
GO Term: Type 2 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Lipid Metabolism
GO Term: Type 3 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Type 5 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Type 8 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: P2Y1 Nucleotide Receptor Binding -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Synapse, Oxidative Stress
GO Term: G Protein-Coupled Serotonin Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Epigenetic, Lipid Metabolism
GO Term: Substance P Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Neuromedin K Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Substance K Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Haptoglobin-Hemoglobin Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Type 1 Neuromedin U Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Vasculature
GO Term: Type 2 Neuromedin U Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Neuropeptide Y Receptor Binding -> Biodomain: Synapse, Neuropeptide Signaling, Receptor Signaling, Lipid Metabolism, Immune Response
GO Term: Protection From Non-Homologous End Joining At Telomere -> Biodomain: DNA Repair, Telomere Maintenance, Epigenetic, Cell Cycle, Genomic Stability
GO Term: Olfactory Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Kappa-Type Opioid Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Mu-Type Opioid Receptor Binding -> Biodomain: Synapse, Immune Response, Autophagy, Apoptosis, Epigenetic
GO Term: Orexigenic Neuropeptide Qrfp Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Oxytocin Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Parathyroid Hormone Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Epigenetic, Cell Cycle, Vasculature
GO Term: Type 1 Parathyroid Hormone Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Telomeric 3' Overhang Formation -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Prolactin-Releasing Peptide Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Cell Cycle, Proteostasis
GO Term: Ep4 Subtype Prostaglandin E2 Receptor Binding -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Thromboxane A2 Receptor Binding -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Proteinase Activated Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Somatostatin Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Taste Receptor Binding -> Biodomain: Synapse, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Type 1 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Endolysosome
GO Term: Type 2 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Vasculature, Immune Response, Synapse, Apoptosis, Lipid Metabolism
GO Term: V1A Vasopressin Receptor Binding -> Biodomain: Vasculature, Endolysosome, Proteostasis, Synapse, Oxidative Stress
GO Term: V1B Vasopressin Receptor Binding -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: Early Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Late Endosome Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Immune Response
GO Term: Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, APP Metabolism
GO Term: Early Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Late Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Negative Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Pyridoxine Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Tor Signaling -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Mitochondria-Nucleus Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Torc1 Complex -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle
GO Term: Torc2 Complex -> Biodomain: Proteostasis, Apoptosis, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Filamentous Actin -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Immune Response
GO Term: Regulation Of Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Immune Response
GO Term: Negative Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Positive Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Cell Cycle, DNA Repair, Immune Response
GO Term: Medium-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Very Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Myelination, Structural Stabilization, Oxidative Stress
GO Term: Nuclear Receptor-Mediated Corticosteroid Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Immune Response, Oxidative Stress, Apoptosis
GO Term: Nuclear Receptor-Mediated Mineralocorticoid Signaling Pathway -> Biodomain: Epigenetic, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Response To Corticosteroid -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Nuclear Mineralocorticoid Receptor Binding -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Nuclear Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Autophagy, Apoptosis
GO Term: Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Organelle Envelope -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Nuclear Lumen -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Vesicle -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Organelle Subcompartment -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Golgi Cisterna -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Synapse
GO Term: Locomotion Involved In Locomotory Behavior -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Bombesin Receptor Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Autophagy, Vasculature
GO Term: Mrna Export From Nucleus In Response To Heat Stress -> Biodomain: RNA Spliceosome, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Insulin-Like Growth Factor I Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Insulin-Like Growth Factor Ii Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis, Immune Response
GO Term: Thioesterase Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Interleukin-28 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-28 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Tor Signaling -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Tor Signaling -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Tor Signaling -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Early Phagosome -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Phagolysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Arf Protein Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Arf Protein Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Arf Protein Signal Transduction -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Arf Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Isg15-Protein Conjugation -> Biodomain: Proteostasis, Immune Response, Autophagy, Endolysosome, Apoptosis
GO Term: Nelf Complex -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Trypsinogen Activation -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Response To Cobalt Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Magnesium Ion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Myosin Light Chain Binding -> Biodomain: Structural Stabilization, Muscle System, Proteostasis, Synapse, Cell Cycle
GO Term: Myosin Head/Neck Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Apoptosis
GO Term: Myosin Tail Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Lipid Metabolism
GO Term: Myosin Ii Head/Neck Binding -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Proteostasis
GO Term: Myosin Heavy Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Myosin Ii Heavy Chain Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Integrator Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Small-Subunit Processome -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Histone H3K14 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Oxidative Stress
GO Term: Mitochondrial Dna Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Mitochondrial Dna Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Autophagy, Apoptosis, Oxidative Stress
GO Term: Dsif Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Guanyl-Nucleotide Exchange Factor Complex -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Immune Response
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0/go_biodomain_results_part_7.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0/runtime_log.csv
