Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Protein O-Glcnacylation Via Threonine -> Biodomain: Proteostasis, Oxidative Stress, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Mdm2/Mdm4 Family Protein Binding -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, DNA Repair, Epigenetic
GO Term: Histone H3K18 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, Mitochondrial Metabolism, Autophagy, Oxidative Stress, DNA Repair
GO Term: Sensory Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Interneuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Spinal Cord Interneuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Dorsal Spinal Cord Interneuron Posterior Axon Guidance -> Biodomain: Synapse, Neurogenesis and Neuronal Activities, Nervous System Development, Signaling Pathways, Structural Stabilization
GO Term: Dorsal Spinal Cord Interneuron Anterior Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Unknown
GO Term: Photoreceptor Disc Membrane -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Structural Stabilization, Synapse
GO Term: Didp Phosphatase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Glial Cell Projection -> Biodomain: Myelination, Synapse, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Cellular Response To Interleukin-17 -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Structural Stabilization, Apoptosis
GO Term: Interleukin-17-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Synaptic Vesicle Lumen Acidification -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Neuroblast Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Cellular Response To Raffinose -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Immune Response, Oxidative Stress
GO Term: Glial Cytoplasmic Inclusion -> Biodomain: Proteostasis, Autophagy, Endolysosome, Myelination, Oxidative Stress
GO Term: Hippocampal Interneuron Differentiation -> Biodomain: Synapse, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Hypoxia-Inducible Factor-1Alpha Signaling Pathway -> Biodomain: Oxidative Stress, Vasculature, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Lewy Body -> Biodomain: Proteostasis, Synapse, Apoptosis, Autophagy, Endolysosome
GO Term: Classical Lewy Body -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Tau Homeostasis
GO Term: Neurofibrillary Tangle -> Biodomain: Tau Homeostasis, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Liver Regeneration -> Biodomain: Mitochondrial Metabolism, Apoptosis, Cell Cycle, Autophagy, Immune Response
GO Term: Tubular Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Microtubule Bundle -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Tau Homeostasis, Proteostasis
GO Term: Mitotic Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Dense Body -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Unknown, Endolysosome
GO Term: Supramolecular Fiber Organization -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Synapse, Vasculature
GO Term: Apical Dendrite -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Cell Cycle
GO Term: Basal Dendrite -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Ca3 Pyramidal Cell Dendrite -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Sorting Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Spine Apparatus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Dendritic Tree -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Astrocyte Projection -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Astrocyte End-Foot -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Endolysosome
GO Term: Glial Limiting End-Foot -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Synapse, Proteostasis
GO Term: Gait Complex -> Biodomain: Immune Response, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Mesaxon -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Endolysosome
GO Term: Hippocampal Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Lewy Neurite -> Biodomain: Proteostasis, Synapse, Apoptosis, Autophagy, Endolysosome
GO Term: Ubiquitin-Dependent Glycoprotein Erad Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Programmed Cell Death In Response To Reactive Oxygen Species -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Ribbon Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Mossy Fiber Rosette -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Cyclin-Dependent Protein Kinase Activity -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Proteostasis, DNA Repair
GO Term: Retinal Rod Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Retinal Cone Cell Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Motor Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Endolysosome, Unknown
GO Term: Spinal Cord Motor Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Lateral Motor Column Neuron Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Dendrite Extension -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Neuron Projection Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Multivesicular Body Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Multivesicular Body, Internal Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Immune Response
GO Term: Multivesicular Body, Internal Vesicle Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Immune Response
GO Term: Sympathetic Neuron Projection Extension -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Sympathetic Neuron Projection Guidance -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Unknown
GO Term: Sympathetic Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Immune Response
GO Term: Structural Molecule Activity Conferring Elasticity -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Proteostasis
GO Term: Regulation Of Vesicle Size -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Synapse
GO Term: Blood Vessel Endothelial Cell Delamination -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Endothelial Tube Lumen Extension -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Protein Localization To Non-Motile Cilium -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Receptor Localization To Non-Motile Cilium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Sialylation -> Biodomain: Lipid Metabolism, APP Metabolism, Immune Response, Proteostasis, Endolysosome
GO Term: Gemini Of Cajal Bodies -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Unknown
GO Term: Rad6-Rad18 Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Base-Excision Repair, Ap Site Formation Via Deaminated Base Removal -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Cardiac Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Myosin Ii Filament -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Unknown
GO Term: Dna Recombinase Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Sperm Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Spliceosomal Snrnp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Spliceosomal Tri-Snrnp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Necroptotic Signaling Pathway -> Biodomain: Apoptosis, DNA Repair, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Execution Phase Of Necroptosis -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress, Autophagy
GO Term: Myeloid Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Proteostasis
GO Term: Granulocyte Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Mast Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Cellular Stress Response To Acid Chemical -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Lymphoid Lineage Cell Migration Into Thymus -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Unknown
GO Term: Thymus Epithelium Morphogenesis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Ciliary Transition Fiber -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Axonemal Basal Plate -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Unknown, Proteostasis
GO Term: Ciliary Tip -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Ciliary Inversin Compartment -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Axonemal Doublet Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Unknown
GO Term: Ciliary Base -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Unknown, Endolysosome
GO Term: Transcription Preinitiation Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Mitochondrial Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Calcium Ion Transmembrane Import Into Cytosol -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Lateral Cell Cortex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Lamellipodium Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Sperm Cytoplasmic Droplet -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Unknown, Endolysosome
GO Term: Retina Blood Vessel Maintenance -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Endolysosome, Autophagy
GO Term: Cullin Family Protein Binding -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress
GO Term: Temperature-Gated Ion Channel Activity -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Synapse, Unknown
GO Term: Temperature-Gated Cation Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Monoamine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Potassium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Oxidative Stress, Immune Response
GO Term: Extrinsic Component Of Omegasome Membrane -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Extrinsic Component Of Phagophore Assembly Site Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Structural Stabilization, Unknown
GO Term: L-Arginine Import Across Plasma Membrane -> Biodomain: Proteostasis, Immune Response, Oxidative Stress, Vasculature, Synapse
GO Term: L-Lysine Import Across Plasma Membrane -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Unknown, Lipid Metabolism
GO Term: L-Ornithine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Synapse, Immune Response, Autophagy
GO Term: Calcitonin Family Receptor Activity -> Biodomain: Vasculature, Synapse, Immune Response, Apoptosis, Proteostasis
GO Term: Amylin Receptor Activity -> Biodomain: Proteostasis, APP Metabolism, Apoptosis, Synapse, Endolysosome
GO Term: Amylin Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, APP Metabolism
GO Term: Calcitonin Family Receptor Signaling Pathway -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Apoptosis
GO Term: Amylin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: G Protein-Coupled Receptor Complex -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: A Axonemal Microtubule -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Serpin Family Protein Binding -> Biodomain: Proteostasis, Apoptosis, Immune Response, Vasculature, Unknown
GO Term: 3',5'-Nucleotide Bisphosphate Phosphatase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Mitochondrial Metabolism, RNA Spliceosome
GO Term: Stat Family Protein Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Double-Strand Break Repair Via Classical Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Double-Strand Break Repair Via Alternative Nonhomologous End Joining -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Intracellularly Phosphatidylinositol-3,5-Bisphosphate-Gated Monatomic Cation Channel Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Iron Ion Transmembrane Transporter Inhibitor Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Establishment Of Rna Localization To Telomere -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Unknown
GO Term: Establishment Of Protein-Containing Complex Localization To Telomere -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Cell Surface Receptor Signaling Pathway Via Stat -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Telomere Maintenance Via Base-Excision Repair -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Vascular Endothelial Cell Response To Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis
GO Term: Vascular Endothelial Cell Response To Laminar Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Vascular Endothelial Cell Response To Oscillatory Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis
GO Term: Ferroptosis -> Biodomain: Apoptosis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Intracellular Vesicle -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Connective Tissue Replacement -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Ciliary Basal Body-Plasma Membrane Docking -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Proteostasis, Synapse
GO Term: Vesicle Targeting, Trans-Golgi To Periciliary Membrane Compartment -> Biodomain: Endolysosome, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Disordered Domain Specific Binding -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Synapse
GO Term: Neural Tissue Regeneration -> Biodomain: Synapse, Myelination, Proteostasis, Autophagy, Apoptosis
GO Term: Calcineurin-Mediated Signaling -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Sperm Motility -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: 9+0 Motile Cilium -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Autophagy
GO Term: 9+2 Motile Cilium -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Non-Motile Cilium -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Vasculature
GO Term: 9+0 Non-Motile Cilium -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Synapse, Vasculature
GO Term: Photoreceptor Cell Cilium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Extracellular Exosome Biogenesis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: De Novo Centriole Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Renal Urate Salt Excretion -> Biodomain: Vasculature, Unknown, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Mitochondrial Trna 5'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Blood Vessel Diameter Maintenance -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Membrane Tubulation -> Biodomain: Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism, Myelination
GO Term: Endosome Membrane Tubulation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Dna Stability -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Membrane Bending -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Non-Replicative Dna Transposition -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: G-Rich Strand Telomeric Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Endothelial To Hematopoietic Transition -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Skeletal Muscle Fiber Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Neuromuscular Junction Development, Skeletal Muscle Fiber -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Strand Invasion -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Ligand-Modulated Transcription Factor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Immune Response, Apoptosis, Cell Cycle
GO Term: Centriole Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: De Novo Centriole Assembly Involved In Multi-Ciliated Epithelial Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Deuterosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Cytoplasmic Side Of Trans-Golgi Network Transport Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Defense Response To Other Organism -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Maintenance Of Protein Complex Location -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Endolysosome
GO Term: Cytoplasmic Side Of Golgi Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Side Of Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Lumenal Side Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Vasculature
GO Term: Cytoplasmic Side Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Cytoplasmic Side Of Rough Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Cytoplasmic Side Of Early Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Cytoplasmic Side Of Late Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Cytoplasmic Side Of Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Cytoplasmic Side Of Lysosomal Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Lumenal Side Of Lysosomal Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Lumenal Side Of Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Inactive Sex Chromosome -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Unknown
GO Term: Learned Vocalization Behavior -> Biodomain: Synapse, Proteostasis, Epigenetic, Unknown, Endolysosome
GO Term: Cellular Response To Virus -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Bounding Membrane Of Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: External Side Of Apical Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Cytoplasmic Side Of Apical Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Vasculature
GO Term: Mucin Granule -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Perivitelline Space -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Unknown, Autophagy
GO Term: Observational Learning -> Biodomain: Synapse, Proteostasis, Epigenetic, Endolysosome, Structural Stabilization
GO Term: Palmitoyl Hydrolase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Unknown
GO Term: Selenocystathionine Gamma-Lyase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Selenocysteine-Trna Ligase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: O-Phosphoseryl-Trna(Sec) Selenium Transferase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Trans-Golgi Network Membrane Organization -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Cell Adhesion Mediator Activity -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Proteostasis
GO Term: Cell-Cell Adhesion Mediator Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Apoptosis
GO Term: Collagen Fibril Binding -> Biodomain: Structural Stabilization, Extracellular Matrix, Vasculature, Proteostasis, Immune Response
GO Term: Protein Complex Involved In Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Unknown
GO Term: Protein Complex Involved In Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Protein Complex Involved In Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Collagen Binding Involved In Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Integrin Binding Involved In Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Cadherin Binding Involved In Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Proteostasis
GO Term: Cenp-A Recruiting Complex -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Monoatomic Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Apoptosis
GO Term: Monoatomic Anion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Oxidative Stress, Vasculature
GO Term: Import Into Cell -> Biodomain: Endolysosome, Lipid Metabolism, Immune Response, Proteostasis, Autophagy
GO Term: Inorganic Anion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Inorganic Cation Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Synapse, Apoptosis, Immune Response
GO Term: Inorganic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Inorganic Anion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Apoptosis, Oxidative Stress, Vasculature
GO Term: Inorganic Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Vasculature
