Running with TEMP=0.5, sub_array_index=16
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Interleukin-10-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Histone H3K4Me1 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Extracellular Vesicle Biogenesis -> Biodomain: Endolysosome, Proteostasis, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Export Across Plasma Membrane -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, APP Metabolism, Immune Response
GO Term: Histone H4K20Me1 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Chromatin Organization, Cell Cycle, Transcription
GO Term: Histone H3K23Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K27Ac Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Lewy Body Formation -> Biodomain: Proteostasis, APP Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Histone H1 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Lymphocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Iron-Sulfur Cluster Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mechanosensitive Monoatomic Cation Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Mitochondrial Potassium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Ammonium Import Across Plasma Membrane -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Monocarboxylate:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: 3-Alpha-Hydroxysteroid 3-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dipeptide Import Across Plasma Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Tripeptide Import Across Plasma Membrane -> Biodomain: Transport, Membrane Trafficking, Cellular Process, Proteostasis, Amino Acid Metabolism
GO Term: Apoptotic Process In Response To Mitochondrial Fragmentation -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Folic Acid:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Long-Chain Fatty Acid Import Into Cell -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Long-Chain Fatty Acid Import Into Cell -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Dna Topoisomerase Iii-Beta-Tdrd3 Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Rna Topoisomerase Activity -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, DNA Repair
GO Term: Serotonin-Gated Cation-Selective Signaling Pathway -> Biodomain: Synapse,Signaling,Transcriptional Regulation,Neuronal Signaling,Ion Homeostasis
GO Term: Anterograde Axonal Transport Of Neurotransmitter Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Intracellular Camp-Activated Cation Channel Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Autophagy, Structural Stabilization
GO Term: Translation At Presynapse -> Biodomain: Synapse, Proteostasis, Gene Expression, Macromolecule Metabolic Process, Cellular Process
GO Term: Presynaptic Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Perforant Pathway To Dendrate Granule Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Translation At Postsynapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, APP Metabolism
GO Term: Regulation Of Translation At Postsynapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Protein Catabolic Process At Postsynapse -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Protein Catabolic Process At Presynapse -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Regulation Protein Catabolic Process At Postsynapse -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Cell-Cell Fusion -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Mitochondrial Proton-Transporting Atp Synthase Complex Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Bcor Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Mrna Cap Binding Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Endoplasmic Reticulum-Plasma Membrane Contact Site -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Exogenous Protein Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Repair Of Mitotic Kinetochore Microtubule Attachment Defect -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Epigenetic
GO Term: Mib Complex -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Endoplasmic Reticulum-Endosome Membrane Contact Site -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Endosome Fission -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Gbaf Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Peptidyl-Serine Adp-Deribosylation -> Biodomain: Proteostasis, Protein Modification, Epigenetic, DNA Repair, Apoptosis
GO Term: Peptidyl-Glutamate Adp-Deribosylation -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Autophagy, Oxidative Stress
GO Term: Adp-Ribosylserine Hydrolase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Tau Homeostasis
GO Term: Adp-Ribosylglutamate Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Nad Dna Adp-Ribosyltransferase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Dna-Binding Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Endocytic Iron Import Into Cell -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Molecular Sensor Activity -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome
GO Term: Serine Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Transport, Amino Acid Metabolism, Metabolic Processes, Cellular Compartments
GO Term: Protein Sequestering Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Synapse, Endolysosome
GO Term: Cargo Adaptor Activity -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Structural Stabilization
GO Term: Molecular Sequestering Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Apoptosis, Oxidative Stress
GO Term: Calcium Ion Sequestering Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Iron Ion Sequestering Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Protein Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Synapse, Structural Stabilization
GO Term: Receptor Decoy Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Vasculature
GO Term: Atpase-Coupled Intramembrane Lipid Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Flippase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Floppase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Lysophospholipid Translocation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Structural Stabilization
GO Term: Aminophospholipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Glycerophospholipid Flippase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Diacylglyceride Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Sphingomyelin Transfer Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylglycerol Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Cerebroside Transfer Activity -> Biodomain: Lipid Metabolism, Glycolipid Metabolism, Endolysosome, Myelination, Proteostasis
GO Term: Phosphatidylserine Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Triglyceride Transfer Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Phosphatidylcholine Flippase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Phosphatidylserine Flippase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: N-Retinylidene-Phosphatidylethanolamine Flippase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Lysophosphatidylcholine Flippase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Glycosylceramide Flippase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Myelination, Autophagy, Proteostasis
GO Term: Lipid Export From Cell -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Lipid Import Into Cell -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cargo Receptor Ligand Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Heme Export From Vacuole To Cytoplasm -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: P-Type Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Myelination, Vasculature, Lipid Metabolism
GO Term: Abc-Type Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress
GO Term: Cyclic-Gmp-Amp Transmembrane Transporter Activity -> Biodomain: Immune Response, Autophagy, DNA Repair, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cyclic-Gmp-Amp Transmembrane Import Across Plasma Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Antibacterial Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Antiviral Innate Immune Response -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Immune Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Monoatomic Cation:Bicarbonate Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Oxidative Stress, Lipid Metabolism
GO Term: Zinc:Bicarbonate Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Transcription Regulator Inhibitor Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Autophagy, DNA Repair
GO Term: Dna-(Abasic Site) Binding -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Metal Binding and Homeostasis
GO Term: Protein-Cysteine S-Stearoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Cytoskeleton-Nuclear Membrane Anchor Activity -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle
GO Term: Chromosome, Telomeric Repeat Region -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Cytokine Precursor Processing -> Biodomain: Proteostasis, Immune Response, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Signaling Receptor Ligand Precursor Processing -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Endolysosome, Immune Response
GO Term: Protein Targeting To Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Protein Aggregate Center Assembly -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Cytoplasm Protein Quality Control -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Protein Demethylase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, DNA Repair, Autophagy
GO Term: Response To Gram-Positive Bacterium -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Gram-Negative Bacterium -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Pericentric Heterochromatin Organization -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Chromatin-Protein Adaptor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Iron-Sulfur Cluster Export From The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Integrated Stress Response Signaling -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Hri-Mediated Signaling -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Gcn2-Mediated Signaling -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Abc-Type Iron-Sulfur Cluster Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Kinetochore Adaptor Activity -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: 5-Aminolevulinic Acid Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: 5-Aminolevulinic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Zinc Ion Sequestering Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Metal Ion Sequestering Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Microtubule Nucleator Activity -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Metal-Dependent Deubiquitinase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Very Long-Chain Fatty Acid Beta-Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Migrasome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Mitotic Spindle Assembly Checkpoint Signaling -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Regulation Of Reticulophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Reticulophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum-Autophagosome Adaptor Activity -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Granzyme-Mediated Programmed Cell Death Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Protein-Rna Adaptor Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Gtpase-Dependent Fusogenic Activity -> Biodomain: Synapse, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Intracellular Protein-Containing Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Transcription Regulator Activator Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Pirna Transcription -> Biodomain: Epigenetic, DNA Repair, Immune Response, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Pirna Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, RNA Spliceosome
GO Term: Atp-Dependent Protein Disaggregase Activity -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Defense Response To Symbiont -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Tead-Yap Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Xylosyl Alpha-1,3-Xylosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Egf-Domain Serine Glucosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Vasculature, Apoptosis
GO Term: Egf-Domain Serine Xylosyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, APP Metabolism
GO Term: Udp-D-Xylose:Beta-D-Glucoside Alpha-1,3-D-Xylosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Structural Stabilization, Vasculature, Autophagy
GO Term: Histone Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Membrane Protein Dislocase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Extraction Of Mislocalized Protein From Er Membrane -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Extraction Of Mislocalized Protein From Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Transmembrane Ascorbate Ferrireductase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Transmembrane Monodehydroascorbate Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Ascorbate Homeostasis -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Mitochondrion Autophagosome Adaptor Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome, Oxidative Stress
GO Term: P-Type Monovalent Copper Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Adenylate Cyclase-Activating G Protein-Coupled Camp Receptor Signaling Pathway -> Biodomain: Signal Transduction, GPCR Signaling, Cellular Signaling, Neuronal Signaling, Cell Communication
GO Term: Promoter-Enhancer Loop Anchoring Activity -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, APP Metabolism
GO Term: Chromatin Loop Anchoring Activity -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Chromatin Looping -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Nuclear Envelope Budding -> Biodomain: Proteostasis, Lipid Metabolism, RNA Spliceosome, Endolysosome, Autophagy
GO Term: Histone H3R8 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Tom Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Protein Carrier Chaperone -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cysteine-Type Endopeptidase Activator Activity -> Biodomain: Apoptosis, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Rna Sequestering Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Dna Damage Sensor Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: P-Type Manganese Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Iodotyrosine Deiodinase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Opioid Growth Factor Receptor Activity -> Biodomain: Signaling Receptor, Peptide Signaling, Growth Regulation, Nuclear Signaling, Receptor Activity
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The C-End Degron Rule Pathway -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Canonical Inflammasome Complex Assembly -> Biodomain: Immune Response, Inflammatory Response, Proteostasis, Apoptosis, Signal Transduction
GO Term: Card8 Inflammasome Complex Assembly -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Card8 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Pyroptotic Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Catalytic Activity, Acting On A Nucleic Acid -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Cell Cycle
GO Term: Negative Regulation Of Pre-B Cell Receptor Expression -> Biodomain: Immune Response, Cell Cycle, Cell Activation, Proteostasis, Apoptosis
GO Term: P450-Containing Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Radial Glia-Guided Pyramidal Neuron Migration -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Futile Creatine Cycle -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Atp-Dependent Chromatin Remodeler Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Cytoskeletal Motor Activator Activity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Atp-Dependent Protein Folding Chaperone -> Biodomain: Proteostasis, Autophagy, Structural Stabilization, Mitochondrial Metabolism, Apoptosis
GO Term: Atp-Dependent Fes Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Atp-Dependent Dna Damage Sensor Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Oxytocin Production -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Autophagy, Metal Binding and Homeostasis
GO Term: Cohesin Unloader Activity -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Atac Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Transcription Elongation-Coupled Chromatin Remodeling -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, RNA Spliceosome
GO Term: Atp-Dependent Histone Chaperone Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Molecular Function Activator Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Molecular Function Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Histone H3K36Me/H3K36Me2 Demethylase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, DNA Repair
GO Term: Histone H3K36Me2/H3K36Me3 Demethylase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, DNA Repair
GO Term: Fad-Dependent H3K4Me/H3K4Me3 Demethylase Activity -> Biodomain: Epigenetic, Oxidative Stress, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K9Me/H3K9Me2 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Histone H3K9Me2/H3K9Me3 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, DNA Repair
GO Term: Rna Folding Chaperone -> Biodomain: Proteostasis, RNA Spliceosome, Synapse, Mitochondrial Metabolism, Structural Stabilization
