Running with TEMP=0.9, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Cytoplasmic Translational Termination -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Translation Reinitiation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Ribose Phosphate Diphosphokinase Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Cap-Independent Translational Initiation -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Cap-Dependent Translational Initiation -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Ires-Dependent Translational Initiation Of Linear Mrna -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome, Epigenetic
GO Term: Maml1-Rbp-Jkappa- Icn1 Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Hepatocyte Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Ser-Trna(Ala) Deacylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Zona Pellucida Receptor Complex -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Lipid Metabolism, Cell Cycle
GO Term: Somatic Recombination Of Immunoglobulin Genes Involved In Immune Response -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: Somatic Diversification Of Immunoglobulins Involved In Immune Response -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Behavioral Defense Response -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Defense Response To Nematode -> Biodomain: Immune Response, Inflammation, Proteostasis, Autophagy, Apoptosis
GO Term: Activation Of Innate Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Innate Immune Response Activating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Inflammatory Response, Signaling, Autophagy, Endolysosome
GO Term: Stimulatory Killer Cell Immunoglobulin-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Oxidative Stress
GO Term: Stimulatory C-Type Lectin Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Inflammation, Signal Transduction, Innate Immunity, Cellular Response
GO Term: Positive Regulation Of Antimicrobial Peptide Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Innate Immune Response In Mucosa -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Endolysosome, Autophagy
GO Term: Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Defense Response To Virus By Host -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Leukocyte Chemotaxis Involved In Inflammatory Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Response To Molecule Of Bacterial Origin -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Molecule Of Fungal Origin -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Wound Healing Involved In Inflammatory Response -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Proteostasis
GO Term: Connective Tissue Replacement Involved In Inflammatory Response Wound Healing -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Organ Or Tissue Specific Immune Response -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Proteostasis
GO Term: Immune Effector Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Activation Of Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Lymphocyte Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Myeloid Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Endothelial Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Astrocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Synapse, Oxidative Stress, Vasculature, Proteostasis
GO Term: Follicular Dendritic Cell Activation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Follicular Dendritic Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Structural Stabilization, Apoptosis, Vasculature
GO Term: Leukocyte Activation Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Vasculature, Apoptosis
GO Term: Plasmacytoid Dendritic Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Plasmacytoid Dendritic Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Myeloid Leukocyte Activation -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Basophil Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Myeloid Dendritic Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Monocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Macrophage Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Microglial Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Neutrophil Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Lymphocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: T Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: T-Helper Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: T-Helper 1 Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Cd8-Positive, Alpha-Beta Intraepithelial T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Cd8-Positive, Alpha-Beta T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, T Cell Differentiation, Adaptive Immunity, Cell Differentiation, Cell Activation
GO Term: Cd8-Positive, Gamma-Delta Intraepithelial T Cell Differentiation -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: T Cell Proliferation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: B Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Synapse, Endolysosome, Apoptosis, Proteostasis
GO Term: Mature B Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Germinal Center B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Marginal Zone B Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Follicular B Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Epigenetic, Cell Cycle, Apoptosis
GO Term: Plasma Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Myeloid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Memory B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, DNA Repair
GO Term: Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: B Cell Proliferation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Natural Killer Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Endolysosome, Synapse, Oxidative Stress
GO Term: B Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Immature B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Pro-B Cell Differentiation -> Biodomain: Immune Response, DNA Repair, Cell Cycle, Apoptosis, Epigenetic
GO Term: Pre-B Cell Differentiation -> Biodomain: Immune Response, DNA Repair, Cell Cycle, Epigenetic, Apoptosis
GO Term: Pre-B Cell Allelic Exclusion -> Biodomain: Immune Response, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Transitional One Stage B Cell Differentiation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Transitional Two Stage B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Mature B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: B-1 B Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: B-1A B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: B Cell Affinity Maturation -> Biodomain: Immune Response, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: B Cell Negative Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Plasma Kallikrein-Kinin Cascade -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Detection Of Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Defense Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: B Cell Homeostatic Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: T Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Nk T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Leukocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Autophagy
GO Term: Immune System Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Immune Response In Brain Or Nervous System -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Hepatic Immune Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Mucosal Immune Response -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Immune Response In Gut-Associated Lymphoid Tissue -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Vasculature
GO Term: Immune Response In Nasopharyngeal-Associated Lymphoid Tissue -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Mhc Class Ib Protein Complex Assembly -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Mhc Class Ii Protein Complex Assembly -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Myeloid Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Antigen Transcytosis By M Cells In Mucosal-Associated Lymphoid Tissue -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Immunoglobulin Transcytosis In Epithelial Cells -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Synapse
GO Term: Immunoglobulin Transcytosis In Epithelial Cells Mediated By Polymeric Immunoglobulin Receptor -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Igg Immunoglobulin Transcytosis In Epithelial Cells Mediated By Fcrn Immunoglobulin Receptor -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Structural Stabilization
GO Term: Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: T Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Cell Cycle
GO Term: Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Immune Response-Activating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Complement Receptor Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Granuloma Formation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: Immune Complex Clearance -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Immune Complex Clearance By Erythrocytes -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Inflammation, Innate Immunity, Antigen Processing and Presentation, Cytokine Signaling
GO Term: Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Leukocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Neutrophil Mediated Immunity -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Eosinophil Mediated Immunity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Mast Cell Mediated Immunity -> Biodomain: Immune Response, Endolysosome, Vasculature, Lipid Metabolism, Autophagy
GO Term: Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: B Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Peripheral B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Cell Cycle
GO Term: Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Synapse, Autophagy, Endolysosome
GO Term: T Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Peripheral T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Epigenetic, Apoptosis
GO Term: Tolerance Induction Dependent Upon Immune Response -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Germinal Center Formation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Myeloid Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Plasmacytoid Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I, Tap-Independent -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Protein Antigen Via Mhc Class Ib, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I Via Er Pathway, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I Via Er Pathway, Tap-Independent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ib Via Er Pathway, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Peptide Antigen Assembly With Mhc Class I Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Peptide Antigen Assembly With Mhc Class Ii Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Antigen Processing And Presentation Of Peptide Or Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Central Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Central Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Lymphocyte Chemotaxis Across High Endothelial Venule -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Oxidative Stress
GO Term: Natural Killer Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Immune System Development -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Leukocyte Migration Involved In Immune Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Leukocyte Migration Involved In Inflammatory Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Regulation Of Vascular Permeability Involved In Acute Inflammatory Response -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Production Of Molecular Mediator Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Nitric Oxide Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Endolysosome
GO Term: Arachidonate Metabolite Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: Prostaglandin Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Leukotriene Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Activation Of Plasma Proteins Involved In Acute Inflammatory Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Factor Xii Activation -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Activation Of Blood Coagulation Via Clotting Cascade -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Monocyte Chemotaxis -> Biodomain: Immune Response, Cell Motility, Inflammation, Immune Cell Trafficking, Cellular Response to Stimuli
GO Term: Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Serotonin Secretion By Mast Cell -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Histamine Secretion By Mast Cell -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Oxidative Stress
GO Term: Serotonin Secretion By Platelet -> Biodomain: Vasculature, Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Somatic Diversification Of Immune Receptors Via Somatic Mutation -> Biodomain: Immune Response, DNA Repair, Apoptosis, Autophagy, Oxidative Stress
GO Term: Pro-T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Thrombocyte Differentiation -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Basophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Platelet Degranulation -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Regulation Of Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Or Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Antigen Presentation, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Macrophage Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Macrophage Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of B Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of T Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
