Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Negative Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Cellular Response To X-Ray -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Actomyosin Contractile Ring Assembly Actin Filament Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Cardiac Muscle Cell Myoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Epithelial Cell Differentiation Involved In Kidney Development -> Biodomain: Epigenetic, Vasculature, Structural Stabilization, Endolysosome, Immune Response
GO Term: Negative Regulation Of Epithelial Cell Differentiation Involved In Kidney Development -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Vasculature
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway Involved In Ureteric Bud Formation -> Biodomain: Epigenetic, Proteostasis, Vasculature, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Dense Core Granule Biogenesis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Apoptosis
GO Term: Positive Regulation Of Dense Core Granule Biogenesis -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Epigenetic, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Apoptosis
GO Term: Negative Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Mesenchymal Cell Proliferation Involved In Ureter Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Unknown
GO Term: Regulation Of Termination Of Rna Polymerase I Transcription -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Unknown
GO Term: Negative Regulation Of Glial Cell-Derived Neurotrophic Factor Receptor Signaling Pathway Involved In Ureteric Bud Formation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Stem Cell Differentiation -> Biodomain: Developmental Biology, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Anterior Head Development -> Biodomain: Developmental Biology, Gene Expression Regulation, Neural Development, Morphogenesis, Cell Differentiation
GO Term: Regulation Of Glucosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Glucosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Sphingomyelin Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Peptidyl-Lysine Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Peptidyl-Lysine Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, RNA Spliceosome
GO Term: Positive Regulation Of Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Regulation Of Cellular Senescence -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Cellular Senescence -> Biodomain: Cell Cycle, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cellular Senescence -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Positive Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Establishment Of Cell Polarity Regulating Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Mesenchymal Cell Proliferation Involved In Lung Development -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Vasculature
GO Term: Cell Proliferation Involved In Heart Valve Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Unknown, Mitochondrial Metabolism
GO Term: Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Negative Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Amniotic Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Endocardial Cushion To Mesenchymal Transition Involved In Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Termination Of Rna Polymerase Ii Transcription, Poly(A)-Coupled -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Termination Of Rna Polymerase Ii Transcription, Poly(A)-Coupled -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Negative Regulation Of Anoikis -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Proteostasis, Structural Stabilization
GO Term: Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Immune Response
GO Term: Negative Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Apoptosis
GO Term: Negative Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Nucleotide-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Regulation Of Grooming Behavior -> Biodomain: Unknown, Epigenetic, Synapse, Proteostasis, Cell Cycle
GO Term: Regulation Of Behavioral Fear Response -> Biodomain: Synapse, Epigenetic, Proteostasis, Oxidative Stress, Immune Response
GO Term: Regulation Of Heart Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mitochondrial Rna Surveillance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Parathyroid Hormone Secretion -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Androgen Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Testosterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Synapse, Oxidative Stress
GO Term: Negative Regulation Of Glucocorticoid Secretion -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Corticosterone Secretion -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Negative Regulation Of Corticosterone Secretion -> Biodomain: Immune Response, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Corticosterone Secretion -> Biodomain: Endolysosome, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Aldosterone Secretion -> Biodomain: Vasculature, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Aldosterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Vasculature
GO Term: Regulation Of Estradiol Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Estradiol Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Regulation Of Progesterone Secretion -> Biodomain: Hormonal Regulation, Endocrine Processes, Reproductive Processes, Cell Signaling, Metabolic Processes
GO Term: Positive Regulation Of Progesterone Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Cellobiose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cyclodextrin Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Detection Of Glucose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Epigenetic, Oxidative Stress
GO Term: Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Forebrain Neuron Differentiation -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Synapse, APP Metabolism
GO Term: Negative Regulation Of Forebrain Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Forebrain Neuron Differentiation -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Tau Homeostasis, Cell Cycle
GO Term: Negative Regulation Of Inner Ear Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Unknown
GO Term: Positive Regulation Of Inner Ear Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Behavioral Fear Response -> Biodomain: Synapse, Epigenetic, Oxidative Stress, Immune Response, Proteostasis
GO Term: Epithelial Cell Proliferation Involved In Renal Tubule Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Proteostasis
GO Term: Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, RNA Spliceosome
GO Term: Positive Regulation Of Retrograde Axon Cargo Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Regulation Of Response To Drug -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Negative Regulation Of Response To Drug -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Response To Drug -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Positive Regulation Of Tongue Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Regulation Of Cellular Response To Drug -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cellular Response To Drug -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Cellular Response To Drug -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Tendon Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Unknown
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Reactive Nitrogen Species Metabolic Process -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Metal Binding and Homeostasis, Apoptosis
GO Term: Mannan Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Glycogen Binding -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Unknown
GO Term: Starch Binding -> Biodomain: Carbohydrate Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Metanephric Ureteric Bud Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Rho Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Synapse
GO Term: Positive Regulation Of Lens Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Cell Cycle, Vasculature, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Translational Frameshifting -> Biodomain: Proteostasis, Unknown, Autophagy, Endolysosome, RNA Spliceosome
GO Term: Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Unknown
GO Term: Negative Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Positive Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Positive Regulation Of Phospholipid Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Rna Biosynthetic Process -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Unknown
GO Term: Nicotinate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Phosphatidylinositol-3,4,5-Trisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Dipeptide Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Renal Water Transport -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Mediator Complex Assembly -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Synapse, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Gamma-Delta T Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Regulation Of Osteoclast Development -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Osteoclast Development -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Osteoclast Development -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Apoptosis
GO Term: Negative Regulation Of Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Endolysosome
GO Term: Positive Regulation Of Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Neuron Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Unknown
GO Term: Negative Regulation Of Neuron Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, Epigenetic, Proteostasis, Synapse
GO Term: Positive Regulation Of Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Chloride Transport -> Biodomain: Vasculature, Endolysosome, Synapse, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Chloride Transport -> Biodomain: Vasculature, Proteostasis, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Positive Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Autophagy, Immune Response, Cell Cycle
GO Term: Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Ammonia Assimilation Cycle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Chromosome Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Unknown
GO Term: Positive Regulation Of Chromosome Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Store-Operated Calcium Entry -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Positive Regulation Of Cation Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Semaphorin-Plexin Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Semaphorin-Plexin Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Regulation Of Caveolin-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Vasculature
