Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Dopamine Beta-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Proteostasis
GO Term: Kynurenine 3-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Tyrosinase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Peptidylglycine Monooxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Phenylalanine 4-Monooxygenase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Squalene Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Steroid 11-Beta-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Steroid 17-Alpha-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Steroid 21-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Tryptophan 5-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Tyrosine 3-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Synapse
GO Term: Inositol-3-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Cell Cycle
GO Term: Nicotinate-Nucleotide Diphosphorylase (Carboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Nicotinate-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, DNA Repair, Proteostasis
GO Term: Nicotinate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair
GO Term: Nitric-Oxide Synthase Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, RNA Spliceosome, Immune Response
GO Term: Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, RNA Spliceosome, Epigenetic
GO Term: Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Rna Endonuclease Activity -> Biodomain: RNA Spliceosome, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Ribonuclease A Activity -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Rna-Dna Hybrid Ribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome, Cell Cycle
GO Term: Ribonuclease Iii Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Ribonuclease P Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Exonuclease Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle, Apoptosis
GO Term: Phosphodiesterase I Activity -> Biodomain: RNA Spliceosome, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Immune Response
GO Term: Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Deoxyribonuclease I Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Deoxyribonuclease Ii Activity -> Biodomain: DNA Repair, Apoptosis, Autophagy, Endolysosome, Immune Response
GO Term: Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Immune Response, Cell Cycle, Autophagy, Epigenetic
GO Term: 5'-3' Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Poly(A)-Specific Ribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Immune Response
GO Term: Dna Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Rna Nuclease Activity -> Biodomain: Immune Response, Apoptosis, Metal Binding and Homeostasis, Epigenetic, RNA Spliceosome
GO Term: Trna-Specific Ribonuclease Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Nucleoside Diphosphate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Epigenetic
GO Term: Dinucleotide Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Hydrolase Activity, Hydrolyzing O-Glycosyl Compounds -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Alpha,Alpha-Trehalase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Alpha-Amylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Alpha-Galactosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Alpha-1,4-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Alpha-L-Fucosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Oxidative Stress
GO Term: Alpha-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Immune Response
GO Term: Beta-N-Acetylhexosaminidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Beta-Galactosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Glycosaminoglycan Metabolism, Synapse
GO Term: Beta-Glucuronidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Beta-Mannosidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Chitinase Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Glycoprotein Endo-Alpha-1,2-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Mannosyl-Oligosaccharide 1,2-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Mannosyl-Oligosaccharide 1,3-1,6-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Glc3Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Oligo-1,6-Glucosidase Activity -> Biodomain: Carbohydrate Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Sucrose Alpha-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Oligosaccharyl Transferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Structural Stabilization, Endolysosome
GO Term: N-Acetylglucosaminyldiphosphodolichol N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Chitobiosyldiphosphodolichol Beta-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Dolichyl-Diphosphooligosaccharide-Protein Glycotransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Dolichyl-Phosphate Beta-Glucosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Dolichyl-Phosphate Beta-D-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Ornithine Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Ornithine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Apoptosis, Oxidative Stress, Autophagy
GO Term: Ornithine Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Orotate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, RNA Spliceosome, Epigenetic
GO Term: Orotidine-5'-Phosphate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Autophagy
GO Term: Oxoglutarate Dehydrogenase (Succinyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Pantothenate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Pantetheine-Phosphate Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Protein-N-Terminal Amino-Acid Acetyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Tau Homeostasis
GO Term: Peptidylamidoglycolate Lyase Activity -> Biodomain: Proteostasis, Synapse, Metal Binding and Homeostasis, Vasculature, Immune Response
GO Term: Peroxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Glutathione Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phenylethanolamine N-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Phosphatidate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Myelination, Structural Stabilization, Cell Cycle
GO Term: Phosphatidylcholine-Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Phosphatidylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Epigenetic, Autophagy
GO Term: Phosphatidylserine Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Phosphoacetylglucosamine Mutase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phosphoenolpyruvate Carboxykinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Phosphoenolpyruvate Carboxykinase (Gtp) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphoglucomutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Phosphomannomutase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Phosphogluconate Dehydrogenase (Decarboxylating) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, DNA Repair, Autophagy
GO Term: Phosphoglycerate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, DNA Repair
GO Term: Phosphoglycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Phosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Phospholipase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycosylphosphatidylinositol Phospholipase D Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Phosphatidylcholine Lysophospholipase Activity -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Phospholipase C Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Synapse, Cell Cycle
GO Term: Phospholipase D Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Phosphomevalonate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Phosphopantothenate--Cysteine Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phosphopantothenoylcysteine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Phosphopyruvate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phosphoribosylamine-Glycine Ligase Activity -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Phosphoribosylaminoimidazole Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Phosphoribosylaminoimidazolesuccinocarboxamide Synthase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Phosphoribosylformylglycinamidine Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Epigenetic
GO Term: Phosphoribosylformylglycinamidine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Phosphoribosylaminoimidazolecarboxamide Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis
GO Term: Phosphoribosylglycinamide Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Oxidative Stress
GO Term: 1,4-Alpha-Oligoglucan Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Endolysosome, Proteostasis
GO Term: O-Phospho-L-Serine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Poly(Adp-Ribose) Glycohydrolase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Polynucleotide 5'-Phosphatase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Polypeptide N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Polyribonucleotide Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Porphobilinogen Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Procollagen-Proline 4-Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Proline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Propionyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Prenyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein Farnesyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Mitochondrial Metabolism, Apoptosis
GO Term: Protein Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism
GO Term: Caax-Protein Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism
GO Term: Rab Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Prostaglandin-Endoperoxide Synthase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Prostaglandin-D Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Protein-Arginine Deiminase Activity -> Biodomain: Epigenetic, Proteostasis, Immune Response, Oxidative Stress, Autophagy
GO Term: Protein C-Terminal S-Isoprenylcysteine Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Protein Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Protein Histidine Kinase Activity -> Biodomain: Proteostasis, Epigenetic, Signal Transduction, Autophagy, Apoptosis
GO Term: Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, DNA Repair, Immune Response
GO Term: Transmembrane Receptor Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: 3-Phosphoinositide-Dependent Protein Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Dna-Dependent Protein Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Amp-Activated Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Calcium/Calmodulin-Dependent Protein Kinase Activity -> Biodomain: Signal Transduction, Calcium Signaling, Cytoskeletal Regulation, Synapse, Proteostasis
GO Term: Elongation Factor-2 Kinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Synapse
GO Term: Myosin Light Chain Kinase Activity -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Synapse
GO Term: Phosphorylase Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Camp-Dependent Protein Kinase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Autophagy
GO Term: Cgmp-Dependent Protein Kinase Activity -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Eukaryotic Translation Initiation Factor 2Alpha Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Immune Response
GO Term: Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Calcium,Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Apoptosis, Cell Cycle, Synapse
GO Term: Diacylglycerol-Dependent, Calcium-Independent Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: G Protein-Coupled Receptor Kinase Activity -> Biodomain: Proteostasis, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Jun Kinase Activity -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Proteostasis, Cell Cycle
GO Term: Jun Kinase Kinase Kinase Activity -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Cell Cycle, Proteostasis
GO Term: Map Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Map Kinase Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Map Kinase Kinase Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Oxidative Stress, DNA Repair
GO Term: Ribosomal Protein S6 Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Protein Serine/Threonine/Tyrosine Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Non-Membrane Spanning Protein Tyrosine Kinase Activity -> Biodomain: Signal Transduction, Cell Cycle, Proteostasis, Immune Response, Apoptosis
GO Term: Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Epigenetic
GO Term: Protein-Lysine 6-Oxidase Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Phosphoprotein Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Signal Transduction, Chromatin Organization, Oxidative Stress
GO Term: Protein Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Oxidative Stress
GO Term: Protein Tyrosine Phosphatase Activity -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Proteostasis, Epigenetic
GO Term: Non-Membrane Spanning Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Phosphorylation Signaling, Cell Signaling, Protein Modification, Epigenetic
GO Term: Oxygen-Dependent Protoporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Purine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pyridoxamine Phosphate Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pyrroline-5-Carboxylate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyruvate Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: [Pyruvate Dehydrogenase (Acetyl-Transferring)]-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Dihydrolipoyllysine-Residue Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Oxidative Stress, Autophagy
GO Term: All-Trans-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Ribokinase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Thioredoxin Disulfide As Acceptor -> Biodomain: Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Ribose Phosphate Diphosphokinase Activity -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: D-Ribulose-Phosphate 3-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, DNA Repair
GO Term: Ribose-5-Phosphate Isomerase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Saccharopine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Saccharopine Dehydrogenase (Nad+, L-Lysine-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Selenide, Water Dikinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Sepiapterin Reductase (Nadp+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Synapse, Immune Response, Autophagy
