Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: G-Quadruplex Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Timing Of Anagen -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Timing Of Anagen -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Timing Of Anagen -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Cardioblast Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Negative Regulation Of Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Regulation Of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Lipid Metabolism, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Membrane Depolarization -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: S-(Hydroxymethyl)Glutathione Dehydrogenase [Nad(P)+] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Pigment Granule Transport -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Double-Stranded Dna 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Apoptosis
GO Term: Induction Of Synaptic Plasticity By Chemical Substance -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Granulocyte Colony-Stimulating Factor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Fibrinolysis -> Biodomain: Vasculature, Proteostasis, Immune Response, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Fibrinolysis -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Fibrinolysis -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Peroxiredoxin Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cholesterol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Sulfation -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Vasculature, Structural Stabilization
GO Term: Regulation Of Calcium Ion Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Negative Regulation Of Calcium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Synapse, Proteostasis
GO Term: Positive Regulation Of Calcium Ion Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Regulation Of Sensory Perception Of Pain -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Glutamate Reuptake -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Vasculature
GO Term: Gamma-Aminobutyric Acid Reuptake -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: L-Glutamate Import -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Import -> Biodomain: Synapse, Endolysosome, Mitochondrial Metabolism, Vasculature, Proteostasis
GO Term: Regulation Of Glutamate Uptake Involved In Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Glutamate Uptake Involved In Transmission Of Nerve Impulse -> Biodomain: Synapse, Oxidative Stress, Tau Homeostasis, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Amine Transport -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Amino Acid Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Methotrexate Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dynein Light Intermediate Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Regulation Of Nervous System Development -> Biodomain: Synapse, Cell Cycle, Myelination, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Nervous System Development -> Biodomain: Synapse, Apoptosis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Nervous System Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Synapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, APP Metabolism
GO Term: Regulation Of Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Positive Regulation Of Transmission Of Nerve Impulse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lysophospholipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Lysophospholipid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Membrane Trafficking, Transport Mechanisms, Cell Membrane Functions, Autophagy
GO Term: Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Regulation Of Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: (R)-2-Hydroxyglutarate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Apoptosis, Proteostasis
GO Term: Squalene Synthase [Nad(P)H] Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Autophagy
GO Term: 2-Oxo-4-Hydroxy-4-Carboxy-5-Ureidoimidazoline Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Protein Carboxyl O-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Symbiont-Mediated Suppression Of Host Innate Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Suppression Of Symbiont Entry Into Host -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Proteostasis, Apoptosis
GO Term: Trna Dimethylallyltransferase Activity -> Biodomain: Lipid Metabolism, RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Diamine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Histamine Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Phosphatidylinositol-3,5-Bisphosphate 3-Phosphatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Udp-N-Acetylgalactosamine Diphosphorylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Lysophosphatidic Acid Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Proteostasis
GO Term: All-Trans-Retinol Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: Monoacylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Cyclic Purine Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Immune Response, Lipid Metabolism
GO Term: L-Leucine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: L-Valine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: L-Isoleucine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Guanine Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Apoptosis
GO Term: Inositol-1,4,5-Trisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Vasculature, Apoptosis
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Carboxylic Ester Hydrolase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Trna-Specific Adenosine-34 Deaminase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Class Ii Dna-(Apurinic Or Apyrimidinic Site) Endonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Fatty Acid In-Chain Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Inositol Hexakisphosphate 1-Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Inositol-1,3,4-Trisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Inositol-1,3,4-Trisphosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Epigenetic, Synapse
GO Term: Phosphocholine Phosphatase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Phosphoethanolamine Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Trna (Cytidine-3-)-Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis
GO Term: (R)-Limonene 6-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Immune Response
GO Term: Phosphatidylinositol Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Immune Response, Vasculature
GO Term: Inositol Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Cell Cycle, Synapse
GO Term: Gdp-Mannose Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Chondroitin Hydrolase Activity -> Biodomain: Glycosaminoglycan Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Mannosyl-Oligosaccharide 1,6-Alpha-Mannosidase Activity -> Biodomain: Glycobiology, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: 1-Phosphatidylinositol-5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Cell Cycle
GO Term: Medium-Chain Fatty Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Medium-Chain Fatty Acyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Long-Chain Fatty Acyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Very Long-Chain Fatty Acyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Inositol Hexakisphosphate 2-Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Cell Cycle, Proteostasis
GO Term: Inositol Pentakisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Autophagy, Oxidative Stress
GO Term: Inositol-3,4-Bisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Inositol-1,3,4-Trisphosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Inositol Monophosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Inositol Monophosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Inositol Monophosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Inositol-3,4,6-Trisphosphate 1-Kinase Activity -> Biodomain: Signal Transduction, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Inositol 5-Diphosphate Pentakisphosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Diphosphoinositol Tetrakisphosphate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Inositol Diphosphate Tetrakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Inositol Diphosphate Pentakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Epigenetic, DNA Repair
GO Term: Inositol-5-Diphosphate-1,2,3,4,6-Pentakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Inositol-3,5-Bisdiphosphate-2,3,4,6-Tetrakisphosphate 5-Diphosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Ferric-Chelate Reductase (Nadph) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Nad(P)Hx Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Phosphatidylinositol Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Arachidonate Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Metal Binding and Homeostasis
GO Term: Alpha-Tocopherol Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Fmn Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Fmn Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: All-Trans-Retinyl-Palmitate Hydrolase, 11-Cis Retinol Forming Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: All-Trans-Retinyl-Ester Hydrolase, 11-Cis Retinol Forming Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Spermine Oxidase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: N(1)-Acetylpolyamine Oxidase (3-Acetamidopropanal-Forming) Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Trna (Guanosine(9)-N1)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Epigenetic, RNA Spliceosome
GO Term: Trna (Guanine(37)-N1)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: 18S Rrna (Adenine(1779)-N(6)/Adenine(1780)-N(6))-Dimethyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Autophagy, DNA Repair
GO Term: Dol-P-Man:Man(7)Glcnac(2)-Pp-Dol Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Dol-P-Man:Man(8)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: All-Trans-Nonaprenyl-Diphosphate Synthase (Geranyl-Diphosphate Specific) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Dol-P-Man:Man(5)Glcnac(2)-Pp-Dol Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Dol-P-Man:Man(6)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Muscle Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Striated Muscle Cell Development -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Vasculature, Autophagy
GO Term: Cardiac Myofibril Assembly -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Ventricular Cardiac Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Cardiac Cell Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Cardiac Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Cardiac Muscle Tissue Morphogenesis -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Vasculature, Lipid Metabolism, Autophagy
GO Term: Atrial Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Vasculature, Cell Cycle, Epigenetic
GO Term: Ventricular Cardiac Muscle Cell Differentiation -> Biodomain: Epigenetic, Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Cardiac Muscle Cell Development -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Vasculature, Autophagy, Cell Cycle
GO Term: Atrial Cardiac Muscle Cell Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Ventricular Cardiac Muscle Cell Development -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress
GO Term: Cardiac Muscle Tissue Growth -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cardiac Muscle Fiber Development -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cardiac Muscle Tissue Growth -> Biodomain: Structural Stabilization, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Cardiac Muscle Tissue Development -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Vasculature, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Cardiac Muscle Tissue Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Autophagy
GO Term: Negative Regulation Of Cardiac Muscle Tissue Development -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Cortical Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Nuclear Dna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Recycling Endosome -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Recycling Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Synapse, Lipid Metabolism, Structural Stabilization
GO Term: Anastral Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: D-Glucose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Asymmetric Neuroblast Division -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Synapse
GO Term: Phosphate Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Chloride Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress, Synapse
GO Term: Copper Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Calcium Ion Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Potassium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Oxidative Stress, Vasculature
GO Term: Gap Junction Hemi-Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Sodium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Endolysosome, Oxidative Stress
GO Term: Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Monoatomic Anion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Intracellular Chemical Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Nucleobase-Containing Small Molecule Metabolic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Ski Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lipid Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Fatty Acid Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
