Running with TEMP=0.1, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Myelination, Proteostasis
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Autophagy, Epigenetic
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Proteostasis, Cell Cycle, Synapse, Immune Response, Tau Homeostasis
GO Term: Kinesin Binding -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Extrinsic Component Of Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Myelination
GO Term: Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Kinase Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Synapse, Immune Response
GO Term: Protein Kinase Binding -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Phosphatase Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Signal Transduction, Phosphorylation
GO Term: Protein Phosphatase Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Tau Homeostasis
GO Term: Protein Domain Specific Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Autophagy
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Apoptosis
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Camp-Mediated Signaling -> Biodomain: Synapse, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Ubiquitin-Proteasome System, Endolysosome, APP Metabolism
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Cell Cycle
GO Term: Sexual Reproduction -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism, Apoptosis
GO Term: Cytokine Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Epigenetic
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Diacylglycerol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Symbiont-Containing Vacuole -> Biodomain: Endolysosome, Autophagy, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Ciliary Pocket Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Hemoglobin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Prechordal Plate Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, DNA Repair
GO Term: Neural Fold Elevation Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Vasculature
GO Term: Neural Fold Bending -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Vasculature, Epigenetic
GO Term: Floor Plate Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Autophagy, Proteostasis
GO Term: Roof Plate Formation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Endolysosome
GO Term: Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Spinal Cord Patterning -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Immune Response
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Apoptosis
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Structural Stabilization, Myelination, Cell Cycle, Proteostasis, Synapse
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Synapse, Myelination, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Dorsal Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Apoptosis
GO Term: Ventral Spinal Cord Development -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Apoptosis, Synapse
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Synapse, RNA Spliceosome
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Proteostasis
GO Term: Neural Tube Patterning -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Myelination
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Epigenetic, Autophagy
GO Term: Cell Migration In Hindbrain -> Biodomain: Cell Migration, Neurogenesis, Neural Development, Structural Stabilization, Synapse
GO Term: Diencephalon Development -> Biodomain: Neurodevelopment, Neural Circuit, Signaling Pathway, Cell Differentiation, Embryonic Development
GO Term: Telencephalon Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Subthalamus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Pallium Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Subpallium Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Epigenetic
GO Term: Cranial Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Immune Response
GO Term: Rhombomere Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Synapse
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Pons Development -> Biodomain: Structural Stabilization, Vasculature, Myelination, Synapse, Cell Cycle
GO Term: Cerebellum Development -> Biodomain: Synapse, Cell Cycle, Myelination, Structural Stabilization, Apoptosis
GO Term: Central Nervous System Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Optic Nerve Development -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Vasculature
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Apoptosis
GO Term: Central Nervous System Formation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Myelination
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Autophagy
GO Term: Trochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Trigeminal Nerve Development -> Biodomain: Structural Stabilization, Myelination, Apoptosis, Proteostasis, Synapse
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Tau Homeostasis
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Immune Response
GO Term: Rhombomere 2 Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Synapse
GO Term: Rhombomere 3 Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Vasculature
GO Term: Rhombomere 4 Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Myelination
GO Term: Rhombomere 5 Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Rhombomere 6 Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Apoptosis, Autophagy
GO Term: Hindbrain Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Vasculature, Synapse, Cell Cycle
GO Term: Cerebellum Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Vasculature
GO Term: Cerebellum Formation -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Cerebellum Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Ventricular System Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Fourth Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: Abducens Nerve Formation -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Endolysosome
GO Term: Facial Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Vasculature
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Optic Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Mitochondrial Metabolism
GO Term: Optic Nerve Structural Organization -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Autophagy
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Autophagy
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Vasculature
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Autophagy
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Lipid Metabolism
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Synapse
GO Term: Rhombomere 3 Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Myelination
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Lateral Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Synapse, Myelination, Endolysosome
GO Term: Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Third Ventricle Development -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Apoptosis, Endolysosome
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Proteostasis
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Myelination
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Cerebellar Cortex Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Vasculature
GO Term: Developmental Maturation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Neuronal Differentiation, Neurogenesis
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Medullary Reticular Formation Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Autophagy, Cell Cycle
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Abducens Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Hypoglossal Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Cochlear Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Vestibular Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Cell Cycle
GO Term: Facial Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Striatum Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Proteostasis
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Putamen Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Endolysosome
GO Term: Globus Pallidus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Epigenetic
GO Term: Limbic System Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Substantia Nigra Development -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Apoptosis
GO Term: Amygdala Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Epigenetic
GO Term: Hippocampus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Mammillary Body Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Apoptosis
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Structural Stabilization, Synapse, Neuronal Signaling, Cell Cycle, Epigenetic
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Developmental Processes, Neuronal Signaling, Neuronal Development, Neural Cell Fate, Synapse
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Signal Transduction, Developmental Biology, Cell Differentiation, Neuroscience
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Epigenetic
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Lipid Metabolism
GO Term: Glial Cell Fate Specification -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Glial Cell Fate Commitment -> Biodomain: Cell Cycle, Myelination, Epigenetic, Immune Response, Lipid Metabolism
GO Term: Glial Cell Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Cell Cycle
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Thalamus Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Apoptosis
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Epigenetic
GO Term: Cerebral Cortex Regionalization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Synapse, Autophagy
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, RNA Spliceosome
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Lipid Metabolism, Proteostasis
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Endolysosome
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, APP Metabolism, Proteostasis
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Proteostasis
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Endolysosome
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Apoptosis, Cell Cycle, Proteostasis
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Immune Response
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Immune Response, Vasculature, Proteostasis
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, RNA Spliceosome, Lipid Metabolism
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Autophagy
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Cell Cycle, Synapse, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Hypothalamus Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Autophagy
GO Term: Hypothalamus Cell Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Endolysosome
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
