Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Cytokine -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature
GO Term: Vcp-Npl4-Ufd1 Aaa Atpase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Unknown
GO Term: Erythrocyte Homeostasis -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: Regulation Of Tissue Remodeling -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Tissue Remodeling -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Erythrocyte Clearance -> Biodomain: Immune Response, Apoptosis, Vasculature, Endolysosome, Proteostasis
GO Term: Homotypic Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Synapse
GO Term: Negative Regulation Of Homotypic Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Homotypic Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Cell Cycle
GO Term: Heterotypic Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Myelination
GO Term: Negative Regulation Of Heterotypic Cell-Cell Adhesion -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Autophagy
GO Term: Positive Regulation Of Heterotypic Cell-Cell Adhesion -> Biodomain: Cell Adhesion, Immune Response, Vasculature, Structural Stabilization, Synapse
GO Term: Regulation Of Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Autophagy
GO Term: Regulation Of Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Unknown
GO Term: Regulation Of Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Autophagy, Epigenetic, Proteostasis, Apoptosis
GO Term: Toll-Like Receptor 2 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Toll-Like Receptor 2 Signaling Pathway -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Toll-Like Receptor 2 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Oxidative Stress
GO Term: Regulation Of Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Toll-Like Receptor 5 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Toll-Like Receptor 5 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Toll-Like Receptor 6 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Toll-Like Receptor 6 Signaling Pathway -> Biodomain: Immune Response, Toll-Like Receptors, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Toll-Like Receptor 7 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Toll-Like Receptor 7 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Toll-Like Receptor 7 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Toll-Like Receptor 8 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Toll-Like Receptor 8 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Apolipoprotein Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Immune Response, Vasculature
GO Term: Apolipoprotein A-I Binding -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis, Immune Response
GO Term: Apolipoprotein A-I Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Proteostasis, Endolysosome
GO Term: Very-Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Apolipoprotein Receptor Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Apolipoprotein A-I Receptor Binding -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress, Immune Response
GO Term: Triglyceride Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Endolysosome, Autophagy
GO Term: Cellular Response To Amino Acid Starvation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Activation Of Protein Kinase A Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Response To Oleic Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glycolipid Floppase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Proteostasis, Autophagy
GO Term: Glycolipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Lipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Amyloid-Beta Formation -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Gtp-Dependent Protein Kinase Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Epigenetic, Apoptosis
GO Term: Quinolinate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Protein Hexamerization -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Carbohydrate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Cellular Response To Zinc Ion Starvation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Trna Thio-Modification -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Ethanolamine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Ethanolamine Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Enkephalin Processing -> Biodomain: Proteostasis, Synapse, Immune Response, Endolysosome, Autophagy
GO Term: Islet Amyloid Polypeptide Processing -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy, Endolysosome
GO Term: Gpi Anchor Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Protein Kinase A Catalytic Subunit Binding -> Biodomain: Proteostasis, Epigenetic, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Protein Kinase A Regulatory Subunit Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Immune Response, Mitochondrial Metabolism
GO Term: Macrophage Fusion -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Positive Regulation Of Macrophage Fusion -> Biodomain: Immune Response, Structural Stabilization, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Synapse, Structural Stabilization, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, DNA Repair, Proteostasis
GO Term: Negative Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Immune Response
GO Term: Mitochondrial Dna-Directed Rna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Transcription Factor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Snorna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Unknown, Proteostasis, Cell Cycle
GO Term: Regulation Of Amide Metabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Amide Metabolic Process -> Biodomain: Proteostasis, Epigenetic, DNA Repair, RNA Spliceosome, Autophagy
GO Term: Regulation Of Urea Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Gtpase Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Endolysosome, Autophagy
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Iii, Type I -> Biodomain: Autophagy, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Iii, Type Ii -> Biodomain: Autophagy, Endolysosome, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Atg12-Atg5-Atg16 Complex -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Kynurenic Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Synapse, Metal Binding and Homeostasis
GO Term: Response To Monosaccharide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Disaccharide -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Diol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Regulation Of Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Negative Regulation Of Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Actin Cytoskeleton, Cytoskeletal Dynamics, Structural Stabilization, Cell Motility and Migration, Proteostasis
GO Term: Nicotinate Riboside Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Cell Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Endolysosome
GO Term: Cell Junction Organization -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Proteostasis
GO Term: Cell Junction Maintenance -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Adherens Junction Organization -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Adhesion, Extracellular Matrix, Cell Junction
GO Term: Adherens Junction Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Synapse
GO Term: Adherens Junction Maintenance -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Apoptosis
GO Term: Rna Folding -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Short-Chain Carboxylesterase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Response To Type I Interferon -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Cell Cycle
GO Term: Response To Type Ii Interferon -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Response To Type Iii Interferon -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Type Iii Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Regulation Of Type Iii Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Type Iii Interferon Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Type Iii Interferon Production -> Biodomain: Immune Response, Epigenetic, Autophagy, Oxidative Stress, Endolysosome
GO Term: Type Iii Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Glial Cell Apoptotic Process -> Biodomain: Apoptosis, Synapse, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Glial Cell Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Mrna 5'-Diphosphatase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: 'De Novo' Nad+ Biosynthetic Process From L-Tryptophan -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Nad+ Biosynthetic Process Via The Salvage Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Plasma Lipoprotein Particle -> Biodomain: Lipid Metabolism, Vasculature, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Mature Chylomicron -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Unknown
GO Term: Chylomicron Remnant -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Unknown, Proteostasis
GO Term: Very-Low-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Vasculature, APP Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Low-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Intermediate-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Discoidal High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Spherical High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Protein-Containing Complex Remodeling -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Plasma Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Triglyceride-Rich Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Unknown
GO Term: Chylomicron Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Endolysosome, Structural Stabilization
GO Term: Intermediate-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Oxidative Stress
GO Term: Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Vasculature
GO Term: High-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Plasma Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Structural Stabilization, Unknown
GO Term: Chylomicron Assembly -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Oxidative Stress
GO Term: Very-Low-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Autophagy
GO Term: High-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Plasma Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Chylomicron Remnant Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: 4-Aminobutyrate:2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Pwp2P-Containing Subcomplex Of 90S Preribosome -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Unknown, Autophagy
GO Term: Lipid Droplet Organization -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Regulation Of Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Protein Localization To Cell Surface -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Telomere Localization -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Telomere Tethering At Nuclear Periphery -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Nuclear Periphery -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Response To Fluid Shear Stress -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization, Immune Response
GO Term: Bisphosphoglycerate 3-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Urate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Post-Translational Protein Acetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Autophagosome Lumen -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Bis(5'-Adenosyl)-Hexaphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Unknown, Endolysosome
GO Term: Bis(5'-Adenosyl)-Pentaphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Glycoprotein Transport -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Immune Response, Lipid Metabolism
GO Term: Lipoprotein Lipid Oxidation -> Biodomain: Oxidative Stress, Lipid Metabolism, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Lipid Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Plasma Lipoprotein Particle Oxidation -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Negative Regulation Of Plasma Lipoprotein Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Proteostasis
GO Term: Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Ubiquitin-Ubiquitin Ligase Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Centriolar Satellite -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Dynactin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Microtubule Anchoring -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Endolysosome
GO Term: Microtubule Anchoring At Centrosome -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Unknown
GO Term: T-Utp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Unknown
GO Term: Utp-C Complex -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Mpp10 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: 3'-5' Rna Helicase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Small-Subunit Processome Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Unknown, Epigenetic, DNA Repair
GO Term: 90S Preribosome Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Bbsome -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Unknown
GO Term: Response To Carbon Monoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Apoptosis
GO Term: Chromaffin Granule Lumen -> Biodomain: Endolysosome, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Unknown, DNA Repair
GO Term: U1 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Unknown, Endolysosome
GO Term: U2 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Unknown
GO Term: U4 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Unknown, Autophagy, Apoptosis
GO Term: U5 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Unknown, Proteostasis, Autophagy
GO Term: U6 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Unknown, Autophagy
GO Term: Phosphatidylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Phosphatidylcholine Phospholipase C Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Chondroitin 2-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Vasculature, Unknown
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Cell Growth and Survival, Endolysosome, Autophagy
GO Term: Vacuolar Transmembrane Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Protein Localization To Phagophore Assembly Site -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Early Endosome To Golgi Transport -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Late Endosome To Golgi Transport -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Unknown
GO Term: Protein Localization To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Protein Localization To Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
