Running with TEMP=0.5, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Glutamyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy, RNA Spliceosome
GO Term: Glutaminyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Glycyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Histidyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Isoleucyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism
GO Term: Leucyl-Trna Aminoacylation -> Biodomain: Proteostasis, Amino Acid Metabolism, Translation, RNA Metabolism, Protein Synthesis
GO Term: Lysyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Methionyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Phenylalanyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, RNA Spliceosome
GO Term: Prolyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Seryl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Threonyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, DNA Repair
GO Term: Tryptophanyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Lipid Metabolism, Structural Stabilization
GO Term: Tyrosyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair
GO Term: Valyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Lipid Metabolism
GO Term: Regulation Of Translational Initiation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Translational Elongation -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Epigenetic, DNA Repair
GO Term: Regulation Of Translational Termination -> Biodomain: Proteostasis, Autophagy, Epigenetic, RNA Spliceosome, APP Metabolism
GO Term: Regulation Of Translational Fidelity -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Endolysosome
GO Term: Translational Frameshifting -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Apoptosis
GO Term: Protein Folding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: 'De Novo' Protein Folding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Steroid Hormone Receptor Complex Assembly -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Structural Stabilization
GO Term: Signal Peptide Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, APP Metabolism
GO Term: Protein Phosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Protein Kinase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Protein Dephosphorylation -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Epigenetic
GO Term: Protein Acetylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: N-Terminal Protein Amino Acid Acetylation -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Epigenetic
GO Term: Internal Protein Amino Acid Acetylation -> Biodomain: Proteostasis, Protein Metabolism, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Protein Deacetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, DNA Repair
GO Term: Protein Sulfation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Peptidyl-Tyrosine Sulfation -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: Protein Methylation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: N-Terminal Protein Amino Acid Methylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: C-Terminal Protein Methylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Protein Demethylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Protein Glycosylation -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Epigenetic, Lipid Metabolism
GO Term: Protein N-Linked Glycosylation -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Dolichol-Linked Oligosaccharide Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Dolichyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: N-Glycan Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Structural Stabilization
GO Term: Protein O-Linked Glycosylation -> Biodomain: Proteostasis, APP Metabolism, Synapse, Immune Response, Endolysosome
GO Term: Protein Lipidation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: N-Terminal Protein Myristoylation -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Apoptosis, Mitochondrial Metabolism
GO Term: C-Terminal Protein Lipidation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Gpi Anchor Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Gpi Anchor Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Endolysosome
GO Term: Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Membrane Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Apoptosis
GO Term: Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Ubiquitin Proteasome System, Protein Degradation, Cellular Quality Control
GO Term: Protein Monoubiquitination -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Autophagy, Protein Trafficking, Endolysosome
GO Term: Protein Quality Control For Misfolded Or Incompletely Synthesized Proteins -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Glycoprotein Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Deglycosylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Peptide Metabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Cell Cycle
GO Term: Arginine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Arginine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis
GO Term: L-Arginine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Nitrogen Metabolism, Small Molecule Metabolism, Immune Response
GO Term: Asparagine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Asparagine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Aspartate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, DNA Repair, Lipid Metabolism, Autophagy
GO Term: Aspartate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: L-Aspartate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Cysteine Metabolic Process -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Cysteine Biosynthetic Process From Serine -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Glutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glutamate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: L-Glutamate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Gamma-Aminobutyrate Shunt -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glutamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Glutamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: L-Glutamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Energy Metabolism, Carbohydrate Metabolism, Oxidative Stress
GO Term: Glycine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Glycine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glycine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Histidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: L-Histidine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Isoleucine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: L-Isoleucine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Leucine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Leucine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lysine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Methionine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: S-Adenosylmethionine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Phenylalanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Proline Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Proline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: L-Proline Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Serine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Serine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Serine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Small Molecule Metabolism, Catabolic Process, Metabolism
GO Term: Threonine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: L-Threonine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Tryptophan Metabolic Process -> Biodomain: Mitochondrial Metabolism, Immune Response, Proteostasis, Synapse, Oxidative Stress
GO Term: L-Tryptophan Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Tyrosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Tyrosine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: L-Tyrosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Valine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Valine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Modified Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Biogenic Amine Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Amino-Acid Betaine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Amino-Acid Betaine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Ethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Acetylcholine Catabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Melanin Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Melanin Biosynthetic Process From Tyrosine -> Biodomain: Oxidative Stress, Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Catecholamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Synapse
GO Term: Dopamine Biosynthetic Process From Tyrosine -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Serotonin Biosynthetic Process From Tryptophan -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Octopamine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Thyroid Hormone Generation -> Biodomain: Proteostasis, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Ornithine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Ornithine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: L-Ornithine Catabolic Process -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Polyamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Polyamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Spermine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Epigenetic
GO Term: Polyamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Creatine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Creatine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Protein Targeting -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Protein Import Into Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Nls-Bearing Protein Import Into Nucleus -> Biodomain: Proteostasis, Autophagy, Epigenetic, DNA Repair, Cell Cycle
GO Term: Ribosomal Protein Import Into Nucleus -> Biodomain: Proteostasis, Autophagy, Endolysosome, Cell Cycle, Structural Stabilization
GO Term: Protein Export From Nucleus -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Apoptosis, Autophagy
GO Term: Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Cotranslational Protein Targeting To Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Srp-Dependent Cotranslational Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Srp-Dependent Cotranslational Protein Targeting To Membrane, Translocation -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Srp-Dependent Cotranslational Protein Targeting To Membrane, Signal Sequence Recognition -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Post-Translational Protein Targeting To Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Protein Retention In Er Lumen -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Protein Targeting To Lysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Protein Targeting To Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Vacuolar Protein Processing -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: Protein Targeting To Peroxisome -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Protein Processing Involved In Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Protein Targeting, Protein Maturation, Metabolism
GO Term: Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Acyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Neutral Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Acylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Monoacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Biosynthetic Process, Glycerolipid Metabolism, Neutral Lipid Metabolism, Primary Metabolic Process
GO Term: Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Triglyceride Mobilization -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Membrane Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Phospholipid Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylethanolamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Phospholipid Transfer To Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Structural Stabilization, Myelination
GO Term: Glycerophospholipid Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Myelination
GO Term: Diacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Phosphatidic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Phosphatidylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Phospholipid Metabolic Process, Biosynthetic Process, Glycerophospholipid Metabolic Process
GO Term: Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Cdp-Choline Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Endolysosome
GO Term: Phosphatidylserine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphatidylserine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Phosphatidylserine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Cell Cycle, Endolysosome
GO Term: Platelet Activating Factor Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Glycolipid Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Sphingolipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: 3-Keto-Sphinganine Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Sphinganine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Sphinganine-1-Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Sphinganine-1-Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Sphingosine Metabolic Process -> Biodomain: Lipid Metabolism, Apoptosis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Ceramide Metabolic Process -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Glycosylceramide Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Glucosylceramide Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Myelination, Oxidative Stress
GO Term: Glucosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Glucosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Galactosylceramide Metabolic Process -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Endolysosome, Autophagy
GO Term: Galactosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Autophagy, Proteostasis
GO Term: Galactosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Myelination, Proteostasis
GO Term: Sphingomyelin Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Myelination, Apoptosis, Autophagy
GO Term: Sphingomyelin Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Sphingomyelin Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Glycosphingolipid Metabolic Process -> Biodomain: Lipid Metabolism, Glycolipid Metabolism, Membrane Lipid Metabolic Process, Sphingolipid Metabolic Process, Endolysosome
GO Term: Glycosphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Endolysosome, Autophagy
GO Term: Ganglioside Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Icosanoid Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Leukotriene Metabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Prostanoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
