Running with TEMP=0.5, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Cell Proliferation By Vegf-Activated Platelet Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Immune Response, Structural Stabilization
GO Term: Nodal Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Fc Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Fc-Gamma Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Fc-Epsilon Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Fc-Gamma Receptor Signaling Pathway Involved In Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mast Cell Activation By Fc-Epsilon Receptor Signaling Pathway -> Biodomain: Immune Response, Signal Transduction, Inflammation, Cell Communication, Tissue Homeostasis
GO Term: Sequestering Of Bmp From Receptor Via Bmp Binding -> Biodomain: Proteostasis, Immune Response, Vasculature, Cell Cycle, Apoptosis
GO Term: Nodal Binding -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Immune Response, Proteostasis
GO Term: Sequestering Of Nodal From Receptor Via Nodal Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Structural Stabilization, Cell Cycle
GO Term: Activin Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Choriogonadotropin Hormone Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Negative Regulation Of Appetite By Leptin-Mediated Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Kit Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Epigenetic
GO Term: Interleukin-2-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Interleukin-7-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Interleukin-8-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Endolysosome
GO Term: Interleukin-9-Mediated Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Interleukin-21-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Chemokine (C-C Motif) Ligand 21 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: C-C Motif Chemokine 19 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Structural Stabilization, Vasculature
GO Term: Ccl19-Activated Ccr7 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Epigenetic
GO Term: Ccl21-Activated Ccr7 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Epigenetic, Apoptosis, Cell Cycle
GO Term: C-C Motif Chemokine 21 Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Toll-Like Receptor Tlr1:Tlr2 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Toll-Like Receptor Tlr6:Tlr2 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Erbb Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Vasculature, Immune Response, Structural Stabilization
GO Term: Erbb2 Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Apoptosis, Immune Response
GO Term: Erbb3 Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Proteostasis, Apoptosis
GO Term: Erbb4 Signaling Pathway -> Biodomain: Synapse, Vasculature, Proteostasis, Apoptosis, Autophagy
GO Term: Neuregulin Receptor Activity -> Biodomain: Synapse, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Neuregulin Binding -> Biodomain: Synapse, Myelination, Proteostasis, Structural Stabilization, Immune Response
GO Term: Erbb2-Erbb3 Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Autophagy
GO Term: Erbb2-Egfr Signaling Pathway -> Biodomain: Cell Cycle, Endolysosome, Proteostasis, Vasculature, Structural Stabilization
GO Term: Erbb2-Erbb4 Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Erbb4-Erbb4 Signaling Pathway -> Biodomain: Synapse, Cell Cycle, Myelination, Proteostasis, Apoptosis
GO Term: Erbb3:Erbb2 Complex -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Apoptosis, Immune Response
GO Term: Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Cell Cycle
GO Term: Chemokine (C-X-C Motif) Ligand 12 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Epigenetic
GO Term: C-X-C Motif Chemokine 12 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Chemokine (C-C Motif) Ligand 2 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Interleukin-11-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-23-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Interleukin-3-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Vasculature, Autophagy, Epigenetic
GO Term: Granulocyte-Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Proteostasis
GO Term: Granulocyte Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: C-X-C Chemokine Receptor Cxcr4 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Epigenetic
GO Term: Cxcl12-Activated Cxcr4 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Cell Cycle
GO Term: Prolactin Signaling Pathway -> Biodomain: Immune Response, Mitochondrial Metabolism, Autophagy, Epigenetic, Cell Cycle
GO Term: Erythropoietin-Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature
GO Term: Thrombopoietin-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Thrombopoietin Receptor Activity -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Oncostatin-M-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Somatostatin Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Cannabinoid Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Immune Response, Oxidative Stress, Epigenetic
GO Term: Interleukin-33-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Interleukin-17A-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Death Receptor Agonist Activity -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Complement Component C5A Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Vasculature, Oxidative Stress, Proteostasis
GO Term: Neurotrophin Signaling Pathway -> Biodomain: Synapse, Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Nerve Growth Factor Signaling Pathway -> Biodomain: Synapse, Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: G Protein-Coupled Bile Acid Receptor Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Adenylate Cyclase-Activating G Protein-Coupled Bile Acid Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Nuclear Receptor-Mediated Bile Acid Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Bile Acid Nuclear Receptor Activity -> Biodomain: Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Pattern Recognition Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Cholecystokinin Signaling Pathway -> Biodomain: Proteostasis, Synapse, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Neuropilin Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Synapse, Apoptosis, Proteostasis
GO Term: Vegf-Activated Neuropilin Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Synapse, Immune Response, Apoptosis
GO Term: Neuropilin Binding -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Proteostasis
GO Term: Gastric Inhibitory Peptide Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Thromboxane A2 Signaling Pathway -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Epigenetic, Apoptosis
GO Term: Thyroid-Stimulating Hormone Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Urokinase Plasminogen Activator Signaling Pathway -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Oxidative Stress
GO Term: Type Iii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Epigenetic, Oxidative Stress, Autophagy
GO Term: Torc1 Signaling -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Torc2 Signaling -> Biodomain: Lipid Metabolism, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Pronephric Field Specification -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Vasculature, RNA Spliceosome
GO Term: Pronephric Nephron Tubule Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Pronephric Nephron Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Pronephric Nephron Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Rig-I Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Mda-5 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mda-5 Signaling Pathway -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Rig-I Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Rig-I Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Symbiont-Mediated Suppression Of Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Rig-I Binding -> Biodomain: Immune Response, RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Pkr/Eifalpha Signaling -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Autophagy
GO Term: Fusion Of Virus Membrane With Host Endosome Membrane -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Stranded Viral Rna Replication -> Biodomain: Immune Response, RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis
GO Term: Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: DNA Repair, Immune Response, Epigenetic, Cell Cycle, Apoptosis
GO Term: Viral Rna Genome Replication -> Biodomain: RNA Spliceosome, Lipid Metabolism, Cell Cycle, Autophagy, Immune Response
GO Term: Dna-Templated Viral Transcription -> Biodomain: DNA Repair, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Viral Budding Via Host Escrt Complex -> Biodomain: Endolysosome, Proteostasis, Immune Response, Autophagy, Apoptosis
GO Term: Co-Receptor Binding -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Structural Stabilization
GO Term: Establishment Of Mitotic Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Regulation Of Growth -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Growth Rate -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Growth Rate -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Locomotion -> Biodomain: Synapse, Immune Response, Mitochondrial Metabolism, Myelination, Structural Stabilization
GO Term: Regulation Of Locomotion -> Biodomain: Synapse, Structural Stabilization, Immune Response, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Locomotion -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Regulation Of Multicellular Organism Growth -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic
GO Term: Negative Regulation Of Multicellular Organism Growth -> Biodomain: Apoptosis, Cell Cycle, Autophagy, Epigenetic, Lipid Metabolism
GO Term: Embryonic Cleavage -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Locomotion -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Mitochondrial Metabolism
GO Term: Positive Regulation Of Multicellular Organism Growth -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Embryonic Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Epigenetic Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Snrna Modification -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Regulation Of Development, Heterochronic -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Apoptosis, Autophagy
GO Term: Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Structural Stabilization
GO Term: Polar Body Extrusion After Meiotic Divisions -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Thermosensory Behavior -> Biodomain: Synapse, Myelination, Oxidative Stress, Proteostasis, Immune Response
GO Term: Interleukin-18 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Interleukin-18 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Interleukin-15 Receptor Activity -> Biodomain: Immune Response, Signaling, Apoptosis, Proteostasis, Cell Cycle
GO Term: Interleukin-16 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Interleukin-16 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Interleukin-20 Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Interleukin-22 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Interleukin-22 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Oxidative Stress
GO Term: Interleukin-23 Binding -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Endolysosome, Autophagy
GO Term: Interleukin-23 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Interleukin-12 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Dna Endoreduplication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Protein Refolding -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Atpase Inhibitor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Neurexin Family Protein Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Fluid Transport -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Epithelial Fluid Transport -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Olfactory Behavior -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Regulation Of Dopamine Metabolic Process -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Histone Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Chemoattractant Activity -> Biodomain: Immune Response, Vasculature, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Endolysosome, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Wound Healing -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Gliogenesis -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Lipid Metabolism, Synapse
GO Term: Intraciliary Transport -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Cell Migration Involved In Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Germ-Line Stem Cell Division -> Biodomain: Stem Cells, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Type 2 Immune Response -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: T-Helper Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Endolysosome
GO Term: B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: T Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Synapse, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Activated T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Alpha-Beta T Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Apoptosis
GO Term: Gamma-Delta T Cell Receptor Complex -> Biodomain: Immune Response, Synapse, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: T Cell Activation -> Biodomain: Immune Response, Synapse, Apoptosis, Endolysosome, Proteostasis
GO Term: B Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Macrophage Activation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Vasculature
GO Term: Monocyte Activation -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Endothelial Cell Activation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Oxidative Stress
GO Term: Neutrophil Activation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Nitrate Metabolic Process -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Vasculature, Metal Binding and Homeostasis
GO Term: Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, DNA Repair
GO Term: Regulation Of T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Thiamine Phosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Fructose 1,6-Bisphosphate 1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Rrna Primary Transcript Binding -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Meiotic Dna Double-Strand Break Formation -> Biodomain: DNA Repair, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Late Meiotic Recombination Nodule Assembly -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Vacuole Fusion, Non-Autophagic -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Retrograde Transport, Endosome To Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Dna Strand Invasion -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Cellular Response To Glucose Starvation -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Lipoprotein Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lipoprotein Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Lipoprotein Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Vasculature, Proteostasis
GO Term: Telomeric Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Interleukin-12 Beta Subunit Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Interleukin-12 Alpha Subunit Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Acetylcholine Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Heme Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Heme Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Sh2 Domain Binding -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Lysophosphatidic Acid Acyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Nuclear Outer Membrane-Endoplasmic Reticulum Membrane Network -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Tau Homeostasis
GO Term: Xenobiotic Catabolic Process -> Biodomain: Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Immune Response
GO Term: Ketone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Ketone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Ketone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Halogenated Hydrocarbon Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Modified Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Response To Cocaine -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Immune Response, Proteostasis
GO Term: Rna Repair -> Biodomain: RNA Spliceosome, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Tissue Regeneration -> Biodomain: Cell Cycle, Vasculature, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Establishment Of Planar Polarity Of Follicular Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Establishment Of Planar Polarity Of Embryonic Epithelium -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Proteostasis
GO Term: Ribosome Biogenesis -> Biodomain: Proteostasis, Cell Cycle, RNA Spliceosome, Epigenetic, Structural Stabilization
GO Term: Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Mitochondrial Metabolism, Autophagy
