Running with TEMP=0.9, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Cenp-A Containing Chromatin -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Cytoskeleton-Dependent Cytokinesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Chemoattraction Of Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Chemorepulsion Of Axon -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Vasculature
GO Term: Protein Localization To Cenp-A Containing Chromatin -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Glutamate Neurotransmitter Secretion In Response To Membrane Depolarization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Ubiquitin-Modified Histone Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Atg12 Conjugating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Nedd8 Conjugating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Sumo Conjugating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, DNA Repair, Epigenetic, Cell Cycle
GO Term: Ufm1 Conjugating Enzyme Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Ubiquitin-Like Protein Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Nedd8 Ligase Activity -> Biodomain: Proteostasis, DNA Repair, Apoptosis, Cell Cycle, Epigenetic
GO Term: Sumo Ligase Activity -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Epigenetic, Autophagy
GO Term: Ufm1 Ligase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mitochondrial Ribosome Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Spontaneous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Evoked Neurotransmitter Secretion -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mitotic Spindle Astral Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Importin-Alpha Family Protein Binding -> Biodomain: Proteostasis, DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle
GO Term: Seminal Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Vasculature
GO Term: Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Diphthine Methylesterase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Tricellular Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Lipoamidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Detoxification Of Hydrogen Peroxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Cellular Detoxification Of Hydrogen Peroxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Pituitary Gonadotropin Complex -> Biodomain: Endocrine, Reproductive System, Proteostasis, Hormone Regulation, Cell Signaling
GO Term: Protein-Glutaryllysine Deglutarylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Protein Deglutarylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Gator2 Complex -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Canonical Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Trna-5-Taurinomethyluridine 2-Sulfurtransferase -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: Reticulophagy -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: L-Threonylcarbamoyladenylate Synthase -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: N(6)-L-Threonylcarbamoyladenine Synthase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Anterior Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Folic Acid Receptor Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, DNA Repair, Metal Binding and Homeostasis
GO Term: Glycophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Lipophagy -> Biodomain: Autophagy, Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Methylglyoxal Catabolic Process To Lactate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gdp-Mannose Biosynthetic Process From Mannose -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Gdp-D-Mannose Biosynthetic Process From Fructose-6-Phosphate -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: C-Rich Strand Telomeric Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Ribonucleoside-Diphosphate Reductase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Protein-Lysine-Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Type 2 Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Engulfment Of Target By Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Leukotriene Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Late Endosomal Microautophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Protein Lipidation Involved In Autophagosome Assembly -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Protein Targeting To Lysosome Involved In Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Chaperone-Mediated Autophagy, Protein Degradation
GO Term: Chaperone-Mediated Autophagy Translocation Complex -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Motor Learning -> Biodomain: Synapse, Myelination, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Motor Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Forked Dna-Dependent Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Acid Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Neutral Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Telomeric Repeat-Containing Rna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Substrate Localization To Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Circulating Fibrinogen Levels -> Biodomain: Proteostasis, Endolysosome, Autophagy, Vasculature, Immune Response
GO Term: Positive Regulation Of Circulating Fibrinogen Levels -> Biodomain: Vasculature, Immune Response, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Leukocyte Adhesion To Vascular Endothelial Cell -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Antifungal Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Camkk-Ampk Signaling Cascade -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Multivesicular Body-Lysosome Fusion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Late Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Magnesium:Sodium Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Ribosylnicotinate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Translation Elongation Factor Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Synapse
GO Term: Response To Caloric Restriction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Xenobiotic Transport Across Blood-Nerve Barrier -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Enosc Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Cohesin Loader Activity -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair, Epigenetic
GO Term: Tapasin-Erp57 Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Dense Core Granule Priming -> Biodomain: Synapse, Endolysosome, Proteostasis, Structural Stabilization, Vasculature
GO Term: Secretory Granule Maturation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Chromatin Lock Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Autophagy
GO Term: Golgi Lumen Acidification -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Ph-Gated Chloride Channel Activity -> Biodomain: Endolysosome, Autophagy, Oxidative Stress, Immune Response, Apoptosis
GO Term: Gtp 3',8'-Cyclase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Cyclic Pyranopterin Monophosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nad+ Nucleosidase Activity, Cyclic Adp-Ribose Generating -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Epigenetic
GO Term: Met1-Linked Polyubiquitin Deubiquitinase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Endolysosome
GO Term: Endoplasmic Reticulum-Plasma Membrane Tethering -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Telomeric Dna-Containing Double Minutes Formation -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Telomeric D-Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Telomeric D-Loop Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Cytosolic Ciliogenesis -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Podosome Ring -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Vasculature, Autophagy
GO Term: Sperm Head -> Biodomain: Structural Stabilization, Endolysosome, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Concave Side Of Sperm Head -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Apical Ectoplasmic Specialization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Apoptosis
GO Term: Basal Ectoplasmic Specialization -> Biodomain: Structural Stabilization, Immune Response, Synapse, Vasculature, Proteostasis
GO Term: Protein Localization To Tricellular Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Neuropeptide Processing -> Biodomain: Proteostasis, Synapse, Endolysosome, APP Metabolism, Autophagy
GO Term: Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Neuron Projection Branch Point -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Dendritic Spine Cytoplasm -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Cholecystokinin -> Biodomain: Lipid Metabolism, Synapse, Vasculature, Epigenetic, Immune Response
GO Term: Telomeric G-Quadruplex Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Growth Cone Leading Edge -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Leading Edge Of Lamellipodium -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Retrograde Transporter Complex, Golgi To Er -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Neuroblast Migration -> Biodomain: Apoptosis, Structural Stabilization, Tau Homeostasis, Autophagy, Epigenetic
GO Term: Endoplasmic Reticulum Stress-Induced Pre-Emptive Quality Control -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Dna Clamp Unloader Activity -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Microtubule Plus End Polymerase -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Polarized Secretion Of Basement Membrane Proteins In Epithelium -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Lipid Metabolism
GO Term: Positive Regulation Of Hepatic Stellate Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Hepatic Stellate Cell Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Anterograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Positive Regulation Of Mini Excitatory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Mini Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Metal Binding and Homeostasis, Epigenetic
GO Term: Negative Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Structural Stabilization
GO Term: Positive Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Calcium Ion Sensor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: All-Trans Retinol 3,4-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: All-Trans Retinal 3,4-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: All-Trans Retinoic Acid 3,4-Desaturase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: 11-Cis-Retinal 3,4-Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Phagophore -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Autophagosome-Lysosome Fusion -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Autophagosome-Endosome Fusion -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Growth Plate Cartilage Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Protein Propionyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, APP Metabolism
GO Term: Peptidyl-Lysine Propionylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Glutathione Specific Gamma-Glutamylcyclotransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Gamma-Glutamylaminecyclotransferase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Erythrocyte Enucleation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Oxidative Stress
GO Term: Protein Localization To Somatodendritic Compartment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: C-Di-Gmp Signaling -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Establishment Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Vasculature, Endolysosome
GO Term: Midbody Abscission -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Mrna (Adenine-N1-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Penetration Of Cumulus Oophorus -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Establishment Of Left/Right Asymmetry -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Autophagy
GO Term: Perichondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Articular Cartilage Development -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Epigenetic
GO Term: Regulatory Rna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Immune Response, Cell Cycle, DNA Repair
GO Term: Meiosis I Cell Cycle Process -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Cardiac Endothelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Secondary Palate Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Regulation Of Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Scf-Dependent Proteasomal Ubiquitin-Dependent Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Scf-Dependent Proteasomal Ubiquitin-Dependent Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Stress Granule Assembly -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Autophagy, Epigenetic
GO Term: Positive Regulation Of Stress Granule Assembly -> Biodomain: Oxidative Stress, Proteostasis, RNA Spliceosome, Autophagy, Immune Response
GO Term: Negative Regulation Of Stress Granule Assembly -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Synapse, RNA Spliceosome
GO Term: Positive Regulation Of Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: D-Loop Dna Binding -> Biodomain: DNA Repair, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Vasculature, Epigenetic, Endolysosome, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Gpi-Mannose Ethanolamine Phosphate Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Immune Response, Proteostasis
GO Term: Fluoride Channel Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Tap Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Oligosaccharyltransferase Complex Binding -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Bbsome Binding -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Synapse
GO Term: Box C/D Methylation Guide Snornp Complex Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Garp Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Histone H3K9Me2/3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone Mrna Stem-Loop Binding Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome, DNA Repair
GO Term: Acyl-Coa (8-3)-Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Tsc1-Tsc2 Complex Binding -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Inhibitory Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Epigenetic
GO Term: Activating Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Hla-E Specific Inhibitory Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Synapse
GO Term: Stomach Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Peptidyl-Aspartic Acid 3-Dioxygenase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization
GO Term: Pumilio-Response Element Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Rna 2'-O-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Zinc Ion Import Into Organelle -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Fatty Acid Primary Amide Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Synapse
GO Term: 4-Hydroxybutyrate Receptor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Catalase Complex -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Mrna (Cytidine-5-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Structural Stabilization
GO Term: C5-Methylcytidine-Containing Rna Reader Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: N6-Methyl-Amp Deaminase Activity -> Biodomain: Nucleotide Metabolism, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Mitochondrial Atp-Gated Potassium Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Mitochondrial Atp-Gated Potassium Channel Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Chloride:Proton Antiporter Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Vasculature
GO Term: Complement Component C1Q Complex -> Biodomain: Immune Response, Oxidative Stress, Synapse, Vasculature, Proteostasis
