Running with TEMP=0.9, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Dendritic Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Endolysosome
GO Term: Positive Regulation Of Dendritic Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Positive Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Proteostasis
GO Term: Positive Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Cellular Response To X-Ray -> Biodomain: Oxidative Stress, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Actomyosin Contractile Ring Assembly Actin Filament Organization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cardiac Muscle Cell Myoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Epithelial Cell Differentiation Involved In Kidney Development -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Vasculature
GO Term: Negative Regulation Of Epithelial Cell Differentiation Involved In Kidney Development -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway Involved In Ureteric Bud Formation -> Biodomain: Signal Transduction, Development, Morphogenesis, Kidney Function, Regulation
GO Term: Negative Regulation Of Dense Core Granule Biogenesis -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Dense Core Granule Biogenesis -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, DNA Repair
GO Term: Positive Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Positive Regulation Of Mesenchymal Cell Proliferation Involved In Ureter Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Regulation Of Termination Of Rna Polymerase I Transcription -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Glial Cell-Derived Neurotrophic Factor Receptor Signaling Pathway Involved In Ureteric Bud Formation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Regulation Of Stem Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Lipid Metabolism, RNA Spliceosome
GO Term: Negative Regulation Of Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Proteostasis
GO Term: Positive Regulation Of Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Stem Cell Differentiation, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Anterior Head Development -> Biodomain: Developmental Biology, Morphogenesis, Cell Differentiation, Regulation of Developmental Process, Tissue Development
GO Term: Regulation Of Glucosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Glucosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Sphingomyelin Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Peptidyl-Lysine Acetylation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, DNA Repair
GO Term: Positive Regulation Of Peptidyl-Lysine Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, RNA Spliceosome, Cell Cycle
GO Term: Positive Regulation Of Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Vasculature
GO Term: Regulation Of Cellular Senescence -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Cellular Senescence -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress, DNA Repair
GO Term: Positive Regulation Of Cellular Senescence -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Oxidative Stress, Autophagy
GO Term: Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Establishment Of Cell Polarity Regulating Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Mesenchymal Cell Proliferation Involved In Lung Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Epigenetic
GO Term: Cell Proliferation Involved In Heart Valve Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Immune Response
GO Term: Negative Regulation Of Amniotic Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Endocardial Cushion To Mesenchymal Transition Involved In Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Negative Regulation Of Termination Of Rna Polymerase Ii Transcription, Poly(A)-Coupled -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Termination Of Rna Polymerase Ii Transcription, Poly(A)-Coupled -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Negative Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Anoikis -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Negative Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Negative Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Nucleotide-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Grooming Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Vasculature
GO Term: Regulation Of Behavioral Fear Response -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Mitochondrial Rna Surveillance -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Positive Regulation Of Parathyroid Hormone Secretion -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Vasculature, Oxidative Stress
GO Term: Positive Regulation Of Androgen Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Testosterone Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Glucocorticoid Secretion -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Regulation Of Corticosterone Secretion -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Corticosterone Secretion -> Biodomain: Immune Response, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Corticosterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Negative Regulation Of Aldosterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Vasculature
GO Term: Positive Regulation Of Aldosterone Secretion -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Estradiol Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Estradiol Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Regulation Of Progesterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Progesterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Cellobiose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Cyclodextrin Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Detection Of Glucose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Regulation Of Forebrain Neuron Differentiation -> Biodomain: Neurogenesis, Cell Differentiation, Developmental Biology, Neural Development, Cell Morphogenesis
GO Term: Negative Regulation Of Forebrain Neuron Differentiation -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Synapse
GO Term: Positive Regulation Of Forebrain Neuron Differentiation -> Biodomain: Epigenetic, Cell Cycle, Synapse, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Inner Ear Receptor Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Inner Ear Receptor Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization, Synapse
GO Term: Positive Regulation Of Behavioral Fear Response -> Biodomain: Synapse, Oxidative Stress, Epigenetic, Vasculature, Immune Response
GO Term: Epithelial Cell Proliferation Involved In Renal Tubule Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Retrograde Axon Cargo Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Response To Drug -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Response To Drug -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Response To Drug -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Immune Response
GO Term: Negative Regulation Of Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Tongue Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Cellular Response To Drug -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cellular Response To Drug -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Cellular Response To Drug -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Negative Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Synapse
GO Term: Positive Regulation Of Tendon Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Immune Response, Cell Cycle
GO Term: Reactive Nitrogen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Immune Response
GO Term: Mannan Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Glycogen Binding -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Starch Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Metanephric Ureteric Bud Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Immune Response
GO Term: Negative Regulation Of Rho Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Positive Regulation Of Lens Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Translational Frameshifting -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Oxidative Stress
GO Term: Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Phospholipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Vasculature
GO Term: Regulation Of Rna Biosynthetic Process -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Nicotinate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Phosphatidylinositol-3,4,5-Trisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Positive Regulation Of Dipeptide Transmembrane Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Renal Water Transport -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Mediator Complex Assembly -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Autophagy
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Synapse, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Negative Regulation Of T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Endolysosome
GO Term: Positive Regulation Of Gamma-Delta T Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Proteostasis, Vasculature, Autophagy
GO Term: Negative Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Endolysosome
GO Term: Positive Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Endolysosome, Apoptosis, Proteostasis
GO Term: Regulation Of Osteoclast Development -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Osteoclast Development -> Biodomain: Immune Response, Endolysosome, Metal Binding and Homeostasis, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Osteoclast Development -> Biodomain: Immune Response, Cell Cycle, Metal Binding and Homeostasis, Endolysosome, Epigenetic
GO Term: Regulation Of Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Regulation Of Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Vasculature, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Neuron Migration -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Positive Regulation Of Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Regulation Of Chloride Transport -> Biodomain: Ion Homeostasis, Vasculature, Synapse, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Chloride Transport -> Biodomain: Endolysosome, Autophagy, Synapse, Vasculature, Immune Response
GO Term: Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Negative Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Autophagy, Immune Response, Oxidative Stress
GO Term: Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Cellular Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Structural Stabilization
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Myelination
GO Term: Negative Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Positive Regulation Of Ammonia Assimilation Cycle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
