Running with TEMP=0.9, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Autophagy
GO Term: 8-Hydroxy-Dadp Phosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Protein Import Into Peroxisome Matrix, Substrate Release -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Epigenetic Programming In The Zygotic Pronuclei -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Epigenetic Programing Of Female Pronucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Epigenetic Programing Of Male Pronucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Autophagy
GO Term: Hemi-Methylated Dna-Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Cellular Response To Human Chorionic Gonadotropin Stimulus -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Response To Human Chorionic Gonadotropin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Vasculature, Autophagy
GO Term: Amphisome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Tau Homeostasis
GO Term: Autolysosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Cell Cycle Phase Transition -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Meiotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Mitotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Mitotic Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Mitotic Dna Integrity Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Meiotic Dna Integrity Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Meiotic Spindle Checkpoint Signaling -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Cilium Organization -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Metaphase/Anaphase Transition Of Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Modulation By Host Of Viral Process -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Suppression Of Viral Release By Host -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation By Host Of Viral Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation By Host Of Viral Process -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Trans-Golgi Network To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Nucleophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Mitotic G2/M Transition Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Mitotic G1/S Transition Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Modulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Modulation By Host Of Viral Rna Genome Replication -> Biodomain: Immune Response, Proteostasis, RNA Spliceosome, Apoptosis, Endolysosome
GO Term: Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Autophagy, Epigenetic
GO Term: Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Estrous Cycle -> Biodomain: Cell Cycle, Autophagy, Lipid Metabolism, Endolysosome, Apoptosis
GO Term: Plasma Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Structural Stabilization
GO Term: Plasma Membrane Raft Assembly -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Plasma Membrane Raft Distribution -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Plasma Membrane Raft Organization -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Synapse, Myelination
GO Term: Protein Localization To Plasma Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Synapse
GO Term: Protein Transport Into Plasma Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Synapse, Endolysosome
GO Term: Negative Regulation By Host Of Viral Glycoprotein Metabolic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Lipoprotein Localization To Membrane -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Protein-Containing Complex Binding -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Mitotic Cytokinesis Checkpoint Signaling -> Biodomain: Cell Cycle, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Double-Strand Break Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Double-Strand Break Repair Via Synthesis-Dependent Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Dna Replication Proofreading -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Dna Deamination -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Depurination -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Depyrimidination -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Mitochondrial Magnesium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: G0 To G1 Transition -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, RNA Spliceosome, DNA Repair
GO Term: Mitochondrial Degradosome -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Plasma Membrane Fusion -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Dna End Binding -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: G Protein-Coupled Purinergic Nucleotide Receptor Activity -> Biodomain: Signal Transduction, Receptor Activity, Metabolism, Cell Signaling, Molecular Function
GO Term: G Protein-Coupled Udp Receptor Activity -> Biodomain: Signal Transduction, Receptor Activity, Nucleotide Signaling, Cell Signaling, GPCR Signaling
GO Term: G Protein-Coupled Utp Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: G Protein-Coupled Atp Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Synapse, Vasculature
GO Term: Protein Insertion Into Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Protein Insertion Into Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Protein Import Into Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Protein Import Into Peroxisome Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Protein Targeting To Er -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Protein Insertion Into Er Membrane By Stop-Transfer Membrane-Anchor Sequence -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Autophagy, Structural Stabilization
GO Term: Protein Retention In Golgi Apparatus -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Constitutive Secretory Pathway -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Vasculature
GO Term: Regulated Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Transcytosis -> Biodomain: Vasculature, Immune Response, Endolysosome, Synapse, Proteostasis
GO Term: T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Negative Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Vasculature, Cell Cycle, Proteostasis
GO Term: Extrathymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Endolysosome, Cell Cycle, Proteostasis
GO Term: T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: T-Helper 2 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Endolysosome, Apoptosis
GO Term: Cytotoxic T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulatory T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Autophagy, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Innate Immune Response -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune Response, Cell Cycle, Autophagy, Apoptosis, RNA Spliceosome
GO Term: Interleukin-18 Receptor Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Keratin Filament -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Type Iii Intermediate Filament -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Myelination
GO Term: Intermediate Filament-Based Process -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Cell Cycle
GO Term: Intermediate Filament Cytoskeleton Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, DNA Repair, Lipid Metabolism
GO Term: Intermediate Filament Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Intermediate Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Intermediate Filament Organization -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Apoptosis, Synapse
GO Term: Intermediate Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Intermediate Filament Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Proteostasis, Apoptosis
GO Term: Integrin Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Cell Cycle
GO Term: Protein Neddylation -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Azole Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Pronucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Mitochondrial Metabolism, Proteostasis
GO Term: Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Structural Stabilization
GO Term: Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Regulation Of Bone Resorption -> Biodomain: Structural Stabilization, Apoptosis, Immune Response, Proteostasis, Oxidative Stress
GO Term: Bioactive Lipid Receptor Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Cell Signaling, Proteostasis, Vasculature
GO Term: N-Acetylglucosamine Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Keratan Sulfotransferase Activity -> Biodomain: Structural Stabilization, Synapse, APP Metabolism, Proteostasis, Immune Response
GO Term: Pre-Mrna Branch Point Binding -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Cell Cycle
GO Term: Meiotic Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Udp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Development Of Secondary Sexual Characteristics -> Biodomain: Endocrine, Development, Reproduction, Signaling, Metabolism
GO Term: Development Of Primary Sexual Characteristics -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Apoptosis, Proteostasis
GO Term: Meiotic Telomere Clustering -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Synapse
GO Term: Triplex Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Homologous Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Single-Stranded Dna 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Tripeptide Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Myosin Ii Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Neuronal Ion Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Clustering Of Voltage-Gated Sodium Channels -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Lipid Metabolism
GO Term: Clustering Of Voltage-Gated Potassium Channels -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Immune Response, Autophagy
GO Term: Asymmetric Protein Localization Involved In Cell Fate Determination -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Intercellular Bridge -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Glutathione Dehydrogenase (Ascorbate) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Basal Protein Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Apical Protein Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Vasculature, Immune Response
GO Term: Apical Part Of Cell -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Basal Part Of Cell -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Proteostasis
GO Term: Apical Cortex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Immune Response
GO Term: Basal Cortex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Synapse
GO Term: Translation Regulator Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Immune Response
GO Term: Establishment Of Protein Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Maintenance Of Protein Location -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Zonula Adherens Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Circadian, Synapse, Behavior, Neuronal Signaling, Cell Communication
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Circadian Rhythm, Synapse, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Isotype Switching -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Regulation Of Isotype Switching -> Biodomain: Immune Response, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Establishment Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Apoptosis, Cell Cycle
GO Term: Maintenance Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Establishment Of Neuroblast Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Synapse -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Postsynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Cell-Cell Junction Organization -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Cell-Cell Junction Maintenance -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Zonula Adherens Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Protein Palmitoleylation -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Cxcr Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cxcr1 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Autophagy
GO Term: Isocitrate Dehydrogenase Complex (Nad+) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Succinate-Coa Ligase Complex (Gdp-Forming) -> Biodomain: Mitochondrial Metabolism, Energy Metabolism, Metabolic Processes, Cellular Respiration, Lipid Metabolism
GO Term: Electron Transfer Flavoprotein Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Oxoglutarate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyruvate Dehydrogenase (Lipoamide) Phosphatase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyruvate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Proton-Transporting Atp Synthase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Respiratory Chain Complex I -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Respiratory Chain Complex Ii (Succinate Dehydrogenase) -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Respiratory Chain Complex Iii -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Respiratory Chain Complex Iv -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Mrna Cis Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Mrna Editing Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Alpha-Catenin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Proteostasis
GO Term: Gamma-Catenin Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Cadherin Binding -> Biodomain: Structural Stabilization, Synapse, Apoptosis, Immune Response, Vasculature
GO Term: Tubulin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Synapse
GO Term: Otolith Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Protein Phosphorylated Amino Acid Binding -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Leukocyte Activation -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Proteostasis
GO Term: Unmethylated Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Late Endosome To Vacuole Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Carnitine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Phospholipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Clathrin-Coated Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Farnesyl Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Farnesyl Diphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle
GO Term: Farnesyl Diphosphate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Mercury Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Epigenetic, Autophagy
GO Term: Positive Regulation Of Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Epigenetic, Endolysosome, Autophagy
GO Term: Interleukin-1 Type I Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Interleukin-1 Type Ii Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Vasculature
GO Term: Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Myoblast Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Bone Resorption -> Biodomain: Structural Stabilization, Apoptosis, Immune Response, Proteostasis, Endolysosome
GO Term: Cell Redox Homeostasis -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Response To Ethanol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Ether -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Locomotor Rhythm -> Biodomain: Circadian, Behavioral, Neuronal Signaling, Synapse, Proteostasis
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.9/go_biodomain_results_part_10.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.9/runtime_log.csv
