Running with TEMP=0.1, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Heat Generation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Heat Generation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Heat Generation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Oxidative Stress, Autophagy
GO Term: Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Cellular Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Nutrient -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: A Band -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: H Zone -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Cell Cycle
GO Term: I Band -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: G-Protein Beta/Gamma-Subunit Complex -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: G-Protein Beta-Subunit Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Immune Response, Endolysosome
GO Term: G-Protein Gamma-Subunit Binding -> Biodomain: Synapse, Endolysosome, Proteostasis, Cell Cycle, Autophagy
GO Term: G-Protein Beta/Gamma-Subunit Complex Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Lipid Metabolism
GO Term: Adenosine Receptor Binding -> Biodomain: Signaling, GPCR, Receptor Binding, Neurotransmission, Calcium Signaling
GO Term: A1 Adenosine Receptor Binding -> Biodomain: Signaling, Receptor Binding, GPCR Signaling, Signal Transduction, Molecular Interactions
GO Term: A2A Adenosine Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Adrenergic Receptor Binding -> Biodomain: Vasculature, Synapse, Proteostasis, Epigenetic, Immune Response
GO Term: Alpha-1B Adrenergic Receptor Binding -> Biodomain: Signaling, Neurotransmission, Physiological Response, Synapse, Cellular Response
GO Term: Alpha-2A Adrenergic Receptor Binding -> Biodomain: Synapse, Signaling, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Alpha-2B Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Epigenetic, Cell Cycle
GO Term: Alpha-2C Adrenergic Receptor Binding -> Biodomain: Signaling Receptor Binding, Protein Binding, Signal Transduction, Synapse, Molecular Function
GO Term: Beta-1 Adrenergic Receptor Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Lipid Metabolism, Cell Cycle
GO Term: Beta-2 Adrenergic Receptor Binding -> Biodomain: Signaling Receptor Binding, GPCR Signaling, Neurotransmitter Systems, Receptor Binding, Cell Communication
GO Term: Beta-3 Adrenergic Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Adrenomedullin Receptor Binding -> Biodomain: Signaling, Vasculature, Molecular Function, Receptor Binding, Stress Response
GO Term: Angiotensin Receptor Binding -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Type 1 Angiotensin Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Type 2 Angiotensin Receptor Binding -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Apelin Receptor Binding -> Biodomain: Vasculature, Lipid Metabolism, Synapse, Apoptosis, Autophagy
GO Term: Endothelin A Receptor Binding -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Endothelin B Receptor Binding -> Biodomain: Vasculature, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Neuromedin B Receptor Binding -> Biodomain: Synapse, Signaling, Neurotransmission, Receptor Binding, Stress Response
GO Term: Bradykinin Receptor Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: C5L2 Anaphylatoxin Chemotactic Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Endolysosome
GO Term: Calcitonin Receptor Binding -> Biodomain: Signaling, Receptor Binding, GPCR Signaling, Metal Binding and Homeostasis, Vasculature
GO Term: Type 1 Cannabinoid Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Haptoglobin Binding -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Hemoglobin Alpha Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Cxcr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Cxcr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Ccr1 Chemokine Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, GPCR Signaling, Protein-Protein Interaction, Inflammation
GO Term: Ccr2 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Endolysosome
GO Term: Ccr3 Chemokine Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Receptor Signaling & Transduction, Cell Adhesion & Migration, Inflammation
GO Term: Ccr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Oxidative Stress
GO Term: Ccr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Ccr6 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Ccr7 Chemokine Receptor Binding -> Biodomain: Immune Response, Signaling Receptor Binding, Proteostasis, Cytokine Signaling, Cell Surface Receptor Interactions
GO Term: Ccr10 Chemokine Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Receptor Binding, Signal Transduction, Cell Migration
GO Term: Cx3C Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Type B Gastrin/Cholecystokinin Receptor Binding -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: D1 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: D2 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: D3 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Signaling Receptor Binding, Immune Response, Lipid Metabolism
GO Term: D4 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: D5 Dopamine Receptor Binding -> Biodomain: Synapse, Signaling, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Edg-2 Lysophosphatidic Acid Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Apoptosis, Autophagy
GO Term: Follicle-Stimulating Hormone Receptor Binding -> Biodomain: Signaling Receptor Binding, G Protein-Coupled Receptor Binding, Hormone Activity, Reproductive Process, Cell Cycle
GO Term: Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Type 1 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Vasculature, Immune Response
GO Term: Type 2 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Type 3 Galanin Receptor Binding -> Biodomain: Signaling Receptor Binding, G Protein-Coupled Receptor Binding, Neuropeptide Receptor Binding, Neurotransmitter Receptor Binding, Protein Binding
GO Term: Gastric Inhibitory Polypeptide Receptor Binding -> Biodomain: Signaling, Metabolic Processes, Hormone Signaling, Receptor Binding, Cellular Signaling
GO Term: Ghrelin Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Autophagy, Apoptosis
GO Term: Glucagon Receptor Binding -> Biodomain: Lipid Metabolism, Autophagy, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Growth Hormone-Releasing Hormone Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Autophagy
GO Term: Type 1 Orexin Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Type 2 Orexin Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Kisspeptin Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Lipid Metabolism, Structural Stabilization
GO Term: Type 1 Melanin-Concentrating Hormone Receptor Binding -> Biodomain: Synapse, Signaling, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Melanocortin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Corticotropin Hormone Receptor Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Synapse, Endolysosome
GO Term: Type 3 Melanocortin Receptor Binding -> Biodomain: Signaling Receptor Binding, GPCR Binding, Neuropeptide Receptor Binding, Melanocortin Receptor Binding, Metabolic Regulation
GO Term: Type 4 Melanocortin Receptor Binding -> Biodomain: Signaling, Neuropeptide, Receptor Binding, Metabolism, Signal Transduction
GO Term: Type 5 Melanocortin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Apoptosis, Vasculature, Proteostasis
GO Term: Motilin Receptor Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: Type 2 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Type 3 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Type 5 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Type 8 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: P2Y1 Nucleotide Receptor Binding -> Biodomain: Vasculature, Signaling Receptor, GPCR Signaling, Receptor Binding, Intracellular Signaling
GO Term: G Protein-Coupled Serotonin Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Substance P Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Neuromedin K Receptor Binding -> Biodomain: Synapse, Signaling Receptor, Neural Signaling, GPCR Signaling, Receptor Binding
GO Term: Substance K Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Vasculature
GO Term: Haptoglobin-Hemoglobin Complex -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Proteostasis, Vasculature
GO Term: Type 1 Neuromedin U Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Vasculature
GO Term: Type 2 Neuromedin U Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Oxidative Stress
GO Term: Neuropeptide Y Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Lipid Metabolism, Vasculature
GO Term: Protection From Non-Homologous End Joining At Telomere -> Biodomain: DNA Repair, Chromosome Organization, Cellular Response to Stress, Cell Cycle, Epigenetic
GO Term: Olfactory Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Kappa-Type Opioid Receptor Binding -> Biodomain: Signaling, GPCR Signaling, Neurotransmitter Receptors, Neuronal Signaling, Molecular Interaction
GO Term: Mu-Type Opioid Receptor Binding -> Biodomain: Signaling Pathway, Receptor Signaling, GPCR Signaling, Neurotransmission, Synaptic Function
GO Term: Orexigenic Neuropeptide Qrfp Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Oxytocin Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Autophagy, Oxidative Stress
GO Term: Parathyroid Hormone Receptor Binding -> Biodomain: Vasculature, Metal Binding and Homeostasis, Apoptosis, Epigenetic, Proteostasis
GO Term: Type 1 Parathyroid Hormone Receptor Binding -> Biodomain: Signaling, Cell Surface Receptor, GPCR Signaling, Hormone Signaling, Calcium Signaling
GO Term: Telomeric 3' Overhang Formation -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Prolactin-Releasing Peptide Receptor Binding -> Biodomain: Signaling Receptor, GPCR Signaling, Neuropeptide Signaling, Peptide Binding, Hormone Signaling
GO Term: Ep4 Subtype Prostaglandin E2 Receptor Binding -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Thromboxane A2 Receptor Binding -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Proteinase Activated Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Oxidative Stress
GO Term: Somatostatin Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Vasculature
GO Term: Taste Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome
GO Term: Type 1 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Vasculature, Signaling, Neuropeptide, GPCR Binding, Receptor Binding
GO Term: Type 2 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Endolysosome
GO Term: V1A Vasopressin Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Oxidative Stress
GO Term: V1B Vasopressin Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Oxidative Stress
GO Term: Early Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vesicle Trafficking
GO Term: Late Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Early Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Late Endosome Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Pyridoxine Transport -> Biodomain: Vitamin Metabolism, Mitochondrial Metabolism, Nutrient Transport, Membrane Trafficking, Coenzyme and Cofactor
GO Term: Tor Signaling -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Mitochondria-Nucleus Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Torc1 Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Torc2 Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Filamentous Actin -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Immune Response
GO Term: Regulation Of Glucocorticoid Metabolic Process -> Biodomain: Steroid Metabolism, Hormone Metabolism, Lipid Metabolism, Regulatory Pathways, Oxidative Stress
GO Term: Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Autophagy, Epigenetic
GO Term: Negative Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Cell Cycle
GO Term: Medium-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Very Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Nuclear Receptor-Mediated Corticosteroid Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Apoptosis, Proteostasis
GO Term: Nuclear Receptor-Mediated Mineralocorticoid Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Vasculature, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Response To Corticosteroid -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nuclear Mineralocorticoid Receptor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Nuclear Membrane -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Organelle Envelope -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Autophagy, DNA Repair
GO Term: Nuclear Lumen -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Organelle Subcompartment -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Golgi Cisterna -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Locomotion Involved In Locomotory Behavior -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Myelination, Proteostasis
GO Term: Bombesin Receptor Signaling Pathway -> Biodomain: Synapse, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Mrna Export From Nucleus In Response To Heat Stress -> Biodomain: Oxidative Stress, Autophagy, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis
GO Term: Insulin-Like Growth Factor I Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Insulin-Like Growth Factor Ii Binding -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Thioesterase Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Interleukin-28 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Interleukin-28 Receptor Binding -> Biodomain: Immune Response, Signal Transduction, Cell Surface, Infectious Disease, Inflammation
GO Term: Regulation Of Tor Signaling -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Tor Signaling -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Tor Signaling -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Early Phagosome -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Phagolysosome -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Apoptosis
GO Term: Arf Protein Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Regulation Of Arf Protein Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Arf Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Arf Protein Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Isg15-Protein Conjugation -> Biodomain: Proteostasis, Immune Response, Autophagy, Oxidative Stress, Apoptosis
GO Term: Nelf Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, RNA Spliceosome
GO Term: Trypsinogen Activation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Insulin Secretion -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Response To Cobalt Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Magnesium Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Myosin Light Chain Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Myosin Head/Neck Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Myosin Tail Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Myosin Ii Head/Neck Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Myosin Heavy Chain Binding -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Autophagy
GO Term: Myosin Ii Heavy Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Integrator Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Small-Subunit Processome -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Histone H3K14 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Cell Cycle, DNA Repair
GO Term: Mitochondrial Dna Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Mitochondrial Dna Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Dsif Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Autophagy
GO Term: Guanyl-Nucleotide Exchange Factor Complex -> Biodomain: Proteostasis, Cell Cycle, Synapse, Immune Response, Autophagy
Saved results to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Temp_0.1/go_biodomain_results_part_7.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Temp_0.1/runtime_log.csv
