Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Organelle Assembly -> Biodomain: Structural Stabilization, Endolysosome, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Positive Regulation Of Organelle Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Calcidiol Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Epigenetic, Unknown
GO Term: Lithocholic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Chenodeoxycholic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Response To Inositol -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Apoptosis
GO Term: Regulation Of Response To Dna Integrity Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Response To Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Reactive Nitrogen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Positive Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Immune Response, Endolysosome
GO Term: Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Fibroblast Growth Factor Receptor Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Endolysosome, Vasculature
GO Term: Positive Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Immune Response, Proteostasis
GO Term: Negative Regulation Of Interleukin-2-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Prolactin Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Vasculature, Apoptosis
GO Term: Negative Regulation Of Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Endolysosome
GO Term: Erythrocyte Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Endolysosome, Unknown
GO Term: Ketone Body Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Unknown
GO Term: Negative Regulation Of Acrosome Reaction -> Biodomain: Unknown, Proteostasis, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Negative Regulation Of Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Endolysosome
GO Term: Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, DNA Repair
GO Term: Geranylgeranyl Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Erythrocyte Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Oxidative Stress, Immune Response, Endolysosome
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, DNA Repair, Cell Cycle
GO Term: Regulation Of Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Unknown
GO Term: Regulation Of Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Apoptotic Process Involved In Blood Vessel Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Unknown
GO Term: Apoptotic Process Involved In Embryonic Digit Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Polyamine Transmembrane Transport -> Biodomain: Cell Cycle, Lipid Metabolism, Autophagy, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Polyamine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Oxidative Stress, Proteostasis
GO Term: (R)-Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Apoptosis
GO Term: D3 Vitamins Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Voltage-Gated Potassium Channel Activity Involved In Ventricular Cardiac Muscle Cell Action Potential Repolarization -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Semaphorin-Plexin Signaling Pathway Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Vasculature, Metal Binding and Homeostasis, Synapse, Structural Stabilization, Mitochondrial Metabolism
GO Term: Positive Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Structural Stabilization, Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Copper Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Vasculature
GO Term: Positive Regulation Of Apoptotic Process Involved In Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Response To Chloroquine -> Biodomain: Autophagy, Endolysosome, Oxidative Stress, Proteostasis, Immune Response
GO Term: Cellular Response To Chloroquine -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Oxaloacetate(2-) Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Sulfate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Melanocyte Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Protein Localization To Spindle Pole Body -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Unknown
GO Term: Negative Regulation Of Notch Signaling Pathway Involved In Somitogenesis -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Rna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Unknown
GO Term: Negative Regulation Of Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Unknown
GO Term: Chemoattractant Activity Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Ceramide 1-Phosphate Binding -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Ceramide 1-Phosphate Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Ceramide 1-Phosphate Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Protein Localization To Bicellular Tight Junction -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Mitotic Cytokinetic Process -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Mitotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Protein Localization To Cell Junction -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Endolysosome
GO Term: Positive Regulation Of Mrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Synapse
GO Term: Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, DNA Repair
GO Term: Positive Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Deactivation Of Mitotic Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Amyloid-Beta Formation -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress
GO Term: Positive Regulation Of Male Mating Behavior -> Biodomain: Synapse, Proteostasis, Epigenetic, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Ripoptosome Assembly Involved In Necroptotic Process -> Biodomain: Apoptosis, Proteostasis, Immune Response, Autophagy, Cell Cycle
GO Term: Riboflavin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Mitochondrial Membrane Permeability Involved In Programmed Necrotic Cell Death -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Autophagy, Mitochondrial Metabolism
GO Term: Protein Localization To Cell Leading Edge -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Regulation Of Protein Localization To Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Protein Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: L-Alpha-Amino Acid Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Chloride Transmembrane Transport -> Biodomain: Synapse, Endolysosome, Vasculature, Immune Response, Myelination
GO Term: Protein Localization To Mitotic Spindle -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulatory T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Cytotoxic T Cell Pyroptotic Cell Death -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Regulation Of Sperm Capacitation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Sperm Capacitation -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Sperm Capacitation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Acetyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Unknown
GO Term: Catalytic Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, DNA Repair
GO Term: Transmembrane Transporter Complex -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Lysosomal Hops Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Unknown
GO Term: Positive Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Regulation Of Organelle Transport Along Microtubule -> Biodomain: Synapse, Endolysosome, Autophagy, Cell Cycle, Myelination
GO Term: Regulation Of Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Protein Monoubiquitination -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Immune Response, Autophagy
GO Term: Positive Regulation Of Protein Monoubiquitination -> Biodomain: Proteostasis, Epigenetic, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Protein Linear Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Immune Response
GO Term: Regulation Of Intracellular Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Negative Regulation Of Intracellular Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Intracellular Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Immune Response, Oxidative Stress, Cell Cycle
GO Term: Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Catalase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Serine/Threonine Protein Kinase Complex -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Endoribonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Unknown
GO Term: 5'-Adenylyl Sulfate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: 3'-Phospho-5'-Adenylyl Sulfate Transmembrane Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Gmp Reductase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Cell Cycle
GO Term: H4 Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Eosinophil Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Protein Localization To Nucleolus -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Epigenetic, Unknown
GO Term: Proton Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Immune Response, Autophagy
GO Term: Silver Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Heterotrimeric G-Protein Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Large Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Negative Regulation Of Anti-Mullerian Hormone Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Epigenetic, Immune Response
GO Term: Immune Response Involved In Response To Exogenous Dsrna -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: O-Acyl-L-Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Response To Fluoride -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Cellular Response To Fluoride -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Autophagy, Apoptosis
GO Term: Positive Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Oxidative Stress, Structural Stabilization, Vasculature, Proteostasis
GO Term: Assembly Of Large Subunit Precursor Of Preribosome -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Cell Cycle, Unknown
GO Term: Regulation Of Mrna Stability Involved In Cellular Response To Uv -> Biodomain: Oxidative Stress, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Negative Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Oxidative Stress, Structural Stabilization
GO Term: 1-Phosphatidyl-1D-Myo-Inositol 4,5-Bisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: 1-Phosphatidyl-1D-Myo-Inositol 4,5-Bisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Endolysosome, Apoptosis
GO Term: Kinociliary Basal Body -> Biodomain: Structural Stabilization, Sensory Function, Cilium Assembly, Cell Motility, Organelle Organization
GO Term: Calcium Ion Import Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Synapse, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Regulation Of Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Regulation Of Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Positive Regulation Of Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Carbon Dioxide Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Rna Biosynthetic Process -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Rna Biosynthetic Process -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Immune Response, Autophagy
GO Term: Protein Localization To Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Regulation Of Receptor Localization To Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Positive Regulation Of Receptor Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Mitochondrial Outer Membrane Permeabilization Involved In Programmed Cell Death -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Nad Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Respiratory Basal Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Regulation Of Neuroblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Gaba Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Gaba-A Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Immune Response
GO Term: G Protein-Coupled Gaba Receptor Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
