Running with TEMP=0.9, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Immune Response, Proteostasis, Vasculature
GO Term: Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Innate Immune Response, Signaling Pathway, Inflammation, Cell Surface Receptor
GO Term: Negative Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Nutrient -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: A Band -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: H Zone -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: I Band -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: G-Protein Beta/Gamma-Subunit Complex -> Biodomain: Signal Transduction, Synapse, Endolysosome, Vasculature, Proteostasis
GO Term: G-Protein Beta-Subunit Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: G-Protein Gamma-Subunit Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Endolysosome, Apoptosis
GO Term: G-Protein Beta/Gamma-Subunit Complex Binding -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Synapse, Endolysosome
GO Term: Adenosine Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: A1 Adenosine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Vasculature, Autophagy
GO Term: A2A Adenosine Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Epigenetic, Mitochondrial Metabolism
GO Term: Alpha-1B Adrenergic Receptor Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Synapse
GO Term: Alpha-2A Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Autophagy
GO Term: Alpha-2B Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Alpha-2C Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Beta-1 Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Epigenetic, Apoptosis
GO Term: Beta-2 Adrenergic Receptor Binding -> Biodomain: Vasculature, Immune Response, Synapse, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Beta-3 Adrenergic Receptor Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Adrenomedullin Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Angiotensin Receptor Binding -> Biodomain: Vasculature, Apoptosis, Immune Response, Structural Stabilization, Proteostasis
GO Term: Type 1 Angiotensin Receptor Binding -> Biodomain: Vasculature, Signaling, Cardiovascular System, Blood Pressure Regulation, Hormone Response
GO Term: Type 2 Angiotensin Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Apelin Receptor Binding -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Endothelin A Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Endothelin B Receptor Binding -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Neuromedin B Receptor Binding -> Biodomain: Synapse, Signal Transduction, Cell Signaling, Cellular Response, Ligand Binding
GO Term: Bradykinin Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: C5L2 Anaphylatoxin Chemotactic Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Apoptosis
GO Term: Calcitonin Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Type 1 Cannabinoid Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Haptoglobin Binding -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Metal Binding and Homeostasis, Vasculature
GO Term: Hemoglobin Alpha Binding -> Biodomain: Vasculature, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Cxcr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Cxcr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Ccr1 Chemokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Apoptosis
GO Term: Ccr2 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Ccr3 Chemokine Receptor Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Endolysosome
GO Term: Ccr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Ccr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Ccr6 Chemokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Ccr7 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Endolysosome
GO Term: Ccr10 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Cx3C Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Type B Gastrin/Cholecystokinin Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Apoptosis, Endolysosome
GO Term: D1 Dopamine Receptor Binding -> Biodomain: Synapse, Neurotransmission, GPCR Signaling, Signal Transduction, Molecular Recognition
GO Term: D2 Dopamine Receptor Binding -> Biodomain: Synapse, Neurotransmission, Cell Survival, Vasculature, Epigenetic
GO Term: D3 Dopamine Receptor Binding -> Biodomain: Synapse, Neurotransmission Pathways, Neurological Disorders, Molecular Interactions, Cell Signaling
GO Term: D4 Dopamine Receptor Binding -> Biodomain: Neurotransmission, Synapse, Signal Transduction, Proteostasis, Structural Stabilization
GO Term: D5 Dopamine Receptor Binding -> Biodomain: Synapse, Signal Transduction, Neurotransmission, Cell Signaling, Neurodegenerative Processes
GO Term: Edg-2 Lysophosphatidic Acid Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Follicle-Stimulating Hormone Receptor Binding -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Type 1 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Apoptosis
GO Term: Type 2 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Type 3 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Immune Response
GO Term: Gastric Inhibitory Polypeptide Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Vasculature, Immune Response
GO Term: Ghrelin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glucagon Receptor Binding -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Growth Hormone-Releasing Hormone Receptor Binding -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Type 1 Orexin Receptor Binding -> Biodomain: Synapse, Lipid Metabolism, Autophagy, Apoptosis, Vasculature
GO Term: Type 2 Orexin Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Kisspeptin Receptor Binding -> Biodomain: Synapse, Vasculature, Apoptosis, Epigenetic, Cell Cycle
GO Term: Type 1 Melanin-Concentrating Hormone Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Melanocortin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Corticotropin Hormone Receptor Binding -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Type 3 Melanocortin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Type 4 Melanocortin Receptor Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Type 5 Melanocortin Receptor Binding -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Motilin Receptor Binding -> Biodomain: Gastrointestinal System, Signal Transduction, Peptide Signaling, Endocrine System, Metabolism
GO Term: Type 2 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Apoptosis
GO Term: Type 3 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Type 5 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Type 8 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: P2Y1 Nucleotide Receptor Binding -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: G Protein-Coupled Serotonin Receptor Binding -> Biodomain: Synapse, Neurotransmission, GPCR Signaling, Proteostasis, Structural Stabilization
GO Term: Substance P Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Neuromedin K Receptor Binding -> Biodomain: Synapse, Signal Transduction, Neuroendocrine, Immune Response, Cell Signaling
GO Term: Substance K Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Haptoglobin-Hemoglobin Complex -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Type 1 Neuromedin U Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Oxidative Stress
GO Term: Type 2 Neuromedin U Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Neuropeptide Y Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Protection From Non-Homologous End Joining At Telomere -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Olfactory Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Kappa-Type Opioid Receptor Binding -> Biodomain: Synapse, Neurotransmission, Signal Transduction, Ion Homeostasis, Immune Response
GO Term: Mu-Type Opioid Receptor Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Vasculature, Immune Response
GO Term: Orexigenic Neuropeptide Qrfp Receptor Binding -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Oxytocin Receptor Binding -> Biodomain: Synapse, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Parathyroid Hormone Receptor Binding -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Type 1 Parathyroid Hormone Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Autophagy, Cell Cycle
GO Term: Telomeric 3' Overhang Formation -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Prolactin-Releasing Peptide Receptor Binding -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Cell Cycle, Oxidative Stress
GO Term: Ep4 Subtype Prostaglandin E2 Receptor Binding -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Thromboxane A2 Receptor Binding -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Proteinase Activated Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Endolysosome
GO Term: Somatostatin Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Synapse
GO Term: Taste Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Type 1 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Synapse
GO Term: Type 2 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: V1A Vasopressin Receptor Binding -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Endolysosome
GO Term: V1B Vasopressin Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Epigenetic
GO Term: Early Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Late Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Early Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Late Endosome Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Pyridoxine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Tor Signaling -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Mitochondria-Nucleus Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Torc1 Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Torc2 Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Filamentous Actin -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Regulation Of Glucocorticoid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis
GO Term: Negative Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Cellular Processes, Signal Transduction, Apoptosis, Autophagy
GO Term: Negative Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Immune Response, DNA Repair, Synapse
GO Term: Positive Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Mitochondrial Metabolism, Synapse
GO Term: Medium-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Very Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Nuclear Receptor-Mediated Corticosteroid Signaling Pathway -> Biodomain: Epigenetic, Immune Response, Apoptosis, Lipid Metabolism, Cell Cycle
GO Term: Nuclear Receptor-Mediated Mineralocorticoid Signaling Pathway -> Biodomain: Epigenetic, Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Response To Corticosteroid -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis
GO Term: Nuclear Mineralocorticoid Receptor Binding -> Biodomain: Epigenetic, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Nuclear Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Organelle Envelope -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Nuclear Lumen -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome, Apoptosis
GO Term: Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Organelle Subcompartment -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Golgi Cisterna -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Proteostasis
GO Term: Bombesin Receptor Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Mrna Export From Nucleus In Response To Heat Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Insulin-Like Growth Factor I Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: Insulin-Like Growth Factor Ii Binding -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Autophagy, Vasculature
GO Term: Thioesterase Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Interleukin-28 Receptor Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Interleukin-28 Receptor Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Vasculature
GO Term: Regulation Of Tor Signaling -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Tor Signaling -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Tor Signaling -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Early Phagosome -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Phagolysosome -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Arf Protein Signal Transduction -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, APP Metabolism
GO Term: Regulation Of Arf Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Vasculature
GO Term: Negative Regulation Of Arf Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Arf Protein Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Isg15-Protein Conjugation -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Nelf Complex -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, DNA Repair
GO Term: Trypsinogen Activation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Positive Regulation Of Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Endolysosome, Proteostasis
GO Term: Response To Cobalt Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Magnesium Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Myosin Light Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Myosin Head/Neck Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Myosin Tail Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Myosin Ii Head/Neck Binding -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Synapse
GO Term: Myosin Heavy Chain Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Autophagy
GO Term: Myosin Ii Heavy Chain Binding -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Autophagy, Proteostasis
GO Term: Integrator Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Small-Subunit Processome -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, Epigenetic
GO Term: Histone H3K14 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Mitochondrial Dna Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Mitochondrial Dna Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Dsif Complex -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, DNA Repair
GO Term: Guanyl-Nucleotide Exchange Factor Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Synapse, Mitochondrial Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.9/go_biodomain_results_part_7.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.9/runtime_log.csv
