Running with TEMP=0.1, sub_array_index=10
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Epigenetic Programming In The Zygotic Pronuclei -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Epigenetic Programing Of Female Pronucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Epigenetic Programing Of Male Pronucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Hemi-Methylated Dna-Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Cellular Response To Human Chorionic Gonadotropin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Proteostasis, Apoptosis
GO Term: Response To Human Chorionic Gonadotropin -> Biodomain: Immune Response, Apoptosis, Vasculature, Cell Cycle, Lipid Metabolism
GO Term: Amphisome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Autolysosome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Cell Cycle Phase Transition -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Meiotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Mitotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Proteostasis, Epigenetic
GO Term: Mitotic Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Autophagy, Oxidative Stress
GO Term: Mitotic Dna Integrity Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Meiotic Dna Integrity Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Meiotic Spindle Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Cilium Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Metaphase/Anaphase Transition Of Cell Cycle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Modulation By Host Of Viral Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Suppression Of Viral Release By Host -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation By Host Of Viral Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation By Host Of Viral Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Trans-Golgi Network To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Nucleophagy -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Mitotic G2/M Transition Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Mitotic G1/S Transition Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Modulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Modulation By Host Of Viral Rna Genome Replication -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Estrous Cycle -> Biodomain: Cell Cycle, Lipid Metabolism, Apoptosis, Immune Response, Epigenetic
GO Term: Plasma Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Synapse
GO Term: Plasma Membrane Raft Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Synapse, Vasculature
GO Term: Plasma Membrane Raft Distribution -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle
GO Term: Plasma Membrane Raft Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Protein Localization To Plasma Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Synapse, Endolysosome
GO Term: Protein Transport Into Plasma Membrane Raft -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Synapse
GO Term: Negative Regulation By Host Of Viral Glycoprotein Metabolic Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Lipoprotein Localization To Membrane -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Structural Stabilization, Autophagy
GO Term: Protein-Containing Complex Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Synapse
GO Term: Mitotic Cytokinesis Checkpoint Signaling -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, DNA Repair
GO Term: Double-Strand Break Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, DNA Damage Response, DNA Repair Mechanisms, Chromatin Organization, Genomic Stability
GO Term: Double-Strand Break Repair Via Synthesis-Dependent Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Dna Replication Proofreading -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Dna Deamination -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Depurination -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis
GO Term: Depyrimidination -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Mitochondrial Magnesium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: G0 To G1 Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Autophagy
GO Term: Mitochondrial Degradosome -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Plasma Membrane Fusion -> Biodomain: Cell Fusion, Membrane Biology, Synapse, Structural Stabilization, Proteostasis
GO Term: Dna End Binding -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: G Protein-Coupled Purinergic Nucleotide Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Oxidative Stress
GO Term: G Protein-Coupled Udp Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: G Protein-Coupled Utp Receptor Activity -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: G Protein-Coupled Atp Receptor Activity -> Biodomain: Immune Response, Vasculature, Synapse, Apoptosis, Cell Cycle
GO Term: Protein Insertion Into Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Protein Insertion Into Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Protein Import Into Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Protein Import Into Peroxisome Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Protein Targeting To Er -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, APP Metabolism
GO Term: Protein Insertion Into Er Membrane By Stop-Transfer Membrane-Anchor Sequence -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Protein Retention In Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Constitutive Secretory Pathway -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Synapse
GO Term: Regulated Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Transcytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Vasculature, Synapse
GO Term: T Cell Selection -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Negative Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Epigenetic
GO Term: Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Extrathymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: T-Helper 2 Cell Differentiation -> Biodomain: Immune Response, Cytokine Signaling, Apoptosis, Cell Cycle, Epigenetic
GO Term: Cytotoxic T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulatory T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Synapse, Apoptosis, Cell Cycle
GO Term: Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Endolysosome
GO Term: Innate Immune Response -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Autophagy
GO Term: Regulation Of Innate Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Innate Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune Response, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Interleukin-18 Receptor Complex -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Vasculature
GO Term: Keratin Filament -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Type Iii Intermediate Filament -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Myelination
GO Term: Intermediate Filament-Based Process -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Intermediate Filament Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Tau Homeostasis
GO Term: Intermediate Filament Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Intermediate Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Intermediate Filament Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Myelination
GO Term: Intermediate Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Intermediate Filament Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Integrin Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Vasculature, Immune Response
GO Term: Protein Neddylation -> Biodomain: Proteostasis, Proteolysis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Azole Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Pronucleus -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Membrane Raft -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Synapse
GO Term: Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Synapse
GO Term: Regulation Of Bone Resorption -> Biodomain: Immune Response, Endolysosome, Apoptosis, Metal Binding and Homeostasis, Epigenetic
GO Term: Bioactive Lipid Receptor Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Immune Response, Apoptosis, Vasculature
GO Term: N-Acetylglucosamine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Keratan Sulfotransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Pre-Mrna Branch Point Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Meiotic Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Autophagy
GO Term: Udp Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Development Of Secondary Sexual Characteristics -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Development Of Primary Sexual Characteristics -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Meiotic Telomere Clustering -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Triplex Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Homologous Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Single-Stranded Dna 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, DNA Metabolism, Nucleotide Metabolism, Cell Cycle, Autophagy
GO Term: Tripeptide Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Myosin Ii Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Vasculature
GO Term: Neuronal Ion Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Clustering Of Voltage-Gated Sodium Channels -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Proteostasis
GO Term: Clustering Of Voltage-Gated Potassium Channels -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Cell Fate Commitment -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Asymmetric Protein Localization Involved In Cell Fate Determination -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Epigenetic
GO Term: Intercellular Bridge -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Glutathione Dehydrogenase (Ascorbate) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Basal Protein Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Apical Protein Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Apical Part Of Cell -> Biodomain: Structural Stabilization, Endolysosome, Synapse, Vasculature, Proteostasis
GO Term: Basal Part Of Cell -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Apical Cortex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Cell Cycle
GO Term: Basal Cortex -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Endolysosome
GO Term: Translation Regulator Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, DNA Repair
GO Term: Establishment Of Protein Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Maintenance Of Protein Location -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Zonula Adherens Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Autophagy, Epigenetic
GO Term: Isotype Switching -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Isotype Switching -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Establishment Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Maintenance Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Establishment Of Neuroblast Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Synapse -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Cell-Cell Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Cell-Cell Junction Maintenance -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Vasculature
GO Term: Zonula Adherens Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Protein Palmitoleylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Cxcr Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cxcr1 Chemokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Isocitrate Dehydrogenase Complex (Nad+) -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Succinate-Coa Ligase Complex (Gdp-Forming) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Electron Transfer Flavoprotein Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Cellular Metabolism, Metabolic Pathways
GO Term: Oxoglutarate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyruvate Dehydrogenase (Lipoamide) Phosphatase Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Pyruvate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Proton-Transporting Atp Synthase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Respiratory Chain Complex I -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Respiratory Chain Complex Ii (Succinate Dehydrogenase) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Respiratory Chain Complex Iii -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Respiratory Chain Complex Iv -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Mrna Cis Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Mrna Editing Complex -> Biodomain: RNA Spliceosome, Synapse, Immune Response, Cell Cycle, Proteostasis
GO Term: Alpha-Catenin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Vasculature
GO Term: Gamma-Catenin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Apoptosis, Cell Cycle
GO Term: Cadherin Binding -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Tubulin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Endolysosome, Proteostasis
GO Term: Otolith Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Cell Cycle
GO Term: Protein Phosphorylated Amino Acid Binding -> Biodomain: Proteostasis, Epigenetic, Synapse, Structural Stabilization, Cell Cycle
GO Term: Leukocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Unmethylated Cpg Binding -> Biodomain: Epigenetic, Immune Response, DNA Repair, Cell Cycle, Autophagy
GO Term: Late Endosome To Vacuole Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Carnitine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Phospholipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Clathrin-Coated Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Farnesyl Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Farnesyl Diphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization
GO Term: Farnesyl Diphosphate Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Mercury Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, APP Metabolism
GO Term: Positive Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Interleukin-1 Type I Receptor Antagonist Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-1 Type Ii Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Synapse
GO Term: Positive Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Apoptosis
GO Term: Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Myoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: Bone Resorption -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Autophagy, Apoptosis, Proteostasis
GO Term: Cell Redox Homeostasis -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Response To Ethanol -> Biodomain: Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis, Epigenetic
GO Term: Response To Ether -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Locomotor Rhythm -> Biodomain: Synapse, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/go_biodomain_results_part_10.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/runtime_log.csv
