Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: D-Lysine 5,6-Aminomutase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: D-Sorbitol Dehydrogenase (Acceptor) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: D-Threo-Aldose 1-Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: D-Xylose 1-Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Dctp Diphosphatase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Deoxyuridine Phosphorylase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Apoptosis
GO Term: Diiodophenylpyruvate Reductase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Dimethylglycine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Dolichyldiphosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Estradiol 17-Alpha-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Fad Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Farnesol Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Farnesyl Diphosphate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Fatty Acid Peroxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Flavonol 3-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Apoptosis
GO Term: Ganglioside Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Endolysosome, Myelination
GO Term: Gdp-Mannose 3,5-Epimerase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Glucosamine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Glucose-1,6-Bisphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Glucose 1-Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glucose 1-Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glucose 1-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: L-Glucuronate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Glucuronolactone Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Glutamine N-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Glycerol-3-Phosphate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycerol-2-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Proteostasis
GO Term: Glycerol Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Glycine N-Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Glycine N-Benzoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Glycine N-Choloyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Glyoxylate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Endolysosome
GO Term: Guanidinobutyrase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Guanidinopropionase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Guanosine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Hepoxilin-Epoxide Hydrolase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Endolysosome
GO Term: Homocysteine Desulfhydrase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Hydroxyacid-Oxoacid Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Hydroxylysine Kinase Activity -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Hydroxymethylglutaryl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Apoptosis
GO Term: (2R)-Hydroxyphenylpyruvate Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Antigen Processing And Presentation Of Peptide Antigen -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Antigen Processing And Presentation, Endogenous Lipid Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Antigen Processing And Presentation, Exogenous Lipid Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism
GO Term: Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Apoptosis, Proteostasis, Oxidative Stress, Immune Response
GO Term: Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Immune Response
GO Term: Ephrin Receptor Signaling Pathway -> Biodomain: Vasculature, Synapse, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Tie Signaling Pathway -> Biodomain: Vasculature, Signaling, Gene Expression, Immune Response, Structural Stabilization
GO Term: Phosphatidylinositol-Mediated Signaling -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Receptor Ligand Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Apoptosis
GO Term: Receptor Antagonist Activity -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Ccr Chemokine Receptor Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Endolysosome
GO Term: Regulation Of Melanin Biosynthetic Process -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Melanin Biosynthetic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Melanin Biosynthetic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Mrna 5'-Utr Binding -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Monosaccharide Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Immune Response, Epigenetic
GO Term: Disaccharide Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Heme O Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Quinone Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Ubiquinone Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Udp-Glucuronate Decarboxylase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Lipid Metabolism
GO Term: Embryonic Eye Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Vasculature
GO Term: Post-Embryonic Eye Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Autophagy
GO Term: Developmental Pigmentation -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Eye Pigmentation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Developmental Pigmentation -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Eye Pigmentation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Eye Pigmentation -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Eye Pigmentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Developmental Pigmentation -> Biodomain: Epigenetic, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Developmental Pigmentation -> Biodomain: Oxidative Stress, Endolysosome, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Calmodulin-Activated 3',5'-Cyclic-Gmp Phosphodiesterase Activity -> Biodomain: Signal Transduction, Calcium Signaling, Cyclic Nucleotide Signaling, Enzyme Activity, Enzyme Regulation
GO Term: Autophagic Cell Death -> Biodomain: Autophagy, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Somatic Stem Cell Division -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Establishment Of Body Hair Planar Orientation -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Proteostasis
GO Term: Male Germ-Line Stem Cell Asymmetric Division -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Spermatocyte Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome, Apoptosis
GO Term: Astrocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Fibroblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Regulation Of Fibroblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Vasculature, Apoptosis
GO Term: Positive Regulation Of Fibroblast Proliferation -> Biodomain: Cell Cycle, Vasculature, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Fibroblast Proliferation -> Biodomain: Cell Cycle, Immune Response, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Behavioral Response To Cocaine -> Biodomain: Synapse, Oxidative Stress, Immune Response, Epigenetic, Proteostasis
GO Term: Behavioral Response To Ethanol -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Tau Protein Binding -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Synapse, Structural Stabilization
GO Term: Primary Follicle Stage -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Regulation Of Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Immune Response
GO Term: Regulation Of Long-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Long-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Short-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Short-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Activin Receptor Complex -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Activin Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Set1C/Compass Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Golgi Vesicle Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Golgi Vesicle Budding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Vesicle Targeting, To, From Or Within Golgi -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Vesicle Targeting, Trans-Golgi To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Copi Coating Of Golgi Vesicle -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Copii Vesicle Coating -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Golgi Vesicle Fusion To Target Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Golgi Vesicle Docking -> Biodomain: Proteostasis, Endolysosome, Synapse, Structural Stabilization, Lipid Metabolism
GO Term: Inter-Golgi Cisterna Vesicle-Mediated Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Plasma Membrane To Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Male Gamete Generation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Rough Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, APP Metabolism, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Dna Recombination At Telomere -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism
GO Term: Sperm Capacitation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Epinephrine Transport -> Biodomain: Vasculature, Synapse, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Epinephrine Secretion -> Biodomain: Oxidative Stress, Synapse, Vasculature, Immune Response, Autophagy
GO Term: Norepinephrine Secretion -> Biodomain: Synapse, Vasculature, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phytanoyl-Coa Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Eosinophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Synapse
GO Term: Macrophage Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Lymphocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Cxcr3 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Iron Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Elastic Fiber Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Lauric Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Snorna Localization -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Mrna Stabilization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair
GO Term: Flap Endonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: 3'-Flap Endonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Positive Regulation Of Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Negative Regulation Of Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Determination Of Dorsal Identity -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Immune Response
GO Term: Determination Of Ventral Identity -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Synapse
GO Term: Response To Pain -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Behavioral Response To Pain -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Clathrin Coat Assembly -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Synapse
GO Term: Methionine Adenosyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Methionine Adenosyltransferase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Mitogen-Activated Protein Kinase P38 Binding -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Autophagy
GO Term: Vesicle Docking -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Vesicle Fusion With Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Organelle Fusion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Lung Alveolus Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Apoptosis, Cell Cycle
GO Term: Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Apoptosis, Autophagy
GO Term: Isotype Switching To Iga Isotypes -> Biodomain: Immune Response, Proteostasis, Vasculature, DNA Repair, Apoptosis
GO Term: Isotype Switching To Igg Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation Of Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Isotype Switching To Iga Isotypes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Synapse, Cell Cycle
GO Term: Regulation Of Isotype Switching To Igg Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Isotype Switching To Igg Isotypes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Calcium-Dependent Protein Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mitochondrion Distribution -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Intracellular Distribution Of Mitochondria -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Golgi Inheritance -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Axial Mesoderm Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Axial Mesoderm Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Axial Mesoderm Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Axial Mesodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Mesoderm Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Mesodermal Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Mesodermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Autophagy
GO Term: Paraxial Mesoderm Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Paraxial Mesoderm Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Paraxial Mesoderm Formation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Paraxial Mesodermal Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Paraxial Mesoderm Structural Organization -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Lateral Mesoderm Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Lateral Mesoderm Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Lateral Mesodermal Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: Regulation Of Lateral Mesodermal Cell Fate Specification -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Mesendoderm Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Immune Response, Apoptosis
GO Term: Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Lipid Metabolism, Vasculature
GO Term: Positive Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, DNA Repair
GO Term: Endosomal Lumen Acidification -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Intermediate Mesoderm Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Vasculature
GO Term: Intermediate Mesodermal Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Brain-Derived Neurotrophic Factor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Nerve Growth Factor Binding -> Biodomain: Synapse, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Platelet-Derived Growth Factor Binding -> Biodomain: Vasculature, Cell Cycle, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Epidermal Growth Factor Binding -> Biodomain: Cell Cycle, Immune Response, Vasculature, Apoptosis, Autophagy
GO Term: Cell Development -> Biodomain: Cell Cycle, Apoptosis, Myelination, Synapse, Structural Stabilization
GO Term: Cell Maturation -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Perinuclear Region Of Cytoplasm -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Holliday Junction Resolvase Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Oogenesis -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Autonomic Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Cell Cycle
GO Term: Enteric Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Autophagy
GO Term: Sympathetic Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Autophagy, Proteostasis
