Running with TEMP=0.1, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Mitochondrial Outer Membrane Permeabilization -> Biodomain: Mitochondrial Metabolism, Apoptosis, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Neutrophil Clearance -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Autophagosome Maturation -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Localization To Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Perinucleolar Compartment -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Udp-Glucosylation -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cytosolic [4Fe-4S] Assembly Targeting Complex -> Biodomain: Metal Binding and Homeostasis, DNA Repair, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mcm8-Mcm9 Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Protein O-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Epigenetic
GO Term: Carbohydrate Derivative Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Establishment Of Sertoli Cell Barrier -> Biodomain: Structural Stabilization, Immune Response, Synapse, Proteostasis, Cell Cycle
GO Term: Protein O-Glcnacylation Via Threonine -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Mdm2/Mdm4 Family Protein Binding -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, DNA Repair, Epigenetic
GO Term: Histone H3K18 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, DNA Repair, Cell Cycle
GO Term: Sensory Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Interneuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Spinal Cord Interneuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Dorsal Spinal Cord Interneuron Posterior Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Endolysosome
GO Term: Dorsal Spinal Cord Interneuron Anterior Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Photoreceptor Disc Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Didp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Lipid Metabolism
GO Term: Glial Cell Projection -> Biodomain: Synapse, Myelination, Structural Stabilization, Endolysosome, Immune Response
GO Term: Cellular Response To Interleukin-17 -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Structural Stabilization, Lipid Metabolism
GO Term: Interleukin-17-Mediated Signaling Pathway -> Biodomain: Immune Response, Inflammation, Cell Signaling, Cytokine Signaling, Autoimmunity
GO Term: Synaptic Vesicle Lumen Acidification -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Neuroblast Migration -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Endolysosome, Lipid Metabolism
GO Term: Cellular Response To Raffinose -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Glial Cytoplasmic Inclusion -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Endolysosome, Synapse
GO Term: Hippocampal Interneuron Differentiation -> Biodomain: Synapse, Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Hypoxia-Inducible Factor-1Alpha Signaling Pathway -> Biodomain: Oxidative Stress, Vasculature, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Lewy Body -> Biodomain: Proteostasis, Autophagy, Synapse, Apoptosis, Oxidative Stress
GO Term: Classical Lewy Body -> Biodomain: Proteostasis, Autophagy, Synapse, Oxidative Stress, Apoptosis
GO Term: Neurofibrillary Tangle -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Autophagy, APP Metabolism
GO Term: Liver Regeneration -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Structural Stabilization, Immune Response
GO Term: Tubular Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Microtubule Bundle -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, APP Metabolism, Autophagy
GO Term: Mitotic Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Supramolecular Fiber Organization -> Biodomain: Structural Stabilization, Proteostasis, APP Metabolism, Tau Homeostasis, Myelination
GO Term: Apical Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Basal Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Ca3 Pyramidal Cell Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Sorting Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Spine Apparatus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Dendritic Tree -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Astrocyte Projection -> Biodomain: Synapse, Vasculature, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Astrocyte End-Foot -> Biodomain: Vasculature, Structural Stabilization, Synapse, Endolysosome, Proteostasis
GO Term: Glial Limiting End-Foot -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: Gait Complex -> Biodomain: Immune Response, Proteostasis, RNA Spliceosome, Oxidative Stress, Autophagy
GO Term: Mesaxon -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Synapse, Lipid Metabolism
GO Term: Hippocampal Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Lewy Neurite -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Ubiquitin-Dependent Glycoprotein Erad Pathway -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Programmed Cell Death In Response To Reactive Oxygen Species -> Biodomain: Apoptosis, Oxidative Stress, Reactive Oxygen Species, Cell Death, Mitochondrial Metabolism
GO Term: Ribbon Synapse -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Mossy Fiber Rosette -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Cyclin-Dependent Protein Kinase Activity -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Retinal Rod Cell Apoptotic Process -> Biodomain: Apoptosis, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Retinal Cone Cell Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Motor Neuron Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Spinal Cord Motor Neuron Migration -> Biodomain: Neurogenesis & Nervous System Development, Cell Migration & Motility, Developmental Biology, Cell Differentiation & Development, Axon Guidance & Neurite Outgrowth
GO Term: Lateral Motor Column Neuron Migration -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Synapse, Cell Cycle
GO Term: Dendrite Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Neuron Projection Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Multivesicular Body Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Multivesicular Body, Internal Vesicle -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Multivesicular Body, Internal Vesicle Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Sympathetic Neuron Projection Extension -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Sympathetic Neuron Projection Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Sympathetic Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Cell Cycle
GO Term: Structural Molecule Activity Conferring Elasticity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Vesicle Size -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Blood Vessel Endothelial Cell Delamination -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Endothelial Tube Lumen Extension -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Protein Localization To Non-Motile Cilium -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Receptor Localization To Non-Motile Cilium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Sialylation -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Synapse, Structural Stabilization
GO Term: Gemini Of Cajal Bodies -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Rad6-Rad18 Complex -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Base-Excision Repair, Ap Site Formation Via Deaminated Base Removal -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis
GO Term: Cardiac Myofibril -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Apoptosis
GO Term: Myosin Ii Filament -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Dna Recombinase Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Sperm Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Spliceosomal Snrnp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Spliceosomal Tri-Snrnp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Necroptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, DNA Repair, Immune Response
GO Term: Execution Phase Of Necroptosis -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Myeloid Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Granulocyte Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Mast Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Cellular Stress Response To Acid Chemical -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Lymphoid Lineage Cell Migration Into Thymus -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Thymus Epithelium Morphogenesis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Cell Cycle
GO Term: Ciliary Transition Fiber -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Axonemal Basal Plate -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Ciliary Tip -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Ciliary Inversin Compartment -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism, Cell Cycle
GO Term: Axonemal Doublet Microtubule -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Ciliary Base -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Transcription Preinitiation Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Mitochondrial Double-Strand Break Repair Via Homologous Recombination -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Autophagy
GO Term: Calcium Ion Transmembrane Import Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Synapse, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Lateral Cell Cortex -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Lamellipodium Organization -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Cell Cycle, Vasculature
GO Term: Sperm Cytoplasmic Droplet -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Retina Blood Vessel Maintenance -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, DNA Repair, Immune Response
GO Term: Cullin Family Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Epigenetic
GO Term: Temperature-Gated Ion Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Temperature-Gated Cation Channel Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Monoamine Oxidase Activity -> Biodomain: Oxidative Stress, Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Potassium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Autophagy, Synapse, Immune Response
GO Term: Extrinsic Component Of Omegasome Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Extrinsic Component Of Phagophore Assembly Site Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Structural Stabilization
GO Term: L-Arginine Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Autophagy
GO Term: L-Lysine Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome
GO Term: L-Ornithine Import Across Plasma Membrane -> Biodomain: Amino Acid Metabolism, Membrane Transport, Nitrogen Compound Metabolism, Metabolic Process, Cellular Metabolism
GO Term: Calcitonin Family Receptor Activity -> Biodomain: Vasculature, Synapse, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Amylin Receptor Activity -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Mitochondrial Metabolism, Synapse
GO Term: Amylin Binding -> Biodomain: Proteostasis, APP Metabolism, Metal Binding and Homeostasis, Synapse, Lipid Metabolism
GO Term: Calcitonin Family Receptor Signaling Pathway -> Biodomain: Vasculature, Synapse, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Amylin Receptor Signaling Pathway -> Biodomain: Proteostasis, Apoptosis, Synapse, Oxidative Stress, Autophagy
GO Term: G Protein-Coupled Receptor Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Lipid Metabolism
GO Term: A Axonemal Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Serpin Family Protein Binding -> Biodomain: Proteostasis, Apoptosis, Immune Response, Endolysosome, Lipid Metabolism
GO Term: 3',5'-Nucleotide Bisphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, DNA Repair, Cell Cycle, RNA Spliceosome
GO Term: Stat Family Protein Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Double-Strand Break Repair Via Classical Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Double-Strand Break Repair Via Alternative Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Intracellularly Phosphatidylinositol-3,5-Bisphosphate-Gated Monatomic Cation Channel Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Iron Ion Transmembrane Transporter Inhibitor Activity -> Biodomain: Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: Establishment Of Rna Localization To Telomere -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome
GO Term: Establishment Of Protein-Containing Complex Localization To Telomere -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Cell Surface Receptor Signaling Pathway Via Stat -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Telomere Maintenance Via Base-Excision Repair -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle
GO Term: Vascular Endothelial Cell Response To Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Epigenetic, Immune Response
GO Term: Vascular Endothelial Cell Response To Laminar Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis
GO Term: Vascular Endothelial Cell Response To Oscillatory Fluid Shear Stress -> Biodomain: Vasculature, Oxidative Stress, Structural Stabilization, Immune Response, Apoptosis
GO Term: Ferroptosis -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Intracellular Vesicle -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Connective Tissue Replacement -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Ciliary Basal Body-Plasma Membrane Docking -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: Vesicle Targeting, Trans-Golgi To Periciliary Membrane Compartment -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Disordered Domain Specific Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Autophagy, Apoptosis
GO Term: Neural Tissue Regeneration -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Calcineurin-Mediated Signaling -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Sperm Motility -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: 9+0 Motile Cilium -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Lipid Metabolism, Proteostasis
GO Term: 9+2 Motile Cilium -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Non-Motile Cilium -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Synapse, Lipid Metabolism
GO Term: 9+0 Non-Motile Cilium -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Photoreceptor Cell Cilium -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Extracellular Exosome Biogenesis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: De Novo Centriole Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Synapse
GO Term: Renal Urate Salt Excretion -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Mitochondrial Trna 5'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Epigenetic
GO Term: Blood Vessel Diameter Maintenance -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response
GO Term: Membrane Tubulation -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Endosome Membrane Tubulation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Dna Stability -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Structural Stabilization
GO Term: Membrane Bending -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Non-Replicative Dna Transposition -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: G-Rich Strand Telomeric Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Apoptosis, Cell Cycle
GO Term: Endothelial To Hematopoietic Transition -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Skeletal Muscle Fiber Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Epigenetic
GO Term: Neuromuscular Junction Development, Skeletal Muscle Fiber -> Biodomain: Synapse, Structural Stabilization, Muscle System, Cell Adhesion, Signal Transduction
GO Term: Positive Regulation Of Strand Invasion -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Ligand-Modulated Transcription Factor Activity -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Centriole Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: De Novo Centriole Assembly Involved In Multi-Ciliated Epithelial Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Deuterosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cytoplasmic Side Of Trans-Golgi Network Transport Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Defense Response To Other Organism -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Maintenance Of Protein Complex Location -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, DNA Repair
GO Term: Cytoplasmic Side Of Golgi Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Side Of Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Lumenal Side Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Cytoplasmic Side Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Cytoplasmic Side Of Rough Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Cytoplasmic Side Of Early Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Cytoplasmic Side Of Late Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Cytoplasmic Side Of Membrane -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Cytoplasmic Side Of Lysosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Lumenal Side Of Lysosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Lumenal Side Of Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Inactive Sex Chromosome -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Learned Vocalization Behavior -> Biodomain: Synapse, Epigenetic, Myelination, Proteostasis, Structural Stabilization
GO Term: Cellular Response To Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Bounding Membrane Of Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: External Side Of Apical Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Vasculature, Proteostasis
GO Term: Cytoplasmic Side Of Apical Plasma Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Mucin Granule -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Perivitelline Space -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Observational Learning -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Palmitoyl Hydrolase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Selenocystathionine Gamma-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Myelination
GO Term: Selenocysteine-Trna Ligase Activity -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: O-Phosphoseryl-Trna(Sec) Selenium Transferase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Trans-Golgi Network Membrane Organization -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Endolysosome, Structural Stabilization
GO Term: Cell Adhesion Mediator Activity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Cell-Cell Adhesion Mediator Activity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Collagen Fibril Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Extracellular Matrix, Synapse
GO Term: Protein Complex Involved In Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Immune Response
GO Term: Protein Complex Involved In Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Immune Response
