Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Apoptosis
GO Term: Autophagosome Maturation -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Protein Localization To Heterochromatin -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Proteostasis
GO Term: Perinucleolar Compartment -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Udp-Glucosylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Epigenetic
GO Term: Cytosolic [4Fe-4S] Assembly Targeting Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Mcm8-Mcm9 Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein O-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Carbohydrate Derivative Binding -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Endolysosome, Structural Stabilization
GO Term: Establishment Of Sertoli Cell Barrier -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Immune Response, Cell Cycle
GO Term: Protein O-Glcnacylation Via Threonine -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Mdm2/Mdm4 Family Protein Binding -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, DNA Repair, Autophagy
GO Term: Histone H3K18 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Apoptosis, Cell Cycle
GO Term: Sensory Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Interneuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Spinal Cord Interneuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Proteostasis
GO Term: Dorsal Spinal Cord Interneuron Posterior Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Dorsal Spinal Cord Interneuron Anterior Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Immune Response
GO Term: Photoreceptor Disc Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Didp Phosphatase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Glial Cell Projection -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Cellular Response To Interleukin-17 -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-17-Mediated Signaling Pathway -> Biodomain: Immune Response, Inflammation, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Synaptic Vesicle Lumen Acidification -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Neuroblast Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Cellular Response To Raffinose -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Glial Cytoplasmic Inclusion -> Biodomain: Proteostasis, Oxidative Stress, Myelination, Autophagy, Endolysosome
GO Term: Hippocampal Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Hypoxia-Inducible Factor-1Alpha Signaling Pathway -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Autophagy
GO Term: Lewy Body -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Classical Lewy Body -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Neurofibrillary Tangle -> Biodomain: Tau Homeostasis, Proteostasis, APP Metabolism, Apoptosis, Oxidative Stress
GO Term: Liver Regeneration -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Immune Response
GO Term: Tubular Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Microtubule Bundle -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Autophagy
GO Term: Mitotic Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Dense Body -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Supramolecular Fiber Organization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Myelination, Endolysosome
GO Term: Apical Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Basal Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle
GO Term: Ca3 Pyramidal Cell Dendrite -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Sorting Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Spine Apparatus -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Dendritic Tree -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Astrocyte Projection -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Myelination
GO Term: Astrocyte End-Foot -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Immune Response
GO Term: Glial Limiting End-Foot -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Myelination
GO Term: Gait Complex -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: Mesaxon -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Hippocampal Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Lewy Neurite -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Ubiquitin-Dependent Glycoprotein Erad Pathway -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Programmed Cell Death In Response To Reactive Oxygen Species -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Ribbon Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Mossy Fiber Rosette -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Cyclin-Dependent Protein Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Epigenetic
GO Term: Retinal Rod Cell Apoptotic Process -> Biodomain: Apoptosis, Neuronal Signaling, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Retinal Cone Cell Apoptotic Process -> Biodomain: Apoptosis, Neurodegeneration, Photoreceptor Cell Maintenance, Cell Death, Visual System
GO Term: Motor Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Spinal Cord Motor Neuron Migration -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Synapse, Proteostasis, Myelination
GO Term: Lateral Motor Column Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Dendrite Extension -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Neuron Projection Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Multivesicular Body Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Multivesicular Body, Internal Vesicle -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Multivesicular Body, Internal Vesicle Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Sympathetic Neuron Projection Extension -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Sympathetic Neuron Projection Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Sympathetic Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Structural Molecule Activity Conferring Elasticity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Vesicle Size -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Blood Vessel Endothelial Cell Delamination -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Endothelial Tube Lumen Extension -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Protein Localization To Non-Motile Cilium -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Epigenetic
GO Term: Receptor Localization To Non-Motile Cilium -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: Sialylation -> Biodomain: Lipid Metabolism, Immune Response, Proteostasis, Endolysosome, Vasculature
GO Term: Gemini Of Cajal Bodies -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Synapse
GO Term: Rad6-Rad18 Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Base-Excision Repair, Ap Site Formation Via Deaminated Base Removal -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Cardiac Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Myosin Ii Filament -> Biodomain: Structural Stabilization, Muscle System, Cell Cycle, Actin Cytoskeleton, Cellular Motility
GO Term: Dna Recombinase Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Sperm Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Spliceosomal Snrnp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Spliceosomal Tri-Snrnp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Necroptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, DNA Repair
GO Term: Execution Phase Of Necroptosis -> Biodomain: Apoptosis, Immune Response, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Myeloid Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Granulocyte Migration -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Endolysosome, Apoptosis
GO Term: Mast Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Autophagy, Proteostasis
GO Term: Cellular Stress Response To Acid Chemical -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Lymphoid Lineage Cell Migration Into Thymus -> Biodomain: Immune Response, Vasculature, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Thymus Epithelium Morphogenesis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Epigenetic, Cell Cycle
GO Term: Ciliary Transition Fiber -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Axonemal Basal Plate -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Ciliary Tip -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Ciliary Inversin Compartment -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Axonemal Doublet Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Vasculature, Synapse
GO Term: Ciliary Base -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Transcription Preinitiation Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Mitochondrial Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Calcium Ion Transmembrane Import Into Cytosol -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Lateral Cell Cortex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Oxidative Stress, Endolysosome
GO Term: Lamellipodium Organization -> Biodomain: Structural Stabilization, Cell Adhesion and Migration, Proteostasis, Immune Response, Cell Cycle
GO Term: Sperm Cytoplasmic Droplet -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization, Proteostasis
GO Term: Retina Blood Vessel Maintenance -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Cullin Family Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Temperature-Gated Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Vasculature, Immune Response, Proteostasis
GO Term: Temperature-Gated Cation Channel Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Monoamine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Apoptosis, Lipid Metabolism
GO Term: Potassium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Synapse, Apoptosis, Vasculature, Structural Stabilization
GO Term: Extrinsic Component Of Omegasome Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Extrinsic Component Of Phagophore Assembly Site Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: L-Arginine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Vasculature, Immune Response, Oxidative Stress
GO Term: L-Lysine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: L-Ornithine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Calcitonin Family Receptor Activity -> Biodomain: Vasculature, Immune Response, Synapse, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Amylin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Amylin Binding -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Calcitonin Family Receptor Signaling Pathway -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Autophagy
GO Term: Amylin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress
GO Term: G Protein-Coupled Receptor Complex -> Biodomain: Signal Transduction, Synapse, Membrane Trafficking, Proteostasis, Vasculature
GO Term: A Axonemal Microtubule -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Serpin Family Protein Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Structural Stabilization, Lipid Metabolism
GO Term: 3',5'-Nucleotide Bisphosphate Phosphatase Activity -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Stat Family Protein Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Double-Strand Break Repair Via Classical Nonhomologous End Joining -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Double-Strand Break Repair Via Alternative Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Metal Binding and Homeostasis
GO Term: Intracellularly Phosphatidylinositol-3,5-Bisphosphate-Gated Monatomic Cation Channel Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Iron Ion Transmembrane Transporter Inhibitor Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Establishment Of Rna Localization To Telomere -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Establishment Of Protein-Containing Complex Localization To Telomere -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Cell Surface Receptor Signaling Pathway Via Stat -> Biodomain: Signal Transduction, Immune Response, Transcription Regulation, Cell Communication, Developmental Processes
GO Term: Telomere Maintenance Via Base-Excision Repair -> Biodomain: DNA Repair, Oxidative Stress, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Vascular Endothelial Cell Response To Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Immune Response
GO Term: Vascular Endothelial Cell Response To Laminar Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Immune Response
GO Term: Vascular Endothelial Cell Response To Oscillatory Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis
GO Term: Ferroptosis -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Intracellular Vesicle -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Connective Tissue Replacement -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Ciliary Basal Body-Plasma Membrane Docking -> Biodomain: Structural Stabilization, Lipid Metabolism, Synapse, Proteostasis, Vasculature
GO Term: Vesicle Targeting, Trans-Golgi To Periciliary Membrane Compartment -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Disordered Domain Specific Binding -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, DNA Repair
GO Term: Neural Tissue Regeneration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Calcineurin-Mediated Signaling -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Cell Cycle, Apoptosis
GO Term: Sperm Motility -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: 9+0 Motile Cilium -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Synapse
GO Term: 9+2 Motile Cilium -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Non-Motile Cilium -> Biodomain: Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: 9+0 Non-Motile Cilium -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Vasculature, Autophagy
GO Term: Photoreceptor Cell Cilium -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Extracellular Exosome Biogenesis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: De Novo Centriole Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Renal Urate Salt Excretion -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Mitochondrial Trna 5'-End Processing -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Blood Vessel Diameter Maintenance -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Endolysosome
GO Term: Membrane Tubulation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Endosome Membrane Tubulation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Regulation Of Dna Stability -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Membrane Bending -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Non-Replicative Dna Transposition -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: G-Rich Strand Telomeric Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Endothelial To Hematopoietic Transition -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Skeletal Muscle Fiber Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Neuromuscular Junction Development, Skeletal Muscle Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Muscle System, Autophagy
GO Term: Positive Regulation Of Strand Invasion -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Ligand-Modulated Transcription Factor Activity -> Biodomain: Epigenetic, Immune Response, Lipid Metabolism, Apoptosis, Cell Cycle
GO Term: Centriole Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: De Novo Centriole Assembly Involved In Multi-Ciliated Epithelial Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Deuterosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Cytoplasmic Side Of Trans-Golgi Network Transport Vesicle Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Defense Response To Other Organism -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Maintenance Of Protein Complex Location -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Cytoplasmic Side Of Golgi Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Side Of Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Lumenal Side Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Cytoplasmic Side Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Cytoplasmic Side Of Rough Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Cytoplasmic Side Of Early Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vesicle Trafficking
GO Term: Cytoplasmic Side Of Late Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Cytoplasmic Side Of Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Cytoplasmic Side Of Lysosomal Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Lumenal Side Of Lysosomal Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Lumenal Side Of Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Inactive Sex Chromosome -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, RNA Spliceosome, DNA Repair
GO Term: Learned Vocalization Behavior -> Biodomain: Synapse, Proteostasis, Behavior, Epigenetic, Endolysosome
GO Term: Cellular Response To Virus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Bounding Membrane Of Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: External Side Of Apical Plasma Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response, Vasculature
GO Term: Cytoplasmic Side Of Apical Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Synapse, Endolysosome, Lipid Metabolism
GO Term: Mucin Granule -> Biodomain: Secretory Granule, Mucus Production, Glycosylation, Exocytosis, Epithelial Function
GO Term: Perivitelline Space -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Observational Learning -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Palmitoyl Hydrolase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Selenocystathionine Gamma-Lyase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Apoptosis
GO Term: Selenocysteine-Trna Ligase Activity -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: O-Phosphoseryl-Trna(Sec) Selenium Transferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Trans-Golgi Network Membrane Organization -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cell Adhesion Mediator Activity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Myelination
GO Term: Cell-Cell Adhesion Mediator Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Collagen Fibril Binding -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Vasculature, Endolysosome
GO Term: Protein Complex Involved In Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Myelination
GO Term: Protein Complex Involved In Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Protein Complex Involved In Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Collagen Binding Involved In Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
