Running with TEMP=0.1, sub_array_index=9
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Vascular Endothelial Growth Factor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Cell Proliferation By Vegf-Activated Platelet Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Nodal Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Immune Response, Structural Stabilization
GO Term: Fc Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Fc-Gamma Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Autophagy
GO Term: Fc-Epsilon Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Fc-Gamma Receptor Signaling Pathway Involved In Phagocytosis -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mast Cell Activation By Fc-Epsilon Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Sequestering Of Bmp From Receptor Via Bmp Binding -> Biodomain: Signaling Pathway, Receptor Interaction, Extracellular Processes, Developmental Processes, Growth Regulation
GO Term: Nodal Binding -> Biodomain: Developmental Processes, Cell Differentiation, Cell Proliferation, Apoptosis, Signal Transduction
GO Term: Sequestering Of Nodal From Receptor Via Nodal Binding -> Biodomain: Proteostasis, Immune Response, Vasculature, Structural Stabilization, Autophagy
GO Term: Activin Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Choriogonadotropin Hormone Binding -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Appetite By Leptin-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Synapse, Epigenetic, Proteostasis, Immune Response
GO Term: Kit Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Lipid Metabolism
GO Term: Interleukin-2-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-7-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Interleukin-8-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Endolysosome
GO Term: Interleukin-9-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Autophagy
GO Term: Interleukin-21-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Chemokine (C-C Motif) Ligand 21 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Autophagy
GO Term: C-C Motif Chemokine 19 Receptor Activity -> Biodomain: Immune Response, Signal Transduction, Membrane Trafficking, Vasculature, Cell Adhesion
GO Term: Ccl19-Activated Ccr7 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Endolysosome, Epigenetic, Proteostasis
GO Term: Ccl21-Activated Ccr7 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Synapse
GO Term: C-C Motif Chemokine 21 Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Synapse, Endolysosome
GO Term: Toll-Like Receptor Tlr1:Tlr2 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature
GO Term: Toll-Like Receptor Tlr6:Tlr2 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Erbb Signaling Pathway -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Synapse
GO Term: Erbb2 Signaling Pathway -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, Vasculature
GO Term: Erbb3 Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Myelination, Lipid Metabolism
GO Term: Erbb4 Signaling Pathway -> Biodomain: Synapse, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Neuregulin Receptor Activity -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Immune Response
GO Term: Neuregulin Binding -> Biodomain: Synapse, Myelination, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Erbb2-Erbb3 Signaling Pathway -> Biodomain: Signal Transduction, Receptor Signaling, Cell Surface Receptor Signaling, Tyrosine Kinase Signaling, Growth Factor Signaling
GO Term: Erbb2-Egfr Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Erbb2-Erbb4 Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Erbb4-Erbb4 Signaling Pathway -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Erbb3:Erbb2 Complex -> Biodomain: Cell Cycle, Apoptosis, Endolysosome, Proteostasis, Epigenetic
GO Term: Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Proteostasis
GO Term: Chemokine (C-X-C Motif) Ligand 12 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: C-X-C Motif Chemokine 12 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Chemokine (C-C Motif) Ligand 2 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Interleukin-11-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Vasculature, Epigenetic, Lipid Metabolism
GO Term: Interleukin-23-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Interleukin-3-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Proteostasis
GO Term: Granulocyte-Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Granulocyte Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Proteostasis
GO Term: C-X-C Chemokine Receptor Cxcr4 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Synapse
GO Term: Cxcl12-Activated Cxcr4 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Synapse, Apoptosis, Proteostasis
GO Term: Prolactin Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Erythropoietin-Mediated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Thrombopoietin-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Thrombopoietin Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Oncostatin-M-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Vasculature
GO Term: Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Somatostatin Signaling Pathway -> Biodomain: Signaling, Neurotransmitter, Hormone Signaling, GPCR, Regulation of Transcription
GO Term: Cannabinoid Signaling Pathway -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Interleukin-33-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-17A-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Death Receptor Agonist Activity -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Complement Component C5A Signaling Pathway -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Neurotrophin Signaling Pathway -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Nerve Growth Factor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Cell Cycle
GO Term: G Protein-Coupled Bile Acid Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Adenylate Cyclase-Activating G Protein-Coupled Bile Acid Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Nuclear Receptor-Mediated Bile Acid Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Epigenetic, Immune Response
GO Term: Bile Acid Nuclear Receptor Activity -> Biodomain: Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Pattern Recognition Receptor Activity -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cholecystokinin Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Neuropilin Signaling Pathway -> Biodomain: Vasculature, Synapse, Immune Response, Structural Stabilization, Epigenetic
GO Term: Vegf-Activated Neuropilin Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Lipid Metabolism
GO Term: Neuropilin Binding -> Biodomain: Vasculature, Synapse, Immune Response, Structural Stabilization, Endolysosome
GO Term: Gastric Inhibitory Peptide Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Thromboxane A2 Signaling Pathway -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Thyroid-Stimulating Hormone Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Urokinase Plasminogen Activator Signaling Pathway -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Cell Cycle
GO Term: Type Iii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Epigenetic, Autophagy, Oxidative Stress
GO Term: Torc1 Signaling -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Torc2 Signaling -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pronephric Field Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Pronephric Nephron Tubule Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Proteostasis
GO Term: Pronephric Nephron Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Pronephric Nephron Tubule Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, RNA Spliceosome
GO Term: Rig-I Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Mda-5 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mda-5 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Rig-I Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Rig-I Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Symbiont-Mediated Suppression Of Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Rig-I Binding -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pkr/Eifalpha Signaling -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Autophagy
GO Term: Fusion Of Virus Membrane With Host Endosome Membrane -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Stranded Viral Rna Replication -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Reverse Transcription, Viral Processes, Genome Integrity, DNA Replication and Repair, Epigenetic
GO Term: Viral Rna Genome Replication -> Biodomain: Immune Response, RNA Spliceosome, Proteostasis, Autophagy, Apoptosis
GO Term: Dna-Templated Viral Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Autophagy
GO Term: Viral Budding Via Host Escrt Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Co-Receptor Binding -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Establishment Of Mitotic Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Growth -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Regulation Of Growth Rate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Growth Rate -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Locomotion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Immune Response, Vasculature
GO Term: Regulation Of Locomotion -> Biodomain: Synapse, Immune Response, Myelination, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Locomotion -> Biodomain: Synapse, Immune Response, Tau Homeostasis, Myelination, Proteostasis
GO Term: Regulation Of Multicellular Organism Growth -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Multicellular Organism Growth -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Immune Response, Epigenetic
GO Term: Embryonic Cleavage -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: Positive Regulation Of Locomotion -> Biodomain: Structural Stabilization, Synapse, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Multicellular Organism Growth -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Vasculature
GO Term: Positive Regulation Of Embryonic Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Epigenetic Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Snrna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Regulation Of Development, Heterochronic -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Polar Body Extrusion After Meiotic Divisions -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Structural Stabilization
GO Term: Thermosensory Behavior -> Biodomain: Sensory Processing, Neurogenesis, Neurodegeneration, Synapse, Proteostasis
GO Term: Interleukin-18 Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Interleukin-18 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-15 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Interleukin-16 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Interleukin-16 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Interleukin-20 Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-22 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Interleukin-22 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-23 Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Interleukin-23 Receptor Activity -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Interleukin-12 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Synapse
GO Term: Dna Endoreduplication -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, DNA Repair
GO Term: Protein Refolding -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Atpase Inhibitor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Neurexin Family Protein Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Fluid Transport -> Biodomain: Vasculature, Endolysosome, Autophagy, Immune Response, Lipid Metabolism
GO Term: Epithelial Fluid Transport -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Olfactory Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Dopamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Histone Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Chemoattractant Activity -> Biodomain: Immune Response, Vasculature, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Endolysosome
GO Term: Wound Healing -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Gliogenesis -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Intraciliary Transport -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Cell Cycle, Synapse
GO Term: Cell Migration Involved In Gastrulation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Germ-Line Stem Cell Division -> Biodomain: Cell Cycle, Stem Cell Division, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Type 2 Immune Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: T-Helper Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: T Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Synapse
GO Term: Positive Regulation Of T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Activated T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Alpha-Beta T Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Gamma-Delta T Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: T Cell Activation -> Biodomain: Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: B Cell Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Macrophage Activation -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Monocyte Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Endothelial Cell Activation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Neutrophil Activation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Vasculature
GO Term: Nitrate Metabolic Process -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Autophagy, Epigenetic
GO Term: Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Epigenetic, Autophagy
GO Term: Regulation Of T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: Thiamine Phosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Fructose 1,6-Bisphosphate 1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Rrna Primary Transcript Binding -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Meiotic Dna Double-Strand Break Formation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Late Meiotic Recombination Nodule Assembly -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Vacuole Fusion, Non-Autophagic -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Retrograde Transport, Endosome To Golgi -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Structural Stabilization
GO Term: Dna Strand Invasion -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Autophagy, Apoptosis
GO Term: Cellular Response To Glucose Starvation -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Lipoprotein Metabolic Process -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lipoprotein Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Lipoprotein Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Telomeric Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Interleukin-12 Beta Subunit Binding -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Interleukin-12 Alpha Subunit Binding -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Acetylcholine Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: Heme Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Heme Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Sh2 Domain Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Lysophosphatidic Acid Acyltransferase Activity -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Nuclear Outer Membrane-Endoplasmic Reticulum Membrane Network -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Regulation Of Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Negative Regulation Of Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Xenobiotic Catabolic Process -> Biodomain: Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Ketone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Ketone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ketone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Halogenated Hydrocarbon Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Modified Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Response To Cocaine -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Rna Repair -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Epigenetic, Autophagy
GO Term: Tissue Regeneration -> Biodomain: Cell Cycle, Vasculature, Immune Response, Structural Stabilization, DNA Repair
GO Term: Establishment Of Planar Polarity Of Follicular Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Establishment Of Planar Polarity Of Embryonic Epithelium -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
