Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Ufm1 Conjugating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Ubiquitin-Like Protein Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Epigenetic
GO Term: Nedd8 Ligase Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Sumo Ligase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Ufm1 Ligase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Unknown
GO Term: Mitochondrial Ribosome Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Unknown
GO Term: Spontaneous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Evoked Neurotransmitter Secretion -> Biodomain: Synapse, Endolysosome, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Mitotic Spindle Astral Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Importin-Alpha Family Protein Binding -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Seminal Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Lipid Metabolism, Unknown
GO Term: Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Structural Stabilization, APP Metabolism
GO Term: Diphthine Methylesterase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Apoptosis, Endolysosome, Unknown
GO Term: Tricellular Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Lipoamidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Detoxification Of Hydrogen Peroxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Cellular Detoxification Of Hydrogen Peroxide -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Pituitary Gonadotropin Complex -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Immune Response, Vasculature
GO Term: Protein-Glutaryllysine Deglutarylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Protein Deglutarylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Gator2 Complex -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Endolysosome, Cell Cycle
GO Term: Canonical Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Trna-5-Taurinomethyluridine 2-Sulfurtransferase -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Reticulophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: L-Threonylcarbamoyladenylate Synthase -> Biodomain: Mitochondrial Metabolism, Proteostasis, Unknown, Oxidative Stress, Lipid Metabolism
GO Term: N(6)-L-Threonylcarbamoyladenine Synthase Activity -> Biodomain: RNA Spliceosome, Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Anterior Neural Tube Closure -> Biodomain: Structural Stabilization, Apoptosis, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Folic Acid Receptor Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Glycophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Lipophagy -> Biodomain: Autophagy, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Methylglyoxal Catabolic Process To Lactate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gdp-Mannose Biosynthetic Process From Mannose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Gdp-D-Mannose Biosynthetic Process From Fructose-6-Phosphate -> Biodomain: Lipid Metabolism, Unknown, Proteostasis, Immune Response, Endolysosome
GO Term: C-Rich Strand Telomeric Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Ribonucleoside-Diphosphate Reductase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Protein-Lysine-Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Type 2 Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Engulfment Of Target By Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Leukotriene Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Late Endosomal Microautophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Unknown
GO Term: Protein Lipidation Involved In Autophagosome Assembly -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Protein Targeting To Lysosome Involved In Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Apoptosis, Immune Response
GO Term: Chaperone-Mediated Autophagy Translocation Complex -> Biodomain: Autophagy, Endolysosome, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Motor Learning -> Biodomain: Synapse, Epigenetic, Proteostasis, Myelination, Structural Stabilization
GO Term: Motor Behavior -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Forked Dna-Dependent Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Mitochondrial Metabolism
GO Term: Acid Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Neutral Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Telomeric Repeat-Containing Rna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization
GO Term: Substrate Localization To Autophagosome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Circulating Fibrinogen Levels -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Circulating Fibrinogen Levels -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Leukocyte Adhesion To Vascular Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Antifungal Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Camkk-Ampk Signaling Cascade -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Multivesicular Body-Lysosome Fusion -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Late Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Endolysosome, Autophagy
GO Term: Negative Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Cardiovascular System, Respiratory System, Oxidative Stress, Immune Response
GO Term: Magnesium:Sodium Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ribosylnicotinate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Translation Elongation Factor Binding -> Biodomain: Proteostasis, Autophagy, Epigenetic, Mitochondrial Metabolism, Unknown
GO Term: Response To Caloric Restriction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Xenobiotic Transport Across Blood-Nerve Barrier -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Immune Response, Unknown
GO Term: Enosc Complex -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Cohesin Loader Activity -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Unknown
GO Term: Tapasin-Erp57 Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Dense Core Granule Priming -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Unknown
GO Term: Secretory Granule Maturation -> Biodomain: Endolysosome, Proteostasis, Synapse, Lipid Metabolism, Structural Stabilization
GO Term: Chromatin Lock Complex -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Golgi Lumen Acidification -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Ph-Gated Chloride Channel Activity -> Biodomain: Endolysosome, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Gtp 3',8'-Cyclase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cyclic Pyranopterin Monophosphate Synthase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown, Proteostasis
GO Term: Nad+ Nucleosidase Activity, Cyclic Adp-Ribose Generating -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Met1-Linked Polyubiquitin Deubiquitinase Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Endoplasmic Reticulum-Plasma Membrane Tethering -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Vasculature
GO Term: Telomeric Dna-Containing Double Minutes Formation -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Telomeric D-Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Telomeric D-Loop Binding -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cytosolic Ciliogenesis -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Podosome Ring -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Vasculature, Endolysosome
GO Term: Sperm Head -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Lipid Metabolism, Cell Cycle
GO Term: Concave Side Of Sperm Head -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Apical Ectoplasmic Specialization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Immune Response
GO Term: Basal Ectoplasmic Specialization -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Proteostasis
GO Term: Protein Localization To Tricellular Tight Junction -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Unknown, Endolysosome
GO Term: Neuropeptide Processing -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Unknown
GO Term: Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Neuron Projection Branch Point -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Dendritic Spine Cytoplasm -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Response To Cholecystokinin -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Telomeric G-Quadruplex Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Cell Cycle
GO Term: Growth Cone Leading Edge -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Leading Edge Of Lamellipodium -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Vasculature, Endolysosome
GO Term: Retrograde Transporter Complex, Golgi To Er -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Neuroblast Migration -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Vasculature, Synapse
GO Term: Endoplasmic Reticulum Stress-Induced Pre-Emptive Quality Control -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Dna Clamp Unloader Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Microtubule Plus End Polymerase -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Polarized Secretion Of Basement Membrane Proteins In Epithelium -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Autophagy
GO Term: Positive Regulation Of Hepatic Stellate Cell Migration -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Hepatic Stellate Cell Contraction -> Biodomain: Vasculature, Oxidative Stress, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Anterograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Mini Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Mini Excitatory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Synapse, Oxidative Stress, Vasculature, Proteostasis
GO Term: Positive Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Calcium Ion Sensor Activity -> Biodomain: Synapse, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: All-Trans Retinol 3,4-Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: All-Trans Retinal 3,4-Desaturase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: All-Trans Retinoic Acid 3,4-Desaturase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: 11-Cis-Retinal 3,4-Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Phagophore -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Autophagosome-Lysosome Fusion -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Autophagosome-Endosome Fusion -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Growth Plate Cartilage Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Protein Propionyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Peptidyl-Lysine Propionylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Glutathione Specific Gamma-Glutamylcyclotransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Gamma-Glutamylaminecyclotransferase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Erythrocyte Enucleation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Localization To Somatodendritic Compartment -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: C-Di-Gmp Signaling -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Autophagy, Unknown
GO Term: Negative Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Tau Homeostasis
GO Term: Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Establishment Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Lipid Metabolism
GO Term: Midbody Abscission -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Mrna (Adenine-N1-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Unknown, Cell Cycle
GO Term: Penetration Of Cumulus Oophorus -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Unknown
GO Term: Establishment Of Left/Right Asymmetry -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Unknown
GO Term: Perichondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Vasculature, Apoptosis, Cell Cycle
GO Term: Articular Cartilage Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Regulatory Rna Binding -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Apoptosis, Proteostasis
GO Term: Meiosis I Cell Cycle Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cardiac Endothelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Secondary Palate Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Regulation Of Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Negative Regulation Of Small Molecule Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Negative Regulation Of Scf-Dependent Proteasomal Ubiquitin-Dependent Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Scf-Dependent Proteasomal Ubiquitin-Dependent Catabolic Process -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Protein Degradation, Cellular Catabolism, Autophagy
GO Term: Regulation Of Stress Granule Assembly -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Stress Granule Assembly -> Biodomain: Oxidative Stress, Proteostasis, RNA Spliceosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Stress Granule Assembly -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Structural Stabilization
GO Term: D-Loop Dna Binding -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Proteostasis
GO Term: Negative Regulation Of Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Gpi-Mannose Ethanolamine Phosphate Phosphodiesterase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Unknown
GO Term: Fluoride Channel Activity -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Tap Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Oligosaccharyltransferase Complex Binding -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Autophagy, Endolysosome
GO Term: Bbsome Binding -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Box C/D Methylation Guide Snornp Complex Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Garp Complex Binding -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Histone H3K9Me2/3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone Mrna Stem-Loop Binding Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, RNA Spliceosome, Unknown
GO Term: Acyl-Coa (8-3)-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Tsc1-Tsc2 Complex Binding -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Inhibitory Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Activating Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Epigenetic
GO Term: Hla-E Specific Inhibitory Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Stomach Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Unknown
GO Term: Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Endolysosome
GO Term: Negative Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Cell Cycle, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Peptidyl-Aspartic Acid 3-Dioxygenase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Pumilio-Response Element Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Unknown
GO Term: Rna 2'-O-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Unknown
GO Term: Zinc Ion Import Into Organelle -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Fatty Acid Primary Amide Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 4-Hydroxybutyrate Receptor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Catalase Complex -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mrna (Cytidine-5-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: C5-Methylcytidine-Containing Rna Reader Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Unknown, Endolysosome
GO Term: N6-Methyl-Amp Deaminase Activity -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Mitochondrial Atp-Gated Potassium Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Mitochondrial Atp-Gated Potassium Channel Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Chloride:Proton Antiporter Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Complement Component C1Q Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Oxidative Stress
GO Term: Lutein Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Brexanolone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Brexanolone Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: R-Loop Processing -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Apoptosis
GO Term: Radial Spoke Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Unknown
GO Term: 25-Hydroxycholecalciferol-23-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: 1-Alpha,25-Dihydroxyvitamin D3 23-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Oxidative Stress
GO Term: All-Trans Retinoic Acid 4-Hydrolase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Epigenetic, Apoptosis, Immune Response
GO Term: All-Trans Retinoic Acid 18-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle, Epigenetic
GO Term: Testosterone 16-Beta-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Secalciferol 1-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
