Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Timing Of Anagen -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Positive Regulation Of Timing Of Anagen -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Timing Of Anagen -> Biodomain: Apoptosis, Autophagy, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Positive Regulation Of Cardioblast Differentiation -> Biodomain: Developmental Processes, Cardiovascular, Cell Growth And Proliferation, Cell Differentiation, Epigenetic
GO Term: Regulation Of Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Immune Response, Proteostasis
GO Term: Positive Regulation Of Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Immune Response
GO Term: Negative Regulation Of Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Regulation Of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Lipid Metabolism, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Proteostasis, Lipid Metabolism, Apoptosis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Autophagy, Apoptosis, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Membrane Depolarization -> Biodomain: Synapse, Structural Stabilization, Vasculature, Oxidative Stress, Proteostasis
GO Term: Regulation Of Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitochondrial Depolarization -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: S-(Hydroxymethyl)Glutathione Dehydrogenase [Nad(P)+] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Pigment Granule Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Double-Stranded Dna 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Induction Of Synaptic Plasticity By Chemical Substance -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Granulocyte Colony-Stimulating Factor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Endolysosome
GO Term: Regulation Of Fibrinolysis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Negative Regulation Of Fibrinolysis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Fibrinolysis -> Biodomain: Vasculature, Proteostasis, Immune Response, Structural Stabilization, Endolysosome
GO Term: Peroxiredoxin Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Cholesterol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Sulfation -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Regulation Of Calcium Ion Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Calcium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Apoptosis, Vasculature, Proteostasis
GO Term: Positive Regulation Of Calcium Ion Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Regulation Of Sensory Perception Of Pain -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Glutamate Reuptake -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Gamma-Aminobutyric Acid Reuptake -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: L-Glutamate Import -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Gamma-Aminobutyric Acid Import -> Biodomain: Synapse, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Regulation Of Glutamate Uptake Involved In Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Glutamate Uptake Involved In Transmission Of Nerve Impulse -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Amine Transport -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Negative Regulation Of Amino Acid Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: Positive Regulation Of Amino Acid Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Synapse, Lipid Metabolism
GO Term: Methotrexate Transport -> Biodomain: DNA Repair, Endolysosome, Immune Response, Mitochondrial Metabolism, Cell Cycle
GO Term: Dynein Light Intermediate Chain Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Synapse
GO Term: Regulation Of Nervous System Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Nervous System Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Structural Stabilization
GO Term: Positive Regulation Of Nervous System Development -> Biodomain: Synapse, Myelination, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Regulation Of Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Negative Regulation Of Synapse Assembly -> Biodomain: Synapse, Proteostasis, Epigenetic, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Synapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Tau Homeostasis
GO Term: Regulation Of Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Positive Regulation Of Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Transmission Of Nerve Impulse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Oxidative Stress
GO Term: Positive Regulation Of Transmission Of Nerve Impulse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Lysophospholipid Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Lysophospholipid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Regulation Of Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: (R)-2-Hydroxyglutarate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Squalene Synthase [Nad(P)H] Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: 2-Oxo-4-Hydroxy-4-Carboxy-5-Ureidoimidazoline Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Unknown, Endolysosome
GO Term: Protein Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Symbiont-Mediated Suppression Of Host Innate Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Suppression Of Symbiont Entry Into Host -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Trna Dimethylallyltransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Unknown, Autophagy
GO Term: Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Diamine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Apoptosis
GO Term: Histamine Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Autophagy, Apoptosis
GO Term: Phosphatidylinositol-3,5-Bisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Synapse, Proteostasis
GO Term: Udp-N-Acetylgalactosamine Diphosphorylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Lysophosphatidic Acid Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: All-Trans-Retinol Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Epigenetic, Unknown, Mitochondrial Metabolism
GO Term: Monoacylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Cyclic Purine Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Immune Response, Autophagy
GO Term: L-Leucine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: L-Valine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: L-Isoleucine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Guanine Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Cell Cycle, Lipid Metabolism
GO Term: Inositol-1,4,5-Trisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis, Metal Binding and Homeostasis
GO Term: Carboxylic Ester Hydrolase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Trna-Specific Adenosine-34 Deaminase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Class Ii Dna-(Apurinic Or Apyrimidinic Site) Endonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Proteostasis
GO Term: Fatty Acid In-Chain Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Inositol Hexakisphosphate 1-Kinase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Inositol-1,3,4-Trisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Inositol-1,3,4-Trisphosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Phosphocholine Phosphatase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Phosphoethanolamine Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Trna (Cytidine-3-)-Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: (R)-Limonene 6-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Unknown, Metal Binding and Homeostasis
GO Term: Phosphatidylinositol Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Inositol Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Metal Binding and Homeostasis
GO Term: Gdp-Mannose Hydrolase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Chondroitin Hydrolase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Immune Response, Structural Stabilization
GO Term: Mannosyl-Oligosaccharide 1,6-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Unknown
GO Term: 1-Phosphatidylinositol-5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, APP Metabolism
GO Term: Medium-Chain Fatty Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Medium-Chain Fatty Acyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Long-Chain Fatty Acyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Very Long-Chain Fatty Acyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Inositol Hexakisphosphate 2-Phosphatase Activity -> Biodomain: Lipid Metabolism, Unknown, Endolysosome, Apoptosis, Autophagy
GO Term: Inositol Pentakisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Inositol-3,4-Bisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Inositol-1,3,4-Trisphosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Inositol Monophosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Unknown
GO Term: Inositol Monophosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Inositol Monophosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Inositol-3,4,6-Trisphosphate 1-Kinase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Inositol 5-Diphosphate Pentakisphosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Diphosphoinositol Tetrakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Inositol Diphosphate Tetrakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Inositol Diphosphate Pentakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Epigenetic, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Inositol-5-Diphosphate-1,2,3,4,6-Pentakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Unknown, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Inositol-3,5-Bisdiphosphate-2,3,4,6-Tetrakisphosphate 5-Diphosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Ferric-Chelate Reductase (Nadph) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Nad(P)Hx Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Phosphatidylinositol Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Arachidonate Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Alpha-Tocopherol Omega-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Fmn Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, DNA Repair
GO Term: Fmn Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: All-Trans-Retinyl-Palmitate Hydrolase, 11-Cis Retinol Forming Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: All-Trans-Retinyl-Ester Hydrolase, 11-Cis Retinol Forming Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Spermine Oxidase Activity -> Biodomain: Oxidative Stress, Autophagy, Apoptosis, Proteostasis, Epigenetic
GO Term: N(1)-Acetylpolyamine Oxidase (3-Acetamidopropanal-Forming) Activity -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Trna (Guanosine(9)-N1)-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Unknown, Proteostasis
GO Term: Trna (Guanine(37)-N1)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: 18S Rrna (Adenine(1779)-N(6)/Adenine(1780)-N(6))-Dimethyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Unknown
GO Term: Dol-P-Man:Man(7)Glcnac(2)-Pp-Dol Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Glycosylation,Lipid Metabolism,Proteostasis,Endolysosome,Mitochondrial Metabolism
GO Term: Dol-P-Man:Man(8)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: All-Trans-Nonaprenyl-Diphosphate Synthase (Geranyl-Diphosphate Specific) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dol-P-Man:Man(5)Glcnac(2)-Pp-Dol Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Unknown
GO Term: Dol-P-Man:Man(6)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Unknown
GO Term: Muscle Cell Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Striated Muscle Cell Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Cardiac Myofibril Assembly -> Biodomain: Structural Stabilization, Muscle Structure, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Ventricular Cardiac Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Cardiac Cell Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Cardiac Muscle Cell Differentiation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Structural Stabilization, Vasculature, Apoptosis
GO Term: Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Mitochondrial Metabolism
GO Term: Atrial Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Vasculature
GO Term: Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Ventricular Cardiac Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Unknown
GO Term: Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Atrial Cardiac Muscle Cell Development -> Biodomain: Structural Stabilization, Vasculature, Muscle, Organogenesis, Mitochondrial Metabolism
GO Term: Ventricular Cardiac Muscle Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Cardiac Muscle Tissue Growth -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Cardiac Muscle Fiber Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cardiac Muscle Tissue Growth -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Regulation Of Cardiac Muscle Tissue Development -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Vasculature
GO Term: Positive Regulation Of Cardiac Muscle Tissue Development -> Biodomain: Cardiovascular, Muscle Development, Regulation of Development, Organogenesis, Signal Transduction
GO Term: Negative Regulation Of Cardiac Muscle Tissue Development -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Vasculature
GO Term: Cortical Microtubule -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Cycle, Proteostasis, Autophagy
GO Term: Nuclear Dna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Recycling Endosome -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Synapse, Autophagy
GO Term: Recycling Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Anastral Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Unknown
GO Term: D-Glucose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Asymmetric Neuroblast Division -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Epigenetic, Proteostasis
GO Term: Phosphate Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Epigenetic, Cell Cycle
GO Term: Chloride Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Copper Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Calcium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Potassium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Oxidative Stress
GO Term: Gap Junction Hemi-Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress
GO Term: Sodium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Myelination, Structural Stabilization
GO Term: Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Monoatomic Anion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Intracellular Chemical Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Transmembrane Transport -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Nucleobase-Containing Small Molecule Metabolic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Ski Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Lipid Homeostasis -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Fatty Acid Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Acylglycerol Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Phospholipid Homeostasis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Sterol Homeostasis -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Response To Hyperoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, DNA Repair, Proteostasis
