Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Efflux Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Vasculature
GO Term: Abc-Type Putrescine Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Organophosphate Ester Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Spermidine Transmembrane Transporter Activity -> Biodomain: Autophagy, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Abc-Type Fatty-Acyl-Coa Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Dna Translocase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Actin Cytoskeleton -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Endolysosome, Proteostasis
GO Term: Microtubule Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Autophagy
GO Term: Tubulin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Short-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Toxic Substance Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Fatty Acid Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Peptidoglycan Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Immune Response
GO Term: Lactate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Quaternary Ammonium Group Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Endolysosome, Oxidative Stress
GO Term: Alanine:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Branched-Chain Amino Acid:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Branched-Chain Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Transporter Activity, Proteostasis, Metal Binding and Homeostasis
GO Term: P-Type Ion Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carbon Dioxide Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxygen Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: Nickel Cation Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Vanadium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Copper Ion Import -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Plasma Membrane Copper Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism, Proteostasis
GO Term: Molybdate Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lead Ion Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Magnesium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Mercury Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Organic Cation Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Vasculature
GO Term: Quaternary Ammonium Group Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Synapse, Lipid Metabolism
GO Term: Inorganic Anion Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: Bicarbonate Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Iodide Transport -> Biodomain: Metal Binding and Homeostasis, Vasculature, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Nitrate Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Nitrite Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Thiosulfate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Endolysosome
GO Term: Organic Anion Transport -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Monocarboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Bile Acid And Bile Salt Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Canalicular Bile Acid Transport -> Biodomain: Lipid Metabolism, Vasculature, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Bilirubin Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Formate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Lactate Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Immune Response, Oxidative Stress
GO Term: Mevalonate Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Vasculature
GO Term: Oxaloacetate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Propanoate Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Prostaglandin Transport -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Endolysosome, Oxidative Stress
GO Term: Taurine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Sialic Acid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Proteostasis, Autophagy
GO Term: C4-Dicarboxylate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Fumarate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Alpha-Ketoglutarate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Succinate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Citrate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Urate Transport -> Biodomain: Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Organophosphate Ester Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Pentose Transmembrane Transport -> Biodomain: Endolysosome, Vasculature, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Fructose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Fucose Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Galactose Transmembrane Transport -> Biodomain: Carbohydrate Metabolism, Membrane Trafficking, Protein Localization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glucose-6-Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Mannose Transmembrane Transport -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Sucrose Transport -> Biodomain: Carbohydrate Metabolism, Membrane Transport, Metabolism, Cellular Localization, Metabolic Processes
GO Term: Polysaccharide Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Vasculature
GO Term: Glucuronoside Transport -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Oxidative Stress, Immune Response
GO Term: Nucleotide-Sugar Transmembrane Transport -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transport -> Biodomain: Endolysosome, Autophagy, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Udp-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Udp-Glucuronate Transmembrane Transport -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Udp-Xylose Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Polyol Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Glycerol Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Mannitol Transmembrane Transport -> Biodomain: Vasculature, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Myo-Inositol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Acidic Amino Acid Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Aromatic Amino Acid Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Basic Amino Acid Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Branched-Chain Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Neutral Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: S-Adenosyl-L-Methionine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: L-Amino Acid Transport -> Biodomain: Proteostasis, Synapse, Autophagy, Cell Cycle, Myelination
GO Term: L-Alanine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Aspartate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Cystine Transport -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Transport -> Biodomain: Synapse, Endolysosome, Proteostasis, Lipid Metabolism, Vasculature
GO Term: L-Glutamate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Glycine Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Histidine Transport -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Immune Response, Epigenetic
GO Term: Isoleucine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Lysine Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: L-Leucine Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Methionine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Ornithine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Phenylalanine Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Proline Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: L-Serine Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Threonine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Tryptophan Transport -> Biodomain: Proteostasis, Autophagy, Immune Response, Endolysosome, Mitochondrial Metabolism
GO Term: Tyrosine Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Valine Transport -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Peptide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Peptidoglycan Transport -> Biodomain: Immune Response, Endolysosome, Autophagy, Structural Stabilization, Proteostasis
GO Term: Amine Transport -> Biodomain: Synapse, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Endolysosome
GO Term: Amino-Acid Betaine Transport -> Biodomain: Lipid Metabolism, Epigenetic, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Urea Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Aminergic Neurotransmitter Loading Into Synaptic Vesicle -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Methylammonium Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Monoamine Transport -> Biodomain: Synapse, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Putrescine Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Spermidine Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Organic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Organic Hydroxy Compound Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Nucleobase Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Adenine Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Lipid Metabolism
GO Term: Guanine Transport -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Pyrimidine Nucleobase Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Nucleoside Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Synapse, Epigenetic, Vasculature
GO Term: Purine Nucleoside Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Cytidine Transport -> Biodomain: Mitochondrial Metabolism, Nucleobase Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Uridine Transmembrane Transport -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Pyrimidine Nucleoside Transport -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Purine Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Cell Cycle, Autophagy
GO Term: Adp Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Atp Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Synapse, Cell Cycle
GO Term: Acetylcholine Transport -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Choline Transport -> Biodomain: Lipid Metabolism, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Dopamine Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Norepinephrine Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Acetyl-Coa Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Autophagy
GO Term: Biotin Transport -> Biodomain: Vitamin Transport, Lipid Metabolism, Membrane Trafficking, Vesicle-Mediated Transport, Transporters
GO Term: Carnitine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Creatine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress
GO Term: L-Ascorbic Acid Transmembrane Transport -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Immune Response, Vasculature
GO Term: Folic Acid Transport -> Biodomain: Mitochondrial Metabolism, Vitamin Transport, DNA Repair, Cell Cycle, Epigenetic
GO Term: Heme Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Pantothenate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Thiamine Transport -> Biodomain: Mitochondrial Metabolism, Vitamin Metabolism, Cellular Nutrient Uptake, Metabolic Processes, Intracellular Trafficking
GO Term: Cobalamin Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis
GO Term: Siderophore Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Tetracycline Transmembrane Transport -> Biodomain: Immune Response, Vasculature, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Long-Chain Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Long-Chain Fatty Acid Import Into Peroxisome -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Short-Chain Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Short-Chain Fatty Acid Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Phospholipid Transport -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Fatty-Acyl-Coa Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Aminophospholipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Sterol Transport -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Peroxisomal Membrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lipopolysaccharide Transport -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Mannosidase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Glucosidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Hexosaminidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Proteostasis, Autophagy
GO Term: Nucleobase-Containing Compound Transport -> Biodomain: Transporters, DNA Metabolism, RNA Metabolism, Cell Cycle, Endolysosome
GO Term: Nucleobase-Containing Compound Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Large Ribosomal Subunit -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Small Ribosomal Subunit -> Biodomain: Proteostasis, RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Coenzyme A Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Coenzyme A Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Coenzyme A Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pantothenate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Vitamin Metabolism, Small Molecule Biochemistry, Metabolic Pathways, Cellular Metabolism
GO Term: Formate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Formate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Nucleobase-Containing Small Molecule Interconversion -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Diadenosine Polyphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Apoptosis, Autophagy
GO Term: Diadenosine Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Diadenosine Tetraphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Energy Derivation By Oxidation Of Organic Compounds -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Proton Motive Force-Driven Atp Synthesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Electron Transport Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Phospholipase Activator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Phospholipase A2 Activator Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Dystrophin-Associated Glycoprotein Complex -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Lipid Metabolism
GO Term: Dystroglycan Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Sarcoglycan Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Autophagy
GO Term: Syntrophin Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Morphogen Activity -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Synapse, Proteostasis
GO Term: Cyclosporin A Binding -> Biodomain: Immune Response, Mitochondrial Metabolism, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Peptidoglycan Immune Receptor Activity -> Biodomain: Immune Response, Innate Immunity, Pathogen Recognition, Signal Transduction, Molecular Function
GO Term: Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Synapse
GO Term: Cdp-Diacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Trna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Transmembrane Transport, RNA Transport, Nucleic Acid Transport, Proteostasis
GO Term: Viral Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Maleylacetoacetate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Zeta Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: Cellular Response To Phosphate Starvation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Absorption Of Visible Light -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Detection Of Bacterium -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Detection Of Fungus -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Detection Of Temperature Stimulus -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Vasculature, Immune Response
GO Term: Vesicle Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Carbohydrate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Carbohydrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Proteostasis
