Running with TEMP=0.1, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Chemorepulsion Of Axon -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Protein Localization To Cenp-A Containing Chromatin -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Positive Regulation Of Glutamate Neurotransmitter Secretion In Response To Membrane Depolarization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Ubiquitin-Modified Histone Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Atg12 Conjugating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Nedd8 Conjugating Enzyme Activity -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Protein Modification and Regulation, Cell Cycle, Apoptosis
GO Term: Sumo Conjugating Enzyme Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Ufm1 Conjugating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Ubiquitin-Like Protein Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Nedd8 Ligase Activity -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Cell Cycle, DNA Repair, Epigenetic
GO Term: Sumo Ligase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Ufm1 Ligase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mitochondrial Ribosome Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Spontaneous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Evoked Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Mitotic Spindle Astral Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Importin-Alpha Family Protein Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Seminal Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Vasculature
GO Term: Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Diphthine Methylesterase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Tricellular Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Synapse
GO Term: Lipoamidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Detoxification Of Hydrogen Peroxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Detoxification Of Hydrogen Peroxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Pituitary Gonadotropin Complex -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Proteostasis, Endolysosome
GO Term: Protein-Glutaryllysine Deglutarylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Protein Deglutarylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Gator2 Complex -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Canonical Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Trna-5-Taurinomethyluridine 2-Sulfurtransferase -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Reticulophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: L-Threonylcarbamoyladenylate Synthase -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy, Epigenetic
GO Term: N(6)-L-Threonylcarbamoyladenine Synthase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Autophagy, Epigenetic
GO Term: Anterior Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Folic Acid Receptor Activity -> Biodomain: Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Glycophagy -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Lipophagy -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Methylglyoxal Catabolic Process To Lactate -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Gdp-Mannose Biosynthetic Process From Mannose -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Gdp-D-Mannose Biosynthetic Process From Fructose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: C-Rich Strand Telomeric Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Ribonucleoside-Diphosphate Reductase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Protein-Lysine-Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Type 2 Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Engulfment Of Target By Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Leukotriene Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Late Endosomal Microautophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Protein Lipidation Involved In Autophagosome Assembly -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Protein Targeting To Lysosome Involved In Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Chaperone-Mediated Autophagy Translocation Complex -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Motor Learning -> Biodomain: Synapse, Proteostasis, Myelination, Mitochondrial Metabolism, Epigenetic
GO Term: Motor Behavior -> Biodomain: Synapse, Structural Stabilization, Myelination, Mitochondrial Metabolism, Proteostasis
GO Term: Forked Dna-Dependent Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Acid Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Neutral Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Telomeric Repeat-Containing Rna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Substrate Localization To Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Circulating Fibrinogen Levels -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Circulating Fibrinogen Levels -> Biodomain: Proteostasis, Immune Response, Vasculature, Epigenetic, Oxidative Stress
GO Term: Leukocyte Adhesion To Vascular Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Antifungal Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Camkk-Ampk Signaling Cascade -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Multivesicular Body-Lysosome Fusion -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Late Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Endolysosome
GO Term: Negative Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Magnesium:Sodium Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Ribosylnicotinate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Nucleotide Metabolism, Redox Homeostasis, Cell Signaling
GO Term: Translation Elongation Factor Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, RNA Spliceosome, Epigenetic
GO Term: Response To Caloric Restriction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Xenobiotic Transport Across Blood-Nerve Barrier -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Enosc Complex -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cohesin Loader Activity -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Tapasin-Erp57 Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Oxidative Stress, Vasculature
GO Term: Dense Core Granule Priming -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Structural Stabilization
GO Term: Secretory Granule Maturation -> Biodomain: Secretory Granule, Endolysosome, Synapse, Proteostasis, Autophagy
GO Term: Chromatin Lock Complex -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Golgi Lumen Acidification -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization
GO Term: Ph-Gated Chloride Channel Activity -> Biodomain: Endolysosome, Synapse, Autophagy, Oxidative Stress, Proteostasis
GO Term: Gtp 3',8'-Cyclase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Cyclic Pyranopterin Monophosphate Synthase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Nad+ Nucleosidase Activity, Cyclic Adp-Ribose Generating -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Met1-Linked Polyubiquitin Deubiquitinase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Oxidative Stress
GO Term: Endoplasmic Reticulum-Plasma Membrane Tethering -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Telomeric Dna-Containing Double Minutes Formation -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Telomeric D-Loop Disassembly -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Telomeric D-Loop Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Cytosolic Ciliogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Podosome Ring -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Vasculature, Proteostasis
GO Term: Sperm Head -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Concave Side Of Sperm Head -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Apical Ectoplasmic Specialization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Basal Ectoplasmic Specialization -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Protein Localization To Tricellular Tight Junction -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Neuropeptide Processing -> Biodomain: Proteostasis, Synapse, Endocrine, Proteolysis, Peptide Hormones
GO Term: Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Neuron Projection Branch Point -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Dendritic Spine Cytoplasm -> Biodomain: Synapse, Structural Stabilization, Proteostasis, RNA Spliceosome, Lipid Metabolism
GO Term: Response To Cholecystokinin -> Biodomain: Synapse, Lipid Metabolism, Vasculature, Proteostasis, Epigenetic
GO Term: Telomeric G-Quadruplex Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Growth Cone Leading Edge -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Leading Edge Of Lamellipodium -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Retrograde Transporter Complex, Golgi To Er -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Neuroblast Migration -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis
GO Term: Endoplasmic Reticulum Stress-Induced Pre-Emptive Quality Control -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Dna Clamp Unloader Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Microtubule Plus End Polymerase -> Biodomain: Cell Cycle, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Polarized Secretion Of Basement Membrane Proteins In Epithelium -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Hepatic Stellate Cell Migration -> Biodomain: Oxidative Stress, Vasculature, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Hepatic Stellate Cell Contraction -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Anterograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Tau Homeostasis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Mini Excitatory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Mini Excitatory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Vasculature
GO Term: Negative Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress
GO Term: Positive Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Calcium Ion Sensor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: All-Trans Retinol 3,4-Desaturase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: All-Trans Retinal 3,4-Desaturase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: All-Trans Retinoic Acid 3,4-Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: 11-Cis-Retinal 3,4-Desaturase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Phagophore -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Autophagosome-Lysosome Fusion -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Autophagosome-Endosome Fusion -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Growth Plate Cartilage Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Protein Propionyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Peptidyl-Lysine Propionylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Glutathione Specific Gamma-Glutamylcyclotransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Gamma-Glutamylaminecyclotransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Positive Regulation Of Erythrocyte Enucleation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Oxidative Stress
GO Term: Protein Localization To Somatodendritic Compartment -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: C-Di-Gmp Signaling -> Biodomain: Signaling, Bacterial Processes, Cell Adhesion, Cell Cycle, Cellular Processes
GO Term: Negative Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, DNA Repair
GO Term: Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Tau Homeostasis
GO Term: Establishment Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle, Immune Response
GO Term: Midbody Abscission -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Mrna (Adenine-N1-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, DNA Repair
GO Term: Penetration Of Cumulus Oophorus -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Establishment Of Left/Right Asymmetry -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Perichondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Articular Cartilage Development -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Regulatory Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Immune Response, Autophagy
GO Term: Meiosis I Cell Cycle Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Cardiac Endothelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Secondary Palate Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Regulation Of Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Scf-Dependent Proteasomal Ubiquitin-Dependent Catabolic Process -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Protein Degradation, Protein Homeostasis, Cell Cycle
GO Term: Positive Regulation Of Scf-Dependent Proteasomal Ubiquitin-Dependent Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Stress Granule Assembly -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome, Immune Response
GO Term: Positive Regulation Of Stress Granule Assembly -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome, Immune Response
GO Term: Negative Regulation Of Stress Granule Assembly -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome, Immune Response
GO Term: Positive Regulation Of Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: D-Loop Dna Binding -> Biodomain: DNA Repair, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Gpi-Mannose Ethanolamine Phosphate Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Fluoride Channel Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Tap Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Oligosaccharyltransferase Complex Binding -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Synapse
GO Term: Bbsome Binding -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Synapse
GO Term: Box C/D Methylation Guide Snornp Complex Binding -> Biodomain: RNA Spliceosome, Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Garp Complex Binding -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, APP Metabolism
GO Term: Histone H3K9Me2/3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Histone Mrna Stem-Loop Binding Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Acyl-Coa (8-3)-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Tsc1-Tsc2 Complex Binding -> Biodomain: Autophagy, Cell Cycle, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Inhibitory Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Activating Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Hla-E Specific Inhibitory Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Stomach Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Autophagy, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Peptidyl-Aspartic Acid 3-Dioxygenase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Pumilio-Response Element Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Rna 2'-O-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Zinc Ion Import Into Organelle -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Fatty Acid Primary Amide Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 4-Hydroxybutyrate Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Catalase Complex -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis, Mitochondrial Metabolism
GO Term: Mrna (Cytidine-5-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: C5-Methylcytidine-Containing Rna Reader Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Autophagy
GO Term: N6-Methyl-Amp Deaminase Activity -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Mitochondrial Atp-Gated Potassium Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Atp-Gated Potassium Channel Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Chloride:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Immune Response
GO Term: Complement Component C1Q Complex -> Biodomain: Immune Response, Synapse, Oxidative Stress, Vasculature, Apoptosis
GO Term: Lutein Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Brexanolone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
