Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Dendritic Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Synapse, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Immune Response
GO Term: Negative Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Regulation Of Cellular Response To X-Ray -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Actomyosin Contractile Ring Assembly Actin Filament Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Cardiac Muscle Cell Myoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Epithelial Cell Differentiation Involved In Kidney Development -> Biodomain: Epigenetic, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Negative Regulation Of Epithelial Cell Differentiation Involved In Kidney Development -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway Involved In Ureteric Bud Formation -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Negative Regulation Of Dense Core Granule Biogenesis -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Apoptosis
GO Term: Positive Regulation Of Dense Core Granule Biogenesis -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Negative Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Mesenchymal Cell Proliferation Involved In Ureter Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Mitochondrial Metabolism
GO Term: Regulation Of Termination Of Rna Polymerase I Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Proteostasis
GO Term: Negative Regulation Of Glial Cell-Derived Neurotrophic Factor Receptor Signaling Pathway Involved In Ureteric Bud Formation -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Regulation Of Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Autophagy, Vasculature
GO Term: Positive Regulation Of Anterior Head Development -> Biodomain: Epigenetic, Cell Cycle, Synapse, Myelination, Structural Stabilization
GO Term: Regulation Of Glucosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Glucosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Sphingomyelin Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Peptidyl-Lysine Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Peptidyl-Lysine Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, Apoptosis
GO Term: Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Autophagy, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Epigenetic
GO Term: Regulation Of Cellular Senescence -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Cellular Senescence -> Biodomain: Cell Cycle, DNA Repair, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cellular Senescence -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Establishment Of Cell Polarity Regulating Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Mesenchymal Cell Proliferation Involved In Lung Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Autophagy
GO Term: Cell Proliferation Involved In Heart Valve Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: Negative Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Autophagy, Apoptosis
GO Term: Negative Regulation Of Amniotic Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Endocardial Cushion To Mesenchymal Transition Involved In Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Termination Of Rna Polymerase Ii Transcription, Poly(A)-Coupled -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Termination Of Rna Polymerase Ii Transcription, Poly(A)-Coupled -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Negative Regulation Of Anoikis -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Negative Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Synapse, Proteostasis
GO Term: Positive Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Negative Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Nucleotide-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Regulation Of Grooming Behavior -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Regulation Of Behavioral Fear Response -> Biodomain: Synapse, Epigenetic, Oxidative Stress, Vasculature, Autophagy
GO Term: Regulation Of Heart Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Mitochondrial Rna Surveillance -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: Positive Regulation Of Parathyroid Hormone Secretion -> Biodomain: Metal Binding and Homeostasis, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Androgen Secretion -> Biodomain: Endocrine, Cell Signaling, Reproductive System, Hormone Regulation, Developmental Processes
GO Term: Positive Regulation Of Testosterone Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Glucocorticoid Secretion -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Corticosterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Corticosterone Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Corticosterone Secretion -> Biodomain: Hormone Regulation, Neuroendocrine System, Stress Response, Immune Response, Neuroinflammation
GO Term: Negative Regulation Of Aldosterone Secretion -> Biodomain: Vasculature, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Aldosterone Secretion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Estradiol Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Estradiol Secretion -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Progesterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Progesterone Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Cellobiose Catabolic Process -> Biodomain: Carbohydrate Metabolism, Glycan Metabolism, Metabolic Pathways, Catabolic Processes, Lipid Metabolism
GO Term: Cyclodextrin Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Positive Regulation Of Detection Of Glucose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle, Proteostasis
GO Term: Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Positive Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulation Of Forebrain Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Forebrain Neuron Differentiation -> Biodomain: Epigenetic, Cell Cycle, Synapse, Autophagy, Apoptosis
GO Term: Positive Regulation Of Forebrain Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Inner Ear Receptor Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Inner Ear Receptor Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Behavioral Fear Response -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Oxidative Stress
GO Term: Epithelial Cell Proliferation Involved In Renal Tubule Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Vasculature
GO Term: Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Negative Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Positive Regulation Of Retrograde Axon Cargo Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Regulation Of Response To Drug -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Response To Drug -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Response To Drug -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Negative Regulation Of Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Tongue Muscle Cell Differentiation -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Cellular Response To Drug -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Cellular Response To Drug -> Biodomain: Immune Response, Cell Cycle, Autophagy, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Cellular Response To Drug -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Epigenetic
GO Term: Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Tendon Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Reactive Nitrogen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Immune Response
GO Term: Mannan Binding -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Glycogen Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Starch Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Metanephric Ureteric Bud Development -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Rho Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Lens Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Translational Frameshifting -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Positive Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Phospholipid Transport -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Rna Biosynthetic Process -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Immune Response, Apoptosis
GO Term: Nicotinate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Phosphatidylinositol-3,4,5-Trisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Cell Cycle, Immune Response, Autophagy
GO Term: Positive Regulation Of Dipeptide Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Renal Water Transport -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Mediator Complex Assembly -> Biodomain: Transcriptional Regulation, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Negative Regulation Of T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Endolysosome
GO Term: Positive Regulation Of T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Immune Signaling, Lymphocyte, Antigen Presentation, T Cell Activation
GO Term: Positive Regulation Of Gamma-Delta T Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Osteoclast Development -> Biodomain: Immune Response, Endolysosome, Apoptosis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Osteoclast Development -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Osteoclast Development -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Regulation Of Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Negative Regulation Of Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Vasculogenesis -> Biodomain: Vasculature, Angiogenesis, Cell Adhesion, Growth Factor Signaling, Development
GO Term: Regulation Of Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Neuron Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Neuron Migration -> Biodomain: Tau Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Vasculature
GO Term: Regulation Of Chloride Transport -> Biodomain: Ion Homeostasis, Cell Signaling, Membrane Transport, Neuronal Function, Electrolyte Balance
GO Term: Negative Regulation Of Chloride Transport -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Autophagy
GO Term: Negative Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Immune Response, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Ammonia Assimilation Cycle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Chromosome Organization -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Chromosome Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Regulation Of Store-Operated Calcium Entry -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
