Running with TEMP=0.1, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Cellular Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Nutrient -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: A Band -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: H Zone -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: I Band -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Endolysosome
GO Term: G-Protein Beta/Gamma-Subunit Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: G-Protein Beta-Subunit Binding -> Biodomain: Signal Transduction, Receptor Signaling, Protein Complex Assembly, Cell Signaling, Intracellular Trafficking
GO Term: G-Protein Gamma-Subunit Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Endolysosome, Autophagy
GO Term: G-Protein Beta/Gamma-Subunit Complex Binding -> Biodomain: Synapse, Lipid Metabolism, Vasculature, Immune Response, Cell Cycle
GO Term: Adenosine Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: A1 Adenosine Receptor Binding -> Biodomain: Synapse, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: A2A Adenosine Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Adrenergic Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Structural Stabilization
GO Term: Alpha-1B Adrenergic Receptor Binding -> Biodomain: Vasculature, Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Alpha-2A Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Apoptosis
GO Term: Alpha-2B Adrenergic Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: Alpha-2C Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Beta-1 Adrenergic Receptor Binding -> Biodomain: Mitochondrial Metabolism, Apoptosis, Synapse, Vasculature, Immune Response
GO Term: Beta-2 Adrenergic Receptor Binding -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Synapse
GO Term: Beta-3 Adrenergic Receptor Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Adrenomedullin Receptor Binding -> Biodomain: Vasculature, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Angiotensin Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Type 1 Angiotensin Receptor Binding -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Type 2 Angiotensin Receptor Binding -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Apelin Receptor Binding -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Endothelin A Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Endothelin B Receptor Binding -> Biodomain: Vasculature, Immune Response, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Neuromedin B Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: Bradykinin Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Endolysosome
GO Term: C5L2 Anaphylatoxin Chemotactic Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Autophagy
GO Term: Calcitonin Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Type 1 Cannabinoid Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Haptoglobin Binding -> Biodomain: Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Proteostasis
GO Term: Hemoglobin Alpha Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Cxcr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cxcr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Ccr1 Chemokine Receptor Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Endolysosome
GO Term: Ccr2 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Ccr3 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Ccr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Synapse
GO Term: Ccr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Signal Transduction, Cell Surface Receptor Activity, Receptor Binding, Cell Communication
GO Term: Ccr6 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Ccr7 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Ccr10 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Cell Cycle, Epigenetic
GO Term: Cx3C Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Type B Gastrin/Cholecystokinin Receptor Binding -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Cell Cycle, Metal Binding and Homeostasis
GO Term: D1 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: D2 Dopamine Receptor Binding -> Biodomain: Synapse, Neurotransmission, Neuronal Signaling, Intracellular Signaling, Physiological Processes
GO Term: D3 Dopamine Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: D4 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization
GO Term: D5 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Edg-2 Lysophosphatidic Acid Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Follicle-Stimulating Hormone Receptor Binding -> Biodomain: Endocrine Signaling, Receptor Binding, Cell Surface Receptor Activity, Reproductive System, Signal Transduction
GO Term: Galanin Receptor Binding -> Biodomain: Synapse, Neurotransmission, Neuropeptide Signaling, Receptor Signaling, Neural Function
GO Term: Type 1 Galanin Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Type 2 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Type 3 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Gastric Inhibitory Polypeptide Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Ghrelin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Synapse
GO Term: Glucagon Receptor Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Epigenetic, Proteostasis
GO Term: Growth Hormone-Releasing Hormone Receptor Binding -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Type 1 Orexin Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Type 2 Orexin Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Kisspeptin Receptor Binding -> Biodomain: Vasculature, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Type 1 Melanin-Concentrating Hormone Receptor Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: Melanocortin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Corticotropin Hormone Receptor Binding -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Type 3 Melanocortin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Immune Response, Oxidative Stress
GO Term: Type 4 Melanocortin Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Type 5 Melanocortin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Synapse, Vasculature
GO Term: Motilin Receptor Binding -> Biodomain: Proteostasis, Immune Response, Synapse, Lipid Metabolism, Autophagy
GO Term: Type 2 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Type 3 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Type 5 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Type 8 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: P2Y1 Nucleotide Receptor Binding -> Biodomain: Immune Response, Vasculature, Synapse, Lipid Metabolism, Proteostasis
GO Term: G Protein-Coupled Serotonin Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Epigenetic, Apoptosis
GO Term: Substance P Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Endolysosome
GO Term: Neuromedin K Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Oxidative Stress, Vasculature
GO Term: Substance K Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: Haptoglobin-Hemoglobin Complex -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: Type 1 Neuromedin U Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Type 2 Neuromedin U Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism
GO Term: Neuropeptide Y Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Protection From Non-Homologous End Joining At Telomere -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Olfactory Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Kappa-Type Opioid Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Immune Response
GO Term: Mu-Type Opioid Receptor Binding -> Biodomain: Synapse, Immune Response, Epigenetic, Oxidative Stress, Vasculature
GO Term: Orexigenic Neuropeptide Qrfp Receptor Binding -> Biodomain: Synapse, Lipid Metabolism, Epigenetic, Proteostasis, Immune Response
GO Term: Oxytocin Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Structural Stabilization
GO Term: Parathyroid Hormone Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Immune Response, Proteostasis, Epigenetic
GO Term: Type 1 Parathyroid Hormone Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Vasculature, Synapse, Proteostasis
GO Term: Telomeric 3' Overhang Formation -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Prolactin-Releasing Peptide Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Cell Cycle, Epigenetic
GO Term: Ep4 Subtype Prostaglandin E2 Receptor Binding -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Thromboxane A2 Receptor Binding -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Proteinase Activated Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Somatostatin Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, Vasculature
GO Term: Taste Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Immune Response, Structural Stabilization
GO Term: Type 1 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, Endolysosome
GO Term: Type 2 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: V1A Vasopressin Receptor Binding -> Biodomain: Vasculature, Receptor Signaling, Immune Response, Oxidative Stress, Proteostasis
GO Term: V1B Vasopressin Receptor Binding -> Biodomain: Oxidative Stress, Synapse, Vasculature, Proteostasis, Apoptosis
GO Term: Early Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Late Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Early Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Late Endosome Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Pyridoxine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis
GO Term: Tor Signaling -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Mitochondria-Nucleus Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Torc1 Complex -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Torc2 Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Filamentous Actin -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Glucocorticoid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, DNA Repair, Autophagy
GO Term: Positive Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Medium-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Very Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Nuclear Receptor-Mediated Corticosteroid Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Nuclear Receptor-Mediated Mineralocorticoid Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Response To Corticosteroid -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Nuclear Mineralocorticoid Receptor Binding -> Biodomain: Epigenetic, Oxidative Stress, Vasculature, Apoptosis, Autophagy
GO Term: Nuclear Membrane -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Organelle Envelope -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Nuclear Lumen -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Organelle Subcompartment -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Golgi Cisterna -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Locomotion Involved In Locomotory Behavior -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Bombesin Receptor Signaling Pathway -> Biodomain: Oxidative Stress, Synapse, Apoptosis, Cell Cycle, Immune Response
GO Term: Mrna Export From Nucleus In Response To Heat Stress -> Biodomain: Oxidative Stress, Proteostasis, DNA Repair, Autophagy, Immune Response
GO Term: Insulin-Like Growth Factor I Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Insulin-Like Growth Factor Ii Binding -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Thioesterase Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Interleukin-28 Receptor Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Interleukin-28 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Regulation Of Tor Signaling -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Tor Signaling -> Biodomain: Autophagy, Proteostasis, Cell Cycle, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Tor Signaling -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Early Phagosome -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Phagolysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Oxidative Stress
GO Term: Arf Protein Signal Transduction -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Vasculature, Synapse
GO Term: Regulation Of Arf Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Negative Regulation Of Arf Protein Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Arf Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Isg15-Protein Conjugation -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Nelf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Trypsinogen Activation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Positive Regulation Of Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Cobalt Ion -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Response To Magnesium Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Myosin Light Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Myosin Head/Neck Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Myosin Tail Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Myosin Ii Head/Neck Binding -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Proteostasis
GO Term: Myosin Heavy Chain Binding -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Autophagy, Cell Cycle
GO Term: Myosin Ii Heavy Chain Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Integrator Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Small-Subunit Processome -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Histone H3K14 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mitochondrial Dna Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Metal Binding and Homeostasis, Autophagy
GO Term: Mitochondrial Dna Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, DNA Repair, Apoptosis
GO Term: Dsif Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair
GO Term: Guanyl-Nucleotide Exchange Factor Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Endolysosome, Immune Response
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/go_biodomain_results_part_7.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/runtime_log.csv
