Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Autophagy
GO Term: Short-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Toxic Substance Binding -> Biodomain: Immune Response, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Fatty Acid Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Peptidoglycan Transmembrane Transporter Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Lactate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Quaternary Ammonium Group Transmembrane Transporter Activity -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Alanine:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Branched-Chain Amino Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Unknown
GO Term: Branched-Chain Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Nutrient Uptake, Membrane Trafficking, Intracellular Transport
GO Term: P-Type Ion Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Apoptosis
GO Term: Carbon Dioxide Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Unknown
GO Term: Oxygen Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Nickel Cation Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Vanadium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Copper Ion Import -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Plasma Membrane Copper Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Molybdate Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Lead Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Magnesium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Mercury Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Organic Cation Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Endolysosome, Vasculature, Oxidative Stress
GO Term: Quaternary Ammonium Group Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Inorganic Anion Transport -> Biodomain: Endolysosome, Mitochondrial Metabolism, Synapse, Vasculature, Immune Response
GO Term: Bicarbonate Transport -> Biodomain: Vasculature, Oxidative Stress, Endolysosome, Immune Response, Proteostasis
GO Term: Iodide Transport -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Nitrate Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: Nitrite Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis
GO Term: Thiosulfate Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Organic Anion Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Monocarboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Synapse, Oxidative Stress
GO Term: Bile Acid And Bile Salt Transport -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Canalicular Bile Acid Transport -> Biodomain: Lipid Metabolism, Vesicle Trafficking, Vasculature, Endolysosome, Proteostasis
GO Term: Bilirubin Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Formate Transport -> Biodomain: Mitochondrial Metabolism, Unknown, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Lactate Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Lipid Metabolism, Oxidative Stress
GO Term: Mevalonate Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Oxaloacetate Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Propanoate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Prostaglandin Transport -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Endolysosome, Oxidative Stress
GO Term: Taurine Transmembrane Transport -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism
GO Term: Sialic Acid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Immune Response, Autophagy
GO Term: C4-Dicarboxylate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Fumarate Transport -> Biodomain: Mitochondrial Metabolism, Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Alpha-Ketoglutarate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Succinate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Citrate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Urate Transport -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Organophosphate Ester Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Pentose Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Fructose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Fucose Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Immune Response, APP Metabolism, Autophagy
GO Term: Galactose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glucose-6-Phosphate Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Mannose Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Sucrose Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Proteostasis, Endolysosome
GO Term: Polysaccharide Transport -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism, Unknown
GO Term: Glucuronoside Transport -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Nucleotide-Sugar Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Vasculature
GO Term: Udp-Glucose Transmembrane Transport -> Biodomain: Endolysosome, APP Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Udp-Glucuronate Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Unknown, Autophagy, Oxidative Stress
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Unknown
GO Term: Udp-Xylose Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, APP Metabolism
GO Term: Polyol Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Glycerol Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Mannitol Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Lipid Metabolism, Unknown
GO Term: Myo-Inositol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Cell Cycle, Synapse, Autophagy
GO Term: Acidic Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Synapse
GO Term: Aromatic Amino Acid Transport -> Biodomain: Proteostasis, Autophagy, Synapse, Mitochondrial Metabolism, Endolysosome
GO Term: Basic Amino Acid Transport -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Vasculature, Lipid Metabolism
GO Term: Branched-Chain Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Neutral Amino Acid Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Mitochondrial Metabolism
GO Term: S-Adenosyl-L-Methionine Transport -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: L-Alanine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Aspartate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: L-Cystine Transport -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Gamma-Aminobutyric Acid Transport -> Biodomain: Synapse, Endolysosome, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: L-Glutamate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Glycine Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Histidine Transport -> Biodomain: Amino Acid Metabolism, Proteostasis, Cellular Processes, Membrane Trafficking, Nutrient Uptake
GO Term: Isoleucine Transport -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Lysine Transport -> Biodomain: Endolysosome, Proteostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: L-Leucine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Methionine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Ornithine Transport -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolism, Proteostasis, Autophagy
GO Term: Phenylalanine Transport -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Unknown
GO Term: Proline Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: L-Serine Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Threonine Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Tryptophan Transport -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Endolysosome
GO Term: Tyrosine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Valine Transport -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Peptide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Peptidoglycan Transport -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Amine Transport -> Biodomain: Synapse, Autophagy, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Amino-Acid Betaine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Urea Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Aminergic Neurotransmitter Loading Into Synaptic Vesicle -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Methylammonium Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: Monoamine Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Vasculature
GO Term: Putrescine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Spermidine Transport -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Organic Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Organic Hydroxy Compound Transport -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Nucleobase Transport -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Adenine Transport -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis
GO Term: Guanine Transport -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Mitochondrial Metabolism, Endolysosome
GO Term: Pyrimidine Nucleobase Transport -> Biodomain: Unknown, Cell Cycle, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Nucleoside Transport -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Proteostasis
GO Term: Purine Nucleoside Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Proteostasis
GO Term: Cytidine Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome
GO Term: Uridine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Pyrimidine Nucleoside Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: Purine Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Cell Cycle, Immune Response, Endolysosome
GO Term: Adp Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Atp Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Acetylcholine Transport -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Vasculature
GO Term: Choline Transport -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Autophagy, Vasculature
GO Term: Dopamine Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Norepinephrine Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Vasculature, Endolysosome
GO Term: Acetyl-Coa Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Biotin Transport -> Biodomain: Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Carnitine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Creatine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: L-Ascorbic Acid Transmembrane Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Folic Acid Transport -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, DNA Repair, Unknown
GO Term: Heme Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Pantothenate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Thiamine Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Unknown
GO Term: Cobalamin Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Vasculature, Proteostasis, Endolysosome
GO Term: Siderophore Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Endolysosome, Autophagy
GO Term: Tetracycline Transmembrane Transport -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Vasculature
GO Term: Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Long-Chain Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Long-Chain Fatty Acid Import Into Peroxisome -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Short-Chain Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Short-Chain Fatty Acid Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Phospholipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Fatty-Acyl-Coa Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Aminophospholipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Apoptosis, Proteostasis, Immune Response
GO Term: Sterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Peroxisomal Membrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Lipopolysaccharide Transport -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Mannosidase Activity -> Biodomain: Glycosylation, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Hexosaminidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Unknown
GO Term: Nucleobase-Containing Compound Transport -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Nucleobase-Containing Compound Transmembrane Transporter Activity -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Large Ribosomal Subunit -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Small Ribosomal Subunit -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Unknown, Structural Stabilization
GO Term: Coenzyme A Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Coenzyme A Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Coenzyme A Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pantothenate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Formate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Formate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Nucleobase-Containing Small Molecule Interconversion -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Diadenosine Polyphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Diadenosine Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Diadenosine Tetraphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Energy Derivation By Oxidation Of Organic Compounds -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Proton Motive Force-Driven Atp Synthesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Electron Transport Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Phospholipase Activator Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Proteostasis, Immune Response, Oxidative Stress
GO Term: Phospholipase A2 Activator Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Dystrophin-Associated Glycoprotein Complex -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Oxidative Stress
GO Term: Dystroglycan Complex -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Apoptosis
GO Term: Sarcoglycan Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Syntrophin Complex -> Biodomain: Structural Stabilization, Oxidative Stress, Synapse, Proteostasis, Unknown
GO Term: Morphogen Activity -> Biodomain: Epigenetic, Synapse, Cell Cycle, Proteostasis, Unknown
GO Term: Cyclosporin A Binding -> Biodomain: Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Peptidoglycan Immune Receptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cdp-Diacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Trna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Viral Process -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Maleylacetoacetate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Zeta Dna Polymerase Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Cellular Response To Phosphate Starvation -> Biodomain: Lipid Metabolism, Autophagy, Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Absorption Of Visible Light -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Detection Of Bacterium -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Detection Of Fungus -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Detection Of Temperature Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Unknown
GO Term: Vesicle Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Synapse
GO Term: Carbohydrate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Carbohydrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Wnt Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Synapse, Vasculature, Immune Response
GO Term: G Protein-Coupled Opsin Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Immunoglobulin Mediated Immune Response -> Biodomain: Immune Response, Antibody Mediated Immunity, Pathogen Defense, Inflammation Response, Immune Cell Interaction
GO Term: Type I Hypersensitivity -> Biodomain: Immune Response, Inflammation, Allergy, Cellular Immunity, Signal Transduction
GO Term: Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Unknown
GO Term: Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Endolysosome
GO Term: Rrna Metabolic Process -> Biodomain: RNA Spliceosome, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Snrna Metabolic Process -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Sno(S)Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Rrna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Unknown
GO Term: Snrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Sno(S)Rna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Trna Decay -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Unknown
GO Term: Synaptic Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Synaptic Vesicle Targeting -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
