Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Smooth Muscle Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Olfactory Bulb Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Vasculature
GO Term: Commissural Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Response To Indole-3-Methanol -> Biodomain: Oxidative Stress, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Cellular Response To Indole-3-Methanol -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Endocytic Vesicle Lumen -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Cardiac Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Protein Localization To Extracellular Region -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Endolysosome
GO Term: Protein Transport Within Extracellular Region -> Biodomain: Proteostasis, APP Metabolism, Immune Response, Vasculature, Endolysosome
GO Term: Immunoglobulin Heavy Chain V-D-J Recombination -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: Membrane Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Basement Membrane Organization -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Para-Aminobenzoyl-Glutamate Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Endolysosome, DNA Repair
GO Term: Icosanoid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Leukotriene Transport -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Detoxification Of Arsenic-Containing Substance -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Lipopeptide Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Cellular Response To Diacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Cellular Response To Triacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Response To Nitric Oxide -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism, Apoptosis
GO Term: Cellular Response To Nitric Oxide -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Apoptosis
GO Term: Igg Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Igd Immunoglobulin Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Vasculature, Endolysosome
GO Term: Ige Immunoglobulin Complex -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization, Vasculature
GO Term: Ige B Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Iga Immunoglobulin Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Monomeric Iga Immunoglobulin Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Dimeric Iga Immunoglobulin Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Unknown
GO Term: Secretory Iga Immunoglobulin Complex -> Biodomain: Immune Response, Endolysosome, Structural Stabilization, Vasculature, Proteostasis
GO Term: Secretory Dimeric Iga Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Igm Immunoglobulin Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Igm B Cell Receptor Complex -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Pentameric Igm Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Unknown
GO Term: Hexameric Igm Immunoglobulin Complex -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Apoptosis, Vasculature
GO Term: Nuclear Membrane Organization -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Unknown
GO Term: Nuclear Inner Membrane Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Bmp Stimulus -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Response To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Endoplasmic Reticulum Tubular Network -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Endoplasmic Reticulum Tubular Network Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Endoplasmic Reticulum Tubular Network Formation -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Endoplasmic Reticulum Tubular Network Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Chemokine (C-C Motif) Ligand 5 Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Synapse, Endolysosome
GO Term: K11-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Unknown
GO Term: K6-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: DNA Repair, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Lubac Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, Immune Response, Oxidative Stress
GO Term: Cellular Response To Prostaglandin D Stimulus -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Podosome Assembly -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Endolysosome, Proteostasis
GO Term: Regulation Of Podosome Assembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Podosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Vasculature, Apoptosis
GO Term: Potassium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Apoptosis, Metal Binding and Homeostasis, Myelination
GO Term: Protein Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, APP Metabolism
GO Term: Positive Regulation Of Fever Generation By Positive Regulation Of Prostaglandin Secretion -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Endolysosome, Oxidative Stress
GO Term: Tail-Anchored Membrane Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Mmxd Complex -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Bat3 Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Unknown
GO Term: Dubm Complex -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Autophagy, Unknown
GO Term: N-Box Binding -> Biodomain: Synapse, Epigenetic, DNA Repair, Unknown, Tau Homeostasis
GO Term: Fancm-Mhf Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Triglyceride-Rich Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Intermediate-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Hmg Box Domain Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Cell Proliferation In Bone Marrow -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Endolysosome
GO Term: Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Vasculature, Autophagy, Proteostasis
GO Term: Actin Filament Debranching -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Neuropeptide Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Endolysosome, Unknown
GO Term: Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Immune Response, Hematological System, Stem Cell Population Maintenance, Developmental Process
GO Term: Positive Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Immune Response, Apoptosis, DNA Repair, Mitochondrial Metabolism
GO Term: Negative Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Vasculature, Cell Cycle, Proteostasis
GO Term: Response To Catecholamine -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Autophagy
GO Term: Cellular Response To Catecholamine Stimulus -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Epinephrine -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Epinephrine Stimulus -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Response To Norepinephrine -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism, Autophagy
GO Term: Cellular Response To Norepinephrine Stimulus -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Adrenergic Receptor Signaling Pathway -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Epigenetic, Oxidative Stress
GO Term: Regulation Of Adenylate Cyclase-Inhibiting Adrenergic Receptor Signaling Pathway -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Negative Regulation Of Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Vasculature, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Adenylate Cyclase-Inhibiting Adrenergic Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Phospholipase C-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Vasculature, Metal Binding and Homeostasis, Epigenetic, Synapse
GO Term: N-Terminal Protein N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization, Unknown
GO Term: 1-(4-Iodo-2,5-Dimethoxyphenyl)Propan-2-Amine Binding -> Biodomain: Synapse, Proteostasis, Unknown, Mitochondrial Metabolism, Oxidative Stress
GO Term: Leukocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Macrophage Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: 14-3-3 Protein Binding -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress, DNA Repair
GO Term: Bicarbonate Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Odontoblast Differentiation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Protein Localization To Adherens Junction -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Dna Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Autophagy
GO Term: Determination Of Digestive Tract Left/Right Asymmetry -> Biodomain: Unknown, Epigenetic, Structural Stabilization, Vasculature, Cell Cycle
GO Term: Determination Of Intestine Left/Right Asymmetry -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Vasculature
GO Term: Determination Of Stomach Left/Right Asymmetry -> Biodomain: Unknown, Epigenetic, Structural Stabilization, Cell Cycle, Vasculature
GO Term: Determination Of Liver Left/Right Asymmetry -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Oxidative Stress, Unknown
GO Term: Synchronous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Citrate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Prominosome -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle, Unknown
GO Term: Dipeptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Urea Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Vasculature, Endolysosome
GO Term: G-Quadruplex Dna Formation -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Cleavage Body -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Endocannabinoid Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Synapse, Oxidative Stress, Apoptosis
GO Term: Alpha-Tubulin Acetylation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Tau Homeostasis
GO Term: Replication Fork Reversal -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Arp2/3 Complex Binding -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Cell Cycle, Proteostasis
GO Term: Thiamine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Lipid Metabolism, Vasculature
GO Term: Vitamin A Import Into Cell -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Immune Response, Vasculature
GO Term: Nitrogen Cycle Metabolic Process -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Xpc Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Myc-Max Complex -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: Cell Periphery -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Protein Deubiquitination Involved In Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Ubiquitin/Proteasome System, Proteostasis, Protein Degradation, Autophagy, Endolysosome
GO Term: Fad Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Conversion Of Methionyl-Trna To N-Formyl-Methionyl-Trna -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Unknown, Autophagy
GO Term: Elastic Fiber -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Unknown
GO Term: Recycling Endosome To Golgi Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Mitotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Establishment Or Maintenance Of Cell Polarity Regulating Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Multicellular Organismal Locomotion -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress
GO Term: Extracellular Exosome Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Cell Gliding -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Unknown
GO Term: Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Ragulator Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Wd40-Repeat Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Renal System Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Lipid Metabolism
GO Term: Kidney Rudiment Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Nephron Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Glomerular Epithelium Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Glomerular Endothelium Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Endolysosome, Immune Response
GO Term: Glomerulus Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Proximal Tubule Development -> Biodomain: Endolysosome, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Podocyte Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Glomerular Parietal Epithelial Cell Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Distal Tubule Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Metal Binding and Homeostasis
GO Term: Nephron Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Renal Vesicle Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Unknown, Vasculature
GO Term: Renal Vesicle Induction -> Biodomain: Vasculature, Structural Stabilization, Unknown, Cell Cycle, Immune Response
GO Term: Mesenchymal Stem Cell Maintenance Involved In Nephron Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Immune Response
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Collecting Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Establishment Of Planar Polarity Involved In Nephron Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Vasculature
GO Term: Proximal/Distal Pattern Formation Involved In Nephron Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Comma-Shaped Body Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: S-Shaped Body Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Juxtaglomerular Apparatus Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Renal Inner Medulla Development -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Renal Outer Medulla Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Outer Medullary Collecting Duct Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Unknown
GO Term: Inner Medullary Collecting Duct Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Loop Of Henle Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Kidney Epithelium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Metanephric Mesenchyme Development -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Nephrogenic Mesenchyme Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Unknown, Epigenetic
GO Term: Renal Vesicle Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Nephron Tubule Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Mitochondrial Metabolism, Autophagy, Vasculature
GO Term: Nephron Tubule Formation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Nephron Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Specification Of Loop Of Henle Identity -> Biodomain: Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Vasculature
GO Term: Stem Cell Proliferation -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Stem Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Ureteric Bud Invasion -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Branch Elongation Involved In Ureteric Bud Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Endolysosome, Proteostasis
GO Term: Glomerulus Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Apoptosis
GO Term: Glomerular Capillary Formation -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Ureteric Peristalsis -> Biodomain: Vasculature, Structural Stabilization, Synapse, Mitochondrial Metabolism, Unknown
GO Term: Positive Regulation Of Ureteric Bud Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Immune Response
GO Term: Positive Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Unknown
GO Term: Glomerular Mesangial Cell Proliferation -> Biodomain: Cell Cycle, Vasculature, Immune Response, Oxidative Stress, Structural Stabilization
GO Term: Cell Proliferation Involved In Kidney Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Endolysosome, Autophagy
GO Term: Podocyte Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Autophagy
GO Term: Regulation Of Glomerular Mesangial Cell Proliferation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Negative Regulation Of Glomerular Mesangial Cell Proliferation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Glomerular Mesangial Cell Proliferation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Metanephric Mesenchyme Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Nephrogenic Mesenchyme Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Cell Cycle, Epigenetic
GO Term: Metanephric Mesenchymal Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Unknown
GO Term: Condensed Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
GO Term: Mesenchymal Cell Proliferation Involved In Ureteric Bud Development -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Vasculature, Mitochondrial Metabolism
GO Term: Glomerular Parietal Epithelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Unknown
GO Term: Renal Interstitial Fibroblast Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Mesangial Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Glomerular Mesangial Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Epithelial Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Distal Tubule Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Proteostasis, Vasculature, Immune Response
GO Term: Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Mesenchymal Cell Differentiation Involved In Kidney Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Cell Cycle
GO Term: Metanephric Mesenchymal Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Unknown
GO Term: Mesonephric Epithelium Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Mesonephric Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Posterior Mesonephric Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Unknown
GO Term: Specification Of Anterior Mesonephric Tubule Identity -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Unknown
GO Term: Specification Of Posterior Mesonephric Tubule Identity -> Biodomain: Epigenetic, Structural Stabilization, Vasculature, Cell Cycle, Unknown
GO Term: Metanephric Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Mesonephric Tubule Formation -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Epigenetic, Unknown
GO Term: Metanephric Tubule Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Endolysosome
