Running with TEMP=0.1, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Translation Reinitiation -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Ribose Phosphate Diphosphokinase Complex -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, DNA Repair, Epigenetic, Mitochondrial Metabolism
GO Term: Cap-Independent Translational Initiation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome, Epigenetic
GO Term: Cap-Dependent Translational Initiation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Ires-Dependent Translational Initiation Of Linear Mrna -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Maml1-Rbp-Jkappa- Icn1 Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Hepatocyte Cell Migration -> Biodomain: Structural Stabilization, Autophagy, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Ser-Trna(Ala) Deacylase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Zona Pellucida Receptor Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Somatic Recombination Of Immunoglobulin Genes Involved In Immune Response -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Somatic Diversification Of Immunoglobulins Involved In Immune Response -> Biodomain: Immune Response, DNA Repair, Proteostasis, Cell Cycle, Epigenetic
GO Term: Behavioral Defense Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Synapse
GO Term: Defense Response To Nematode -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Activation Of Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Innate Immune Response Activating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Epigenetic
GO Term: Stimulatory Killer Cell Immunoglobulin-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Stimulatory C-Type Lectin Receptor Signaling Pathway -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Antimicrobial Peptide Production -> Biodomain: Immune Response, Antimicrobial Peptides, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Innate Immune Response In Mucosa -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Synapse, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Defense Response To Virus By Host -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Epigenetic
GO Term: Leukocyte Chemotaxis Involved In Inflammatory Response -> Biodomain: Immune Response, Vasculature, Inflammation, Oxidative Stress, Endolysosome
GO Term: Response To Molecule Of Bacterial Origin -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Molecule Of Fungal Origin -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Wound Healing Involved In Inflammatory Response -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Connective Tissue Replacement Involved In Inflammatory Response Wound Healing -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Vasculature
GO Term: Organ Or Tissue Specific Immune Response -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Autophagy
GO Term: Immune Effector Process -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature
GO Term: Activation Of Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Lymphocyte Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Myeloid Cell Homeostasis -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Endothelial Cell Activation Involved In Immune Response -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Astrocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Follicular Dendritic Cell Activation -> Biodomain: Immune Response, Synapse, Structural Stabilization, Endolysosome, Vasculature
GO Term: Follicular Dendritic Cell Differentiation -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Autophagy
GO Term: Leukocyte Activation Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Plasmacytoid Dendritic Cell Activation -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Plasmacytoid Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Myeloid Leukocyte Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Basophil Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Myeloid Dendritic Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Monocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Macrophage Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Microglial Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Synapse, Oxidative Stress, Autophagy
GO Term: Neutrophil Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lymphocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: T Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Cell Cycle
GO Term: T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Synapse, Endolysosome, Vasculature, Apoptosis
GO Term: T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: T-Helper Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: T-Helper 1 Cell Lineage Commitment -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cd8-Positive, Alpha-Beta Intraepithelial T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Cd8-Positive, Alpha-Beta T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Cd8-Positive, Gamma-Delta Intraepithelial T Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Synapse, Proteostasis, Autophagy
GO Term: T Cell Proliferation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: B Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Mature B Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Synapse
GO Term: Germinal Center B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Marginal Zone B Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Follicular B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Plasma Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Myeloid Progenitor Cell Differentiation -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Epigenetic
GO Term: Memory B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: B Cell Proliferation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Natural Killer Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Epigenetic, Autophagy
GO Term: B Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Immature B Cell Differentiation -> Biodomain: Immune Response, DNA Repair, Cell Cycle, Apoptosis, Epigenetic
GO Term: Pro-B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Pre-B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Pre-B Cell Allelic Exclusion -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Transitional One Stage B Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Transitional Two Stage B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Mature B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: B-1 B Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: B-1A B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: B Cell Affinity Maturation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: B Cell Negative Selection -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Synapse
GO Term: Plasma Kallikrein-Kinin Cascade -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Detection Of Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Defense Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: B Cell Homeostatic Proliferation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Endolysosome
GO Term: T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Synapse, Proteostasis
GO Term: Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Nk T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Leukocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Synapse
GO Term: Immune System Process -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Immune Response In Brain Or Nervous System -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Hepatic Immune Response -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Mucosal Immune Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Immune Response In Gut-Associated Lymphoid Tissue -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Immune Response In Nasopharyngeal-Associated Lymphoid Tissue -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Mhc Class Ib Protein Complex Assembly -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ii Protein Complex Assembly -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Autophagy, Proteostasis, Endolysosome
GO Term: Myeloid Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Antigen Transcytosis By M Cells In Mucosal-Associated Lymphoid Tissue -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Immunoglobulin Transcytosis In Epithelial Cells -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Immunoglobulin Transcytosis In Epithelial Cells Mediated By Polymeric Immunoglobulin Receptor -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Igg Immunoglobulin Transcytosis In Epithelial Cells Mediated By Fcrn Immunoglobulin Receptor -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: T Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Synapse, Endolysosome, Proteostasis
GO Term: Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Immune Response-Activating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Complement Receptor Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Granuloma Formation -> Biodomain: Immune Response, Inflammation, Cell Death, Proteostasis, Vasculature
GO Term: Immune Complex Clearance -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Apoptosis
GO Term: Immune Complex Clearance By Erythrocytes -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Leukocyte Mediated Immunity -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Vasculature
GO Term: Neutrophil Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Eosinophil Mediated Immunity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Mast Cell Mediated Immunity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Autophagy
GO Term: B Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Peripheral B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, DNA Repair
GO Term: T Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Peripheral T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, DNA Repair, Proteostasis, Epigenetic, Apoptosis
GO Term: Tolerance Induction Dependent Upon Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Germinal Center Formation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Autophagy
GO Term: Myeloid Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Plasmacytoid Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I, Tap-Dependent -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I, Tap-Independent -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Protein Antigen Via Mhc Class Ib, Tap-Dependent -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I Via Er Pathway, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I Via Er Pathway, Tap-Independent -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ib Via Er Pathway, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Apoptosis
GO Term: Peptide Antigen Assembly With Mhc Class I Protein Complex -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Peptide Antigen Assembly With Mhc Class Ii Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Peptide Or Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Central Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Cell Cycle
GO Term: Central Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Lymphocyte Chemotaxis Across High Endothelial Venule -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Natural Killer Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Synapse, Epigenetic
GO Term: Immune System Development -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Leukocyte Differentiation -> Biodomain: Immune Response, Endolysosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Leukocyte Migration Involved In Immune Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Leukocyte Migration Involved In Inflammatory Response -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Autophagy
GO Term: Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Acute Inflammatory Response -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Vascular Permeability Involved In Acute Inflammatory Response -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Production Of Molecular Mediator Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Endolysosome
GO Term: Nitric Oxide Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Arachidonate Metabolite Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Prostaglandin Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Leukotriene Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Activation Of Plasma Proteins Involved In Acute Inflammatory Response -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Factor Xii Activation -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Activation Of Blood Coagulation Via Clotting Cascade -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Autophagy
GO Term: Serotonin Secretion By Mast Cell -> Biodomain: Immune Response, Vasculature, Synapse, Oxidative Stress, Proteostasis
GO Term: Histamine Secretion By Mast Cell -> Biodomain: Immune Response, Inflammation, Hypersensitivity, Signal Transduction, Cellular Response
GO Term: Serotonin Secretion By Platelet -> Biodomain: Immune Response, Vasculature, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Somatic Diversification Of Immune Receptors Via Somatic Mutation -> Biodomain: Immune Response, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Pro-T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Epigenetic, Endolysosome, Autophagy, Apoptosis
GO Term: Thrombocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Vasculature, Cell Cycle, Proteostasis
GO Term: Basophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Platelet Degranulation -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Or Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Macrophage Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Macrophage Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of B Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Regulation Of T Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Germinal Center Formation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Proteostasis
