Running with TEMP=0.9, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Vasculature
GO Term: Midbrain Dopaminergic Neuron Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Atpase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Establishment Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Tau Homeostasis
GO Term: Positive Regulation Of Establishment Of Protein Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Regulation Of Midbrain Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Epigenetic
GO Term: Positive Regulation Of Midbrain Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Brush Border Assembly -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Viral Translation -> Biodomain: Immune Response, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Viral Translation -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Heparanase Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Response To Bleomycin -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Cellular Response To Bleomycin -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Lymphatic Endothelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Endosome Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Endosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Glycine Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Intracellular Transport, Metabolic Pathways, Organelle Functions
GO Term: Negative Regulation Of Quinolinate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Endothelial Cell Activation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Adenylate Cyclase-Inhibiting Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Regulation Of Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Membrane Repolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Negative Regulation Of Membrane Repolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Picolinic Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Negative Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Epigenetic, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Regulation Of 'De Novo' Nad Biosynthetic Process From L-Tryptophan -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Membrane Depolarization During Av Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Voltage-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Vasculature
GO Term: Positive Regulation Of Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Antifungal Innate Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Antifungal Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Autophagosome Organization -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Membrane Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Carboxylic Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Otic Placode Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Regulation Of Epithelium Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of Epithelium Regeneration -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Schwann Cell Proliferation Involved In Axon Regeneration -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Schwann Cell Proliferation Involved In Axon Regeneration -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Regulation Of Metallopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Metallopeptidase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Regulation Of Base-Excision Repair -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Base-Excision Repair -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Proteostasis, Cell Cycle
GO Term: P-Type Calcium Transporter Activity Involved In Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: P-Type Calcium Transporter Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Calcium:Monoatomic Cation Antiporter Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Calcium Homeostasis, Ion Homeostasis, Neuronal Maintenance, Oxidative Stress
GO Term: Negative Regulation Of Cardioblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Vasculature, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cardioblast Proliferation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Allantois Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Anterior Visceral Endoderm Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism
GO Term: Cardiac Jelly Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Tight Junction Disassembly -> Biodomain: Vasculature, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Type 2 Mitophagy -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Type 2 Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Apolipoprotein A-I-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Autophagy
GO Term: Negative Regulation Of Apoptosome Assembly -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Pulmonary Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Lateral Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Biotin Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Eukaryotic Translation Initiation Factor 2 Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Response To Acetylcholine -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Proteostasis
GO Term: Cellular Response To Acetylcholine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Lysosomal Protein Catabolic Process -> Biodomain: Endolysosome, Autophagy, Proteostasis, Apoptosis, Immune Response
GO Term: Positive Regulation Of Smooth Muscle Hypertrophy -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Regulation Of Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Myelination, Vasculature, Epigenetic, Proteostasis
GO Term: Protein Localization To Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Regulation Of Phagosome Maturation -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Phagosome Maturation -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Lysosomal Protein Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Lysosomal Protein Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Apoptosis
GO Term: Positive Regulation Of Lysosomal Protein Catabolic Process -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Protein Localization To Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Risc Complex Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Regulation Of Vascular Associated Smooth Muscle Cell Dedifferentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Dedifferentiation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Dedifferentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Negative Regulation Of Cardiac Muscle Tissue Regeneration -> Biodomain: Vasculature, Apoptosis, Proteostasis, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Cardiac Muscle Tissue Regeneration -> Biodomain: Mitochondrial Metabolism, Vasculature, Cell Cycle, Immune Response, Autophagy
GO Term: Positive Regulation Of Metaphase/Anaphase Transition Of Meiosis I -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Manchette Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Manchette Disassembly -> Biodomain: Proteostasis, Autophagy, Endolysosome, Cell Cycle, Structural Stabilization
GO Term: Methylcrotonoyl-Coa Carboxylase Complex -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Cofactor and Vitamin Metabolism, Metabolic Pathways, Organelle-Specific Functions
GO Term: Regulation Of Connective Tissue Replacement -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Apoptosis, Autophagy
GO Term: Positive Regulation Of Connective Tissue Replacement -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cardiocyte Differentiation -> Biodomain: Vasculature, Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Cardiocyte Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Negative Regulation Of Mitotic Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Rna Binding -> Biodomain: RNA Spliceosome, Immune Response, Cell Cycle, Synapse, Autophagy
GO Term: Response To Astaxanthin -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Positive Regulation Of Platelet Formation -> Biodomain: Vasculature, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Atrioventricular Canal Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Epicardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Thyrotropin-Releasing Hormone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cellular Response To Thyrotropin-Releasing Hormone -> Biodomain: Epigenetic, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Cellular Response To Borneol -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Cellular Response To L-Glutamate -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Response To Codeine -> Biodomain: Synapse, Immune Response, Epigenetic, Autophagy, Oxidative Stress
GO Term: Response To Quercetin -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Immune Response, Apoptosis
GO Term: Response To Cyclosporin A -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Response To 3,3',5-Triiodo-L-Thyronine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To 3,3',5-Triiodo-L-Thyronine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Modification Of Synaptic Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Positive Regulation Of Aspartic-Type Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Negative Regulation Of Nitrosative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Proton-Transporting Atp Synthase Activity, Rotational Mechanism -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Modification Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Epithelial Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Epigenetic, Proteostasis
GO Term: Regulation Of Retrograde Transport, Endosome To Golgi -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Retrograde Transport, Endosome To Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Retrograde Transport, Endosome To Golgi -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Fibrous Ring Of Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Morphogenesis, Cell Cycle, Proteostasis
GO Term: Serine-Type Peptidase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Vascular Associated Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Camkk-Ampk Signaling Cascade -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Camkk-Ampk Signaling Cascade -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Neural Crest Cell Differentiation -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Synapse, Myelination
GO Term: Negative Regulation Of Intestinal Epithelial Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Immune Response, Proteostasis
GO Term: Positive Regulation Of Intestinal Epithelial Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Macropinocytosis -> Biodomain: Endolysosome, Autophagy, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Macropinocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Cardiac Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Cardiac Neural Crest Cell Migration Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Cardiac Neural Crest Cell Migration Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Semi-Lunar Valve Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Cell Proliferation Involved In Endocardial Cushion Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Superior Endocardial Cushion Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Inferior Endocardial Cushion Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Mesenchymal Stem Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Mesenchymal Stem Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Telomerase Holoenzyme Complex Assembly -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Telomere-Telomerase Complex Assembly -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Regulation Of Meiosis I Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Meiosis I Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Tracheoesophageal Septum Formation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Immune Response
GO Term: Regulation Of Morphogenesis Of An Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Morphogenesis Of An Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Gastric Motility -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Negative Regulation Of Aggrephagy -> Biodomain: Autophagy, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Aggrephagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, APP Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Protein Localization To Kinetochore -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization, DNA Repair
GO Term: Prostaglandin Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Autophagy
GO Term: Protein Localization To Cleavage Furrow -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Endodeoxyribonuclease Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Ciliary Transition Zone Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Exoribonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism, DNA Repair
GO Term: Spine Apparatus Assembly -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Gtpase Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Immune Response, Cell Cycle
GO Term: Regulation Of Endosomal Vesicle Fusion -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Negative Regulation Of Intralumenal Vesicle Formation -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Peptidase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Endopeptidase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Serine-Type Endopeptidase Complex -> Biodomain: Proteostasis, Immune Response, Apoptosis, Vasculature, Endolysosome
GO Term: Ceramide Phosphoethanolamine Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Ceramide Phosphoethanolamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Endolysosome, Structural Stabilization, Oxidative Stress
GO Term: Beta-N-Acetylhexosaminidase Complex -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Immune Response
GO Term: Negative Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Protein Localization To Presynapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Retromer Complex Binding -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Response To Flavonoid -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response, Apoptosis
GO Term: Cellular Response To Flavonoid -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Regulation Of Activated Cd4-Positive, Alpha-Beta T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Activated Cd8-Positive, Alpha-Beta T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Activated Cd8-Positive, Alpha-Beta T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
