Running with TEMP=0.1, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: Alanyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Arginyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Amino Acid Metabolism, Translation Regulation, RNA Metabolism
GO Term: Asparaginyl-Trna Aminoacylation -> Biodomain: Proteostasis, Gene Expression, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Aspartyl-Trna Aminoacylation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Cysteinyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Amino Acid Metabolism, Translation Machinery, Metal Binding and Homeostasis
GO Term: Glutamyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Glutaminyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Immune Response
GO Term: Glycyl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Histidyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic
GO Term: Isoleucyl-Trna Aminoacylation -> Biodomain: Protein Metabolism, Amino Acid Metabolism, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism
GO Term: Leucyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Amino Acid Metabolic Process, Translation, RNA Metabolic Process
GO Term: Lysyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Methionyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress
GO Term: Phenylalanyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Prolyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Cell Cycle
GO Term: Seryl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Threonyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Tryptophanyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Tyrosyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Valyl-Trna Aminoacylation -> Biodomain: Proteostasis, Amino Acid Metabolism, RNA Spliceosome, Metal Binding and Homeostasis, Epigenetic
GO Term: Regulation Of Translational Initiation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Cell Cycle, Apoptosis
GO Term: Regulation Of Translational Elongation -> Biodomain: Proteostasis, Autophagy, Cell Cycle, DNA Repair, Epigenetic
GO Term: Regulation Of Translational Termination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Regulation Of Translational Fidelity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Translational Frameshifting -> Biodomain: Proteostasis, Epigenetic, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Protein Folding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: 'De Novo' Protein Folding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Steroid Hormone Receptor Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Epigenetic, Apoptosis
GO Term: Signal Peptide Processing -> Biodomain: Proteostasis, Autophagy, Apoptosis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Immune Response, Synapse
GO Term: Negative Regulation Of Protein Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle, Autophagy
GO Term: Protein Dephosphorylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Protein Acetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: N-Terminal Protein Amino Acid Acetylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Internal Protein Amino Acid Acetylation -> Biodomain: Proteostasis, Epigenetic, Protein Modification Process, Metabolic Process, Autophagy
GO Term: Protein Deacetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein Sulfation -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Peptidyl-Tyrosine Sulfation -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Immune Response, APP Metabolism
GO Term: Protein Methylation -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, DNA Repair, Immune Response
GO Term: N-Terminal Protein Amino Acid Methylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Cell Cycle
GO Term: C-Terminal Protein Methylation -> Biodomain: Proteostasis, Epigenetic, Protein Metabolic Process, Macromolecule Metabolic Process, Cellular Process
GO Term: Protein Demethylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Protein Glycosylation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Protein N-Linked Glycosylation -> Biodomain: Proteostasis, Glycosylation, Structural Stabilization, Glycobiology, Autophagy
GO Term: Dolichol-Linked Oligosaccharide Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Endolysosome, Autophagy
GO Term: Dolichyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Endolysosome, Autophagy
GO Term: N-Glycan Processing -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Autophagy, Immune Response
GO Term: Protein O-Linked Glycosylation -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Protein Lipidation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: N-Terminal Protein Myristoylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Endolysosome
GO Term: C-Terminal Protein Lipidation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Gpi Anchor Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Gpi Anchor Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Proteolysis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, APP Metabolism
GO Term: Membrane Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Monoubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, DNA Repair, Apoptosis
GO Term: Protein Quality Control For Misfolded Or Incompletely Synthesized Proteins -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Glycoprotein Catabolic Process -> Biodomain: Proteostasis, Glycosylation, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Protein Deglycosylation -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Immune Response
GO Term: Peptide Metabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Arginine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Arginine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: L-Arginine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Asparagine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Asparagine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Aspartate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Aspartate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: L-Aspartate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Cysteine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Cysteine Biosynthetic Process From Serine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Glutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Synapse
GO Term: Glutamate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: L-Glutamate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gamma-Aminobutyrate Shunt -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Glutamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glutamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy, Epigenetic
GO Term: L-Glutamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Glycine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Glycine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: L-Histidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Immune Response, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Histidine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Isoleucine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: L-Isoleucine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Leucine Metabolic Process -> Biodomain: Amino Acid Metabolism, Branched-Chain Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: L-Leucine Catabolic Process -> Biodomain: Amino Acid Metabolism, Catabolic Process, Branched-Chain Amino Acid Metabolism, Organic Acid Metabolism, Mitochondrial Metabolism
GO Term: Lysine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Methionine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: S-Adenosylmethionine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Phenylalanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Proline Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Proline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Proline Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: L-Serine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, DNA Repair, Autophagy
GO Term: L-Serine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Serine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Threonine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: L-Threonine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: L-Tryptophan Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Tryptophan Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Tyrosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Tyrosine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: L-Tyrosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Valine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: L-Valine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Modified Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Biogenic Amine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Synapse
GO Term: Amino-Acid Betaine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Amino-Acid Betaine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, DNA Repair, Vasculature
GO Term: Ethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: Acetylcholine Catabolic Process -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Melanin Metabolic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Melanin Biosynthetic Process From Tyrosine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Catecholamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Dopamine Biosynthetic Process From Tyrosine -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Serotonin Biosynthetic Process From Tryptophan -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Octopamine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Thyroid Hormone Generation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Ornithine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Cell Cycle, Epigenetic
GO Term: Ornithine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: L-Ornithine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Polyamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Polyamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Spermine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Polyamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Creatine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Creatine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Targeting -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Protein Import Into Nucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Nls-Bearing Protein Import Into Nucleus -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Cell Cycle, Autophagy
GO Term: Ribosomal Protein Import Into Nucleus -> Biodomain: Proteostasis, Protein Transport, Nucleocytoplasmic Transport, RNA Processing, Cell Nucleus Organization
GO Term: Protein Export From Nucleus -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Endolysosome, DNA Repair
GO Term: Protein Targeting To Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Cotranslational Protein Targeting To Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Srp-Dependent Cotranslational Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism, Structural Stabilization
GO Term: Srp-Dependent Cotranslational Protein Targeting To Membrane, Translocation -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Srp-Dependent Cotranslational Protein Targeting To Membrane, Signal Sequence Recognition -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Post-Translational Protein Targeting To Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Retention In Er Lumen -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Protein Targeting To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Cellular Quality Control, Intracellular Transport
GO Term: Protein Targeting To Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Vacuolar Protein Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Protein Targeting To Peroxisome -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Protein Processing Involved In Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Acyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Neutral Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Acylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Monoacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Immune Response, Autophagy
GO Term: Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Triglyceride Mobilization -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Membrane Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Phospholipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Phosphatidylethanolamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Endolysosome
GO Term: Phospholipid Transfer To Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Glycerophospholipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Diacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Phosphatidic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Cell Cycle
GO Term: Phosphatidylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Endolysosome
GO Term: Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Cdp-Choline Pathway -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Phosphatidylserine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphatidylserine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Phosphatidylserine Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Platelet Activating Factor Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Glycolipid Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Autophagy, Endolysosome
GO Term: Sphingolipid Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: 3-Keto-Sphinganine Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Apoptosis
GO Term: Sphinganine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Sphinganine-1-Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Myelination, Proteostasis
GO Term: Sphinganine-1-Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Sphingosine Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Ceramide Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycosylceramide Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Myelination, Autophagy
GO Term: Glucosylceramide Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Proteostasis, Endolysosome
GO Term: Glucosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Myelination, Structural Stabilization, Immune Response
GO Term: Glucosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Galactosylceramide Metabolic Process -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Endolysosome, Autophagy
GO Term: Galactosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Proteostasis, Autophagy, Epigenetic
GO Term: Galactosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Myelination, Autophagy, Proteostasis
GO Term: Sphingomyelin Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Sphingomyelin Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Sphingomyelin Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Glycosphingolipid Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Oxidative Stress, Autophagy
GO Term: Glycosphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Apoptosis
