Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Autophagy, Proteostasis
GO Term: Cytoplasmic Translational Initiation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Cytoplasmic Translational Termination -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Endolysosome
GO Term: Translation Reinitiation -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Ribose Phosphate Diphosphokinase Complex -> Biodomain: Cell Cycle, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Cap-Independent Translational Initiation -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: Cap-Dependent Translational Initiation -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: Ires-Dependent Translational Initiation Of Linear Mrna -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Epigenetic
GO Term: Maml1-Rbp-Jkappa- Icn1 Complex -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Epigenetic, Synapse
GO Term: Hepatocyte Cell Migration -> Biodomain: Cell Motility, Liver, Organ Development, Cell Migration, Structural Stabilization
GO Term: Ser-Trna(Ala) Deacylase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, RNA Spliceosome, Structural Stabilization
GO Term: Zona Pellucida Receptor Complex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Somatic Recombination Of Immunoglobulin Genes Involved In Immune Response -> Biodomain: Immune Response, DNA Repair, Synapse, Proteostasis, Apoptosis
GO Term: Somatic Diversification Of Immunoglobulins Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Endolysosome
GO Term: Behavioral Defense Response -> Biodomain: Immune Response, Apoptosis, Synapse, Oxidative Stress, Proteostasis
GO Term: Defense Response To Nematode -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Activation Of Innate Immune Response -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Innate Immune Response Activating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Stimulatory Killer Cell Immunoglobulin-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Stimulatory C-Type Lectin Receptor Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Antimicrobial Peptide Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Innate Immune Response In Mucosa -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Endolysosome, Proteostasis
GO Term: Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Defense Response To Virus By Host -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Leukocyte Chemotaxis Involved In Inflammatory Response -> Biodomain: Immune Response, Inflammation, Cell Migration, Chemotaxis, Vasculature
GO Term: Response To Molecule Of Bacterial Origin -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Response To Molecule Of Fungal Origin -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Wound Healing Involved In Inflammatory Response -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Connective Tissue Replacement Involved In Inflammatory Response Wound Healing -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Autophagy
GO Term: Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Organ Or Tissue Specific Immune Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Immune Effector Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Activation Of Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Lymphocyte Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Myeloid Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Endothelial Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Astrocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Follicular Dendritic Cell Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Follicular Dendritic Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Leukocyte Activation Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Plasmacytoid Dendritic Cell Activation -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Plasmacytoid Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Endolysosome, Proteostasis
GO Term: Myeloid Leukocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Basophil Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Myeloid Dendritic Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Synapse, Autophagy, Proteostasis
GO Term: Monocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Endolysosome
GO Term: Macrophage Activation Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Microglial Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Neutrophil Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Vasculature
GO Term: Lymphocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: T Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Endolysosome
GO Term: T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Synapse, Endolysosome, Apoptosis, Proteostasis
GO Term: T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: T-Helper Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: T-Helper 1 Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Cd8-Positive, Alpha-Beta Intraepithelial T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Autophagy
GO Term: Cd8-Positive, Alpha-Beta T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Cd8-Positive, Gamma-Delta Intraepithelial T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Structural Stabilization, Vasculature, Cell Cycle
GO Term: T Cell Proliferation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: B Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Mature B Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Autophagy
GO Term: Germinal Center B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Marginal Zone B Cell Differentiation -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Epigenetic, Apoptosis
GO Term: Follicular B Cell Differentiation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Plasma Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Myeloid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Memory B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: B Cell Proliferation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Natural Killer Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: B Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Immature B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: Pro-B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Pre-B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: Pre-B Cell Allelic Exclusion -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Transitional One Stage B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Transitional Two Stage B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Mature B Cell Differentiation -> Biodomain: Immune Response, Vasculature, Apoptosis, Epigenetic, Cell Cycle
GO Term: B-1 B Cell Lineage Commitment -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Epigenetic
GO Term: B-1A B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: B Cell Affinity Maturation -> Biodomain: Immune Response, Apoptosis, DNA Repair, Proteostasis, Cell Cycle
GO Term: B Cell Negative Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Plasma Kallikrein-Kinin Cascade -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Detection Of Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Defense Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, DNA Repair
GO Term: B Cell Homeostatic Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Nk T Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Leukocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Immune System Process -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Immune Response In Brain Or Nervous System -> Biodomain: Immune Response, Synapse, Myelination, Endolysosome, Proteostasis
GO Term: Hepatic Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: Mucosal Immune Response -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Immune Response In Gut-Associated Lymphoid Tissue -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Immune Response In Nasopharyngeal-Associated Lymphoid Tissue -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Vasculature
GO Term: Mhc Class Ib Protein Complex Assembly -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Mhc Class Ii Protein Complex Assembly -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Myeloid Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Oxidative Stress
GO Term: Antigen Transcytosis By M Cells In Mucosal-Associated Lymphoid Tissue -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Immunoglobulin Transcytosis In Epithelial Cells -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Immunoglobulin Transcytosis In Epithelial Cells Mediated By Polymeric Immunoglobulin Receptor -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Igg Immunoglobulin Transcytosis In Epithelial Cells Mediated By Fcrn Immunoglobulin Receptor -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: T Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Proteostasis
GO Term: Immune Response-Activating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Complement Receptor Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Granuloma Formation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Structural Stabilization
GO Term: Immune Complex Clearance -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Immune Complex Clearance By Erythrocytes -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Synapse
GO Term: Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Endolysosome
GO Term: Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Leukocyte Mediated Immunity -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Vasculature
GO Term: Neutrophil Mediated Immunity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Vasculature
GO Term: Eosinophil Mediated Immunity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Mast Cell Mediated Immunity -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: B Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Peripheral B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: T Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Peripheral T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Endolysosome
GO Term: Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, DNA Repair, Endolysosome, Apoptosis, Epigenetic
GO Term: Tolerance Induction Dependent Upon Immune Response -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Germinal Center Formation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Myeloid Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Plasmacytoid Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I, Tap-Dependent -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I, Tap-Independent -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Protein Antigen Via Mhc Class Ib, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I Via Er Pathway, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I Via Er Pathway, Tap-Independent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ib Via Er Pathway, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Peptide Antigen Assembly With Mhc Class I Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Peptide Antigen Assembly With Mhc Class Ii Protein Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Antigen Processing And Presentation Of Peptide Or Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Antigen Processing And Presentation Of Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Central Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Vasculature
GO Term: Central Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Epigenetic
GO Term: Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Lymphocyte Chemotaxis Across High Endothelial Venule -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Natural Killer Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Vasculature, Epigenetic
GO Term: Immune System Development -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Leukocyte Migration Involved In Immune Response -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Apoptosis
GO Term: Leukocyte Migration Involved In Inflammatory Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Vascular Permeability Involved In Acute Inflammatory Response -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Production Of Molecular Mediator Involved In Inflammatory Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Respiratory Burst Involved In Inflammatory Response -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Nitric Oxide Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Arachidonate Metabolite Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Prostaglandin Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Leukotriene Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Activation Of Plasma Proteins Involved In Acute Inflammatory Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Autophagy
GO Term: Factor Xii Activation -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Activation Of Blood Coagulation Via Clotting Cascade -> Biodomain: Vasculature, Proteostasis, Immune Response, Structural Stabilization, Endolysosome
GO Term: Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Mast Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Autophagy
GO Term: Serotonin Secretion By Mast Cell -> Biodomain: Immune Response, Endolysosome, Synapse, Oxidative Stress, Apoptosis
GO Term: Histamine Secretion By Mast Cell -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Vasculature
GO Term: Serotonin Secretion By Platelet -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Synapse
GO Term: Somatic Diversification Of Immune Receptors Via Somatic Mutation -> Biodomain: Immune Response, DNA Repair, Epigenetic, Apoptosis, Cell Cycle
GO Term: Pro-T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Thrombocyte Differentiation -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Basophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Platelet Degranulation -> Biodomain: Proteostasis, Immune Response, Endolysosome, Vasculature, Apoptosis
GO Term: Regulation Of Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Or Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Macrophage Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Macrophage Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of B Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Synapse, Apoptosis, Endolysosome
GO Term: Regulation Of T Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
