Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Chemorepulsion Of Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Protein Localization To Cenp-A Containing Chromatin -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Glutamate Neurotransmitter Secretion In Response To Membrane Depolarization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Ubiquitin-Modified Histone Reader Activity -> Biodomain: Epigenetic, Ubiquitin System, Proteostasis, DNA Repair, Autophagy
GO Term: Atg12 Conjugating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Nedd8 Conjugating Enzyme Activity -> Biodomain: Proteostasis, Ubiquitin-Proteasome Pathway, Protein Modification, Mitochondrial Metabolism, Epigenetic
GO Term: Sumo Conjugating Enzyme Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Autophagy, Synapse
GO Term: Ufm1 Conjugating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Ubiquitin-Like Protein Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, DNA Repair
GO Term: Nedd8 Ligase Activity -> Biodomain: Proteostasis, Cell Cycle, Ubiquitin-Proteasome System, Epigenetic, DNA Repair
GO Term: Sumo Ligase Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Ufm1 Ligase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Mitochondrial Ribosome Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Spontaneous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Lipid Metabolism, Endolysosome
GO Term: Evoked Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Mitotic Spindle Astral Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Importin-Alpha Family Protein Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, APP Metabolism
GO Term: Seminal Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Tau Homeostasis, APP Metabolism
GO Term: Diphthine Methylesterase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Tricellular Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Lipoamidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Detoxification Of Hydrogen Peroxide -> Biodomain: Oxidative Stress, Endolysosome, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Cellular Detoxification Of Hydrogen Peroxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Pituitary Gonadotropin Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Protein-Glutaryllysine Deglutarylase Activity -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Deglutarylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Gator2 Complex -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Canonical Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Trna-5-Taurinomethyluridine 2-Sulfurtransferase -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Reticulophagy -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: L-Threonylcarbamoyladenylate Synthase -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: N(6)-L-Threonylcarbamoyladenine Synthase Activity -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy, Endolysosome
GO Term: Anterior Neural Tube Closure -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Synapse
GO Term: Folic Acid Receptor Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Glycophagy -> Biodomain: Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Lipophagy -> Biodomain: Autophagy, Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Methylglyoxal Catabolic Process To Lactate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Gdp-Mannose Biosynthetic Process From Mannose -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Gdp-D-Mannose Biosynthetic Process From Fructose-6-Phosphate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: C-Rich Strand Telomeric Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Ribonucleoside-Diphosphate Reductase Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein-Lysine-Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Type 2 Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Engulfment Of Target By Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Leukotriene Signaling Pathway -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Late Endosomal Microautophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Protein Lipidation Involved In Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Protein Targeting To Lysosome Involved In Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Chaperone-Mediated Autophagy Translocation Complex -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Motor Learning -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Motor Behavior -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Forked Dna-Dependent Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Acid Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Neutral Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Telomeric Repeat-Containing Rna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Substrate Localization To Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Circulating Fibrinogen Levels -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Circulating Fibrinogen Levels -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Leukocyte Adhesion To Vascular Endothelial Cell -> Biodomain: Immune Response, Vasculature, Cell Adhesion, Inflammation, Cell Migration
GO Term: Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Antifungal Innate Immune Response -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Camkk-Ampk Signaling Cascade -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Multivesicular Body-Lysosome Fusion -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Late Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Endolysosome
GO Term: Magnesium:Sodium Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Ribosylnicotinate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Translation Elongation Factor Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Response To Caloric Restriction -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Xenobiotic Transport Across Blood-Nerve Barrier -> Biodomain: Vasculature, Immune Response, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Enosc Complex -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Cohesin Loader Activity -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Tapasin-Erp57 Complex -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Dense Core Granule Priming -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Secretory Granule Maturation -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Chromatin Lock Complex -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Golgi Lumen Acidification -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Ph-Gated Chloride Channel Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Gtp 3',8'-Cyclase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Cyclic Pyranopterin Monophosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nad+ Nucleosidase Activity, Cyclic Adp-Ribose Generating -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Met1-Linked Polyubiquitin Deubiquitinase Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Autophagy
GO Term: Endoplasmic Reticulum-Plasma Membrane Tethering -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Synapse, Vasculature
GO Term: Telomeric Dna-Containing Double Minutes Formation -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Telomeric D-Loop Disassembly -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis
GO Term: Telomeric D-Loop Binding -> Biodomain: DNA Repair, Structural Stabilization, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Cytosolic Ciliogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Podosome Ring -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Sperm Head -> Biodomain: Structural Stabilization, DNA Repair, Epigenetic, Cell Cycle, Autophagy
GO Term: Concave Side Of Sperm Head -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Apical Ectoplasmic Specialization -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Apoptosis
GO Term: Basal Ectoplasmic Specialization -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Protein Localization To Tricellular Tight Junction -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Neuropeptide Processing -> Biodomain: Proteostasis, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Neuron Projection Branch Point -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Dendritic Spine Cytoplasm -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Cholecystokinin -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Immune Response, Vasculature
GO Term: Telomeric G-Quadruplex Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Growth Cone Leading Edge -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Leading Edge Of Lamellipodium -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Retrograde Transporter Complex, Golgi To Er -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Neuroblast Migration -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Lipid Metabolism, Autophagy
GO Term: Endoplasmic Reticulum Stress-Induced Pre-Emptive Quality Control -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Structural Stabilization
GO Term: Dna Clamp Unloader Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Microtubule Plus End Polymerase -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Polarized Secretion Of Basement Membrane Proteins In Epithelium -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Hepatic Stellate Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Hepatic Stellate Cell Contraction -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Anterograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Mini Excitatory Postsynaptic Potential -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Mini Excitatory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Positive Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Proteostasis, Synapse
GO Term: Calcium Ion Sensor Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Synapse, Apoptosis
GO Term: All-Trans Retinol 3,4-Desaturase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: All-Trans Retinal 3,4-Desaturase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: All-Trans Retinoic Acid 3,4-Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: 11-Cis-Retinal 3,4-Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Phagophore -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Autophagosome-Lysosome Fusion -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Autophagosome-Endosome Fusion -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Growth Plate Cartilage Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Epigenetic, Lipid Metabolism
GO Term: Protein Propionyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Peptidyl-Lysine Propionylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Glutathione Specific Gamma-Glutamylcyclotransferase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Gamma-Glutamylaminecyclotransferase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Erythrocyte Enucleation -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Protein Localization To Somatodendritic Compartment -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Endolysosome
GO Term: C-Di-Gmp Signaling -> Biodomain: Cell Cycle, Immune Response, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Ubiquitination, Protein Degradation, Autophagy, Cell Cycle
GO Term: Establishment Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Lipid Metabolism, Endolysosome
GO Term: Midbody Abscission -> Biodomain: Cell Cycle, Structural Stabilization, Endolysosome, Autophagy, Proteostasis
GO Term: Mrna (Adenine-N1-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Penetration Of Cumulus Oophorus -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Establishment Of Left/Right Asymmetry -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Perichondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Articular Cartilage Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Regulatory Rna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Immune Response
GO Term: Meiosis I Cell Cycle Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Cardiac Endothelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Secondary Palate Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic, Vasculature
GO Term: Regulation Of Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Scf-Dependent Proteasomal Ubiquitin-Dependent Catabolic Process -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Scf-Dependent Proteasomal Ubiquitin-Dependent Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Stress Granule Assembly -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome, Immune Response
GO Term: Positive Regulation Of Stress Granule Assembly -> Biodomain: Oxidative Stress, Proteostasis, RNA Spliceosome, Autophagy, Immune Response
GO Term: Negative Regulation Of Stress Granule Assembly -> Biodomain: Proteostasis, Oxidative Stress, RNA Spliceosome, Autophagy, Immune Response
GO Term: Positive Regulation Of Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: D-Loop Dna Binding -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Apoptosis
GO Term: Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Apoptosis
GO Term: Gpi-Mannose Ethanolamine Phosphate Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Fluoride Channel Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Metal Binding and Homeostasis
GO Term: Tap Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Oligosaccharyltransferase Complex Binding -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Bbsome Binding -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Box C/D Methylation Guide Snornp Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Garp Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Histone H3K9Me2/3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Histone Mrna Stem-Loop Binding Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Acyl-Coa (8-3)-Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Tsc1-Tsc2 Complex Binding -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Inhibitory Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Activating Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Hla-E Specific Inhibitory Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Stomach Development -> Biodomain: Gastrointestinal Tract, Organ Morphogenesis, Organ Development, Endoderm Development, Digestive System Development
GO Term: Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Negative Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Positive Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Peptidyl-Aspartic Acid 3-Dioxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization, Autophagy
GO Term: Pumilio-Response Element Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Rna 2'-O-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Zinc Ion Import Into Organelle -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Fatty Acid Primary Amide Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: 4-Hydroxybutyrate Receptor Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Catalase Complex -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Mrna (Cytidine-5-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, DNA Repair
GO Term: C5-Methylcytidine-Containing Rna Reader Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: N6-Methyl-Amp Deaminase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Metal Binding and Homeostasis
GO Term: Mitochondrial Atp-Gated Potassium Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mitochondrial Atp-Gated Potassium Channel Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Chloride:Proton Antiporter Activity -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Complement Component C1Q Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Vasculature, Oxidative Stress
GO Term: Lutein Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Brexanolone Metabolic Process -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Brexanolone Catabolic Process -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
