Running with TEMP=0.9, sub_array_index=6
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Synapse
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Kinesin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Endolysosome, Autophagy
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Synapse, Mitochondrial Metabolism, Structural Stabilization, Tau Homeostasis, Proteostasis
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Extrinsic Component Of Membrane -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Vasculature
GO Term: Enzyme Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Kinase Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Protein Kinase Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Epigenetic
GO Term: Phosphatase Binding -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Autophagy
GO Term: Protein Phosphatase Binding -> Biodomain: Proteostasis, Cell Cycle, Tau Homeostasis, APP Metabolism, Synapse
GO Term: Protein Domain Specific Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Epigenetic
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Apoptosis
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle
GO Term: Camp-Mediated Signaling -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy, Oxidative Stress
GO Term: Cgmp-Mediated Signaling -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Epigenetic
GO Term: Sexual Reproduction -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Apoptosis
GO Term: Cytokine Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Chemokine Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Autophagy, Proteostasis
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Diacylglycerol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Apoptosis, Mitochondrial Metabolism
GO Term: Symbiont-Containing Vacuole -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Ciliary Pocket Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Hemoglobin Metabolic Process -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Prechordal Plate Formation -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Endolysosome, Autophagy
GO Term: Neural Fold Elevation Formation -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Mitochondrial Metabolism, Epigenetic
GO Term: Neural Fold Bending -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Synapse
GO Term: Floor Plate Formation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Synapse
GO Term: Roof Plate Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Myelination
GO Term: Spinal Cord Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Autophagy, Apoptosis
GO Term: Spinal Cord Patterning -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Myelination
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, RNA Spliceosome
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Cell Cycle, Myelination, Synapse, Apoptosis, Structural Stabilization
GO Term: Dorsal Spinal Cord Development -> Biodomain: Neurogenesis, Neuron Development, Neural Differentiation, Neural Crest, Sensory Systems
GO Term: Ventral Spinal Cord Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Vasculature
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Synapse
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Apoptosis
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Cell Cycle
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Cell Cycle, Lipid Metabolism, Epigenetic, Structural Stabilization
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Neural Tube Patterning -> Biodomain: Structural Stabilization, Apoptosis, Epigenetic, Cell Cycle, Vasculature
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Developmental Biology, Neurogenesis, Cellular Differentiation, Stem Cell Biology, Neurodevelopmental Disorders
GO Term: Cell Migration In Hindbrain -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Immune Response
GO Term: Diencephalon Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Vasculature, Epigenetic
GO Term: Telencephalon Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Apoptosis
GO Term: Subthalamus Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Epigenetic, Cell Cycle
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Vasculature, Endolysosome
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Neurogenesis, Structural Stabilization, Cell Differentiation, Myelination
GO Term: Dentate Gyrus Development -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Epigenetic, Lipid Metabolism
GO Term: Pallium Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, DNA Repair
GO Term: Subpallium Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Cranial Nerve Development -> Biodomain: Neurogenesis, Peripheral Nervous System, Sensory System, Motor System, Neural Crest
GO Term: Rhombomere Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, DNA Repair
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Pons Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Cerebellum Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Central Nervous System Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Vasculature, Apoptosis, Epigenetic
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Optic Nerve Development -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Neurogenesis, Morphogenesis, CNS Development, Embryogenesis, Organogenesis
GO Term: Central Nervous System Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Trochlear Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Trigeminal Nerve Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Autophagy
GO Term: Rhombomere 2 Development -> Biodomain: Developmental Biology, Neurodevelopment, Morphogenesis, Anatomical Structure Development, Neural Tube Development
GO Term: Rhombomere 3 Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, RNA Spliceosome
GO Term: Rhombomere 4 Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Rhombomere 5 Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Rhombomere 6 Development -> Biodomain: Structural Stabilization, Synapse, Apoptosis, Proteostasis, Autophagy
GO Term: Hindbrain Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Cerebellum Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Cerebellum Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Cerebellum Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Vasculature
GO Term: Ventricular System Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Fourth Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Myelination
GO Term: Abducens Nerve Formation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Lipid Metabolism, Vasculature
GO Term: Facial Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Vasculature
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Mitochondrial Metabolism
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Optic Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Mitochondrial Metabolism
GO Term: Optic Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Vasculature, Proteostasis
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Lipid Metabolism
GO Term: Trochlear Nerve Formation -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Proteostasis
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Lipid Metabolism, Vasculature
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Apoptosis, Epigenetic
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Rhombomere 3 Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Epigenetic
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Myelination, Synapse
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Developmental Biology, Cell Differentiation, Neural Development, Neurogenesis
GO Term: Lateral Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Nerve Development -> Biodomain: Synapse, Myelination, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Third Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Myelination, Synapse, Immune Response
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Neurogenesis, Synapse, Neural Circuitry, Structural Stabilization, Myelination
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Autophagy
GO Term: Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Autophagy
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Autophagy
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Myelination
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Mitochondrial Metabolism
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Vasculature
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Cerebellar Cortex Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Synapse, Myelination
GO Term: Cerebellar Cortex Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Vasculature
GO Term: Developmental Maturation -> Biodomain: Structural Stabilization, Synapse, Immune Response, Myelination, Proteostasis
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Synapse, Structural Stabilization, Proteostasis
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Myelination, Autophagy
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Medullary Reticular Formation Development -> Biodomain: Structural Stabilization, Synapse, Autophagy, Apoptosis, Cell Cycle
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Proteostasis
GO Term: Abducens Nucleus Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Myelination
GO Term: Hypoglossal Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Apoptosis
GO Term: Cochlear Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Vestibular Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Facial Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Striatum Development -> Biodomain: Synapse, Myelination, Cell Cycle, Apoptosis, Epigenetic
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Putamen Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Myelination
GO Term: Globus Pallidus Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Proteostasis
GO Term: Limbic System Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Autophagy
GO Term: Amygdala Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Cell Cycle
GO Term: Hippocampus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Mammillary Body Development -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Lipid Metabolism
GO Term: Nucleus Accumbens Development -> Biodomain: Neurogenesis, Neural Circuit Development, Brain Development, Synapse, Structural Stabilization
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Endolysosome
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Myelination
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Cell Cycle, Myelination
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Epigenetic, Cell Cycle, Structural Stabilization, RNA Spliceosome
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Cell Cycle, Epigenetic, Structural Stabilization, RNA Spliceosome
GO Term: Glial Cell Fate Specification -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Proteostasis
GO Term: Glial Cell Fate Commitment -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Glial Cell Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Proteostasis
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Proteostasis
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Thalamus Development -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Structural Stabilization, Synapse, Autophagy, Mitochondrial Metabolism, Vasculature
GO Term: Cerebral Cortex Regionalization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Epigenetic
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, RNA Spliceosome
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, RNA Spliceosome
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Cell Cycle, Autophagy
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Immune Response
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Myelination
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Immune Response
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Epigenetic, Synapse
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Myelination, Proteostasis
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Tau Homeostasis
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Vasculature
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Cell Cycle
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Cell Migration, Neuronal Migration, Axon Guidance, Developmental Processes, Signaling Pathways
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Immune Response, Endolysosome, Vasculature
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Autophagy, DNA Repair
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Lipid Metabolism
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Vasculature
GO Term: Hypothalamus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Myelination
GO Term: Hypothalamus Cell Migration -> Biodomain: Cell Migration, Neurogenesis, Neuron Development, Brain Development, Neuroendocrine
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Proteostasis, Autophagy
