Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Establishment Of Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Maintenance Of Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Epigenetic
GO Term: Establishment Of Meiotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Response To Cytokine -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Vcp-Npl4-Ufd1 Aaa Atpase Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Erythrocyte Homeostasis -> Biodomain: Oxidative Stress, Endolysosome, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Regulation Of Tissue Remodeling -> Biodomain: Structural Stabilization, Apoptosis, Vasculature, Immune Response, Proteostasis
GO Term: Positive Regulation Of Tissue Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Erythrocyte Clearance -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Homotypic Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Negative Regulation Of Homotypic Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Myelination
GO Term: Positive Regulation Of Homotypic Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Heterotypic Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Negative Regulation Of Heterotypic Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Heterotypic Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Proteostasis
GO Term: Regulation Of Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Inflammation, Signal Transduction, Cell Surface Receptor Signaling, Regulation Of Immune Response
GO Term: Regulation Of Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Toll-Like Receptor 2 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Toll-Like Receptor 2 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Toll-Like Receptor 2 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Regulation Of Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Toll-Like Receptor 5 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Toll-Like Receptor 5 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Regulation Of Toll-Like Receptor 6 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Toll-Like Receptor 6 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Toll-Like Receptor 7 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Toll-Like Receptor 7 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Toll-Like Receptor 7 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Toll-Like Receptor 8 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Toll-Like Receptor 8 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Apolipoprotein Binding -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Immune Response, Metal Binding and Homeostasis
GO Term: Apolipoprotein A-I Binding -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Endolysosome
GO Term: Apolipoprotein A-I Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Very-Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Apolipoprotein Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Apolipoprotein A-I Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Proteostasis, Immune Response
GO Term: Triglyceride Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Cellular Response To Amino Acid Starvation -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Activation Of Protein Kinase A Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Response To Oleic Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Glycolipid Floppase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Glycolipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Myelination, Autophagy
GO Term: Lipid Translocation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Amyloid-Beta Formation -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Gtp-Dependent Protein Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Quinolinate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Protein Hexamerization -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Carbohydrate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Structural Stabilization, Endolysosome
GO Term: Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Cellular Response To Zinc Ion Starvation -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress, Cellular Response to Metal Ions
GO Term: Trna Thio-Modification -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Ethanolamine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Myelination, Mitochondrial Metabolism, Proteostasis
GO Term: Ethanolamine Transport -> Biodomain: Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism, Myelination, Endolysosome
GO Term: Enkephalin Processing -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Immune Response
GO Term: Islet Amyloid Polypeptide Processing -> Biodomain: Proteostasis, APP Metabolism, Apoptosis, Endolysosome, Autophagy
GO Term: Gpi Anchor Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Immune Response
GO Term: Protein Kinase A Catalytic Subunit Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Oxidative Stress, Autophagy
GO Term: Protein Kinase A Regulatory Subunit Binding -> Biodomain: Proteostasis, Synapse, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Macrophage Fusion -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Macrophage Fusion -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Structural Stabilization, Synapse
GO Term: Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Mitochondrial Dna-Directed Rna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Mitochondrial Transcription Factor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Snorna Splicing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Regulation Of Amide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Positive Regulation Of Amide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Regulation Of Urea Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Gtpase Activity -> Biodomain: Proteostasis, Synapse, Apoptosis, Autophagy, Cell Cycle
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Iii, Type I -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Iii, Type Ii -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Atg12-Atg5-Atg16 Complex -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Kynurenic Acid Biosynthetic Process -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Synapse, Lipid Metabolism
GO Term: Response To Monosaccharide -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Disaccharide -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Diol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Synapse
GO Term: Negative Regulation Of Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Nicotinate Riboside Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Cell Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Cell Junction Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Endolysosome
GO Term: Cell Junction Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Endolysosome
GO Term: Adherens Junction Organization -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Cell Cycle
GO Term: Adherens Junction Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Vasculature
GO Term: Adherens Junction Maintenance -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Rna Folding -> Biodomain: Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Short-Chain Carboxylesterase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Response To Type I Interferon -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Response To Type Ii Interferon -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Type Iii Interferon -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Type Iii Interferon Production -> Biodomain: Immune Response, Endolysosome, Epigenetic, Autophagy, Oxidative Stress
GO Term: Regulation Of Type Iii Interferon Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Type Iii Interferon Production -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Type Iii Interferon Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Type Iii Interferon Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Proteostasis
GO Term: Glial Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis
GO Term: Negative Regulation Of Glial Cell Apoptotic Process -> Biodomain: Apoptosis, Myelination, Structural Stabilization, Synapse, Proteostasis
GO Term: Mrna 5'-Diphosphatase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: 'De Novo' Nad+ Biosynthetic Process From L-Tryptophan -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Nad+ Biosynthetic Process Via The Salvage Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Plasma Lipoprotein Particle -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Vasculature
GO Term: Mature Chylomicron -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Chylomicron Remnant -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Oxidative Stress
GO Term: Very-Low-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Vasculature, Mitochondrial Metabolism
GO Term: Low-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Intermediate-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Vasculature
GO Term: High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Discoidal High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Vasculature, APP Metabolism, Structural Stabilization, Endolysosome
GO Term: Spherical High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Protein-Containing Complex Remodeling -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Plasma Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Triglyceride-Rich Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Chylomicron Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Intermediate-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: High-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Oxidative Stress
GO Term: Plasma Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Structural Stabilization
GO Term: Chylomicron Assembly -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Autophagy, Endolysosome
GO Term: Very-Low-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Endolysosome, Mitochondrial Metabolism
GO Term: High-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: Plasma Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Chylomicron Remnant Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: 4-Aminobutyrate:2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Pwp2P-Containing Subcomplex Of 90S Preribosome -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Lipid Droplet Organization -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Regulation Of Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Protein Localization To Cell Surface -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Telomere Localization -> Biodomain: Structural Stabilization, Cell Cycle, DNA Repair, Epigenetic, Oxidative Stress
GO Term: Telomere Tethering At Nuclear Periphery -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Nuclear Periphery -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, DNA Repair, Lipid Metabolism
GO Term: Response To Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Immune Response
GO Term: Bisphosphoglycerate 3-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Urate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Post-Translational Protein Acetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Autophagosome Lumen -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Bis(5'-Adenosyl)-Hexaphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, DNA Repair, Autophagy
GO Term: Bis(5'-Adenosyl)-Pentaphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Lipid Metabolism
GO Term: Glycoprotein Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Vasculature, Immune Response
GO Term: Lipoprotein Lipid Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Immune Response
GO Term: Lipid Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Plasma Lipoprotein Particle Oxidation -> Biodomain: Oxidative Stress, Lipid Metabolism, Vasculature, Proteostasis, Immune Response
GO Term: Negative Regulation Of Plasma Lipoprotein Oxidation -> Biodomain: Oxidative Stress, Lipid Metabolism, Vasculature, Metal Binding and Homeostasis, Immune Response
GO Term: Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Metabolism, Proteostasis
GO Term: Ubiquitin-Ubiquitin Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Metal Binding and Homeostasis
GO Term: Centriolar Satellite -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Dynactin Binding -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Microtubule Anchoring -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Microtubule Anchoring At Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: T-Utp Complex -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Utp-C Complex -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Mpp10 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: 3'-5' Rna Helicase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Small-Subunit Processome Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Epigenetic, Autophagy
GO Term: 90S Preribosome Assembly -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, DNA Repair, Epigenetic
GO Term: Bbsome -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Response To Carbon Monoxide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Chromaffin Granule Lumen -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: U1 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: U2 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: U4 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: U5 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: U6 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, DNA Repair
GO Term: Phosphatidylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Phosphatidylcholine Phospholipase C Activity -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Chondroitin 2-Sulfotransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Immune Response
GO Term: Phosphatidylinositol-3,4,5-Trisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Vacuolar Transmembrane Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
