Running with TEMP=0.9, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Cell Cycle, Developmental Process, Biological Regulation, Cellular Homeostasis
GO Term: Methyl/Ethyl Malonyl-Coa Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Methylmalonyl-Coa Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Methylmalonyl-Coa Mutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Mevalonate Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Calcidiol 1-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: N,N-Dimethylaniline Monooxygenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Dopamine Beta-Monooxygenase Activity -> Biodomain: Neurotransmitter Metabolism, Oxidative Stress, Cofactor and Vitamin Metabolism, Catecholamine Biosynthesis, Stress Response
GO Term: Kynurenine 3-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis, Autophagy
GO Term: Tyrosinase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Peptidylglycine Monooxygenase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Synapse, Autophagy
GO Term: Phenylalanine 4-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Squalene Monooxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Steroid 11-Beta-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Steroid 17-Alpha-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Steroid 21-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Tryptophan 5-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Synapse, Immune Response
GO Term: Tyrosine 3-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: Inositol-3-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Endolysosome, Oxidative Stress
GO Term: Nicotinate-Nucleotide Diphosphorylase (Carboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Nicotinate-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Nicotinate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Nitric-Oxide Synthase Activity -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Apoptosis
GO Term: Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: Endonuclease Activity -> Biodomain: DNA Repair, RNA Spliceosome, Apoptosis, Metal Binding and Homeostasis, Proteostasis
GO Term: Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Rna Endonuclease Activity -> Biodomain: RNA Spliceosome, Immune Response, Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Ribonuclease A Activity -> Biodomain: RNA Spliceosome, Immune Response, Autophagy, Proteostasis, Structural Stabilization
GO Term: Rna-Dna Hybrid Ribonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Ribonuclease Iii Activity -> Biodomain: RNA Spliceosome, Immune Response, Epigenetic, Proteostasis, Autophagy
GO Term: Ribonuclease P Activity -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Immune Response, Metal Binding and Homeostasis
GO Term: Phosphodiesterase I Activity -> Biodomain: DNA Repair, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Metal Binding and Homeostasis
GO Term: Deoxyribonuclease I Activity -> Biodomain: DNA Repair, Apoptosis, Immune Response, Endolysosome, Autophagy
GO Term: Deoxyribonuclease Ii Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Endolysosome, Epigenetic
GO Term: Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Cell Cycle, Autophagy, Endolysosome, Apoptosis
GO Term: 5'-3' Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Autophagy, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Poly(A)-Specific Ribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Dna Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Metal Binding and Homeostasis, Cell Cycle, Immune Response
GO Term: Rna Nuclease Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Trna-Specific Ribonuclease Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleoside Diphosphate Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Dinucleotide Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Metal Binding and Homeostasis
GO Term: Hydrolase Activity, Hydrolyzing O-Glycosyl Compounds -> Biodomain: Carbohydrate Metabolism, Glycoconjugate Metabolism, Endolysosome, Macromolecule Catabolism, Enzymatic Activity
GO Term: Alpha,Alpha-Trehalase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Alpha-Amylase Activity -> Biodomain: Carbohydrate Metabolism, Enzyme Activity, Hydrolase Activity, Glycogen Metabolism, Metabolic Pathways
GO Term: Alpha-Galactosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Glycosylation, Mitochondrial Metabolism
GO Term: Alpha-1,4-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Alpha-L-Fucosidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Alpha-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: Beta-N-Acetylhexosaminidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Beta-Galactosidase Activity -> Biodomain: Carbohydrate Metabolism, Glycosaminoglycan Metabolism, Sphingolipid Metabolism, Proteoglycan Metabolism, Lysosomal Function
GO Term: Beta-Glucuronidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Beta-Mannosidase Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Chitinase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Glycoprotein Endo-Alpha-1,2-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Mannosyl-Oligosaccharide 1,2-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Immune Response
GO Term: Mannosyl-Oligosaccharide 1,3-1,6-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Glc3Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Oligo-1,6-Glucosidase Activity -> Biodomain: Carbohydrate Metabolism, Energy Metabolism, Glycogen Metabolism, Enzyme Activity, Metabolic Processes
GO Term: Sucrose Alpha-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Oligosaccharyl Transferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Mitochondrial Metabolism
GO Term: N-Acetylglucosaminyldiphosphodolichol N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Chitobiosyldiphosphodolichol Beta-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Dolichyl-Diphosphooligosaccharide-Protein Glycotransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism, Autophagy
GO Term: Dolichyl-Phosphate Beta-Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, APP Metabolism
GO Term: Dolichyl-Phosphate Beta-D-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Ornithine Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolic Pathways, Nitrogen Metabolism, Enzyme Activity
GO Term: Ornithine Decarboxylase Activity -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Autophagy
GO Term: Ornithine Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolic Processes, Oxidative Stress, Proteostasis
GO Term: Orotate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Orotidine-5'-Phosphate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Oxoglutarate Dehydrogenase (Succinyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Pantothenate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Pantetheine-Phosphate Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Protein-N-Terminal Amino-Acid Acetyltransferase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Peptidylamidoglycolate Lyase Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Peroxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Glutathione Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, DNA Repair
GO Term: Phenylethanolamine N-Methyltransferase Activity -> Biodomain: Synapse, Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Phosphatidate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Phosphatidylcholine-Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Phosphatidylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Phosphatidylserine Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Phosphoacetylglucosamine Mutase Activity -> Biodomain: Tau Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Phosphoenolpyruvate Carboxykinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Phosphoenolpyruvate Carboxykinase (Gtp) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphoglucomutase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phosphomannomutase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Phosphogluconate Dehydrogenase (Decarboxylating) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, DNA Repair, Cell Cycle, Immune Response
GO Term: Phosphoglycerate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Phosphoglycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Phosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Phospholipase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Glycosylphosphatidylinositol Phospholipase D Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Phosphatidylcholine Lysophospholipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Immune Response
GO Term: Phospholipase C Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Phospholipase D Activity -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Phosphomevalonate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Phosphopantothenate--Cysteine Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Phosphopantothenoylcysteine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Phosphopyruvate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Myelination, Oxidative Stress
GO Term: Phosphoribosylamine-Glycine Ligase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Phosphoribosylaminoimidazole Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Phosphoribosylaminoimidazolesuccinocarboxamide Synthase Activity -> Biodomain: Cell Cycle, DNA Repair, Metal Binding and Homeostasis, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Phosphoribosylformylglycinamidine Cyclo-Ligase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Phosphoribosylformylglycinamidine Synthase Activity -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Phosphoribosylaminoimidazolecarboxamide Formyltransferase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Phosphoribosylglycinamide Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Immune Response
GO Term: 1,4-Alpha-Oligoglucan Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: O-Phospho-L-Serine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Amino Acid Metabolism, Metabolism, Neurotransmission, Metabolic Pathways, Biosynthesis
GO Term: Poly(Adp-Ribose) Glycohydrolase Activity -> Biodomain: DNA Repair, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Polynucleotide 5'-Phosphatase Activity -> Biodomain: DNA Repair, RNA Spliceosome, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Polypeptide N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Autophagy, Endolysosome
GO Term: Polyribonucleotide Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Metal Binding and Homeostasis
GO Term: Porphobilinogen Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Procollagen-Proline 4-Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Proline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Propionyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Prenyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Protein Farnesyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Caax-Protein Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Rab Geranylgeranyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy
GO Term: Prostaglandin-Endoperoxide Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostaglandin-D Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Vasculature
GO Term: Protein-Arginine Deiminase Activity -> Biodomain: Proteostasis, Epigenetic, Immune Response, Apoptosis, Structural Stabilization
GO Term: Protein C-Terminal S-Isoprenylcysteine Carboxyl O-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Apoptosis
GO Term: Protein Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: Protein Histidine Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, DNA Repair, Immune Response
GO Term: Transmembrane Receptor Protein Serine/Threonine Kinase Activity -> Biodomain: Signal Transduction, Cell Surface Receptor, Kinase Activity, Cell Communication, Intracellular Signaling
GO Term: 3-Phosphoinositide-Dependent Protein Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Dna-Dependent Protein Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Amp-Activated Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Calcium/Calmodulin-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Elongation Factor-2 Kinase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Cell Cycle
GO Term: Myosin Light Chain Kinase Activity -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Autophagy
GO Term: Phosphorylase Kinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Camp-Dependent Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cgmp-Dependent Protein Kinase Activity -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Eukaryotic Translation Initiation Factor 2Alpha Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Cell Cycle, Epigenetic
GO Term: Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Calcium,Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Cell Cycle, Apoptosis
GO Term: Diacylglycerol-Dependent, Calcium-Independent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: G Protein-Coupled Receptor Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Synapse, Vasculature
GO Term: Jun Kinase Activity -> Biodomain: Signal Transduction, Oxidative Stress, Apoptosis, Immune Response, Proteostasis
GO Term: Jun Kinase Kinase Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Cell Cycle
GO Term: Map Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Cell Cycle, Immune Response, Proteostasis
GO Term: Map Kinase Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Cell Cycle, Proteostasis
GO Term: Map Kinase Kinase Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Oxidative Stress, Immune Response, Proteostasis
GO Term: Ribosomal Protein S6 Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Protein Serine/Threonine/Tyrosine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Synapse
GO Term: Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Signal Transduction, Kinase Activity, Receptor Activity, Tyrosine Kinase Activity, Transmembrane Signaling
GO Term: Non-Membrane Spanning Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Protein-Lysine 6-Oxidase Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Vasculature, Proteostasis, Metal Binding and Homeostasis
GO Term: Phosphoprotein Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Protein Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Apoptosis, Synapse, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein Tyrosine Phosphatase Activity -> Biodomain: Immune Response, Proteostasis, Synapse, Cell Cycle, Oxidative Stress
GO Term: Non-Membrane Spanning Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Oxygen-Dependent Protoporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Purine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyridoxamine Phosphate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Pyrroline-5-Carboxylate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Pyruvate Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: [Pyruvate Dehydrogenase (Acetyl-Transferring)]-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Dihydrolipoyllysine-Residue Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Cell Cycle, Oxidative Stress
GO Term: All-Trans-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Ribokinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, DNA Repair, Cell Cycle, Oxidative Stress
