Running with TEMP=0.1, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Structural Stabilization, Metal Binding and Homeostasis
GO Term: D-Lysine 5,6-Aminomutase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Autophagy
GO Term: D-Sorbitol Dehydrogenase (Acceptor) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: D-Threo-Aldose 1-Dehydrogenase Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: D-Xylose 1-Dehydrogenase (Nadp+) Activity -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Dctp Diphosphatase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Deoxyuridine Phosphorylase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Diiodophenylpyruvate Reductase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Dimethylglycine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Dolichyldiphosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Estradiol 17-Alpha-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Fad Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Farnesol Dehydrogenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Farnesyl Diphosphate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Fatty Acid Peroxidase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Flavonol 3-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Vasculature
GO Term: Ganglioside Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Glycosphingolipid Metabolism, Glycosylation, Sphingolipid Metabolism, Membrane Trafficking and Organelles
GO Term: Gdp-Mannose 3,5-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Glucosamine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glucose-1,6-Bisphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Glucose 1-Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glucose 1-Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Glucose 1-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: L-Glucuronate Reductase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Glucuronolactone Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Glutamine N-Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycerol-3-Phosphate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glycerol-2-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Glycerol Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glycine N-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycine N-Benzoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Glycine N-Choloyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Glyoxylate Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Guanidinobutyrase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Guanidinopropionase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Guanosine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Hepoxilin-Epoxide Hydrolase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Homocysteine Desulfhydrase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Hydroxyacid-Oxoacid Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Hydroxylysine Kinase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Hydroxymethylglutaryl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: (2R)-Hydroxyphenylpyruvate Reductase [Nad(P)H] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Antigen Processing And Presentation Of Peptide Antigen -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation, Endogenous Lipid Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Antigen Processing And Presentation, Exogenous Lipid Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Cell Cycle
GO Term: Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Tie Signaling Pathway -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Phosphatidylinositol-Mediated Signaling -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Vasculature
GO Term: Receptor Ligand Activity -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: Receptor Antagonist Activity -> Biodomain: Synapse, Immune Response, Vasculature, Cell Cycle, Apoptosis
GO Term: Ccr Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Melanin Biosynthetic Process -> Biodomain: Oxidative Stress, Endolysosome, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Melanin Biosynthetic Process -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Melanin Biosynthetic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Cell Cycle, Epigenetic, Autophagy, Endolysosome
GO Term: Positive Regulation Of Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Mitochondrial Metabolism
GO Term: Mrna 5'-Utr Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Oxidative Stress
GO Term: Monosaccharide Binding -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Autophagy, Structural Stabilization
GO Term: Disaccharide Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Heme O Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Quinone Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Ubiquinone Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Udp-Glucuronate Decarboxylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Embryonic Eye Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Post-Embryonic Eye Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Epigenetic
GO Term: Developmental Pigmentation -> Biodomain: Melanin Synthesis, Cell Differentiation, Developmental Processes, Cellular Biogenesis, Organ Development
GO Term: Eye Pigmentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Developmental Pigmentation -> Biodomain: Metal Binding and Homeostasis, Epigenetic, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Regulation Of Eye Pigmentation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Eye Pigmentation -> Biodomain: Oxidative Stress, Proteostasis, Synapse, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Eye Pigmentation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Developmental Pigmentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Positive Regulation Of Developmental Pigmentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Calmodulin-Activated 3',5'-Cyclic-Gmp Phosphodiesterase Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Autophagic Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Somatic Stem Cell Division -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Establishment Of Body Hair Planar Orientation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Male Germ-Line Stem Cell Asymmetric Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Lipid Metabolism
GO Term: Spermatocyte Division -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Astrocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Fibroblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Tissue Repair, Vasculature, Immune Response
GO Term: Regulation Of Fibroblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Positive Regulation Of Fibroblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Negative Regulation Of Fibroblast Proliferation -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Autophagy, Epigenetic
GO Term: Behavioral Response To Cocaine -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Behavioral Response To Ethanol -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Tau Protein Binding -> Biodomain: Tau Homeostasis, Proteostasis, Synapse, Apoptosis, Structural Stabilization
GO Term: Primary Follicle Stage -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization, Apoptosis
GO Term: Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Neuronal Synaptic Plasticity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Regulation Of Long-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Long-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Short-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Short-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Activin Receptor Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Activin Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Set1C/Compass Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Golgi Vesicle Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization
GO Term: Golgi Vesicle Budding -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Vesicle Targeting, To, From Or Within Golgi -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Vesicle Targeting, Trans-Golgi To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Copi Coating Of Golgi Vesicle -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Copii Vesicle Coating -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Golgi Vesicle Fusion To Target Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Golgi Vesicle Docking -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Inter-Golgi Cisterna Vesicle-Mediated Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Plasma Membrane To Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Male Gamete Generation -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Rough Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, APP Metabolism, Apoptosis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Dna Recombination At Telomere -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Sperm Capacitation -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Epinephrine Transport -> Biodomain: Synapse, Vasculature, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Epinephrine Secretion -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Norepinephrine Secretion -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Phytanoyl-Coa Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome
GO Term: Eosinophil Chemotaxis -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Macrophage Chemotaxis -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Lymphocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Cxcr3 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Iron Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Elastic Fiber Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Lauric Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Snorna Localization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Structural Stabilization
GO Term: Mrna Stabilization -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Flap Endonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: 3'-Flap Endonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Regulation Of Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Immune Response, Vasculature
GO Term: Negative Regulation Of Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Immune Response, APP Metabolism
GO Term: Determination Of Dorsal Identity -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Vasculature
GO Term: Determination Of Ventral Identity -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Vasculature
GO Term: Response To Pain -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Vasculature
GO Term: Behavioral Response To Pain -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Proteostasis
GO Term: Clathrin Coat Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Methionine Adenosyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Methionine Adenosyltransferase Regulator Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Mitogen-Activated Protein Kinase P38 Binding -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Cell Cycle
GO Term: Vesicle Docking -> Biodomain: Endolysosome, Synapse, Proteostasis, Autophagy, APP Metabolism
GO Term: Vesicle Fusion With Golgi Apparatus -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Organelle Fusion -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Lung Alveolus Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, Apoptosis, Epigenetic, DNA Repair, Proteostasis
GO Term: Isotype Switching To Iga Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Vasculature, Autophagy
GO Term: Isotype Switching To Igg Isotypes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Apoptosis, Autophagy
GO Term: Positive Regulation Of Isotype Switching To Iga Isotypes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Regulation Of Isotype Switching To Igg Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Isotype Switching To Igg Isotypes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Autophagy
GO Term: Calcium-Dependent Protein Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Mitochondrion Distribution -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Intracellular Distribution Of Mitochondria -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Golgi Inheritance -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Axial Mesoderm Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Vasculature
GO Term: Axial Mesoderm Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Axial Mesoderm Formation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Lipid Metabolism, Vasculature
GO Term: Axial Mesodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Autophagy
GO Term: Mesoderm Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Mesodermal Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Autophagy
GO Term: Positive Regulation Of Mesodermal Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, DNA Repair, Mitochondrial Metabolism
GO Term: Paraxial Mesoderm Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Paraxial Mesoderm Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Paraxial Mesoderm Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Paraxial Mesodermal Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Paraxial Mesoderm Structural Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Lateral Mesoderm Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Lateral Mesoderm Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Lateral Mesodermal Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Regulation Of Lateral Mesodermal Cell Fate Specification -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Mesendoderm Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Lipid Metabolism, DNA Repair
GO Term: Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Lipid Metabolism, Vasculature
GO Term: Positive Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Endosomal Lumen Acidification -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Intermediate Mesoderm Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Intermediate Mesodermal Cell Differentiation -> Biodomain: Vasculature, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Brain-Derived Neurotrophic Factor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Nerve Growth Factor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Platelet-Derived Growth Factor Binding -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Epidermal Growth Factor Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, Endolysosome
GO Term: Cell Development -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Cell Maturation -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Perinuclear Region Of Cytoplasm -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Holliday Junction Resolvase Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Oogenesis -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Autonomic Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Proteostasis
