Running with TEMP=0.5, sub_array_index=18
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Cell Proliferation In Midbrain -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Autophagy, Tau Homeostasis
GO Term: Positive Regulation Of Cell Proliferation In Midbrain -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Autophagy, Apoptosis
GO Term: Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Midbrain Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Atpase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Negative Regulation Of Establishment Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Synapse, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Establishment Of Protein Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Regulation Of Midbrain Dopaminergic Neuron Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Midbrain Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Brush Border Assembly -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Morphogenesis, Cell Adhesion, Ion Homeostasis
GO Term: Negative Regulation Of Viral Translation -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Viral Translation -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Epigenetic, Autophagy
GO Term: Heparanase Complex -> Biodomain: Endolysosome, Vasculature, Immune Response, APP Metabolism, Autophagy
GO Term: Response To Bleomycin -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Autophagy
GO Term: Cellular Response To Bleomycin -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Autophagy
GO Term: Lymphatic Endothelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Endosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Endosome Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Glycine Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Transport, Mitochondrial Transport, Metabolic Processes
GO Term: Negative Regulation Of Quinolinate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Autophagy
GO Term: Positive Regulation Of Endothelial Cell Activation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Adenylate Cyclase-Inhibiting Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Regulation Of Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Regulation Of Membrane Repolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Membrane Repolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Picolinic Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Negative Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Epigenetic, Vasculature, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Regulation Of 'De Novo' Nad Biosynthetic Process From L-Tryptophan -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Regulation Of Membrane Depolarization During Av Node Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Voltage-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Antifungal Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Antifungal Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Autophagosome Organization -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Membrane Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Carboxylic Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Otic Placode Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Vasculature
GO Term: Regulation Of Epithelium Regeneration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Epithelium Regeneration -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Epigenetic
GO Term: Negative Regulation Of Schwann Cell Proliferation Involved In Axon Regeneration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Immune Response, Myelination
GO Term: Positive Regulation Of Schwann Cell Proliferation Involved In Axon Regeneration -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Lipid Metabolism, Immune Response
GO Term: Regulation Of Metallopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, APP Metabolism, Synapse
GO Term: Negative Regulation Of Metallopeptidase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Endolysosome, Autophagy, APP Metabolism
GO Term: Regulation Of Base-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Base-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: P-Type Calcium Transporter Activity Involved In Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: P-Type Calcium Transporter Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Calcium:Monoatomic Cation Antiporter Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cardioblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Cardioblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Vasculature, Autophagy
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Allantois Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Anterior Visceral Endoderm Cell Migration -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Cardiac Jelly Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Positive Regulation Of Tight Junction Disassembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Type 2 Mitophagy -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Type 2 Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Apolipoprotein A-I-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Apoptosome Assembly -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Pulmonary Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Lateral Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Biotin Import Across Plasma Membrane -> Biodomain: Membrane Trafficking, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Eukaryotic Translation Initiation Factor 2 Complex Assembly -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Autophagy, Apoptosis
GO Term: Response To Acetylcholine -> Biodomain: Synapse, Vasculature, Proteostasis, Structural Stabilization, Immune Response
GO Term: Cellular Response To Acetylcholine -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Lysosomal Protein Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Smooth Muscle Hypertrophy -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Apoptosis
GO Term: Regulation Of Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Vasculature, Myelination
GO Term: Protein Localization To Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Phagosome Maturation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Phagosome Maturation -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Lysosomal Protein Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Lysosomal Protein Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Lysosomal Protein Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Apoptosis
GO Term: Positive Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Risc Complex Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Regulation Of Vascular Associated Smooth Muscle Cell Dedifferentiation -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Dedifferentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Dedifferentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Cardiac Muscle Tissue Regeneration -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Autophagy, Vasculature
GO Term: Positive Regulation Of Cardiac Muscle Tissue Regeneration -> Biodomain: Mitochondrial Metabolism, Apoptosis, Autophagy, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Metaphase/Anaphase Transition Of Meiosis I -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Manchette Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Manchette Disassembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Methylcrotonoyl-Coa Carboxylase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Connective Tissue Replacement -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Autophagy
GO Term: Positive Regulation Of Connective Tissue Replacement -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Cardiocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cardiocyte Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitotic Chromosome Condensation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Response To Astaxanthin -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Platelet Formation -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Atrioventricular Canal Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair
GO Term: Epicardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Response To Thyrotropin-Releasing Hormone -> Biodomain: Endocrine Signaling, Signal Transduction, Neurotransmitter Signaling, Hormone Metabolism, Cell Communication
GO Term: Cellular Response To Thyrotropin-Releasing Hormone -> Biodomain: Hormone Signaling, Cell Communication, Signal Transduction, Neuroendocrine System, Secretion
GO Term: Cellular Response To Borneol -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Cellular Response To L-Glutamate -> Biodomain: Synapse, Oxidative Stress, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Response To Codeine -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Response To Quercetin -> Biodomain: Oxidative Stress, Immune Response, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Response To Cyclosporin A -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Response To 3,3',5-Triiodo-L-Thyronine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Cellular Response To 3,3',5-Triiodo-L-Thyronine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Modification Of Synaptic Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Aspartic-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Negative Regulation Of Nitrosative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Proton-Transporting Atp Synthase Activity, Rotational Mechanism -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Modification Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Epithelial Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Epigenetic
GO Term: Regulation Of Retrograde Transport, Endosome To Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Retrograde Transport, Endosome To Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Positive Regulation Of Retrograde Transport, Endosome To Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Fibrous Ring Of Heart Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Serine-Type Peptidase Complex -> Biodomain: Proteostasis, Immune Response, Apoptosis, Vasculature, Lipid Metabolism
GO Term: Vascular Associated Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Endolysosome, Immune Response
GO Term: Regulation Of Camkk-Ampk Signaling Cascade -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Camkk-Ampk Signaling Cascade -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Neural Crest Cell Differentiation -> Biodomain: Vasculature, Myelination, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Intestinal Epithelial Cell Development -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Intestinal Epithelial Cell Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Macropinocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Macropinocytosis -> Biodomain: Immune Response, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Cardiac Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of Cardiac Neural Crest Cell Migration Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Cardiac Neural Crest Cell Migration Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Semi-Lunar Valve Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cell Proliferation Involved In Endocardial Cushion Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Superior Endocardial Cushion Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Inferior Endocardial Cushion Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Mesenchymal Stem Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Mesenchymal Stem Cell Migration -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Endolysosome, Apoptosis
GO Term: Telomerase Holoenzyme Complex Assembly -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, RNA Spliceosome, Epigenetic
GO Term: Telomere-Telomerase Complex Assembly -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, RNA Spliceosome
GO Term: Regulation Of Meiosis I Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Meiosis I Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, DNA Repair
GO Term: Tracheoesophageal Septum Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Regulation Of Morphogenesis Of An Epithelium -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Lipid Metabolism
GO Term: Positive Regulation Of Morphogenesis Of An Epithelium -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Immune Response
GO Term: Regulation Of Gastric Motility -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Aggrephagy -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Aggrephagy -> Biodomain: Autophagy, Proteostasis, Oxidative Stress, Endolysosome, Tau Homeostasis
GO Term: Positive Regulation Of Protein Localization To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: Prostaglandin Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Vasculature
GO Term: Protein Localization To Cleavage Furrow -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Endodeoxyribonuclease Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Ciliary Transition Zone Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Exoribonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Spine Apparatus Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Gtpase Complex -> Biodomain: Proteostasis, Synapse, Endolysosome, Cell Cycle, Autophagy
GO Term: Regulation Of Endosomal Vesicle Fusion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Intralumenal Vesicle Formation -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Peptidase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Endopeptidase Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Serine-Type Endopeptidase Complex -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Immune Response, Autophagy
GO Term: Ceramide Phosphoethanolamine Catabolic Process -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Ceramide Phosphoethanolamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Beta-N-Acetylhexosaminidase Complex -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Negative Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Autophagy
GO Term: Positive Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Protein Localization To Presynapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Retromer Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Response To Flavonoid -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Cellular Response To Flavonoid -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Activated Cd4-Positive, Alpha-Beta T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Activated Cd8-Positive, Alpha-Beta T Cell Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome
