Running with TEMP=0.5, sub_array_index=13
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 13: rows 12000 to 12999
GO Term: Striated Muscle Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Metal Binding and Homeostasis, Autophagy
GO Term: Cenp-A Containing Chromatin -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Cytoskeleton-Dependent Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Chemoattraction Of Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Chemorepulsion Of Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Protein Localization To Cenp-A Containing Chromatin -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair
GO Term: Positive Regulation Of Glutamate Neurotransmitter Secretion In Response To Membrane Depolarization -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Endolysosome
GO Term: Ubiquitin-Modified Histone Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Atg12 Conjugating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Nedd8 Conjugating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Epigenetic, DNA Repair
GO Term: Sumo Conjugating Enzyme Activity -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Ufm1 Conjugating Enzyme Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Ubiquitin-Like Protein Ligase Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Nedd8 Ligase Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Protein Modifications, Epigenetic, Cell Cycle
GO Term: Sumo Ligase Activity -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Ufm1 Ligase Activity -> Biodomain: Proteostasis, Ubiquitin-like Protein Modifier Pathway, Protein Modification, Cellular Regulation, Protein Degradation
GO Term: Mitochondrial Ribosome Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Spontaneous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Evoked Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Mitotic Spindle Astral Microtubule -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Importin-Alpha Family Protein Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Seminal Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Tau Homeostasis
GO Term: Diphthine Methylesterase Activity -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Tricellular Tight Junction -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Synapse
GO Term: Lipoamidase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Detoxification Of Hydrogen Peroxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Cellular Detoxification Of Hydrogen Peroxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Pituitary Gonadotropin Complex -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Autophagy, Epigenetic
GO Term: Protein-Glutaryllysine Deglutarylase Activity -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Protein Deglutarylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Gator2 Complex -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Canonical Inflammasome Complex -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Trna-5-Taurinomethyluridine 2-Sulfurtransferase -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Reticulophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: L-Threonylcarbamoyladenylate Synthase -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: N(6)-L-Threonylcarbamoyladenine Synthase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Anterior Neural Tube Closure -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Vasculature, Immune Response
GO Term: Folic Acid Receptor Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle
GO Term: Glycophagy -> Biodomain: Autophagy, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Lipophagy -> Biodomain: Autophagy, Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Methylglyoxal Catabolic Process To Lactate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Gdp-Mannose Biosynthetic Process From Mannose -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Immune Response
GO Term: Gdp-D-Mannose Biosynthetic Process From Fructose-6-Phosphate -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: C-Rich Strand Telomeric Dna Binding -> Biodomain: DNA Repair, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Ribonucleoside-Diphosphate Reductase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Protein-Lysine-Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Type 2 Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Engulfment Of Target By Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Leukotriene Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Late Endosomal Microautophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Protein Lipidation Involved In Autophagosome Assembly -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Protein Targeting To Lysosome Involved In Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Chaperone-Mediated Autophagy Translocation Complex -> Biodomain: Autophagy, Endolysosome, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Motor Learning -> Biodomain: Synapse, Myelination, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Motor Behavior -> Biodomain: Motor Behavior, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Forked Dna-Dependent Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Acid Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Neutral Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Telomeric Repeat-Containing Rna Binding -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Cell Cycle, Proteostasis
GO Term: Substrate Localization To Autophagosome -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Circulating Fibrinogen Levels -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of Circulating Fibrinogen Levels -> Biodomain: Immune Response, Vasculature, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Leukocyte Adhesion To Vascular Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Oxidative Stress
GO Term: Antifungal Innate Immune Response -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Camkk-Ampk Signaling Cascade -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Multivesicular Body-Lysosome Fusion -> Biodomain: Endolysosome, Autophagy, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Late Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Structural Stabilization
GO Term: Negative Regulation Of Lung Blood Pressure -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Synapse, Lipid Metabolism
GO Term: Magnesium:Sodium Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Structural Stabilization
GO Term: Ribosylnicotinate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Translation Elongation Factor Binding -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism, Epigenetic
GO Term: Response To Caloric Restriction -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Xenobiotic Transport Across Blood-Nerve Barrier -> Biodomain: Vasculature, Endolysosome, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Enosc Complex -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Cohesin Loader Activity -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair, Epigenetic
GO Term: Tapasin-Erp57 Complex -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Endolysosome, Autophagy
GO Term: Dense Core Granule Priming -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Secretory Granule Maturation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Chromatin Lock Complex -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Golgi Lumen Acidification -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Ph-Gated Chloride Channel Activity -> Biodomain: Synapse, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Gtp 3',8'-Cyclase Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Cyclic Pyranopterin Monophosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nad+ Nucleosidase Activity, Cyclic Adp-Ribose Generating -> Biodomain: Oxidative Stress, Immune Response, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Met1-Linked Polyubiquitin Deubiquitinase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Oxidative Stress
GO Term: Endoplasmic Reticulum-Plasma Membrane Tethering -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Telomeric Dna-Containing Double Minutes Formation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Telomeric D-Loop Disassembly -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Telomeric D-Loop Binding -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Cytosolic Ciliogenesis -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Podosome Ring -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Sperm Head -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis
GO Term: Concave Side Of Sperm Head -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Apical Ectoplasmic Specialization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Apoptosis
GO Term: Basal Ectoplasmic Specialization -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Protein Localization To Tricellular Tight Junction -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Synapse
GO Term: Neuropeptide Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Neuron Projection Branch Point -> Biodomain: Structural Stabilization, Synapse, Myelination, Lipid Metabolism, Proteostasis
GO Term: Dendritic Spine Cytoplasm -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Cholecystokinin -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Synapse, Endolysosome
GO Term: Telomeric G-Quadruplex Dna Binding -> Biodomain: DNA Repair, Telomeric Maintenance, Epigenetic, Structural Stabilization, Cell Cycle
GO Term: Growth Cone Leading Edge -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Leading Edge Of Lamellipodium -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Proteostasis
GO Term: Retrograde Transporter Complex, Golgi To Er -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Neuroblast Migration -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Endoplasmic Reticulum Stress-Induced Pre-Emptive Quality Control -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Dna Clamp Unloader Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Microtubule Plus End Polymerase -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Proteostasis, Synapse
GO Term: Polarized Secretion Of Basement Membrane Proteins In Epithelium -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Epigenetic
GO Term: Positive Regulation Of Hepatic Stellate Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Hepatic Stellate Cell Contraction -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Anterograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Mini Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Mini Excitatory Postsynaptic Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Astrocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Vasculature, Epigenetic
GO Term: Calcium Ion Sensor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: All-Trans Retinol 3,4-Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: All-Trans Retinal 3,4-Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome
GO Term: All-Trans Retinoic Acid 3,4-Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: 11-Cis-Retinal 3,4-Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Phagophore -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Autophagosome-Lysosome Fusion -> Biodomain: Autophagy, Endolysosome, Proteostasis, Cellular Quality Control, Lipid Metabolism
GO Term: Autophagosome-Endosome Fusion -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Positive Regulation Of Growth Plate Cartilage Chondrocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Protein Propionyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Peptidyl-Lysine Propionylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Glutathione Specific Gamma-Glutamylcyclotransferase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Gamma-Glutamylaminecyclotransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Erythrocyte Enucleation -> Biodomain: Structural Stabilization, Apoptosis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Protein Localization To Somatodendritic Compartment -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: C-Di-Gmp Signaling -> Biodomain: Signal Transduction, Cell Adhesion & Communication, Microbial Pathogenesis, Nucleotide Metabolism & Signaling, Gene Expression Regulation
GO Term: Negative Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Establishment Of Protein Localization To Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Vasculature, Immune Response
GO Term: Midbody Abscission -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Mrna (Adenine-N1-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Penetration Of Cumulus Oophorus -> Biodomain: Endolysosome, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Establishment Of Left/Right Asymmetry -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Perichondral Bone Morphogenesis -> Biodomain: Structural Stabilization, Morphogenesis, Skeletal System, Skeletal Development, Tissue Development
GO Term: Articular Cartilage Development -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Regulatory Rna Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Meiosis I Cell Cycle Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Cardiac Endothelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Oxidative Stress
GO Term: Secondary Palate Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Regulation Of Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Negative Regulation Of Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Scf-Dependent Proteasomal Ubiquitin-Dependent Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, APP Metabolism
GO Term: Positive Regulation Of Scf-Dependent Proteasomal Ubiquitin-Dependent Catabolic Process -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Regulation Of Stress Granule Assembly -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, RNA Spliceosome, Autophagy
GO Term: Positive Regulation Of Stress Granule Assembly -> Biodomain: Oxidative Stress, Proteostasis, RNA Spliceosome, Autophagy, Immune Response
GO Term: Negative Regulation Of Stress Granule Assembly -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome, Apoptosis
GO Term: Positive Regulation Of Mitotic Sister Chromatid Segregation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Autophagy
GO Term: D-Loop Dna Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Epigenetic
GO Term: Negative Regulation Of Cardiac Epithelial To Mesenchymal Transition -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Cell Cycle
GO Term: Gpi-Mannose Ethanolamine Phosphate Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Fluoride Channel Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Tap Complex Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Oligosaccharyltransferase Complex Binding -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Immune Response
GO Term: Bbsome Binding -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Box C/D Methylation Guide Snornp Complex Binding -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Garp Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Histone H3K9Me2/3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Histone Mrna Stem-Loop Binding Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome, DNA Repair
GO Term: Acyl-Coa (8-3)-Desaturase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Tsc1-Tsc2 Complex Binding -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle
GO Term: Inhibitory Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Activating Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Hla-E Specific Inhibitory Mhc Class Ib Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Stomach Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Autophagy, Oxidative Stress, Proteostasis, Immune Response
GO Term: Negative Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Programmed Necrotic Cell Death -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Peptidyl-Aspartic Acid 3-Dioxygenase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Epigenetic
GO Term: Pumilio-Response Element Binding -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Rna 2'-O-Methyltransferase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism
GO Term: Zinc Ion Import Into Organelle -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty Acid Primary Amide Biosynthetic Process -> Biodomain: Lipid Metabolism, Synapse, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: 4-Hydroxybutyrate Receptor Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Catalase Complex -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Mrna (Cytidine-5-)-Methyltransferase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: C5-Methylcytidine-Containing Rna Reader Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Autophagy
GO Term: N6-Methyl-Amp Deaminase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Mitochondrial Atp-Gated Potassium Channel Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Mitochondrial Atp-Gated Potassium Channel Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Chloride:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy, Immune Response
GO Term: Complement Component C1Q Complex -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lutein Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Endolysosome
