Running with TEMP=0.1, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Pigment Granule Localization -> Biodomain: Structural Stabilization, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Pigment Granule Aggregation In Cell Center -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Lateral Element Assembly -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Mitochondrial Metabolism
GO Term: Hsp90 Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: G-Quadruplex Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Timing Of Anagen -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Timing Of Anagen -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Vasculature
GO Term: Negative Regulation Of Timing Of Anagen -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Cardioblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Autophagy
GO Term: Regulation Of Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
GO Term: Negative Regulation Of Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Regulation Of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Lipid Metabolism, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: Negative Regulation Of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Membrane Depolarization -> Biodomain: Synapse, Vasculature, Immune Response, Myelination, Apoptosis
GO Term: Regulation Of Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: S-(Hydroxymethyl)Glutathione Dehydrogenase [Nad(P)+] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Pigment Granule Transport -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Double-Stranded Dna 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Induction Of Synaptic Plasticity By Chemical Substance -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Granulocyte Colony-Stimulating Factor Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Proteostasis
GO Term: Regulation Of Fibrinolysis -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Immune Response, Apoptosis
GO Term: Negative Regulation Of Fibrinolysis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Fibrinolysis -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Peroxiredoxin Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Cholesterol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Sulfation -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress, Immune Response
GO Term: Regulation Of Calcium Ion Transport -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Calcium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Endolysosome, Vasculature, Mitochondrial Metabolism
GO Term: Positive Regulation Of Calcium Ion Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Vasculature
GO Term: Regulation Of Sensory Perception Of Pain -> Biodomain: Synapse, Immune Response, Oxidative Stress, Epigenetic, Lipid Metabolism
GO Term: Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Glutamate Reuptake -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Gamma-Aminobutyric Acid Reuptake -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: L-Glutamate Import -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Gamma-Aminobutyric Acid Import -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Glutamate Uptake Involved In Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Glutamate Uptake Involved In Transmission Of Nerve Impulse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Amine Transport -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Endolysosome
GO Term: Negative Regulation Of Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Amino Acid Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Methotrexate Transport -> Biodomain: Endolysosome, Immune Response, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Dynein Light Intermediate Chain Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Cell Cycle
GO Term: Regulation Of Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Negative Regulation Of Nervous System Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Nervous System Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Synapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Regulation Of Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Positive Regulation Of Transmission Of Nerve Impulse -> Biodomain: Synapse, Myelination, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Lysophospholipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Immune Response, Structural Stabilization
GO Term: Lysophospholipid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: (R)-2-Hydroxyglutarate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic
GO Term: Squalene Synthase [Nad(P)H] Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: 2-Oxo-4-Hydroxy-4-Carboxy-5-Ureidoimidazoline Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Protein Carboxyl O-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Symbiont-Mediated Suppression Of Host Innate Immune Response -> Biodomain: Immune Response, Host-Pathogen Interaction, Innate Immunity, Microbial Pathogenesis, Immune Evasion
GO Term: Suppression Of Symbiont Entry Into Host -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Trna Dimethylallyltransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Diamine Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Histamine Oxidase Activity -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Phosphatidylinositol-3,5-Bisphosphate 3-Phosphatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Udp-N-Acetylgalactosamine Diphosphorylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Lysophosphatidic Acid Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: All-Trans-Retinol Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Monoacylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Cyclic Purine Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: L-Leucine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: L-Valine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: L-Isoleucine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Guanine Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Autophagy
GO Term: Inositol-1,4,5-Trisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Carboxylic Ester Hydrolase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Trna-Specific Adenosine-34 Deaminase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, RNA Spliceosome, Structural Stabilization
GO Term: Class Ii Dna-(Apurinic Or Apyrimidinic Site) Endonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Epigenetic
GO Term: Fatty Acid In-Chain Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Inositol Hexakisphosphate 1-Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Epigenetic, DNA Repair
GO Term: Inositol-1,3,4-Trisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Synapse, Autophagy, Cell Cycle, Immune Response
GO Term: Inositol-1,3,4-Trisphosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Phosphocholine Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphoethanolamine Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Trna (Cytidine-3-)-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: (R)-Limonene 6-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Phosphatidylinositol Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Inositol Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Cell Cycle, Endolysosome
GO Term: Gdp-Mannose Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Chondroitin Hydrolase Activity -> Biodomain: Structural Stabilization, Endolysosome, Immune Response, Vasculature, Autophagy
GO Term: Mannosyl-Oligosaccharide 1,6-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: 1-Phosphatidylinositol-5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Medium-Chain Fatty Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Medium-Chain Fatty Acyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Long-Chain Fatty Acyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Very Long-Chain Fatty Acyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Inositol Hexakisphosphate 2-Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Inositol Pentakisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Inositol-3,4-Bisphosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Proteostasis, Endolysosome
GO Term: Inositol-1,3,4-Trisphosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress
GO Term: Inositol Monophosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Inositol Monophosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Immune Response
GO Term: Inositol Monophosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Inositol-3,4,6-Trisphosphate 1-Kinase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Inositol 5-Diphosphate Pentakisphosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Diphosphoinositol Tetrakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Inositol Diphosphate Tetrakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Metal Binding and Homeostasis, Endolysosome
GO Term: Inositol Diphosphate Pentakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Inositol-5-Diphosphate-1,2,3,4,6-Pentakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Inositol-3,5-Bisdiphosphate-2,3,4,6-Tetrakisphosphate 5-Diphosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Ferric-Chelate Reductase (Nadph) Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Nad(P)Hx Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Phosphatidylinositol Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Arachidonate Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Alpha-Tocopherol Omega-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Fmn Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Fmn Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: All-Trans-Retinyl-Palmitate Hydrolase, 11-Cis Retinol Forming Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Epigenetic, Cell Cycle, Endolysosome
GO Term: All-Trans-Retinyl-Ester Hydrolase, 11-Cis Retinol Forming Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Synapse, Immune Response
GO Term: Spermine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Cell Cycle
GO Term: N(1)-Acetylpolyamine Oxidase (3-Acetamidopropanal-Forming) Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Trna (Guanosine(9)-N1)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Structural Stabilization, RNA Spliceosome
GO Term: Trna (Guanine(37)-N1)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: 18S Rrna (Adenine(1779)-N(6)/Adenine(1780)-N(6))-Dimethyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Dol-P-Man:Man(7)Glcnac(2)-Pp-Dol Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization, Immune Response
GO Term: Dol-P-Man:Man(8)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: All-Trans-Nonaprenyl-Diphosphate Synthase (Geranyl-Diphosphate Specific) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization
GO Term: Dol-P-Man:Man(5)Glcnac(2)-Pp-Dol Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Endolysosome
GO Term: Dol-P-Man:Man(6)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Immune Response
GO Term: Muscle Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Striated Muscle Cell Development -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Cardiac Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Ventricular Cardiac Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Cardiac Cell Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, RNA Spliceosome
GO Term: Cardiac Muscle Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Vasculature, Apoptosis, Cell Cycle
GO Term: Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Atrial Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Apoptosis, Mitochondrial Metabolism
GO Term: Ventricular Cardiac Muscle Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Cardiac Muscle Cell Development -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Atrial Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization, Vasculature
GO Term: Ventricular Cardiac Muscle Cell Development -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Cardiac Muscle Tissue Growth -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cardiac Muscle Fiber Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Cardiac Muscle Tissue Growth -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Vasculature
GO Term: Regulation Of Cardiac Muscle Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Cardiac Muscle Tissue Development -> Biodomain: Mitochondrial Metabolism, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Cardiac Muscle Tissue Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cortical Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Nuclear Dna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, RNA Spliceosome
GO Term: Recycling Endosome -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Synapse, Vasculature
GO Term: Recycling Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Anastral Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: D-Glucose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Asymmetric Neuroblast Division -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Synapse
GO Term: Phosphate Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Chloride Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Vasculature, Immune Response
GO Term: Copper Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Calcium Ion Homeostasis -> Biodomain: Mitochondrial Metabolism, Synapse, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Potassium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization
GO Term: Gap Junction Hemi-Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Cell Cycle
GO Term: Sodium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Synapse, Proteostasis
GO Term: Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Monoatomic Anion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Intracellular Chemical Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Transmembrane Transport -> Biodomain: Endolysosome, Synapse, Vasculature, Lipid Metabolism, Immune Response
