Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Somatic Recombination Of Immunoglobulin Genes Involved In Immune Response -> Biodomain: Immune Response, Unknown, Unknown, Unknown, Unknown
GO Term: Somatic Diversification Of Immunoglobulins Involved In Immune Response -> Biodomain: Immune Response, Unknown, DNA Repair, Epigenetic, Cell Cycle
GO Term: Behavioral Defense Response -> Biodomain: Immune Response, Synapse, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Defense Response To Nematode -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Activation Of Innate Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Innate Immune Response Activating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Stimulatory Killer Cell Immunoglobulin-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Synapse
GO Term: Stimulatory C-Type Lectin Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Antimicrobial Peptide Production -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Innate Immune Response In Mucosa -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Defense Response To Virus By Host -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Leukocyte Chemotaxis Involved In Inflammatory Response -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Response To Molecule Of Bacterial Origin -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Molecule Of Fungal Origin -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Endolysosome
GO Term: Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Unknown
GO Term: Wound Healing Involved In Inflammatory Response -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Connective Tissue Replacement Involved In Inflammatory Response Wound Healing -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Unknown
GO Term: Adaptive Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Organ Or Tissue Specific Immune Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Synapse, Autophagy
GO Term: Immune Effector Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Activation Of Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Lymphocyte Homeostasis -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Myeloid Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Endothelial Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Astrocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Follicular Dendritic Cell Activation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Follicular Dendritic Cell Differentiation -> Biodomain: Immune Response, Synapse, Structural Stabilization, Vasculature, Endolysosome
GO Term: Leukocyte Activation Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Plasmacytoid Dendritic Cell Activation -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Plasmacytoid Dendritic Cell Differentiation -> Biodomain: Immune Response, Autophagy, Endolysosome, Apoptosis, Proteostasis
GO Term: Myeloid Leukocyte Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Basophil Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Oxidative Stress
GO Term: Myeloid Dendritic Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Monocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Autophagy
GO Term: Macrophage Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Microglial Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Neutrophil Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Lymphocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Proteostasis
GO Term: T Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Epigenetic, Apoptosis, Endolysosome, Autophagy
GO Term: T-Helper Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: T-Helper 1 Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Synapse, Endolysosome, Cell Cycle
GO Term: Cd8-Positive, Alpha-Beta Intraepithelial T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Vasculature
GO Term: Cd8-Positive, Alpha-Beta T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Cd8-Positive, Gamma-Delta Intraepithelial T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: T Cell Proliferation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Proteostasis
GO Term: B Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Mature B Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Germinal Center B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Marginal Zone B Cell Differentiation -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Endolysosome, Apoptosis
GO Term: Follicular B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Plasma Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Proteostasis, Apoptosis, Autophagy
GO Term: Myeloid Progenitor Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Memory B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: B Cell Proliferation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Natural Killer Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: B Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Endolysosome, Epigenetic
GO Term: Immature B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, DNA Repair, Epigenetic
GO Term: Pro-B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Pre-B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Pre-B Cell Allelic Exclusion -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Transitional One Stage B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Transitional Two Stage B Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Proteostasis
GO Term: Mature B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: B-1 B Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Unknown
GO Term: B-1A B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: B Cell Affinity Maturation -> Biodomain: Immune Response, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: B Cell Negative Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Unknown
GO Term: Plasma Kallikrein-Kinin Cascade -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Detection Of Tumor Cell -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Defense Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: B Cell Homeostatic Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Synapse, Apoptosis, Cell Cycle
GO Term: Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Lineage Commitment -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, DNA Repair
GO Term: Nk T Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Leukocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Immune System Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Immune Response In Brain Or Nervous System -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Hepatic Immune Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Mucosal Immune Response -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Epigenetic
GO Term: Immune Response In Gut-Associated Lymphoid Tissue -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Immune Response In Nasopharyngeal-Associated Lymphoid Tissue -> Biodomain: Immune Response, Endolysosome, Vasculature, Autophagy, Apoptosis
GO Term: Mhc Class Ib Protein Complex Assembly -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Mhc Class Ii Protein Complex Assembly -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Unknown
GO Term: Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Autophagy, Apoptosis
GO Term: Myeloid Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Oxidative Stress
GO Term: Antigen Transcytosis By M Cells In Mucosal-Associated Lymphoid Tissue -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Immunoglobulin Transcytosis In Epithelial Cells -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Structural Stabilization
GO Term: Immunoglobulin Transcytosis In Epithelial Cells Mediated By Polymeric Immunoglobulin Receptor -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Synapse
GO Term: Igg Immunoglobulin Transcytosis In Epithelial Cells Mediated By Fcrn Immunoglobulin Receptor -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Unknown
GO Term: Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: T Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Autophagy
GO Term: Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Immune Response-Activating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Complement Receptor Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Granuloma Formation -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Immune Complex Clearance -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Immune Complex Clearance By Erythrocytes -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Cell Cycle
GO Term: Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Inflammation, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Leukocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Neutrophil Mediated Immunity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Eosinophil Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Mast Cell Mediated Immunity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature
GO Term: Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: B Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Peripheral B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Vasculature, Proteostasis, Endolysosome
GO Term: Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Unknown, Vasculature, Proteostasis, Endolysosome
GO Term: T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Epigenetic
GO Term: T Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Peripheral T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, DNA Repair, Proteostasis, Epigenetic, Apoptosis
GO Term: Tolerance Induction Dependent Upon Immune Response -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Germinal Center Formation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Myeloid Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Plasmacytoid Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I, Tap-Dependent -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I, Tap-Independent -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Protein Antigen Via Mhc Class Ib, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I Via Er Pathway, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I Via Er Pathway, Tap-Independent -> Biodomain: Immune Response, Autophagy, Proteostasis, Endolysosome, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ib Via Er Pathway, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Peptide Antigen Assembly With Mhc Class I Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Peptide Antigen Assembly With Mhc Class Ii Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Peptide Or Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Central Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Epigenetic
GO Term: Central Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Lymphocyte Chemotaxis Across High Endothelial Venule -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Unknown
GO Term: Natural Killer Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Immune System Development -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Leukocyte Migration Involved In Immune Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Leukocyte Migration Involved In Inflammatory Response -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Hypersensitivity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Endolysosome
GO Term: Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Vascular Permeability Involved In Acute Inflammatory Response -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Production Of Molecular Mediator Involved In Inflammatory Response -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Innate Immunity, Cell Signaling
GO Term: Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Nitric Oxide Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Vasculature, Autophagy
GO Term: Arachidonate Metabolite Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Prostaglandin Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Apoptosis
GO Term: Leukotriene Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Activation Of Plasma Proteins Involved In Acute Inflammatory Response -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism, Vasculature
GO Term: Factor Xii Activation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Activation Of Blood Coagulation Via Clotting Cascade -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature
GO Term: Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Mast Cell Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Serotonin Secretion By Mast Cell -> Biodomain: Immune Response, Endolysosome, Vasculature, Synapse, Oxidative Stress
GO Term: Histamine Secretion By Mast Cell -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Serotonin Secretion By Platelet -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Oxidative Stress
GO Term: Somatic Diversification Of Immune Receptors Via Somatic Mutation -> Biodomain: Immune Response, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Pro-T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: Thrombocyte Differentiation -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Basophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Platelet Degranulation -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Regulation Of Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Or Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Macrophage Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Macrophage Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of B Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of T Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Germinal Center Formation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Vasculature
GO Term: Negative Regulation Of Germinal Center Formation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Germinal Center Formation -> Biodomain: Immune Response, Signaling, Organ Development, Cell Cycle, Apoptosis
GO Term: Regulation Of Immunoglobulin Production -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Immunoglobulin Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Immunoglobulin Production -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Regulation Of Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Tolerance Induction Dependent Upon Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Proteostasis
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/go_biodomain_results_part_1.csv
