Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Steroid 11-Beta-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Steroid 17-Alpha-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Steroid 21-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Tryptophan 5-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Tyrosine 3-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Inositol-3-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Nicotinate-Nucleotide Diphosphorylase (Carboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nicotinate-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nicotinate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Epigenetic
GO Term: Nitric-Oxide Synthase Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Mitochondrial Metabolism
GO Term: Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Immune Response, Endolysosome, Metal Binding and Homeostasis
GO Term: Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Rna Endonuclease Activity -> Biodomain: RNA Spliceosome, Immune Response, Proteostasis, Oxidative Stress, Unknown
GO Term: Ribonuclease A Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Rna-Dna Hybrid Ribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Ribonuclease Iii Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Immune Response, Autophagy
GO Term: Ribonuclease P Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Autophagy
GO Term: Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, RNA Spliceosome, Apoptosis, Mitochondrial Metabolism
GO Term: Phosphodiesterase I Activity -> Biodomain: DNA Repair, Cell Cycle, RNA Spliceosome, Metal Binding and Homeostasis, Apoptosis
GO Term: Dna Exonuclease Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Deoxyribonuclease I Activity -> Biodomain: DNA Repair, Apoptosis, Immune Response, Autophagy, Proteostasis
GO Term: Deoxyribonuclease Ii Activity -> Biodomain: Endolysosome, Apoptosis, Autophagy, Proteostasis, DNA Repair
GO Term: Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Unknown
GO Term: 5'-3' Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, DNA Repair
GO Term: Poly(A)-Specific Ribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Dna Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Immune Response, Epigenetic
GO Term: Rna Nuclease Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Trna-Specific Ribonuclease Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Nucleoside Diphosphate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Dinucleotide Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Hydrolase Activity, Hydrolyzing O-Glycosyl Compounds -> Biodomain: Carbohydrate Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Alpha,Alpha-Trehalase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Alpha-Amylase Activity -> Biodomain: Endolysosome, Autophagy, Immune Response, Oxidative Stress, Unknown
GO Term: Alpha-Galactosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Unknown
GO Term: Alpha-1,4-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Unknown
GO Term: Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Alpha-L-Fucosidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Immune Response, Autophagy
GO Term: Alpha-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Glycosylation, APP Metabolism, Lipid Metabolism, Proteostasis
GO Term: Beta-N-Acetylhexosaminidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Beta-Galactosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Beta-Glucuronidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Immune Response, Proteostasis
GO Term: Beta-Mannosidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Unknown
GO Term: Chitinase Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Glycoprotein Endo-Alpha-1,2-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Mannosyl-Oligosaccharide 1,2-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Unknown
GO Term: Mannosyl-Oligosaccharide 1,3-1,6-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Glc3Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Immune Response
GO Term: Oligo-1,6-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Sucrose Alpha-Glucosidase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Unknown
GO Term: Oligosaccharyl Transferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: N-Acetylglucosaminyldiphosphodolichol N-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Chitobiosyldiphosphodolichol Beta-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Dolichyl-Diphosphooligosaccharide-Protein Glycotransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, APP Metabolism, Autophagy
GO Term: Dolichyl-Phosphate Beta-Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Unknown
GO Term: Dolichyl-Phosphate Beta-D-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Unknown
GO Term: Ornithine Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Ornithine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Ornithine Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Orotate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Unknown
GO Term: Orotidine-5'-Phosphate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Unknown, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Oxoglutarate Dehydrogenase (Succinyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Pantothenate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Pantetheine-Phosphate Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein-N-Terminal Amino-Acid Acetyltransferase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Peptidylamidoglycolate Lyase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Unknown
GO Term: Peroxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Glutathione Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phenylethanolamine N-Methyltransferase Activity -> Biodomain: Epigenetic, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Phosphatidate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Phosphatidylcholine-Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Phosphatidylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Phosphatidylserine Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Phosphoacetylglucosamine Mutase Activity -> Biodomain: Glycosylation, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Phosphoenolpyruvate Carboxykinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Phosphoenolpyruvate Carboxykinase (Gtp) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Phosphoglucomutase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Phosphomannomutase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Phosphogluconate Dehydrogenase (Decarboxylating) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, DNA Repair, Autophagy
GO Term: Phosphoglycerate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Phosphoglycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Phospholipase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Glycosylphosphatidylinositol Phospholipase D Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Phosphatidylcholine Lysophospholipase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Phospholipase C Activity -> Biodomain: Signal Transduction, Intracellular Signaling, Lipid Metabolism, Cellular Response to Stimuli, Calcium Signaling
GO Term: Phospholipase D Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization
GO Term: Phosphomevalonate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Cell Cycle, Autophagy
GO Term: Phosphopantothenate--Cysteine Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Phosphopantothenoylcysteine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Phosphopyruvate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Phosphoribosylamine-Glycine Ligase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism, Unknown
GO Term: Phosphoribosylaminoimidazole Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Epigenetic
GO Term: Phosphoribosylaminoimidazolesuccinocarboxamide Synthase Activity -> Biodomain: Mitochondrial Metabolism, Unknown, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphoribosylformylglycinamidine Cyclo-Ligase Activity -> Biodomain: DNA Repair, Epigenetic, Mitochondrial Metabolism, RNA Spliceosome, Proteostasis
GO Term: Phosphoribosylformylglycinamidine Synthase Activity -> Biodomain: Unknown, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Autophagy
GO Term: Phosphoribosylaminoimidazolecarboxamide Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Unknown, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Phosphoribosylglycinamide Formyltransferase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Unknown
GO Term: 1,4-Alpha-Oligoglucan Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Oxidative Stress, Unknown
GO Term: O-Phospho-L-Serine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: Poly(Adp-Ribose) Glycohydrolase Activity -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Polynucleotide 5'-Phosphatase Activity -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Metal Binding and Homeostasis, Unknown
GO Term: Polypeptide N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, APP Metabolism, Synapse
GO Term: Polyribonucleotide Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Unknown
GO Term: Porphobilinogen Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Procollagen-Proline 4-Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: Proline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Propionyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Prenyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Endolysosome
GO Term: Protein Farnesyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, APP Metabolism, Autophagy
GO Term: Protein Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Caax-Protein Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Rab Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Synapse, Metal Binding and Homeostasis
GO Term: Prostaglandin-Endoperoxide Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostaglandin-D Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Proteostasis
GO Term: Protein-Arginine Deiminase Activity -> Biodomain: Proteostasis, Immune Response, Epigenetic, Autophagy, Oxidative Stress
GO Term: Protein C-Terminal S-Isoprenylcysteine Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, Structural Stabilization, Unknown
GO Term: Protein Kinase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Protein Histidine Kinase Activity -> Biodomain: Proteostasis, Immune Response, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Autophagy
GO Term: Transmembrane Receptor Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: 3-Phosphoinositide-Dependent Protein Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Dna-Dependent Protein Kinase Activity -> Biodomain: DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Amp-Activated Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Calcium/Calmodulin-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Elongation Factor-2 Kinase Activity -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Myosin Light Chain Kinase Activity -> Biodomain: Proteostasis, Vasculature, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Phosphorylase Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Camp-Dependent Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Synapse, Proteostasis, Oxidative Stress
GO Term: Cgmp-Dependent Protein Kinase Activity -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Apoptosis, Synapse
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Apoptosis
GO Term: Eukaryotic Translation Initiation Factor 2Alpha Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Immune Response
GO Term: Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Calcium,Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Proteostasis,Synapse,Lipid Metabolism,Epigenetic,Metal Binding and Homeostasis
GO Term: Diacylglycerol-Dependent, Calcium-Independent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: G Protein-Coupled Receptor Kinase Activity -> Biodomain: Signal Transduction, Kinase Activity, Receptor Regulation, Cell Communication, Post-Translational Modification
GO Term: Jun Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Jun Kinase Kinase Kinase Activity -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Cell Cycle, Epigenetic
GO Term: Map Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Cell Cycle, Proteostasis
GO Term: Map Kinase Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle, Immune Response
GO Term: Map Kinase Kinase Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Cell Cycle, Immune Response, Proteostasis
GO Term: Ribosomal Protein S6 Kinase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Protein Serine/Threonine/Tyrosine Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Protein Tyrosine Kinase Activity -> Biodomain: Proteostasis, Immune Response, Vasculature, Cell Cycle, Synapse
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Synapse, Cell Cycle, Proteostasis, Apoptosis
GO Term: Non-Membrane Spanning Protein Tyrosine Kinase Activity -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Protein-Lysine 6-Oxidase Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Phosphoprotein Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Protein Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Immune Response, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Synapse
GO Term: Non-Membrane Spanning Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Oxygen-Dependent Protoporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Purine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Immune Response, DNA Repair, Oxidative Stress, Unknown
GO Term: Pyridoxamine Phosphate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyrroline-5-Carboxylate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pyruvate Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: [Pyruvate Dehydrogenase (Acetyl-Transferring)]-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Dihydrolipoyllysine-Residue Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Glycolysis, Energy Metabolism, Carbohydrate Metabolism, Metabolic Processes
GO Term: All-Trans-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Ribokinase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, DNA Repair, Cell Cycle
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Thioredoxin Disulfide As Acceptor -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Ribose Phosphate Diphosphokinase Activity -> Biodomain: Cell Cycle, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: D-Ribulose-Phosphate 3-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Cell Cycle, Unknown
GO Term: Ribose-5-Phosphate Isomerase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Saccharopine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Saccharopine Dehydrogenase (Nad+, L-Lysine-Forming) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Selenide, Water Dikinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Sepiapterin Reductase (Nadp+) Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Unknown
GO Term: Serine C-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Autophagy, Endolysosome
GO Term: L-Serine-Pyruvate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Spermidine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Sphingomyelin Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Stearoyl-Coa 9-Desaturase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Steroid Delta-Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Sterol Ester Esterase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Steryl-Sulfatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
