Running with TEMP=0.5, sub_array_index=1
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 1: rows 0 to 999
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, DNA Repair, Apoptosis
GO Term: Cytoplasmic Translational Elongation -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Cytoplasmic Translational Initiation -> Biodomain: Protein Synthesis, Translation, Ribosome, Gene Expression, Proteostasis
GO Term: Cytoplasmic Translational Termination -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Translation Reinitiation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, Epigenetic
GO Term: Ribose Phosphate Diphosphokinase Complex -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis, DNA Repair
GO Term: Cap-Independent Translational Initiation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Cell Cycle, Immune Response
GO Term: Cap-Dependent Translational Initiation -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Ires-Dependent Translational Initiation Of Linear Mrna -> Biodomain: Proteostasis, Oxidative Stress, Cell Cycle, RNA Spliceosome, Epigenetic
GO Term: Maml1-Rbp-Jkappa- Icn1 Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Synapse
GO Term: Hepatocyte Cell Migration -> Biodomain: Cell Motility, Developmental Process, Tissue Development, Organ Development, Structural Organization
GO Term: Ser-Trna(Ala) Deacylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Autophagy
GO Term: Zona Pellucida Receptor Complex -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Immune Response, Endolysosome
GO Term: Somatic Recombination Of Immunoglobulin Genes Involved In Immune Response -> Biodomain: Immune Response, DNA Repair, Cell Cycle, Apoptosis, Epigenetic
GO Term: Somatic Diversification Of Immunoglobulins Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Epigenetic
GO Term: Behavioral Defense Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Defense Response To Nematode -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Activation Of Innate Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Innate Immune Response Activating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Inflammation, Cellular Stress Response, Signal Transduction, Apoptosis
GO Term: Stimulatory Killer Cell Immunoglobulin-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Endolysosome
GO Term: Stimulatory C-Type Lectin Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Inflammation, Cell Surface Receptor Signaling, Cytokine Signaling, Pathogen Recognition
GO Term: Positive Regulation Of Antimicrobial Peptide Production -> Biodomain: Immune Response, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Innate Immune Response In Mucosa -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Natural Killer Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Defense Response To Virus By Host -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Leukocyte Chemotaxis Involved In Inflammatory Response -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Response To Molecule Of Bacterial Origin -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Response To Molecule Of Fungal Origin -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Wound Healing Involved In Inflammatory Response -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Connective Tissue Replacement Involved In Inflammatory Response Wound Healing -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Adaptive Immune Response -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Organ Or Tissue Specific Immune Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Synapse, Autophagy
GO Term: Immune Effector Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Activation Of Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Lymphocyte Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Myeloid Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Synapse, Endolysosome, Cell Cycle, Autophagy
GO Term: Endothelial Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Astrocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Follicular Dendritic Cell Activation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Follicular Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Leukocyte Activation Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Plasmacytoid Dendritic Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Plasmacytoid Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Myeloid Leukocyte Activation -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Basophil Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Autophagy
GO Term: Myeloid Dendritic Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Monocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Macrophage Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Microglial Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Neutrophil Activation Involved In Immune Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Lymphocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: T Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: T-Helper Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Autophagy
GO Term: T-Helper 1 Cell Lineage Commitment -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Cd8-Positive, Alpha-Beta Intraepithelial T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Cd8-Positive, Alpha-Beta T Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Cd8-Positive, Gamma-Delta Intraepithelial T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: T Cell Proliferation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Endolysosome
GO Term: B Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Mature B Cell Differentiation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, DNA Repair
GO Term: Germinal Center B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Apoptosis, Epigenetic
GO Term: Marginal Zone B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Follicular B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Plasma Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Myeloid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, DNA Repair, Apoptosis
GO Term: Memory B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Lymphoid Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Epigenetic
GO Term: B Cell Proliferation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Natural Killer Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: B Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, DNA Repair
GO Term: Immature B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Pro-B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Pre-B Cell Differentiation -> Biodomain: Immune Response, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Pre-B Cell Allelic Exclusion -> Biodomain: Immune Response, Epigenetic, Cell Cycle, DNA Repair, Apoptosis
GO Term: Transitional One Stage B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Transitional Two Stage B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Mature B Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: B-1 B Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: B-1A B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: B Cell Affinity Maturation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: B Cell Negative Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Plasma Kallikrein-Kinin Cascade -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Detection Of Tumor Cell -> Biodomain: Immune Response, Signal Transduction, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Defense Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Oxidative Stress
GO Term: B Cell Homeostatic Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, Autophagy
GO Term: Cd4-Positive, Cd25-Positive, Alpha-Beta Regulatory T Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: Alpha-Beta T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Nk T Cell Lineage Commitment -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Leukocyte Activation Involved In Immune Response -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Immune System Process -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Immune Response In Brain Or Nervous System -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Hepatic Immune Response -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Mucosal Immune Response -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Immune Response In Gut-Associated Lymphoid Tissue -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Autophagy
GO Term: Immune Response In Nasopharyngeal-Associated Lymphoid Tissue -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Mhc Class Ib Protein Complex Assembly -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Mhc Class Ii Protein Complex Assembly -> Biodomain: Immune Response, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Myeloid Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: Antigen Transcytosis By M Cells In Mucosal-Associated Lymphoid Tissue -> Biodomain: Immune Response, Endolysosome, Vasculature, Synapse, Proteostasis
GO Term: Immunoglobulin Transcytosis In Epithelial Cells -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Immunoglobulin Transcytosis In Epithelial Cells Mediated By Polymeric Immunoglobulin Receptor -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Igg Immunoglobulin Transcytosis In Epithelial Cells Mediated By Fcrn Immunoglobulin Receptor -> Biodomain: Immune Response, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Immune Response To Tumor Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: T Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Immune Response-Activating Cell Surface Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Complement Receptor Mediated Signaling Pathway -> Biodomain: Immune Response, Inflammation, Signal Transduction, Phagocytosis, Cell Death
GO Term: Fc Receptor Mediated Stimulatory Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Granuloma Formation -> Biodomain: Immune Response, Inflammatory Response, Infection Response, Cell Death, Tissue Repair
GO Term: Immune Complex Clearance -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Immune Complex Clearance By Erythrocytes -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Immune Complex Clearance By Monocytes And Macrophages -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Acute Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Chronic Inflammatory Response To Antigenic Stimulus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Leukocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Neutrophil Mediated Immunity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Eosinophil Mediated Immunity -> Biodomain: Immune Response, Inflammation, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Mast Cell Mediated Immunity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Lymphocyte Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: B Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Peripheral B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: Humoral Immune Response Mediated By Circulating Immunoglobulin -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: T Cell Mediated Immunity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: T Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Endolysosome, Apoptosis
GO Term: Peripheral T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, DNA Repair
GO Term: Tolerance Induction Dependent Upon Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Epigenetic
GO Term: Germinal Center Formation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Myeloid Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Plasmacytoid Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class I, Tap-Independent -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Protein Antigen Via Mhc Class Ib, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I Via Er Pathway, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I Via Er Pathway, Tap-Independent -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ib Via Er Pathway, Tap-Dependent -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Peptide Antigen Assembly With Mhc Class I Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Peptide Antigen Assembly With Mhc Class Ii Protein Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Antigen Processing And Presentation Of Peptide Or Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Antigen Processing And Presentation Of Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Central Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Central Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Autophagy
GO Term: Tolerance Induction To Self Antigen -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Endolysosome
GO Term: T Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Lymphocyte Chemotaxis Across High Endothelial Venule -> Biodomain: Immune Response, Vasculature, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Natural Killer Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Immune System Development -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Oxidative Stress
GO Term: Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Endolysosome
GO Term: Leukocyte Migration Involved In Immune Response -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Leukocyte Migration Involved In Inflammatory Response -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Hypersensitivity -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Acute Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Vascular Permeability Involved In Acute Inflammatory Response -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Production Of Molecular Mediator Involved In Inflammatory Response -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Respiratory Burst Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Nitric Oxide Production Involved In Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Vasculature
GO Term: Arachidonate Metabolite Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Prostaglandin Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Apoptosis
GO Term: Leukotriene Production Involved In Inflammatory Response -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome
GO Term: Activation Of Plasma Proteins Involved In Acute Inflammatory Response -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Vasculature
GO Term: Factor Xii Activation -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Activation Of Blood Coagulation Via Clotting Cascade -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Chronic Inflammatory Response -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Monocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Mast Cell Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Oxidative Stress, Lipid Metabolism
GO Term: Serotonin Secretion By Mast Cell -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Histamine Secretion By Mast Cell -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Vasculature
GO Term: Serotonin Secretion By Platelet -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Somatic Diversification Of Immune Receptors Via Somatic Mutation -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Pro-T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Myeloid Leukocyte Differentiation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Thrombocyte Differentiation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Basophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Platelet Degranulation -> Biodomain: Proteostasis, Immune Response, Vasculature, Endolysosome, Apoptosis
GO Term: Regulation Of Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Or Polysaccharide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Antigen Processing, Immune Regulation, Regulatory Processes, Cellular Mechanisms
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Antigen Processing And Presentation Of Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dendritic Cell Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Macrophage Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Macrophage Antigen Processing And Presentation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
