Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Positive Regulation Of Ip-10 Production -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Endolysosome, Autophagy
GO Term: Positive Regulation Of Granzyme B Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Catenin-Tcf7L2 Complex -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Gamma-Catenin-Tcf7L2 Complex -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle, DNA Repair
GO Term: Dna/Rna Hybrid Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Smooth Muscle Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Negative Regulation Of Smooth Muscle Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Smooth Muscle Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Olfactory Bulb Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Immune Response
GO Term: Commissural Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Response To Indole-3-Methanol -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Cellular Response To Indole-3-Methanol -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Endocytic Vesicle Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Cardiac Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Protein Localization To Extracellular Region -> Biodomain: Immune Response, Vasculature, APP Metabolism, Myelination, Proteostasis
GO Term: Protein Transport Within Extracellular Region -> Biodomain: Proteostasis, Vasculature, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Immunoglobulin Heavy Chain V-D-J Recombination -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Membrane Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Basement Membrane Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Para-Aminobenzoyl-Glutamate Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, DNA Repair, Autophagy
GO Term: Icosanoid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Leukotriene Transport -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Endolysosome, Oxidative Stress
GO Term: Detoxification Of Arsenic-Containing Substance -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Lipopeptide Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Cellular Response To Diacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Cellular Response To Triacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Response To Nitric Oxide -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Cellular Response To Nitric Oxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Immune Response
GO Term: Igg Immunoglobulin Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Igd Immunoglobulin Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Ige Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Ige B Cell Receptor Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Iga Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Apoptosis
GO Term: Monomeric Iga Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Autophagy
GO Term: Dimeric Iga Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Secretory Iga Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Secretory Dimeric Iga Immunoglobulin Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Igm Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Structural Stabilization
GO Term: Igm B Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Pentameric Igm Immunoglobulin Complex -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Hexameric Igm Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Nuclear Membrane Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Nuclear Inner Membrane Organization -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Cellular Response To Bmp Stimulus -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Immune Response
GO Term: Response To Fibroblast Growth Factor -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Endoplasmic Reticulum Tubular Network -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum Tubular Network Organization -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Endoplasmic Reticulum Tubular Network Formation -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Endoplasmic Reticulum Tubular Network Maintenance -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Chemokine (C-C Motif) Ligand 5 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: K11-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: K6-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Lubac Complex -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Apoptosis, Autophagy
GO Term: Cellular Response To Prostaglandin D Stimulus -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Vasculature
GO Term: Podosome Assembly -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Vasculature, Endolysosome
GO Term: Regulation Of Podosome Assembly -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Podosome Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Proteostasis, Vasculature
GO Term: Potassium Ion Transmembrane Transport -> Biodomain: Synapse, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Protein Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, APP Metabolism
GO Term: Positive Regulation Of Fever Generation By Positive Regulation Of Prostaglandin Secretion -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Tail-Anchored Membrane Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Mmxd Complex -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Bat3 Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Dubm Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: N-Box Binding -> Biodomain: Synapse, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Fancm-Mhf Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Triglyceride-Rich Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Vasculature, Proteostasis
GO Term: Intermediate-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: Hmg Box Domain Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Cell Proliferation In Bone Marrow -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Actin Filament Debranching -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Neuropeptide Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Immune Response, Apoptosis
GO Term: Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Immune Response, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: Negative Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Response To Catecholamine -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Cellular Response To Catecholamine Stimulus -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Lipid Metabolism
GO Term: Response To Epinephrine -> Biodomain: Oxidative Stress, Vasculature, Mitochondrial Metabolism, Immune Response, Epigenetic
GO Term: Cellular Response To Epinephrine Stimulus -> Biodomain: Vasculature, Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Norepinephrine -> Biodomain: Synapse, Oxidative Stress, Vasculature, Proteostasis, Immune Response
GO Term: Cellular Response To Norepinephrine Stimulus -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Immune Response, Epigenetic
GO Term: Adrenergic Receptor Signaling Pathway -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Adenylate Cyclase-Inhibiting Adrenergic Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurobiology, Regulation of Signaling, Metabolic Processes, Cell Communication
GO Term: Negative Regulation Of Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Adenylate Cyclase-Inhibiting Adrenergic Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Phospholipase C-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: N-Terminal Protein N-Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis
GO Term: 1-(4-Iodo-2,5-Dimethoxyphenyl)Propan-2-Amine Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Epigenetic, Oxidative Stress
GO Term: Leukocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Macrophage Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: 14-3-3 Protein Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Bicarbonate Binding -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Odontoblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Protein Localization To Adherens Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Vasculature
GO Term: Dna Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Positive Regulation Of Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Epigenetic
GO Term: Determination Of Digestive Tract Left/Right Asymmetry -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Determination Of Intestine Left/Right Asymmetry -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Epigenetic
GO Term: Determination Of Stomach Left/Right Asymmetry -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, DNA Repair
GO Term: Determination Of Liver Left/Right Asymmetry -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Synchronous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Citrate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Prominosome -> Biodomain: Vasculature, Endolysosome, Proteostasis, Lipid Metabolism, Synapse
GO Term: Dipeptide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Urea Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Structural Stabilization
GO Term: G-Quadruplex Dna Formation -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Apoptosis, Metal Binding and Homeostasis
GO Term: Cleavage Body -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Endocannabinoid Signaling Pathway -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Immune Response, Proteostasis
GO Term: Alpha-Tubulin Acetylation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Replication Fork Reversal -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Arp2/3 Complex Binding -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Immune Response, Proteostasis
GO Term: Thiamine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Vitamin A Import Into Cell -> Biodomain: Lipid Metabolism, Endolysosome, Epigenetic, Cell Cycle, Immune Response
GO Term: Nitrogen Cycle Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Xpc Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Myc-Max Complex -> Biodomain: Epigenetic, DNA Repair, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cell Periphery -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Apoptosis, Synapse
GO Term: Protein Deubiquitination Involved In Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Fad Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Conversion Of Methionyl-Trna To N-Formyl-Methionyl-Trna -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Elastic Fiber -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Recycling Endosome To Golgi Transport -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Mitotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Establishment Or Maintenance Of Cell Polarity Regulating Cell Shape -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Multicellular Organismal Locomotion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Myelination, Lipid Metabolism
GO Term: Extracellular Exosome Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Cell Gliding -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Synapse, Proteostasis
GO Term: Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Ragulator Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Wd40-Repeat Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Renal System Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Kidney Rudiment Formation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Nephron Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Proteostasis
GO Term: Glomerular Epithelium Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Glomerular Endothelium Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Glomerulus Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Lipid Metabolism
GO Term: Proximal Tubule Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis, Autophagy
GO Term: Podocyte Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Glomerular Parietal Epithelial Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Distal Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nephron Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Renal Vesicle Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Renal Vesicle Induction -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Proteostasis
GO Term: Mesenchymal Stem Cell Maintenance Involved In Nephron Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Vasculature, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Epigenetic, Cell Cycle
GO Term: Collecting Duct Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Establishment Of Planar Polarity Involved In Nephron Morphogenesis -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Proximal/Distal Pattern Formation Involved In Nephron Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Proteostasis
GO Term: Comma-Shaped Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: S-Shaped Body Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Juxtaglomerular Apparatus Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Renal Inner Medulla Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Renal Outer Medulla Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Outer Medullary Collecting Duct Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Inner Medullary Collecting Duct Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Loop Of Henle Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Apoptosis
GO Term: Kidney Epithelium Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Metanephric Mesenchyme Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Autophagy
GO Term: Nephrogenic Mesenchyme Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Renal Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Nephron Tubule Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Nephron Tubule Formation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Nephron Tubule Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Specification Of Loop Of Henle Identity -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Immune Response
GO Term: Stem Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Stem Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Ureteric Bud Invasion -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Immune Response
GO Term: Regulation Of Branch Elongation Involved In Ureteric Bud Branching -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Glomerulus Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: Glomerular Capillary Formation -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Ureteric Peristalsis -> Biodomain: Structural Stabilization, Vasculature, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Ureteric Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Vasculature, Apoptosis
GO Term: Glomerular Mesangial Cell Proliferation -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Immune Response, Mitochondrial Metabolism
GO Term: Cell Proliferation Involved In Kidney Development -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Vasculature, Lipid Metabolism
GO Term: Podocyte Differentiation -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Glomerular Mesangial Cell Proliferation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Glomerular Mesangial Cell Proliferation -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Glomerular Mesangial Cell Proliferation -> Biodomain: Cell Cycle, Vasculature, Immune Response, Structural Stabilization, Epigenetic
GO Term: Metanephric Mesenchyme Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Nephrogenic Mesenchyme Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Autophagy
GO Term: Metanephric Mesenchymal Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Autophagy, Lipid Metabolism
GO Term: Condensed Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Mesenchymal Cell Proliferation Involved In Ureteric Bud Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Proteostasis
GO Term: Glomerular Parietal Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Renal Interstitial Fibroblast Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Epigenetic
GO Term: Mesangial Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Glomerular Mesangial Cell Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Epithelial Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Distal Tubule Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Epigenetic
