Running with TEMP=0.9, sub_array_index=15
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 15: rows 14000 to 14999
GO Term: Nephric Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Autophagosome Maturation -> Biodomain: Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Protein Localization To Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Perinucleolar Compartment -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Udp-Glucosylation -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Autophagy
GO Term: Cytosolic [4Fe-4S] Assembly Targeting Complex -> Biodomain: Metal Binding and Homeostasis, DNA Repair, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Mcm8-Mcm9 Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Protein O-Acetylglucosaminyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Carbohydrate Derivative Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Establishment Of Sertoli Cell Barrier -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Synapse, Apoptosis
GO Term: Protein O-Glcnacylation Via Threonine -> Biodomain: Proteostasis, Epigenetic, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Mdm2/Mdm4 Family Protein Binding -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, DNA Repair, Epigenetic
GO Term: Histone H3K18 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, DNA Repair, Autophagy
GO Term: Sensory Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Interneuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Spinal Cord Interneuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Dorsal Spinal Cord Interneuron Posterior Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Dorsal Spinal Cord Interneuron Anterior Axon Guidance -> Biodomain: Synapse, Tau Homeostasis, Structural Stabilization, APP Metabolism, Lipid Metabolism
GO Term: Photoreceptor Disc Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Didp Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Glial Cell Projection -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Cellular Response To Interleukin-17 -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Interleukin-17-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Autophagy, Oxidative Stress, Apoptosis
GO Term: Synaptic Vesicle Lumen Acidification -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Neuroblast Migration -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Raffinose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Glial Cytoplasmic Inclusion -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Synapse
GO Term: Hippocampal Interneuron Differentiation -> Biodomain: Epigenetic, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Hypoxia-Inducible Factor-1Alpha Signaling Pathway -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Vasculature, Apoptosis, Immune Response
GO Term: Lewy Body -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Classical Lewy Body -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Neurofibrillary Tangle -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Liver Regeneration -> Biodomain: Immune Response, Cell Cycle, Vasculature, Proteostasis, Apoptosis
GO Term: Tubular Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Microtubule Bundle -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Mitotic Spindle Pole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Dense Body -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Supramolecular Fiber Organization -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy, Apoptosis
GO Term: Apical Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Basal Dendrite -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Ca3 Pyramidal Cell Dendrite -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Sorting Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Spine Apparatus -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Dendritic Tree -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Astrocyte Projection -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Astrocyte End-Foot -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Metal Binding and Homeostasis, Immune Response
GO Term: Glial Limiting End-Foot -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Gait Complex -> Biodomain: Immune Response, Proteostasis, RNA Spliceosome, Oxidative Stress, Autophagy
GO Term: Mesaxon -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Lipid Metabolism
GO Term: Hippocampal Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Lewy Neurite -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Synapse
GO Term: Ubiquitin-Dependent Glycoprotein Erad Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Programmed Cell Death In Response To Reactive Oxygen Species -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Ribbon Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Mossy Fiber Rosette -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cyclin-Dependent Protein Kinase Activity -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Proteostasis
GO Term: Retinal Rod Cell Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Retinal Cone Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Synapse, Structural Stabilization
GO Term: Motor Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Spinal Cord Motor Neuron Migration -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Proteostasis, Endolysosome
GO Term: Lateral Motor Column Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Myelination
GO Term: Dendrite Extension -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Neuron Projection Guidance -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Immune Response
GO Term: Multivesicular Body Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Multivesicular Body, Internal Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Multivesicular Body, Internal Vesicle Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Sympathetic Neuron Projection Extension -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Sympathetic Neuron Projection Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Sympathetic Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Epigenetic, Myelination
GO Term: Structural Molecule Activity Conferring Elasticity -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Lipid Metabolism
GO Term: Regulation Of Vesicle Size -> Biodomain: Endolysosome, Autophagy, Synapse, Proteostasis, Lipid Metabolism
GO Term: Blood Vessel Endothelial Cell Delamination -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Endothelial Tube Lumen Extension -> Biodomain: Vasculature, Structural Stabilization, Cell Adhesion and Migration, Angiogenesis, Extracellular Matrix Organization
GO Term: Protein Localization To Non-Motile Cilium -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Receptor Localization To Non-Motile Cilium -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Sialylation -> Biodomain: Glycosylation, Post-translational Modification, Glycobiology, Metabolism, Cell Surface
GO Term: Gemini Of Cajal Bodies -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Apoptosis, Cell Cycle
GO Term: Rad6-Rad18 Complex -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Oxidative Stress
GO Term: Base-Excision Repair, Ap Site Formation Via Deaminated Base Removal -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Cardiac Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Myosin Ii Filament -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Dna Recombinase Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Sperm Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Spliceosomal Snrnp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Spliceosomal Tri-Snrnp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Necroptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Execution Phase Of Necroptosis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Myeloid Leukocyte Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Granulocyte Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Mast Cell Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Cellular Stress Response To Acid Chemical -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Lymphoid Lineage Cell Migration Into Thymus -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Thymus Epithelium Morphogenesis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Cell Cycle, Epigenetic
GO Term: Ciliary Transition Fiber -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Vasculature
GO Term: Axonemal Basal Plate -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Ciliary Tip -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Ciliary Inversin Compartment -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Axonemal Doublet Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ciliary Base -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Transcription Preinitiation Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Mitochondrial Double-Strand Break Repair Via Homologous Recombination -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Proteostasis, Autophagy
GO Term: Calcium Ion Transmembrane Import Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Lateral Cell Cortex -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Synapse, Proteostasis
GO Term: Lamellipodium Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Vasculature
GO Term: Sperm Cytoplasmic Droplet -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Retina Blood Vessel Maintenance -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Cullin Family Protein Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: Temperature-Gated Ion Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Temperature-Gated Cation Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Autophagy
GO Term: Monoamine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Synapse, Vasculature
GO Term: Potassium Ion Export Across Plasma Membrane -> Biodomain: Synapse, Apoptosis, Vasculature, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Extrinsic Component Of Omegasome Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Extrinsic Component Of Phagophore Assembly Site Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Structural Stabilization, Apoptosis
GO Term: L-Arginine Import Across Plasma Membrane -> Biodomain: Vasculature, Immune Response, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: L-Lysine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: L-Ornithine Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Calcitonin Family Receptor Activity -> Biodomain: Vasculature, Metal Binding and Homeostasis, Synapse, Immune Response, Proteostasis
GO Term: Amylin Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Amylin Binding -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Calcitonin Family Receptor Signaling Pathway -> Biodomain: Vasculature, Metal Binding and Homeostasis, Synapse, Immune Response, Proteostasis
GO Term: Amylin Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: G Protein-Coupled Receptor Complex -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Immune Response
GO Term: A Axonemal Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Synapse
GO Term: Serpin Family Protein Binding -> Biodomain: Proteostasis, Immune Response, Apoptosis, Structural Stabilization, Vasculature
GO Term: 3',5'-Nucleotide Bisphosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Epigenetic, Cell Cycle
GO Term: Stat Family Protein Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Double-Strand Break Repair Via Classical Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Double-Strand Break Repair Via Alternative Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Intracellularly Phosphatidylinositol-3,5-Bisphosphate-Gated Monatomic Cation Channel Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Iron Ion Transmembrane Transporter Inhibitor Activity -> Biodomain: Metal Binding and Homeostasis, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: Establishment Of Rna Localization To Telomere -> Biodomain: RNA Spliceosome, DNA Repair, Epigenetic, Proteostasis, Cell Cycle
GO Term: Establishment Of Protein-Containing Complex Localization To Telomere -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Cell Surface Receptor Signaling Pathway Via Stat -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Telomere Maintenance Via Base-Excision Repair -> Biodomain: DNA Repair, Oxidative Stress, Structural Stabilization, Mitochondrial Metabolism, Epigenetic
GO Term: Vascular Endothelial Cell Response To Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis
GO Term: Vascular Endothelial Cell Response To Laminar Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Immune Response
GO Term: Vascular Endothelial Cell Response To Oscillatory Fluid Shear Stress -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Structural Stabilization
GO Term: Ferroptosis -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Intracellular Vesicle -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Structural Stabilization
GO Term: Connective Tissue Replacement -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Ciliary Basal Body-Plasma Membrane Docking -> Biodomain: Structural Stabilization, Cell Cycle, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Vesicle Targeting, Trans-Golgi To Periciliary Membrane Compartment -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Synapse
GO Term: Disordered Domain Specific Binding -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Autophagy, Tau Homeostasis
GO Term: Neural Tissue Regeneration -> Biodomain: Synapse, Myelination, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Calcineurin-Mediated Signaling -> Biodomain: Immune Response, Metal Binding and Homeostasis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Sperm Motility -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: 9+0 Motile Cilium -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Autophagy, Proteostasis
GO Term: 9+2 Motile Cilium -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Non-Motile Cilium -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Autophagy, Proteostasis
GO Term: 9+0 Non-Motile Cilium -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Autophagy
GO Term: Photoreceptor Cell Cilium -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Extracellular Exosome Biogenesis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: De Novo Centriole Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Renal Urate Salt Excretion -> Biodomain: Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism
GO Term: Mitochondrial Trna 5'-End Processing -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy
GO Term: Blood Vessel Diameter Maintenance -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Oxidative Stress
GO Term: Membrane Tubulation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Endosome Membrane Tubulation -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Dna Stability -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Membrane Bending -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Non-Replicative Dna Transposition -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Apoptosis, Cell Cycle
GO Term: G-Rich Strand Telomeric Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Endothelial To Hematopoietic Transition -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Cell Cycle
GO Term: Skeletal Muscle Fiber Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Neuromuscular Junction Development, Skeletal Muscle Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Strand Invasion -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Ligand-Modulated Transcription Factor Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Immune Response, Oxidative Stress
GO Term: Centriole Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: De Novo Centriole Assembly Involved In Multi-Ciliated Epithelial Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Deuterosome -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, DNA Repair
GO Term: Cytoplasmic Side Of Trans-Golgi Network Transport Vesicle Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Defense Response To Other Organism -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Maintenance Of Protein Complex Location -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Synapse
GO Term: Cytoplasmic Side Of Golgi Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Vasculature
GO Term: Side Of Membrane -> Biodomain: Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Lumenal Side Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cytoplasmic Side Of Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Cellular Processes, Autophagy, Structural Stabilization
GO Term: Cytoplasmic Side Of Rough Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Cytoplasmic Side Of Early Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Cytoplasmic Side Of Late Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Cytoplasmic Side Of Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Cytoplasmic Side Of Lysosomal Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Lumenal Side Of Lysosomal Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Lumenal Side Of Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Inactive Sex Chromosome -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Learned Vocalization Behavior -> Biodomain: Synapse, Epigenetic, RNA Spliceosome, Structural Stabilization, Myelination
GO Term: Cellular Response To Virus -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Bounding Membrane Of Organelle -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: External Side Of Apical Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Cytoplasmic Side Of Apical Plasma Membrane -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Mucin Granule -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Perivitelline Space -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Observational Learning -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Proteostasis
GO Term: Palmitoyl Hydrolase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis
GO Term: Selenocystathionine Gamma-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Cell-Cell Adhesion -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Myelination
GO Term: Selenocysteine-Trna Ligase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: O-Phosphoseryl-Trna(Sec) Selenium Transferase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Trans-Golgi Network Membrane Organization -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Cell Adhesion Mediator Activity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Cell-Cell Adhesion Mediator Activity -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Proteostasis
GO Term: Collagen Fibril Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Protein Complex Involved In Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Myelination
GO Term: Protein Complex Involved In Cell Adhesion -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Immune Response
GO Term: Protein Complex Involved In Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Proteostasis, Immune Response
GO Term: Collagen Binding Involved In Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Integrin Binding Involved In Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Apoptosis
