Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Calcium Ion Import Into Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Flagellated Sperm Motility -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Calcitriol Binding -> Biodomain: Metal Binding and Homeostasis, Epigenetic, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Metaphase/Anaphase Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: Positive Regulation Of Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Organelle Assembly -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Positive Regulation Of Organelle Assembly -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome, Structural Stabilization
GO Term: Calcidiol Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Proteostasis, Apoptosis
GO Term: Lithocholic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Chenodeoxycholic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Response To Inositol -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cellular Response
GO Term: Regulation Of Response To Dna Integrity Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Regulation Of Response To Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Reactive Nitrogen Species -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Immune Response
GO Term: Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Epigenetic, Proteostasis, Immune Response
GO Term: Negative Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle, Immune Response
GO Term: Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Fibroblast Growth Factor Receptor Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Growth Factor Signaling, Regulation, Cell Growth and Proliferation, Intracellular Signaling, Receptor Signaling
GO Term: Positive Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Interleukin-2-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Epigenetic, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Prolactin Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Signaling, Inflammation, Cell Communication, Immune System
GO Term: Erythrocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Ketone Body Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Acrosome Reaction -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Positive Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle, DNA Repair
GO Term: Geranylgeranyl Diphosphate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Erythrocyte Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Regulation Of Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Vasculature, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Negative Regulation Of Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Cell Cycle, Proteostasis
GO Term: Regulation Of Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Vasculature
GO Term: Apoptotic Process Involved In Blood Vessel Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Apoptotic Process Involved In Embryonic Digit Morphogenesis -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Polyamine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Polyamine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy, Cell Cycle
GO Term: (R)-Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: D3 Vitamins Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Voltage-Gated Potassium Channel Activity Involved In Ventricular Cardiac Muscle Cell Action Potential Repolarization -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Semaphorin-Plexin Signaling Pathway Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Vasculature
GO Term: Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Proteostasis
GO Term: Negative Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Myelination, Mitochondrial Metabolism, Structural Stabilization
GO Term: Regulation Of Copper Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Apoptotic Process Involved In Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Chromosome Condensation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Response To Chloroquine -> Biodomain: Autophagy, Endolysosome, Immune Response, Apoptosis, Proteostasis
GO Term: Cellular Response To Chloroquine -> Biodomain: Autophagy, Endolysosome, Oxidative Stress, Immune Response, Proteostasis
GO Term: Oxaloacetate(2-) Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Sulfate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Myelination, Endolysosome
GO Term: Melanocyte Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Positive Regulation Of Protein Localization To Spindle Pole Body -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Notch Signaling Pathway Involved In Somitogenesis -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Rna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Endolysosome
GO Term: Negative Regulation Of Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Chemoattractant Activity Involved In Axon Guidance -> Biodomain: Synapse, Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Ceramide 1-Phosphate Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, Autophagy
GO Term: Ceramide 1-Phosphate Transfer Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Ceramide 1-Phosphate Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein Localization To Bicellular Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Immune Response
GO Term: Mitotic Cytokinetic Process -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Mitotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Protein Localization To Cell Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Positive Regulation Of Mrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Synapse, Proteostasis
GO Term: Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Positive Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Deactivation Of Mitotic Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Amyloid-Beta Formation -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Tau Homeostasis
GO Term: Positive Regulation Of Male Mating Behavior -> Biodomain: Synapse, Epigenetic, Proteostasis, Myelination, Lipid Metabolism
GO Term: Negative Regulation Of Ripoptosome Assembly Involved In Necroptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Immune Response, Oxidative Stress
GO Term: Riboflavin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Mitochondrial Membrane Permeability Involved In Programmed Necrotic Cell Death -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Positive Regulation Of Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Protein Localization To Cell Leading Edge -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Synapse
GO Term: Regulation Of Protein Localization To Synapse -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Protein Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Myelination
GO Term: L-Alpha-Amino Acid Transmembrane Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Cell Cycle, Mitochondrial Metabolism
GO Term: Chloride Transmembrane Transport -> Biodomain: Ion Homeostasis, Vasculature, Synapse, Endolysosome, Proteostasis
GO Term: Protein Localization To Mitotic Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Regulatory T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Cytotoxic T Cell Pyroptotic Cell Death -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Sperm Capacitation -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Sperm Capacitation -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Sperm Capacitation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Acetyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Catalytic Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Transmembrane Transporter Complex -> Biodomain: Vasculature, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Lysosomal Hops Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Organelle Transport Along Microtubule -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Immune Response, Apoptosis, DNA Repair
GO Term: Positive Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Apoptosis, Autophagy, Endolysosome, Tau Homeostasis
GO Term: Regulation Of Protein Monoubiquitination -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Immune Response
GO Term: Positive Regulation Of Protein Monoubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Positive Regulation Of Protein Linear Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Oxidative Stress
GO Term: Regulation Of Intracellular Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Intracellular Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Autophagy, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Intracellular Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Catalase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Serine/Threonine Protein Kinase Complex -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Endoribonuclease Complex -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Autophagy, Endolysosome, Proteostasis
GO Term: 5'-Adenylyl Sulfate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: 3'-Phospho-5'-Adenylyl Sulfate Transmembrane Transport -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Gmp Reductase Complex -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Oxidative Stress, Autophagy
GO Term: H4 Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Proteostasis
GO Term: Negative Regulation Of Eosinophil Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Protein Localization To Nucleolus -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair, Autophagy
GO Term: Proton Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Silver Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Immune Response, Proteostasis
GO Term: Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Heterotrimeric G-Protein Complex Assembly -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Large Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Anti-Mullerian Hormone Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Immune Response Involved In Response To Exogenous Dsrna -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: O-Acyl-L-Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Fluoride -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Cellular Response To Fluoride -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Assembly Of Large Subunit Precursor Of Preribosome -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Cell Cycle, Epigenetic
GO Term: Regulation Of Mrna Stability Involved In Cellular Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism
GO Term: Negative Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: 1-Phosphatidyl-1D-Myo-Inositol 4,5-Bisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Immune Response, Vasculature
GO Term: 1-Phosphatidyl-1D-Myo-Inositol 4,5-Bisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization, Apoptosis
GO Term: Kinociliary Basal Body -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Calcium Ion Import Into Cytosol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Regulation Of Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Carbon Dioxide Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Rna Biosynthetic Process -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Rna Biosynthetic Process -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Autophagy, Apoptosis
GO Term: Protein Localization To Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Regulation Of Receptor Localization To Synapse -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Receptor Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
