Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Unknown
GO Term: A Band -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Vasculature
GO Term: H Zone -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: I Band -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: G-Protein Beta/Gamma-Subunit Complex -> Biodomain: Signal Transduction, Protein Complex Assembly, Cell Signaling, Receptor Binding, Molecular Interaction
GO Term: G-Protein Beta-Subunit Binding -> Biodomain: Proteostasis, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: G-Protein Gamma-Subunit Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Unknown, Immune Response
GO Term: G-Protein Beta/Gamma-Subunit Complex Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Cell Cycle, Unknown
GO Term: Adenosine Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: A1 Adenosine Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Autophagy
GO Term: A2A Adenosine Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: Adrenergic Receptor Binding -> Biodomain: Vasculature, Synapse, Immune Response, Epigenetic, Oxidative Stress
GO Term: Alpha-1B Adrenergic Receptor Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Unknown
GO Term: Alpha-2A Adrenergic Receptor Binding -> Biodomain: Signaling Receptor Binding, G Protein-Coupled Receptor Binding, Synapse, Vasculature, Proteostasis
GO Term: Alpha-2B Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Structural Stabilization
GO Term: Alpha-2C Adrenergic Receptor Binding -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Apoptosis
GO Term: Beta-1 Adrenergic Receptor Binding -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Mitochondrial Metabolism
GO Term: Beta-2 Adrenergic Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Synapse
GO Term: Beta-3 Adrenergic Receptor Binding -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Adrenomedullin Receptor Binding -> Biodomain: Vasculature, Proteostasis, Immune Response, Oxidative Stress, Apoptosis
GO Term: Angiotensin Receptor Binding -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Immune Response, Autophagy
GO Term: Type 1 Angiotensin Receptor Binding -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Type 2 Angiotensin Receptor Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Apelin Receptor Binding -> Biodomain: Vasculature, Proteostasis, Apoptosis, Autophagy, Lipid Metabolism
GO Term: Endothelin A Receptor Binding -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, Synapse
GO Term: Endothelin B Receptor Binding -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Neuromedin B Receptor Binding -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Bradykinin Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Synapse
GO Term: C5L2 Anaphylatoxin Chemotactic Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Calcitonin Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Oxidative Stress
GO Term: Type 1 Cannabinoid Receptor Binding -> Biodomain: Synapse, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Oxidative Stress
GO Term: Haptoglobin Binding -> Biodomain: Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Hemoglobin Alpha Binding -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Cxcr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Cell Cycle
GO Term: Cxcr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Vasculature, Apoptosis
GO Term: Ccr1 Chemokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Ccr2 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Unknown
GO Term: Ccr3 Chemokine Receptor Binding -> Biodomain: Immune Response, Signaling Receptor Binding, Cytokine Activity, Cell Surface Receptor Activity, Vasculature
GO Term: Ccr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Ccr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Autophagy, Oxidative Stress
GO Term: Ccr6 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Ccr7 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Ccr10 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Cx3C Chemokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Oxidative Stress, Apoptosis
GO Term: Type B Gastrin/Cholecystokinin Receptor Binding -> Biodomain: Synapse, Lipid Metabolism, Vasculature, Proteostasis, Immune Response
GO Term: D1 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Vasculature
GO Term: D2 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, APP Metabolism, Lipid Metabolism
GO Term: D3 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: D4 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: D5 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Edg-2 Lysophosphatidic Acid Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress, Immune Response
GO Term: Follicle-Stimulating Hormone Receptor Binding -> Biodomain: Unknown, Proteostasis, Lipid Metabolism, Epigenetic, Cell Cycle
GO Term: Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Lipid Metabolism, Apoptosis
GO Term: Type 1 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Apoptosis
GO Term: Type 2 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Autophagy
GO Term: Type 3 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Signaling, Neurotransmission, Immune Response
GO Term: Gastric Inhibitory Polypeptide Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Unknown, Oxidative Stress
GO Term: Ghrelin Receptor Binding -> Biodomain: Endolysosome, Autophagy, Immune Response, Apoptosis, Synapse
GO Term: Glucagon Receptor Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature
GO Term: Growth Hormone-Releasing Hormone Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Type 1 Orexin Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Vasculature, Unknown
GO Term: Type 2 Orexin Receptor Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Kisspeptin Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Type 1 Melanin-Concentrating Hormone Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Lipid Metabolism, Immune Response, Autophagy
GO Term: Melanocortin Receptor Binding -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Synapse, Apoptosis
GO Term: Corticotropin Hormone Receptor Binding -> Biodomain: Immune Response, Epigenetic, Vasculature, Lipid Metabolism, Apoptosis
GO Term: Type 3 Melanocortin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis, Autophagy
GO Term: Type 4 Melanocortin Receptor Binding -> Biodomain: Synapse, Lipid Metabolism, Immune Response, Oxidative Stress, Autophagy
GO Term: Type 5 Melanocortin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Motilin Receptor Binding -> Biodomain: Proteostasis, Lipid Metabolism, Unknown, Epigenetic, Cell Cycle
GO Term: Type 2 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Type 3 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Type 5 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Unknown
GO Term: Type 8 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: P2Y1 Nucleotide Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Unknown
GO Term: G Protein-Coupled Serotonin Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Lipid Metabolism
GO Term: Substance P Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Apoptosis
GO Term: Neuromedin K Receptor Binding -> Biodomain: Synapse, Signal Transduction, Neuropeptide, GPCR, Neurotransmitter
GO Term: Substance K Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Vasculature
GO Term: Haptoglobin-Hemoglobin Complex -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Endolysosome, Vasculature
GO Term: Type 1 Neuromedin U Receptor Binding -> Biodomain: Vasculature, Synapse, Immune Response, Apoptosis, Proteostasis
GO Term: Type 2 Neuromedin U Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Oxidative Stress
GO Term: Neuropeptide Y Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Protection From Non-Homologous End Joining At Telomere -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Olfactory Receptor Binding -> Biodomain: Signaling, Neuronal Signaling, Sensory Perception, GPCR Signaling, Protein Binding
GO Term: Kappa-Type Opioid Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Mu-Type Opioid Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Cell Cycle
GO Term: Orexigenic Neuropeptide Qrfp Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Unknown
GO Term: Oxytocin Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Parathyroid Hormone Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Type 1 Parathyroid Hormone Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Cell Cycle, Apoptosis
GO Term: Telomeric 3' Overhang Formation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Unknown
GO Term: Prolactin-Releasing Peptide Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Endolysosome, Vasculature
GO Term: Ep4 Subtype Prostaglandin E2 Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Thromboxane A2 Receptor Binding -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Proteinase Activated Receptor Binding -> Biodomain: Proteostasis, Immune Response, Vasculature, Apoptosis, Synapse
GO Term: Somatostatin Receptor Binding -> Biodomain: Synapse, Signaling, Receptors, Neuropeptide, GPCR
GO Term: Taste Receptor Binding -> Biodomain: Synapse, Lipid Metabolism, Immune Response, Proteostasis, Unknown
GO Term: Type 1 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, Endolysosome
GO Term: Type 2 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Oxidative Stress
GO Term: V1A Vasopressin Receptor Binding -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Proteostasis
GO Term: V1B Vasopressin Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Endolysosome
GO Term: Early Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Late Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Early Endosome Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Late Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Pyridoxine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Tor Signaling -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Mitochondria-Nucleus Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Torc1 Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Torc2 Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Filamentous Actin -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Metal Binding and Homeostasis
GO Term: Regulation Of Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Hormone Signaling, Metabolic Regulation, Stress Response, Immune Response
GO Term: Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Medium-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Unknown
GO Term: Very Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Myelination, Autophagy
GO Term: Nuclear Receptor-Mediated Corticosteroid Signaling Pathway -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Nuclear Receptor-Mediated Mineralocorticoid Signaling Pathway -> Biodomain: Epigenetic, Oxidative Stress, Vasculature, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Response To Corticosteroid -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Nuclear Mineralocorticoid Receptor Binding -> Biodomain: Epigenetic, Proteostasis, Oxidative Stress, Lipid Metabolism, Vasculature
GO Term: Nuclear Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Apoptosis, Proteostasis
GO Term: Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Organelle Envelope -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Nuclear Lumen -> Biodomain: Epigenetic,DNA Repair,Cell Cycle,RNA Spliceosome,Proteostasis
GO Term: Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Organelle Subcompartment -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Golgi Cisterna -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, APP Metabolism, Structural Stabilization
GO Term: Locomotion Involved In Locomotory Behavior -> Biodomain: Unknown, Structural Stabilization, Synapse, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Bombesin Receptor Signaling Pathway -> Biodomain: Signal Transduction, Cellular Regulation, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Mrna Export From Nucleus In Response To Heat Stress -> Biodomain: Oxidative Stress, Proteostasis, RNA Spliceosome, Autophagy, Endolysosome
GO Term: Insulin-Like Growth Factor I Binding -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Insulin-Like Growth Factor Ii Binding -> Biodomain: Cell Cycle, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Thioesterase Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Unknown
GO Term: Interleukin-28 Receptor Complex -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Interleukin-28 Receptor Binding -> Biodomain: Immune Response, Epigenetic, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Tor Signaling -> Biodomain: Autophagy, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Tor Signaling -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Tor Signaling -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Early Phagosome -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phagolysosome -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Arf Protein Signal Transduction -> Biodomain: Signal Transduction,Intracellular Signaling,Small GTPase-Mediated Signaling,Regulation of Cellular Process,Cell Communication
GO Term: Regulation Of Arf Protein Signal Transduction -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Arf Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Arf Protein Signal Transduction -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Isg15-Protein Conjugation -> Biodomain: Proteostasis, Immune Response, Autophagy, Epigenetic, Apoptosis
GO Term: Nelf Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Trypsinogen Activation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Unknown
GO Term: Positive Regulation Of Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Response To Cobalt Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Magnesium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Myosin Light Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Myosin Head/Neck Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Synapse
GO Term: Myosin Tail Binding -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Myosin Ii Head/Neck Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Unknown
GO Term: Myosin Heavy Chain Binding -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Myosin Ii Heavy Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Vasculature
GO Term: Integrator Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Small-Subunit Processome -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Unknown
GO Term: Histone H3K14 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, Autophagy, Proteostasis, DNA Repair, Mitochondrial Metabolism
GO Term: Mitochondrial Dna Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Mitochondrial Dna Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Dsif Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Guanyl-Nucleotide Exchange Factor Complex -> Biodomain: Cell Cycle, Immune Response, Autophagy, Proteostasis, Synapse
Saved results to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Unknown_0/go_biodomain_results_part_7.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Unknown_0/runtime_log.csv
