Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Heat Generation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Negative Regulation Of Heat Generation -> Biodomain: Homeostasis, Organismal Systems, Multicellular Organismal Process, Response to Stimulus, Biological Regulation
GO Term: Positive Regulation Of Heat Generation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cellular Response To Nutrient -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: A Band -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: H Zone -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: I Band -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: G-Protein Beta/Gamma-Subunit Complex -> Biodomain: Proteostasis, Signal Transduction, Cellular Processes, Structural Stabilization, Epigenetic
GO Term: G-Protein Beta-Subunit Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Vasculature
GO Term: G-Protein Gamma-Subunit Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Vasculature
GO Term: G-Protein Beta/Gamma-Subunit Complex Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Adenosine Receptor Binding -> Biodomain: Proteostasis, Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: A1 Adenosine Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: A2A Adenosine Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Adrenergic Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Vasculature
GO Term: Alpha-1B Adrenergic Receptor Binding -> Biodomain: Signaling, Receptors, Binding, Cell Signaling, Neurotransmission
GO Term: Alpha-2A Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Proteostasis, Autophagy, Apoptosis
GO Term: Alpha-2B Adrenergic Receptor Binding -> Biodomain: Vasculature, Proteostasis, Synapse, Lipid Metabolism, Oxidative Stress
GO Term: Alpha-2C Adrenergic Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Beta-1 Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Beta-2 Adrenergic Receptor Binding -> Biodomain: Signaling Receptor Binding, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Beta-3 Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Adrenomedullin Receptor Binding -> Biodomain: Signaling Receptor Binding, Protein Binding, Binding, Vasculature, Immune Response
GO Term: Angiotensin Receptor Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Type 1 Angiotensin Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Type 2 Angiotensin Receptor Binding -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Apelin Receptor Binding -> Biodomain: Vasculature, Synapse, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Endothelin A Receptor Binding -> Biodomain: Vasculature, Signaling Receptor Binding, Protein Binding, Lipid Metabolism, Oxidative Stress
GO Term: Endothelin B Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Neuromedin B Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Bradykinin Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Synapse
GO Term: C5L2 Anaphylatoxin Chemotactic Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Proteostasis, Synapse
GO Term: Calcitonin Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Type 1 Cannabinoid Receptor Binding -> Biodomain: Synapse, Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress
GO Term: Haptoglobin Binding -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Hemoglobin Alpha Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Cxcr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Cxcr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Synapse
GO Term: Ccr1 Chemokine Receptor Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Vasculature, Endolysosome
GO Term: Ccr2 Chemokine Receptor Binding -> Biodomain: Immune Response, Signaling, Cytokine Signaling, Receptor Binding, Cell Surface Receptor
GO Term: Ccr3 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Ccr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Ccr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Ccr6 Chemokine Receptor Binding -> Biodomain: Immune Response, Signaling Pathways, Cytokine Signaling, Receptor Binding, GPCR Signaling
GO Term: Ccr7 Chemokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Endolysosome
GO Term: Ccr10 Chemokine Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Cell Migration, Inflammatory Response, Vasculature
GO Term: Cx3C Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Type B Gastrin/Cholecystokinin Receptor Binding -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: D1 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: D2 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Immune Response
GO Term: D3 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: D4 Dopamine Receptor Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: D5 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Apoptosis, Cell Cycle
GO Term: Edg-2 Lysophosphatidic Acid Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Follicle-Stimulating Hormone Receptor Binding -> Biodomain: Lipid Metabolism, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Type 1 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Type 2 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Type 3 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Gastric Inhibitory Polypeptide Receptor Binding -> Biodomain: Signal Transduction, Metabolism, Cell Signaling, Endocrine System, Cell Surface Receptor
GO Term: Ghrelin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Lipid Metabolism
GO Term: Glucagon Receptor Binding -> Biodomain: Signaling, GPCR Signaling, Metabolism, Lipid Metabolism, Cardiovascular
GO Term: Growth Hormone-Releasing Hormone Receptor Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Vasculature, Immune Response
GO Term: Type 1 Orexin Receptor Binding -> Biodomain: Signaling, Neurotransmission, Metabolic Regulation, Circadian Rhythm, Appetite Regulation
GO Term: Type 2 Orexin Receptor Binding -> Biodomain: Synapse, Signaling, Cellular Signaling, Neurotransmission, Neuropeptide Signaling
GO Term: Kisspeptin Receptor Binding -> Biodomain: Proteostasis, Signal Transduction, Neuropeptide Signaling, GPCR Signaling, Reproductive System
GO Term: Type 1 Melanin-Concentrating Hormone Receptor Binding -> Biodomain: Synapse, Signaling Receptor Binding, Neuropeptide Receptor Binding, G Protein-Coupled Receptor Binding, Protein Binding
GO Term: Melanocortin Receptor Binding -> Biodomain: Signal Transduction, GPCR Signaling, Neuropeptide Signaling, Hormone Signaling, Cell Communication
GO Term: Corticotropin Hormone Receptor Binding -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Type 3 Melanocortin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Type 4 Melanocortin Receptor Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Type 5 Melanocortin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Motilin Receptor Binding -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Synapse, Vasculature
GO Term: Type 2 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Signal Transduction, Neuronal Signaling, Neurotransmitter Receptors, Receptor Binding
GO Term: Type 3 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Type 5 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Type 8 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Signal Transduction, Neurotransmission, Protein-Protein Interaction, Neuronal Signaling
GO Term: P2Y1 Nucleotide Receptor Binding -> Biodomain: Signaling Receptor Binding, Signaling Pathways, Membrane Proteins, Cell Communication, Immune Response
GO Term: G Protein-Coupled Serotonin Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: Substance P Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Vasculature
GO Term: Neuromedin K Receptor Binding -> Biodomain: Synapse, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Substance K Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Oxidative Stress
GO Term: Haptoglobin-Hemoglobin Complex -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Endolysosome, Vasculature
GO Term: Type 1 Neuromedin U Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Apoptosis
GO Term: Type 2 Neuromedin U Receptor Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Oxidative Stress
GO Term: Neuropeptide Y Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: Protection From Non-Homologous End Joining At Telomere -> Biodomain: DNA Repair, Structural Stabilization, Chromosome Organization, Oxidative Stress, Cell Cycle
GO Term: Olfactory Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Epigenetic
GO Term: Kappa-Type Opioid Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Mu-Type Opioid Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Orexigenic Neuropeptide Qrfp Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome
GO Term: Oxytocin Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Vasculature
GO Term: Parathyroid Hormone Receptor Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Type 1 Parathyroid Hormone Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Immune Response, Apoptosis
GO Term: Telomeric 3' Overhang Formation -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Prolactin-Releasing Peptide Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Epigenetic, Vasculature
GO Term: Ep4 Subtype Prostaglandin E2 Receptor Binding -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Thromboxane A2 Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Proteinase Activated Receptor Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Oxidative Stress, Apoptosis
GO Term: Somatostatin Receptor Binding -> Biodomain: Signaling, GPCR Signaling, Neuronal Signaling, Endocrine Signaling, Oncogenic Signaling
GO Term: Taste Receptor Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Lipid Metabolism, Endolysosome
GO Term: Type 1 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Vasculature, Synapse, Immune Response, Proteostasis, Endolysosome
GO Term: Type 2 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: V1A Vasopressin Receptor Binding -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Immune Response
GO Term: V1B Vasopressin Receptor Binding -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Early Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Late Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Endosome Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Early Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Late Endosome Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Tau Homeostasis
GO Term: Positive Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Cell Communication, Cellular Process, Regulation of Biological Process, Signaling
GO Term: Pyridoxine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Tor Signaling -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Mitochondria-Nucleus Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Torc1 Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Cell Cycle, Lipid Metabolism
GO Term: Torc2 Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Filamentous Actin -> Biodomain: Structural Stabilization, Cytoskeleton, Synapse, Cell Cycle, Proteostasis
GO Term: Regulation Of Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Hormone Regulation, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Lipid Metabolism  
Mitochondrial Metabolism  
Metabolic Regulation  
Hormone Biosynthesis  
Cellular Homeostasis
GO Term: Positive Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Synapse, Immune Response
GO Term: Medium-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Very Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Nuclear Receptor-Mediated Corticosteroid Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis, Immune Response
GO Term: Nuclear Receptor-Mediated Mineralocorticoid Signaling Pathway -> Biodomain: Lipid Metabolism, Vasculature, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Response To Corticosteroid -> Biodomain: Immune Response, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Nuclear Mineralocorticoid Receptor Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Nuclear Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Apoptosis, Proteostasis
GO Term: Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Organelle Envelope -> Biodomain: Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Nuclear Lumen -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Vesicle -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Organelle Subcompartment -> Biodomain: Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy, APP Metabolism
GO Term: Golgi Cisterna -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Locomotion Involved In Locomotory Behavior -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Myelination, Lipid Metabolism
GO Term: Bombesin Receptor Signaling Pathway -> Biodomain: Signal Transduction, GPCR Pathways, Cellular Regulation, Receptor Signaling, Cell Communication
GO Term: Mrna Export From Nucleus In Response To Heat Stress -> Biodomain: Oxidative Stress, Proteostasis, RNA Spliceosome, Autophagy, Structural Stabilization
GO Term: Insulin-Like Growth Factor I Binding -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Insulin-Like Growth Factor Ii Binding -> Biodomain: Growth Factor Signaling, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Thioesterase Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Interleukin-28 Receptor Complex -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-28 Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Tor Signaling -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Tor Signaling -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Tor Signaling -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Early Phagosome -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Phagolysosome -> Biodomain: Endolysosome, Autophagy, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Arf Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Regulation Of Arf Protein Signal Transduction -> Biodomain: Endolysosome
Lipid Metabolism
Autophagy
Proteostasis
Cell Cycle
GO Term: Negative Regulation Of Arf Protein Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Positive Regulation Of Arf Protein Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Isg15-Protein Conjugation -> Biodomain: Proteostasis, Immune Response, Autophagy, Ubiquitin-Proteasome System, Epigenetic
GO Term: Nelf Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, RNA Spliceosome
GO Term: Trypsinogen Activation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Insulin Secretion -> Biodomain: Lipid Metabolism  
Proteostasis  
Synapse  
Metal Binding and Homeostasis  
Mitochondrial Metabolism
GO Term: Response To Cobalt Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Response To Magnesium Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Myosin Light Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Myosin Head/Neck Binding -> Biodomain: Structural Stabilization, Cytoskeleton, Protein Binding, Cellular Trafficking, Cell Adhesion
GO Term: Myosin Tail Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Myosin Ii Head/Neck Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Myosin Heavy Chain Binding -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Vasculature, Proteostasis
GO Term: Myosin Ii Heavy Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Integrator Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Small-Subunit Processome -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Histone H3K14 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Oxidative Stress
GO Term: Mitochondrial Dna Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Autophagy, Proteostasis
GO Term: Mitochondrial Dna Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Autophagy, Oxidative Stress
GO Term: Dsif Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Guanyl-Nucleotide Exchange Factor Complex -> Biodomain: Proteostasis, Cell Cycle, Endolysosome, Autophagy, Lipid Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Temp_0/go_biodomain_results_part_7.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Temp_0/runtime_log.csv
