Running with TEMP=0.5, sub_array_index=7
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 7: rows 6000 to 6999
GO Term: Neuronal-Glial Interaction Involved In Hindbrain Glial-Mediated Radial Cell Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Endolysosome, Autophagy
GO Term: Positive Regulation Of Heat Generation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Negative Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Positive Regulation Of Lipopolysaccharide-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Nutrient Levels -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Cellular Response To Nutrient -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: A Band -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: H Zone -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: I Band -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: G-Protein Beta/Gamma-Subunit Complex -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Lipid Metabolism, Endolysosome
GO Term: G-Protein Beta-Subunit Binding -> Biodomain: Proteostasis, Synapse, Immune Response, Cell Cycle, Structural Stabilization
GO Term: G-Protein Gamma-Subunit Binding -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Cell Cycle, Immune Response
GO Term: G-Protein Beta/Gamma-Subunit Complex Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Immune Response, Vasculature
GO Term: Adenosine Receptor Binding -> Biodomain: Synapse, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: A1 Adenosine Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Lipid Metabolism, Apoptosis
GO Term: A2A Adenosine Receptor Binding -> Biodomain: Synapse, Signal Transduction, Vasculature, Immune Response, Protein Binding
GO Term: Adrenergic Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Alpha-1B Adrenergic Receptor Binding -> Biodomain: Signaling, GPCR Signaling, Neurotransmitter Receptors and Transport, Receptor Signaling, Drug Targets
GO Term: Alpha-2A Adrenergic Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Immune Response
GO Term: Alpha-2B Adrenergic Receptor Binding -> Biodomain: Vasculature, Immune Response, Synapse, Apoptosis, Proteostasis
GO Term: Alpha-2C Adrenergic Receptor Binding -> Biodomain: Signaling Receptor Binding, G Protein-Coupled Receptor Binding, Adrenergic Receptor Binding, Vasculature, Synapse
GO Term: Beta-1 Adrenergic Receptor Binding -> Biodomain: Signaling Receptor Binding,Synapse,Vasculature,Immune Response,Lipid Metabolism
GO Term: Beta-2 Adrenergic Receptor Binding -> Biodomain: Signaling, GPCR Signaling, Receptor Binding, Protein Binding, Molecular Function
GO Term: Beta-3 Adrenergic Receptor Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Adrenomedullin Receptor Binding -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Apoptosis
GO Term: Angiotensin Receptor Binding -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Cell Cycle, Immune Response
GO Term: Type 1 Angiotensin Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Type 2 Angiotensin Receptor Binding -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Apelin Receptor Binding -> Biodomain: Signaling Receptor Binding, Neuropeptide Receptor Binding, G Protein-Coupled Receptor Binding, Vasculature, Immune Response
GO Term: Endothelin A Receptor Binding -> Biodomain: Vasculature, Signaling Receptor Binding, Protein Binding, G Protein-Coupled Receptor Binding, Endolysosome
GO Term: Endothelin B Receptor Binding -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Neuromedin B Receptor Binding -> Biodomain: Signaling, GPCR Signaling, Neuropeptide Signaling, Receptor Binding, Cell Surface Receptor
GO Term: Bradykinin Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: C5L2 Anaphylatoxin Chemotactic Receptor Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Vasculature
GO Term: Calcitonin Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Type 1 Cannabinoid Receptor Binding -> Biodomain: Synapse, Lipid Metabolism, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Haptoglobin Binding -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Proteostasis, Endolysosome
GO Term: Hemoglobin Alpha Binding -> Biodomain: Metal Binding and Homeostasis, Vasculature, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Cxcr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Cxcr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Signal Transduction, Protein Binding, Receptor Binding/Ligand Interactions
GO Term: Ccr1 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Ccr2 Chemokine Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, Receptor Signaling, Immune Cell Trafficking, Inflammation
GO Term: Ccr3 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Ccr4 Chemokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Signaling Receptor Binding, Cytokine Signaling, Cell Adhesion
GO Term: Ccr5 Chemokine Receptor Binding -> Biodomain: Immune Response, Cytokine Binding, Signaling Receptor, Protein Binding, Cell Surface Receptor
GO Term: Ccr6 Chemokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Synapse
GO Term: Ccr7 Chemokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Ccr10 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Cx3C Chemokine Receptor Binding -> Biodomain: Immune Response, Signaling, Cell Surface Receptor, Inflammation, Cytokine Signaling
GO Term: Type B Gastrin/Cholecystokinin Receptor Binding -> Biodomain: Synapse, Vasculature, Lipid Metabolism, Proteostasis, Immune Response
GO Term: D1 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome
GO Term: D2 Dopamine Receptor Binding -> Biodomain: Synapse, Signaling Receptor Binding, GPCR Signaling, Protein Binding, Neurotransmitter Receptors
GO Term: D3 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: D4 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: D5 Dopamine Receptor Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Edg-2 Lysophosphatidic Acid Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Synapse, Cell Cycle, Apoptosis
GO Term: Follicle-Stimulating Hormone Receptor Binding -> Biodomain: Signaling Receptor Binding, G Protein-Coupled Receptor Binding, Protein Binding, Cell Cycle, Epigenetic
GO Term: Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Immune Response, Oxidative Stress
GO Term: Type 1 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Epigenetic
GO Term: Type 2 Galanin Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Type 3 Galanin Receptor Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Autophagy, Apoptosis
GO Term: Gastric Inhibitory Polypeptide Receptor Binding -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Ghrelin Receptor Binding -> Biodomain: Signaling Receptor Binding, Lipid Metabolism, Epigenetic, Vasculature, Immune Response
GO Term: Glucagon Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Growth Hormone-Releasing Hormone Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Type 1 Orexin Receptor Binding -> Biodomain: Synapse, Vasculature, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Type 2 Orexin Receptor Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Lipid Metabolism, Oxidative Stress
GO Term: Kisspeptin Receptor Binding -> Biodomain: Proteostasis, Synapse, Vasculature, Immune Response, Lipid Metabolism
GO Term: Type 1 Melanin-Concentrating Hormone Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Melanocortin Receptor Binding -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Lipid Metabolism
GO Term: Corticotropin Hormone Receptor Binding -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Type 3 Melanocortin Receptor Binding -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Type 4 Melanocortin Receptor Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Type 5 Melanocortin Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Motilin Receptor Binding -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Type 2 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Type 3 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Type 5 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Type 8 Metabotropic Glutamate Receptor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Epigenetic
GO Term: P2Y1 Nucleotide Receptor Binding -> Biodomain: Signaling, Neurotransmission, Purinergic Signaling, Receptor Signaling, Cellular Signaling
GO Term: G Protein-Coupled Serotonin Receptor Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Oxidative Stress
GO Term: Substance P Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Vasculature
GO Term: Neuromedin K Receptor Binding -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Substance K Receptor Binding -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Oxidative Stress
GO Term: Haptoglobin-Hemoglobin Complex -> Biodomain: Oxidative Stress, Immune Response, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Type 1 Neuromedin U Receptor Binding -> Biodomain: Synapse, Signaling, Oxidative Stress, Immune Response, Proteostasis
GO Term: Type 2 Neuromedin U Receptor Binding -> Biodomain: Synapse, Signal Transduction, Metabolic Processes, Receptors, Neuropeptides
GO Term: Neuropeptide Y Receptor Binding -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Structural Stabilization
GO Term: Protection From Non-Homologous End Joining At Telomere -> Biodomain: DNA Repair, Structural Stabilization, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Olfactory Receptor Binding -> Biodomain: Signaling, Receptor Signaling, Neurotransmission, GPCR Signaling, Cell Surface Receptor Signaling
GO Term: Kappa-Type Opioid Receptor Binding -> Biodomain: Synapse, Immune Response, Apoptosis, Epigenetic, Vasculature
GO Term: Mu-Type Opioid Receptor Binding -> Biodomain: Proteostasis, Synapse, Epigenetic, Autophagy, Immune Response
GO Term: Orexigenic Neuropeptide Qrfp Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Oxytocin Receptor Binding -> Biodomain: Signaling Receptor, Neurotransmitter Receptor, GPCR, Hormone Activity, Signal Transduction
GO Term: Parathyroid Hormone Receptor Binding -> Biodomain: Metal Binding and Homeostasis, Epigenetic, Proteostasis, Apoptosis, Cell Cycle
GO Term: Type 1 Parathyroid Hormone Receptor Binding -> Biodomain: Signaling, Cell Surface Receptor, Neurotransmitter Receptor, Calcium Signaling, Ion Transport
GO Term: Telomeric 3' Overhang Formation -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Apoptosis, Metal Binding and Homeostasis
GO Term: Prolactin-Releasing Peptide Receptor Binding -> Biodomain: Signal Transduction, Peptide Hormone, GPCR Signaling, Neurotransmitter Receptor, Receptor Binding
GO Term: Ep4 Subtype Prostaglandin E2 Receptor Binding -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Thromboxane A2 Receptor Binding -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Proteinase Activated Receptor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Synapse, Oxidative Stress
GO Term: Somatostatin Receptor Binding -> Biodomain: Signaling Receptor Binding, Synapse, Proteostasis, Immune Response, Structural Stabilization
GO Term: Taste Receptor Binding -> Biodomain: Sensory Transduction, Signal Transduction, Synapse, Structural Stabilization, Proteostasis
GO Term: Type 1 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Type 2 Vasoactive Intestinal Polypeptide Receptor Binding -> Biodomain: Synapse, Signaling, Vasculature, Immune Response, Endocrine
GO Term: V1A Vasopressin Receptor Binding -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: V1B Vasopressin Receptor Binding -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Oxidative Stress
GO Term: Early Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Late Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Early Endosome Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Late Endosome Lumen -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Negative Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Positive Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Pyridoxine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Tor Signaling -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Mitochondria-Nucleus Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Torc1 Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Torc2 Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Filamentous Actin -> Biodomain: Cytoskeleton, Structural Stabilization, Cell Motility, Cell Morphogenesis, Cell Adhesion
GO Term: Regulation Of Glucocorticoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Steroid Hormone Biosynthesis, Endocrine Signaling, Metabolic Regulation, Mitochondrial Metabolism
GO Term: Positive Regulation Of Glucocorticoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Cell Cycle
GO Term: Negative Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Protein Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Medium-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Very Long-Chain Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Nuclear Receptor-Mediated Corticosteroid Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Epigenetic, Apoptosis, Cell Cycle
GO Term: Nuclear Receptor-Mediated Mineralocorticoid Signaling Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Epigenetic
GO Term: Response To Corticosteroid -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Nuclear Mineralocorticoid Receptor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Nuclear Membrane -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Mitochondrial Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Organelle Envelope -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nuclear Lumen -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Vesicle -> Biodomain: Endolysosome, Autophagy, Synapse, Lipid Metabolism, Proteostasis
GO Term: Organelle Subcompartment -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Golgi Cisterna -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Locomotion Involved In Locomotory Behavior -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Myelination, Autophagy
GO Term: Bombesin Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Mrna Export From Nucleus In Response To Heat Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome, Cell Cycle
GO Term: Insulin-Like Growth Factor I Binding -> Biodomain: Growth Factor, Protein Binding, Cell Survival, Kinase, Signal Transduction
GO Term: Insulin-Like Growth Factor Ii Binding -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Immune Response, Structural Stabilization
GO Term: Thioesterase Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolic Processes, Autophagy, Proteostasis
GO Term: Positive Regulation Of Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Interleukin-28 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Vasculature, Endolysosome
GO Term: Interleukin-28 Receptor Binding -> Biodomain: Immune Response, Innate Immunity, Signal Transduction, Receptor Binding, Cytokine Signaling
GO Term: Regulation Of Tor Signaling -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Tor Signaling -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Tor Signaling -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Early Phagosome -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phagolysosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Arf Protein Signal Transduction -> Biodomain: Signal Transduction, Intracellular Signaling, Membrane Trafficking, Cytoskeleton, Lipid Metabolism
GO Term: Regulation Of Arf Protein Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Negative Regulation Of Arf Protein Signal Transduction -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Arf Protein Signal Transduction -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Isg15-Protein Conjugation -> Biodomain: Proteostasis, Immune Response, Autophagy, Oxidative Stress, Epigenetic
GO Term: Nelf Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Trypsinogen Activation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Insulin Secretion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Response To Cobalt Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Response To Magnesium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Myosin Light Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Synapse
GO Term: Myosin Head/Neck Binding -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Autophagy
GO Term: Myosin Tail Binding -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Myosin Ii Head/Neck Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Myosin Heavy Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Endolysosome
GO Term: Myosin Ii Heavy Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Integrator Complex -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Small-Subunit Processome -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Histone H3K14 Deacetylase Activity, Nad-Dependent -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Mitochondrial Dna Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Mitochondrial Dna Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Oxidative Stress, Autophagy
GO Term: Dsif Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Guanyl-Nucleotide Exchange Factor Complex -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Lipid Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Temp_0.5/go_biodomain_results_part_7.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Temp_0.5/runtime_log.csv
