Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Nodal Binding -> Biodomain: Cell Cycle, Immune Response, Vasculature, Apoptosis, Epigenetic
GO Term: Sequestering Of Nodal From Receptor Via Nodal Binding -> Biodomain: Unknown, Proteostasis, Autophagy, Apoptosis, Immune Response
GO Term: Activin Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Choriogonadotropin Hormone Binding -> Biodomain: Vasculature, Endolysosome, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Appetite By Leptin-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Proteostasis, Autophagy
GO Term: Kit Signaling Pathway -> Biodomain: Signal Transduction, Cell Growth and Proliferation, Receptor Signaling, Intracellular Signaling, Transcription Regulation
GO Term: Interleukin-2-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Cell Cycle
GO Term: Interleukin-7-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-8-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: Interleukin-9-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Interleukin-21-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Chemokine (C-C Motif) Ligand 21 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Autophagy
GO Term: C-C Motif Chemokine 19 Receptor Activity -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Ccl19-Activated Ccr7 Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Proteostasis, Endolysosome, Autophagy
GO Term: Ccl21-Activated Ccr7 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Unknown
GO Term: C-C Motif Chemokine 21 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Toll-Like Receptor Tlr1:Tlr2 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Apoptosis, Lipid Metabolism
GO Term: Toll-Like Receptor Tlr6:Tlr2 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Erbb Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Proteostasis, Immune Response
GO Term: Erbb2 Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Vasculature, Autophagy
GO Term: Erbb3 Signaling Pathway -> Biodomain: Cell Cycle, Immune Response, Epigenetic, Vasculature, Apoptosis
GO Term: Erbb4 Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Synapse, Structural Stabilization, Unknown
GO Term: Neuregulin Receptor Activity -> Biodomain: Synapse, Myelination, Proteostasis, Apoptosis, Immune Response
GO Term: Neuregulin Binding -> Biodomain: Synapse, Myelination, Immune Response, Apoptosis, Proteostasis
GO Term: Erbb2-Erbb3 Signaling Pathway -> Biodomain: Cell Cycle, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Erbb2-Egfr Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Immune Response
GO Term: Erbb2-Erbb4 Signaling Pathway -> Biodomain: Cell Cycle, Synapse, Myelination, Epigenetic, Apoptosis
GO Term: Erbb4-Erbb4 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Erbb3:Erbb2 Complex -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Endolysosome, Immune Response
GO Term: Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Proteostasis
GO Term: Chemokine (C-X-C Motif) Ligand 12 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Structural Stabilization
GO Term: C-X-C Motif Chemokine 12 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Proteostasis
GO Term: Chemokine (C-C Motif) Ligand 2 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Interleukin-11-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Vasculature
GO Term: Interleukin-23-Mediated Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Interleukin-3-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Granulocyte-Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Endolysosome
GO Term: Granulocyte Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: C-X-C Chemokine Receptor Cxcr4 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Cxcl12-Activated Cxcr4 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Prolactin Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism, Autophagy
GO Term: Erythropoietin-Mediated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Thrombopoietin-Mediated Signaling Pathway -> Biodomain: Hematopoiesis, Cytokine Signaling, Cell Differentiation, Cell Proliferation, Immune Response
GO Term: Thrombopoietin Receptor Activity -> Biodomain: Signaling, Immune Response, Apoptosis, Cell Cycle, Vasculature
GO Term: Oncostatin-M-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Somatostatin Signaling Pathway -> Biodomain: Epigenetic, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: Cannabinoid Signaling Pathway -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Interleukin-33-Mediated Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Apoptosis, Proteostasis, Autophagy
GO Term: Interleukin-17A-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Death Receptor Agonist Activity -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Proteostasis, Autophagy
GO Term: Complement Component C5A Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Neurotrophin Signaling Pathway -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Autophagy
GO Term: Nerve Growth Factor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: G Protein-Coupled Bile Acid Receptor Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Endolysosome
GO Term: Adenylate Cyclase-Activating G Protein-Coupled Bile Acid Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Nuclear Receptor-Mediated Bile Acid Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Bile Acid Nuclear Receptor Activity -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Pattern Recognition Receptor Activity -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Cholecystokinin Signaling Pathway -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Vasculature, Unknown
GO Term: Neuropilin Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Synapse
GO Term: Vegf-Activated Neuropilin Signaling Pathway -> Biodomain: Vasculature, Synapse, Proteostasis, Immune Response, Apoptosis
GO Term: Neuropilin Binding -> Biodomain: Vasculature, Synapse, Immune Response, Structural Stabilization, Proteostasis
GO Term: Gastric Inhibitory Peptide Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Thromboxane A2 Signaling Pathway -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Thyroid-Stimulating Hormone Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Urokinase Plasminogen Activator Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Type Iii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Torc1 Signaling -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle
GO Term: Torc2 Signaling -> Biodomain: Apoptosis, Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Pronephric Field Specification -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Pronephric Nephron Tubule Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Pronephric Nephron Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Unknown
GO Term: Pronephric Nephron Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Cell Cycle, Unknown
GO Term: Rig-I Signaling Pathway -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Mda-5 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Mda-5 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Regulation Of Rig-I Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Rig-I Signaling Pathway -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Symbiont-Mediated Suppression Of Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Rig-I Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Pkr/Eifalpha Signaling -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Fusion Of Virus Membrane With Host Endosome Membrane -> Biodomain: Endolysosome, Immune Response, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Negative Stranded Viral Rna Replication -> Biodomain: Immune Response, Epigenetic, RNA Spliceosome, Proteostasis, Unknown
GO Term: Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: DNA Repair, Epigenetic, Immune Response, Cell Cycle, Unknown
GO Term: Viral Rna Genome Replication -> Biodomain: RNA Spliceosome, Cell Cycle, Immune Response, Autophagy, Lipid Metabolism
GO Term: Dna-Templated Viral Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Immune Response
GO Term: Viral Budding Via Host Escrt Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Co-Receptor Binding -> Biodomain: Immune Response, Synapse, Vasculature, Epigenetic, APP Metabolism
GO Term: Establishment Of Mitotic Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Regulation Of Growth -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Regulation Of Growth Rate -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Growth Rate -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Locomotion -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Regulation Of Locomotion -> Biodomain: Structural Stabilization, Synapse, Immune Response, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Locomotion -> Biodomain: Synapse, Structural Stabilization, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Regulation Of Multicellular Organism Growth -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Multicellular Organism Growth -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Embryonic Cleavage -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Locomotion -> Biodomain: Immune Response, Vasculature, Myelination, Synapse, Structural Stabilization
GO Term: Positive Regulation Of Multicellular Organism Growth -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Embryonic Development -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Vasculature, Lipid Metabolism
GO Term: Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Epigenetic Regulation Of Gene Expression -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Snrna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Cell Cycle
GO Term: Regulation Of Development, Heterochronic -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Polar Body Extrusion After Meiotic Divisions -> Biodomain: Cell Cycle, Apoptosis, Endolysosome, Autophagy, DNA Repair
GO Term: Thermosensory Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Interleukin-18 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-18 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-15 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Interleukin-16 Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Interleukin-16 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Unknown
GO Term: Interleukin-20 Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-22 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Interleukin-22 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Interleukin-23 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Interleukin-23 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Epigenetic
GO Term: Interleukin-12 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Dna Endoreduplication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Unknown
GO Term: Protein Refolding -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Atpase Inhibitor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Neurexin Family Protein Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Unknown, Autophagy
GO Term: Fluid Transport -> Biodomain: Vasculature, Endolysosome, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Epithelial Fluid Transport -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Immune Response
GO Term: Olfactory Behavior -> Biodomain: Synapse, Myelination, Epigenetic, Structural Stabilization, Unknown
GO Term: Regulation Of Dopamine Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Histone Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Metal Binding and Homeostasis, Cell Cycle
GO Term: Chemoattractant Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Endolysosome, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Immune Response
GO Term: Wound Healing -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Gliogenesis -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Vasculature
GO Term: Intraciliary Transport -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Endolysosome
GO Term: Cell Migration Involved In Gastrulation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Endolysosome
GO Term: Germ-Line Stem Cell Division -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, DNA Repair, Autophagy
GO Term: T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Type 2 Immune Response -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Vasculature, Apoptosis
GO Term: T-Helper Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, DNA Repair, Autophagy
GO Term: B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Apoptosis, Epigenetic
GO Term: T Cell Receptor Complex -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Apoptosis
GO Term: Positive Regulation Of T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Activated T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Synapse, DNA Repair
GO Term: Alpha-Beta T Cell Receptor Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Gamma-Delta T Cell Receptor Complex -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Apoptosis
GO Term: T Cell Activation -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: B Cell Activation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Endolysosome
GO Term: Macrophage Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature
GO Term: Monocyte Activation -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Endothelial Cell Activation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Neutrophil Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Endolysosome
GO Term: Nitrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, DNA Repair
GO Term: Regulation Of T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Thiamine Phosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Fructose 1,6-Bisphosphate 1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Unknown
GO Term: Rrna Primary Transcript Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Meiotic Dna Double-Strand Break Formation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Late Meiotic Recombination Nodule Assembly -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Vacuole Fusion, Non-Autophagic -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Unknown
GO Term: Retrograde Transport, Endosome To Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Unknown
GO Term: Dna Strand Invasion -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Cellular Response To Glucose Starvation -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Lipoprotein Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Endolysosome
GO Term: Lipoprotein Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Lipoprotein Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Oxidative Stress
GO Term: Telomeric Dna Binding -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Interleukin-12 Beta Subunit Binding -> Biodomain: Immune Response, Apoptosis, Unknown, Cell Cycle, Oxidative Stress
GO Term: Interleukin-12 Alpha Subunit Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Acetylcholine Binding -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Lipid Metabolism
GO Term: Heme Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Heme Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Sh2 Domain Binding -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Lysophosphatidic Acid Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Apoptosis
GO Term: Nuclear Outer Membrane-Endoplasmic Reticulum Membrane Network -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Ubiquitin Proteasome System, Apoptosis
GO Term: Negative Regulation Of Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Apoptosis
GO Term: Xenobiotic Catabolic Process -> Biodomain: Oxidative Stress, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Ketone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Ketone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Ketone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Halogenated Hydrocarbon Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Modified Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Response To Cocaine -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Autophagy, Epigenetic
GO Term: Rna Repair -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Tissue Regeneration -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Immune Response, Vasculature
GO Term: Establishment Of Planar Polarity Of Follicular Epithelium -> Biodomain: Structural Stabilization, Unknown, Proteostasis, Cell Cycle, Epigenetic
GO Term: Establishment Of Planar Polarity Of Embryonic Epithelium -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Ribosome Biogenesis -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Epigenetic, Unknown
GO Term: Ribosome Assembly -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Structural Stabilization
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/go_biodomain_results_part_9.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/runtime_log.csv
