Running with TEMP=0.1, sub_array_index=8
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 8: rows 7000 to 7999
GO Term: Cardiolipin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metabolism, Proteostasis, Oxidative Stress
GO Term: Cenp-A Containing Chromatin Assembly -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Establishment Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Autophagy
GO Term: Establishment Of Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Maintenance Of Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Establishment Of Meiotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Response To Cytokine -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Vcp-Npl4-Ufd1 Aaa Atpase Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Erythrocyte Homeostasis -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Tissue Remodeling -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Tissue Remodeling -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Autophagy
GO Term: Negative Regulation Of Erythrocyte Clearance -> Biodomain: Immune Response, Endolysosome, Vasculature, Oxidative Stress, Structural Stabilization
GO Term: Homotypic Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Synapse
GO Term: Negative Regulation Of Homotypic Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Immune Response, Apoptosis, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Homotypic Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Heterotypic Cell-Cell Adhesion -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Cell Cycle
GO Term: Negative Regulation Of Heterotypic Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Heterotypic Cell-Cell Adhesion -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Synapse, Proteostasis
GO Term: Regulation Of Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Toll-Like Receptor 2 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Toll-Like Receptor 2 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Toll-Like Receptor 2 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Epigenetic, Autophagy, Apoptosis
GO Term: Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Toll-Like Receptor 5 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Toll-Like Receptor 5 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Regulation Of Toll-Like Receptor 6 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Toll-Like Receptor 6 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Toll-Like Receptor 7 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Negative Regulation Of Toll-Like Receptor 7 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Toll-Like Receptor 7 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Toll-Like Receptor 8 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Toll-Like Receptor 8 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Oxidative Stress
GO Term: Regulation Of Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Autophagy, Epigenetic, Apoptosis
GO Term: Negative Regulation Of Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Apolipoprotein Binding -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Immune Response, Metal Binding and Homeostasis
GO Term: Apolipoprotein A-I Binding -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Apolipoprotein A-I Receptor Activity -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Immune Response, Endolysosome
GO Term: Very-Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, APP Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Apolipoprotein Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Proteostasis, Endolysosome
GO Term: Apolipoprotein A-I Receptor Binding -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Triglyceride Transport -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Cellular Response To Amino Acid Starvation -> Biodomain: Autophagy, Proteostasis, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Activation Of Protein Kinase A Activity -> Biodomain: Signal Transduction, Metabolism, Epigenetic, Cell Cycle, Proteostasis
GO Term: Response To Oleic Acid -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Glycolipid Floppase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Glycolipid Translocation -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Lipid Translocation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Amyloid-Beta Formation -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Synapse
GO Term: Gtp-Dependent Protein Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Oxidative Stress
GO Term: Quinolinate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Protein Hexamerization -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Carbohydrate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Vasculature, Autophagy
GO Term: Monoatomic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Vasculature, Immune Response
GO Term: Cellular Response To Zinc Ion Starvation -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Trna Thio-Modification -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Ethanolamine Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Myelination
GO Term: Ethanolamine Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Enkephalin Processing -> Biodomain: Proteostasis, Synapse, Endolysosome, Immune Response, Autophagy
GO Term: Islet Amyloid Polypeptide Processing -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Gpi Anchor Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Protein Kinase A Catalytic Subunit Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Protein Kinase A Regulatory Subunit Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Macrophage Fusion -> Biodomain: Immune Response, Endolysosome, Apoptosis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Macrophage Fusion -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Lipid Metabolism, Endolysosome
GO Term: Negative Regulation Of Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Mitochondrial Dna-Directed Rna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Mitochondrial Transcription Factor Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Snorna Splicing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Regulation Of Amide Metabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Amide Metabolic Process -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Urea Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Gtpase Activity -> Biodomain: Endolysosome, Synapse, Structural Stabilization, Autophagy, Cell Cycle
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Iii, Type I -> Biodomain: Autophagy, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Iii, Type Ii -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Atg12-Atg5-Atg16 Complex -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Kynurenic Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Response To Monosaccharide -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Disaccharide -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Diol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Synapse, Proteostasis
GO Term: Regulation Of Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Nicotinate Riboside Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Epigenetic
GO Term: Cell Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Cell Junction Organization -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Cell Junction Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Endolysosome
GO Term: Adherens Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Proteostasis
GO Term: Adherens Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Epigenetic
GO Term: Adherens Junction Maintenance -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Epigenetic
GO Term: Rna Folding -> Biodomain: RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Short-Chain Carboxylesterase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Response To Type I Interferon -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Response To Type Ii Interferon -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Type Iii Interferon -> Biodomain: Immune Response, Cytokine Signaling, Innate Immunity, Cell Signaling, Inflammation
GO Term: Type Iii Interferon Production -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Regulation Of Type Iii Interferon Production -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Type Iii Interferon Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Type Iii Interferon Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Type Iii Interferon Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Glial Cell Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Synapse, Immune Response, Proteostasis
GO Term: Negative Regulation Of Glial Cell Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Immune Response
GO Term: Mrna 5'-Diphosphatase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: 'De Novo' Nad+ Biosynthetic Process From L-Tryptophan -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Nad+ Biosynthetic Process Via The Salvage Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Plasma Lipoprotein Particle -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Mature Chylomicron -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Endolysosome, Autophagy
GO Term: Chylomicron Remnant -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Very-Low-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, APP Metabolism, Endolysosome, Proteostasis, Vasculature
GO Term: Low-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Endolysosome
GO Term: Intermediate-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis, Immune Response
GO Term: High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Discoidal High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: Spherical High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome, Immune Response
GO Term: Protein-Containing Complex Remodeling -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Plasma Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Vasculature, Immune Response
GO Term: Triglyceride-Rich Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Chylomicron Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Very-Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress, Autophagy
GO Term: Intermediate-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Vasculature, Endolysosome
GO Term: Low-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: High-Density Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Plasma Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Chylomicron Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Vasculature, Structural Stabilization
GO Term: Very-Low-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Endolysosome
GO Term: High-Density Lipoprotein Particle Assembly -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Plasma Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Chylomicron Remnant Clearance -> Biodomain: Endolysosome, Lipid Metabolism, Vasculature, Proteostasis, Immune Response
GO Term: Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: High-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Proteostasis, Immune Response
GO Term: 4-Aminobutyrate:2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Pwp2P-Containing Subcomplex Of 90S Preribosome -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Lipid Droplet Organization -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Regulation Of Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Oxidative Stress, Immune Response
GO Term: Protein Localization To Cell Surface -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Vasculature
GO Term: Telomere Localization -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Telomere Tethering At Nuclear Periphery -> Biodomain: Structural Stabilization, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Nuclear Periphery -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Response To Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Endolysosome
GO Term: Bisphosphoglycerate 3-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy, Proteostasis
GO Term: Urate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Apoptosis
GO Term: Post-Translational Protein Acetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Autophagosome Lumen -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Bis(5'-Adenosyl)-Hexaphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Bis(5'-Adenosyl)-Pentaphosphatase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Apoptosis
GO Term: Glycoprotein Transport -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Synapse, APP Metabolism
GO Term: Lipoprotein Lipid Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Lipid Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Plasma Lipoprotein Particle Oxidation -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Vasculature
GO Term: Negative Regulation Of Plasma Lipoprotein Oxidation -> Biodomain: Oxidative Stress, Lipid Metabolism, Vasculature, Immune Response, Proteostasis
GO Term: Substrate Adhesion-Dependent Cell Spreading -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Immune Response, Vasculature
GO Term: Ubiquitin-Ubiquitin Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Oxidative Stress
GO Term: Centriolar Satellite -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Dynactin Binding -> Biodomain: Cytoskeletal Organization, Intracellular Trafficking, Motor Activity, Cellular Organization, Protein Complex Assembly
GO Term: Microtubule Anchoring -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Microtubule Anchoring At Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Tau Homeostasis, Proteostasis, Synapse
GO Term: T-Utp Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization
GO Term: Utp-C Complex -> Biodomain: RNA Spliceosome, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Mpp10 Complex -> Biodomain: RNA Spliceosome, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: 3'-5' Rna Helicase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Small-Subunit Processome Assembly -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic
GO Term: 90S Preribosome Assembly -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Bbsome -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Response To Carbon Monoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Chromaffin Granule Lumen -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Oxidative Stress, Lipid Metabolism
GO Term: Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: U1 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: U2 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: U4 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Oxidative Stress, DNA Repair
GO Term: U5 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: U6 Snrna 3'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Phosphatidylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Phosphatidylcholine Phospholipase C Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Chondroitin 2-Sulfotransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Immune Response, Vasculature
